<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPL,PB,D,20150507,000000,3.35467,3.35467,3.35467,3.35467,0,0
WPL,PB,D,20150508,000000,3.40849,3.40849,3.35467,3.36367,0,0
WPL,PB,D,20150511,000000,3.39958,3.39958,3.35467,3.35467,0,0
WPL,PB,D,20150512,000000,3.36367,3.36367,3.33677,3.33677,0,0
WPL,PB,D,20150513,000000,3.33677,3.34568,3.28267,3.28267,0,0
WPL,PB,D,20150514,000000,3.29167,3.33677,3.25576,3.33677,0,0
WPL,PB,D,20150515,000000,3.30067,3.37268,3.30067,3.37268,0,0
WPL,PB,D,20150518,000000,3.38168,3.39958,3.33677,3.33677,0,0
WPL,PB,D,20150519,000000,3.31867,3.33677,3.31867,3.32767,0,0
WPL,PB,D,20150520,000000,3.32767,3.39058,3.32767,3.32767,0,0
WPL,PB,D,20150521,000000,3.39958,3.39958,3.35467,3.35467,0,0
WPL,PB,D,20150522,000000,3.32767,3.39958,3.30977,3.30977,0,0
WPL,PB,D,20150525,000000,3.36367,3.36367,3.36367,3.36367,0,0
WPL,PB,D,20150526,000000,3.31867,3.31867,3.31867,3.31867,0,0
WPL,PB,D,20150527,000000,3.28267,3.75041,3.28267,3.75041,0,0
WPL,PB,D,20150528,000000,3.74142,3.75932,3.72342,3.75041,0,0
WPL,PB,D,20150529,000000,3.71442,3.76832,3.71442,3.75041,0,0
WPL,PB,D,20150601,000000,3.74142,3.75932,3.72342,3.75041,0,0
WPL,PB,D,20150602,000000,3.74142,3.75041,3.72342,3.75041,0,0
WPL,PB,D,20150603,000000,3.72342,3.75041,3.72342,3.74142,0,0
WPL,PB,D,20150605,000000,3.74142,3.74142,3.73242,3.73242,0,0
WPL,PB,D,20150608,000000,3.73242,3.75041,3.73242,3.75041,0,0
WPL,PB,D,20150609,000000,3.73242,3.73242,3.73242,3.73242,0,0
WPL,PB,D,20150610,000000,3.73242,3.74142,3.72342,3.73242,0,0
WPL,PB,D,20150611,000000,3.74142,3.74142,3.72342,3.72342,0,0
WPL,PB,D,20150612,000000,3.74142,3.74142,3.72342,3.72342,0,0
WPL,PB,D,20150615,000000,3.75041,3.75041,3.73242,3.73242,0,0
WPL,PB,D,20150616,000000,3.73242,3.75041,3.72342,3.75041,0,0
WPL,PB,D,20150617,000000,3.75041,3.75041,3.74142,3.74142,0,0
WPL,PB,D,20150618,000000,3.75041,3.75932,3.75041,3.75041,0,0
WPL,PB,D,20150619,000000,3.75041,3.76832,3.72342,3.72342,0,0
WPL,PB,D,20150622,000000,3.72342,3.74142,3.72342,3.73242,0,0
WPL,PB,D,20150623,000000,3.75041,3.75041,3.73242,3.73242,0,0
WPL,PB,D,20150624,000000,3.73242,3.76832,3.73242,3.75041,0,0
WPL,PB,D,20150625,000000,3.74142,3.75041,3.74142,3.74142,0,0
WPL,PB,D,20150626,000000,3.73242,3.73242,3.72342,3.73242,0,0
WPL,PB,D,20150629,000000,3.66951,3.66951,3.47159,3.63341,0,0
WPL,PB,D,20150630,000000,3.6155,3.63341,3.6155,3.63341,0,0
WPL,PB,D,20150701,000000,3.63341,3.75932,3.63341,3.75932,0,0
WPL,PB,D,20150702,000000,3.75932,3.76832,3.68741,3.75932,0,0
WPL,PB,D,20150703,000000,3.75932,3.76832,3.68741,3.72342,0,0
WPL,PB,D,20150706,000000,3.69651,3.76832,3.66951,3.76832,0,0
WPL,PB,D,20150707,000000,3.72342,3.74142,3.72342,3.72342,0,0
WPL,PB,D,20150708,000000,3.75041,3.75041,3.72342,3.72342,0,0
WPL,PB,D,20150709,000000,3.73242,3.73242,3.68741,3.72342,0,0
WPL,PB,D,20150710,000000,3.72342,3.75041,3.71442,3.72342,0,0
WPL,PB,D,20150713,000000,3.74142,3.74142,3.66951,3.69651,0,0
WPL,PB,D,20150714,000000,3.70541,3.70541,3.66951,3.69651,0,0
WPL,PB,D,20150715,000000,3.69651,3.73242,3.69651,3.73242,0,0
WPL,PB,D,20150716,000000,3.74142,3.87624,3.73242,3.84933,0,0
WPL,PB,D,20150717,000000,3.83143,3.94834,3.83143,3.94834,0,0
WPL,PB,D,20150720,000000,3.93924,3.93924,3.90324,3.93924,0,0
WPL,PB,D,20150721,000000,3.93924,3.97524,3.90324,3.97524,0,0
