<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPL,PE,D,20150507,000000,206.776,206.776,206.776,206.776,0,0
WPL,PE,D,20150508,000000,208.751,208.838,205.604,207.57,0,0
WPL,PE,D,20150511,000000,209.728,209.728,206.776,206.776,0,0
WPL,PE,D,20150512,000000,207.386,207.386,206.234,206.234,0,0
WPL,PE,D,20150513,000000,205.682,206.486,202.624,202.624,0,0
WPL,PE,D,20150514,000000,203.252,205.963,201.191,205.963,0,0
WPL,PE,D,20150515,000000,203.882,208.024,203.882,208.024,0,0
WPL,PE,D,20150518,000000,208.915,209.728,205.769,205.769,0,0
WPL,PE,D,20150519,000000,205.053,205.682,205.053,205.604,0,0
WPL,PE,D,20150520,000000,205.324,209.195,205.324,205.604,0,0
WPL,PE,D,20150521,000000,209.728,209.728,206.863,206.863,0,0
WPL,PE,D,20150522,000000,205.15,209.641,133.018,133.018,0,0
WPL,PE,D,20150525,000000,135.176,135.176,135.176,135.176,0,0
WPL,PE,D,20150526,000000,133.105,133.105,133.105,133.105,0,0
WPL,PE,D,20150527,000000,131.76,150.555,131.76,150.555,0,0
WPL,PE,D,20150528,000000,150.283,150.923,149.655,150.555,0,0
WPL,PE,D,20150529,000000,149.112,151.184,149.112,150.739,0,0
WPL,PE,D,20150601,000000,150.283,151,149.655,150.555,0,0
WPL,PE,D,20150602,000000,150.283,150.555,149.481,150.555,0,0
WPL,PE,D,20150603,000000,149.481,150.739,149.481,150.196,0,0
WPL,PE,D,20150605,000000,150.013,150.013,149.829,149.829,0,0
WPL,PE,D,20150608,000000,149.742,150.739,149.742,150.739,0,0
WPL,PE,D,20150609,000000,149.926,149.926,149.829,149.829,0,0
WPL,PE,D,20150610,000000,149.829,150.283,149.481,149.742,0,0
WPL,PE,D,20150611,000000,150.283,150.283,149.568,149.655,0,0
WPL,PE,D,20150612,000000,150.109,150.109,149.655,149.655,0,0
WPL,PE,D,20150615,000000,150.739,150.739,149.829,149.829,0,0
WPL,PE,D,20150616,000000,149.829,150.555,149.287,150.555,0,0
WPL,PE,D,20150617,000000,150.739,150.739,150.109,150.283,0,0
WPL,PE,D,20150618,000000,150.458,150.923,150.458,150.642,0,0
WPL,PE,D,20150619,000000,150.555,151.184,149.384,149.384,0,0
WPL,PE,D,20150622,000000,149.481,150.283,149.481,149.829,0,0
WPL,PE,D,20150623,000000,150.642,150.642,149.829,149.829,0,0
WPL,PE,D,20150624,000000,149.829,151.087,149.829,150.642,0,0
WPL,PE,D,20150625,000000,150.283,150.739,150.283,150.283,0,0
WPL,PE,D,20150626,000000,149.829,149.829,149.568,149.742,0,0
WPL,PE,D,20150629,000000,147.216,147.216,139.232,145.967,0,0
WPL,PE,D,20150630,000000,145.155,145.967,145.155,145.87,0,0
WPL,PE,D,20150701,000000,145.87,151.087,145.87,151,0,0
WPL,PE,D,20150702,000000,151.087,151.28,148.135,151,0,0
WPL,PE,D,20150703,000000,151,151.28,148.135,149.481,0,0
WPL,PE,D,20150706,000000,148.397,151.184,147.507,151.184,0,0
WPL,PE,D,20150707,000000,149.481,150.283,149.481,149.481,0,0
WPL,PE,D,20150708,000000,150.739,150.739,149.481,149.481,0,0
WPL,PE,D,20150709,000000,149.926,149.926,148.135,149.481,0,0
WPL,PE,D,20150710,000000,149.481,150.739,149.209,149.481,0,0
WPL,PE,D,20150713,000000,150.283,150.283,147.313,148.484,0,0
WPL,PE,D,20150714,000000,148.755,148.938,147.313,148.397,0,0
WPL,PE,D,20150715,000000,148.397,149.926,148.397,149.829,0,0
WPL,PE,D,20150716,000000,150.283,155.5,149.829,154.61,0,0
WPL,PE,D,20150717,000000,153.787,158.646,153.787,158.646,0,0
WPL,PE,D,20150720,000000,158.104,158.104,156.846,158.104,0,0
WPL,PE,D,20150721,000000,158.104,159.73,156.846,159.73,0,0
WPL,PE,D,20150722,000000,159.817,159.817,158.907,159.817,0,0
WPL,PE,D,20150723,000000,159.362,159.817,158.558,159.004,0,0
WPL,PE,D,20150724,000000,159.817,160.262,159.449,160.262,0,0
WPL,PE,D,20150727,000000,160.901,160.901,159.449,159.449,0,0
WPL,PE,D,20150728,000000,159.546,161.075,159.546,160.262,0,0
WPL,PE,D,20150729,000000,160.262,160.901,160.175,160.175,0,0
WPL,PE,D,20150730,000000,160.175,160.262,160.175,160.262,0,0
WPL,PE,D,20150731,000000,160.262,162.876,160.262,162.876,0,0
WPL,PE,D,20150803,000000,162.876,164.578,162.876,164.578,0,0
WPL,PE,D,20150804,000000,164.578,164.578,160.175,160.262,0,0
WPL,PE,D,20150805,000000,160.262,163.32,160.262,162.691,0,0
WPL,PE,D,20150806,000000,162.691,163.514,160.717,162.246,0,0
WPL,PE,D,20150807,000000,162.246,162.246,160.262,160.901,0,0
WPL,PE,D,20150810,000000,160.901,160.901,160.175,160.262,0,0
WPL,PE,D,20150811,000000,160.262,160.717,159.449,160.262,0,0
WPL,PE,D,20150812,000000,160.262,160.262,159.449,159.642,0,0
WPL,PE,D,20150813,000000,159.642,160.621,159.642,160.262,0,0
WPL,PE,D,20150814,000000,159.817,160.262,159.449,159.642,0,0
WPL,PE,D,20150817,000000,159.362,160.175,159.362,160.088,0,0
WPL,PE,D,20150818,000000,160.088,160.717,160.088,160.717,0,0
WPL,PE,D,20150819,000000,161.172,161.172,160.088,160.456,0,0
WPL,PE,D,20150820,000000,160.456,160.456,160.088,160.456,0,0
WPL,PE,D,20150821,000000,160.088,161.704,159.817,160.456,0,0
WPL,PE,D,20150824,000000,160.175,160.175,153.701,155.956,0,0
WPL,PE,D,20150825,000000,155.956,158.83,155.956,158.104,0,0
WPL,PE,D,20150826,000000,158.104,158.384,157.3,158.104,0,0
