<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1AT_MV,D,20150723,000000,468.383,468.383,468.383,468.383,0,0
1AT_MV,D,20150724,000000,457.732,474.342,457.732,474.342,0,0
1AT_MV,D,20150727,000000,470.719,470.719,468.383,468.383,0,0
1AT_MV,D,20150728,000000,468.383,468.383,468.383,468.383,0,0
1AT_MV,D,20150729,000000,467.949,467.949,467.949,467.949,0,0
1AT_MV,D,20150730,000000,459.868,467.949,459.868,467.949,0,0
1AT_MV,D,20150731,000000,467.74,467.74,467.74,467.74,0,0
1AT_MV,D,20150803,000000,460.928,460.928,443.901,455.82,0,0
1AT_MV,D,20150804,000000,453.475,453.475,453.475,453.475,0,0
1AT_MV,D,20150805,000000,455.604,465.402,455.604,465.402,0,0
1AT_MV,D,20150806,000000,465.402,465.402,465.402,465.402,0,0
1AT_MV,D,20150807,000000,461.989,465.177,461.989,463.692,0,0
1AT_MV,D,20150810,000000,465.402,465.402,463.692,463.692,0,0
1AT_MV,D,20150811,000000,461.989,465.402,461.989,464.125,0,0
1AT_MV,D,20150812,000000,464.125,464.125,451.346,463.901,0,0
1AT_MV,D,20150813,000000,463.901,463.901,457.732,457.732,0,0
1AT_MV,D,20150814,000000,457.732,464.125,457.732,464.125,0,0
1AT_MV,D,20150817,000000,465.402,465.402,465.402,465.402,0,0
1AT_MV,D,20150818,000000,464.767,464.767,436.656,463.258,0,0
1AT_MV,D,20150819,000000,441.555,463.05,441.555,462.631,0,0
1AT_MV,D,20150820,000000,462.422,462.422,458.8,458.8,0,0
1AT_MV,D,20150821,000000,462.422,462.422,462.422,462.422,0,0
1AT_MV,D,20150824,000000,462.422,462.422,436.447,461.137,0,0
1AT_MV,D,20150825,000000,455.394,459.868,455.394,459.652,0,0
1AT_MV,D,20150827,000000,453.475,457.523,447.089,457.523,0,0
1AT_MV,D,20150828,000000,453.475,457.523,446.881,457.523,0,0
1AT_MV,D,20150831,000000,434.326,459.652,434.326,459.652,0,0
1AT_MV,D,20150901,000000,460.077,460.077,436.447,459.652,0,0
1AT_MV,D,20150902,000000,459.434,461.78,447.089,461.78,0,0
1AT_MV,D,20150903,000000,461.78,467.321,449.226,467.321,0,0
1AT_MV,D,20150907,000000,466.889,466.889,466.889,466.889,0,0
1AT_MV,D,20150908,000000,457.732,463.491,457.732,463.491,0,0
1AT_MV,D,20150909,000000,463.901,463.901,463.692,463.692,0,0
1AT_MV,D,20150910,000000,455.604,466.254,455.604,466.254,0,0
1AT_MV,D,20150911,000000,465.611,465.611,465.177,465.177,0,0
1AT_MV,D,20150914,000000,464.976,464.976,464.125,464.543,0,0
1AT_MV,D,20150915,000000,463.901,463.901,437.507,440.704,0,0
1AT_MV,D,20150916,000000,451.564,451.564,442.825,442.825,0,0
1AT_MV,D,20150917,000000,447.089,447.089,447.089,447.089,0,0
1AT_MV,D,20150918,000000,451.346,451.346,447.089,447.089,0,0
1AT_MV,D,20150921,000000,447.089,451.346,447.089,451.346,0,0
1AT_MV,D,20150922,000000,451.346,458.367,451.346,457.523,0,0
1AT_MV,D,20150923,000000,457.307,457.307,457.307,457.307,0,0
1AT_MV,D,20150924,000000,456.238,456.238,456.238,456.238,0,0
1AT_MV,D,20150928,000000,438.576,453.266,438.576,451.346,0,0
1AT_MV,D,20150929,000000,451.346,451.346,451.346,451.346,0,0
1AT_MV,D,20150930,000000,434.326,463.258,434.326,463.258,0,0
1AT_MV,D,20151001,000000,463.258,463.258,463.258,463.258,0,0
1AT_MV,D,20151002,000000,457.732,457.732,457.732,457.732,0,0
1AT_MV,D,20151005,000000,457.732,457.732,447.089,457.732,0,0
1AT_MV,D,20151006,000000,461.989,461.989,461.78,461.78,0,0
1AT_MV,D,20151007,000000,461.78,461.78,447.089,461.78,0,0
1AT_MV,D,20151008,000000,461.78,461.78,448.375,453.475,0,0
1AT_MV,D,20151009,000000,461.78,461.78,457.732,457.732,0,0
1AT_MV,D,20151012,000000,457.732,457.732,447.306,457.732,0,0
1AT_MV,D,20151013,000000,459.652,459.652,459.652,459.652,0,0
1AT_MV,D,20151014,000000,447.306,459.868,447.306,459.868,0,0
1AT_MV,D,20151015,000000,459.868,461.989,459.868,461.989,0,0
1AT_MV,D,20151016,000000,459.868,462.631,459.868,462.631,0,0
1AT_MV,D,20151019,000000,463.258,463.258,463.258,463.258,0,0
1AT_MV,D,20151020,000000,463.258,463.258,463.258,463.258,0,0
1AT_MV,D,20151021,000000,463.05,463.05,463.05,463.05,0,0
1AT_MV,D,20151022,000000,463.05,463.05,447.089,461.989,0,0
1AT_MV,D,20151023,000000,461.989,461.989,461.989,461.989,0,0
