<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMB_PB,D,20070813,000000,0.806305,0.806305,0.806305,0.806305,0,0
AMB_PB,D,20070814,000000,0.821513,0.821513,0.821513,0.821513,0,0
AMB_PB,D,20070816,000000,0.811343,0.811343,0.811343,0.811343,0,0
AMB_PB,D,20070817,000000,0.821513,0.821513,0.821513,0.821513,0,0
AMB_PB,D,20070820,000000,0.841949,0.841949,0.841949,0.841949,0,0
AMB_PB,D,20070821,000000,0.821513,0.821513,0.821513,0.821513,0,0
AMB_PB,D,20070822,000000,0.796135,0.796135,0.796135,0.796135,0,0
AMB_PB,D,20070823,000000,0.816475,0.816475,0.816475,0.816475,0,0
AMB_PB,D,20070824,000000,0.847176,0.847176,0.847176,0.847176,0,0
AMB_PB,D,20070827,000000,0.867517,0.867517,0.867517,0.867517,0,0
AMB_PB,D,20070828,000000,0.841949,0.841949,0.841949,0.841949,0,0
AMB_PB,D,20070829,000000,0.837006,0.837006,0.837006,0.837006,0,0
AMB_PB,D,20070830,000000,0.964562,0.964562,0.964562,0.964562,0,0
AMB_PB,D,20070831,000000,1.05134,1.05134,1.05134,1.05134,0,0
AMB_PB,D,20070903,000000,0.969695,0.969695,0.969695,0.969695,0,0
AMB_PB,D,20070904,000000,0.974733,0.974733,0.974733,0.974733,0,0
AMB_PB,D,20070905,000000,0.985093,0.985093,0.985093,0.985093,0,0
AMB_PB,D,20070906,000000,0.979865,0.979865,0.979865,0.979865,0,0
AMB_PB,D,20070907,000000,0.954202,0.954202,0.954202,0.954202,0,0
AMB_PB,D,20070910,000000,0.954202,0.954202,0.954202,0.954202,0,0
AMB_PB,D,20070911,000000,0.898123,0.898123,0.898123,0.898123,0,0
AMB_PB,D,20070912,000000,0.841949,0.841949,0.841949,0.841949,0,0
AMB_PB,D,20070913,000000,0.887857,0.887857,0.887857,0.887857,0,0
AMB_PB,D,20070914,000000,0.887857,0.887857,0.887857,0.887857,0,0
AMB_PB,D,20070917,000000,0.893085,0.893085,0.893085,0.893085,0,0
AMB_PB,D,20070918,000000,0.913521,0.913521,0.913521,0.913521,0,0
AMB_PB,D,20070919,000000,0.928729,0.928729,0.928729,0.928729,0,0
AMB_PB,D,20070920,000000,0.944222,0.944222,0.944222,0.944222,0,0
AMB_PB,D,20070921,000000,0.964562,0.964562,0.964562,0.964562,0,0
AMB_PB,D,20070924,000000,0.995168,0.995168,0.995168,0.995168,0,0
AMB_PB,D,20070925,000000,0.964562,0.964562,0.964562,0.964562,0,0
AMB_PB,D,20070926,000000,0.974733,0.974733,0.974733,0.974733,0,0
AMB_PB,D,20070927,000000,1.02083,1.02083,1.02083,1.02083,0,0
AMB_PB,D,20070928,000000,1.01057,1.01057,1.01057,1.01057,0,0
AMB_PB,D,20071001,000000,1.00534,1.00534,1.00534,1.00534,0,0
AMB_PB,D,20071002,000000,0.974733,0.974733,0.974733,0.974733,0,0
AMB_PB,D,20071003,000000,1.01057,1.01057,1.01057,1.01057,0,0
AMB_PB,D,20071004,000000,1.00534,1.00534,1.00534,1.00534,0,0
AMB_PB,D,20071005,000000,0.989941,0.989941,0.989941,0.989941,0,0
AMB_PB,D,20071008,000000,0.979865,0.979865,0.979865,0.979865,0,0
AMB_PB,D,20071009,000000,0.964562,0.964562,0.964562,0.964562,0,0
AMB_PB,D,20071010,000000,0.985093,0.985093,0.985093,0.985093,0,0
AMB_PB,D,20071011,000000,0.989941,0.989941,0.989941,0.989941,0,0
AMB_PB,D,20071012,000000,0.969695,0.969695,0.969695,0.969695,0,0
AMB_PB,D,20071015,000000,0.969695,0.969695,0.969695,0.969695,0,0
AMB_PB,D,20071016,000000,0.964562,0.964562,0.964562,0.964562,0,0
AMB_PB,D,20071017,000000,1.04611,1.04611,1.04611,1.04611,0,0
AMB_PB,D,20071018,000000,1.02568,1.02568,1.02568,1.02568,0,0
AMB_PB,D,20071019,000000,1.02568,1.02568,1.02568,1.02568,0,0
AMB_PB,D,20071022,000000,1.01551,1.01551,1.01551,1.01551,0,0
AMB_PB,D,20071023,000000,1.01551,1.01551,1.01551,1.01551,0,0
AMB_PB,D,20071024,000000,1.01057,1.01057,1.01057,1.01057,0,0
AMB_PB,D,20071025,000000,1.031,1.031,1.031,1.031,0,0
AMB_PB,D,20071026,000000,1.01057,1.01057,1.01057,1.01057,0,0
AMB_PB,D,20071029,000000,1.01551,1.01551,1.01551,1.01551,0,0
AMB_PB,D,20071030,000000,0.985093,0.985093,0.985093,0.985093,0,0
AMB_PB,D,20071031,000000,1.031,1.031,1.031,1.031,0,0
AMB_PB,D,20071102,000000,1.02568,1.02568,1.02568,1.02568,0,0
AMB_PB,D,20071105,000000,0.995168,0.995168,0.995168,0.995168,0,0
AMB_PB,D,20071106,000000,1.01057,1.01057,1.01057,1.01057,0,0
AMB_PB,D,20071107,000000,0.954202,0.954202,0.954202,0.954202,0,0
AMB_PB,D,20071108,000000,0.918653,0.918653,0.918653,0.918653,0,0
AMB_PB,D,20071109,000000,0.898123,0.954202,0.898123,0.949259,0,0
AMB_PB,D,20071112,000000,0.949259,0.949259,0.908388,0.928729,0,0
AMB_PB,D,20071113,000000,0.90316,0.928729,0.898123,0.918653,0,0
AMB_PB,D,20071114,000000,0.918653,0.938994,0.908388,0.938994,0,0
AMB_PB,D,20071115,000000,0.918653,0.938994,0.90316,0.90316,0,0
AMB_PB,D,20071116,000000,0.90316,0.90316,0.90316,0.90316,0,0
AMB_PB,D,20071119,000000,0.90316,0.938994,0.90316,0.938994,0,0
AMB_PB,D,20071120,000000,0.887857,0.90316,0.887857,0.898123,0,0
AMB_PB,D,20071121,000000,0.852214,0.882915,0.841949,0.882915,0,0
AMB_PB,D,20071122,000000,0.882915,0.90316,0.882915,0.90316,0,0
AMB_PB,D,20071123,000000,0.90316,0.90316,0.90316,0.90316,0,0
AMB_PB,D,20071126,000000,0.913521,0.913521,0.887857,0.90316,0,0
AMB_PB,D,20071127,000000,0.90316,0.913521,0.90316,0.913521,0,0
AMB_PB,D,20071128,000000,0.913521,0.974733,0.913521,0.974733,0,0
AMB_PB,D,20071129,000000,0.928729,0.933956,0.928729,0.933956,0,0
AMB_PB,D,20071130,000000,0.908388,0.928729,0.908388,0.928729,0,0
AMB_PB,D,20071203,000000,0.944222,0.964562,0.928729,0.964562,0,0
AMB_PB,D,20071204,000000,0.964562,0.964562,0.964562,0.964562,0,0
AMB_PB,D,20071205,000000,0.964562,0.964562,0.964562,0.964562,0,0
AMB_PB,D,20071206,000000,0.964562,0.964562,0.944222,0.964562,0,0
AMB_PB,D,20071207,000000,0.964562,0.964562,0.964562,0.964562,0,0
AMB_PB,D,20071210,000000,0.964562,0.964562,0.944222,0.944222,0,0
AMB_PB,D,20071211,000000,0.928729,0.928729,0.923786,0.923786,0,0
AMB_PB,D,20071212,000000,0.90316,0.923786,0.90316,0.923786,0,0
