<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AML_PB,D,20140717,000000,1.02211,1.02211,1.02211,1.02211,0,0
AML_PB,D,20140718,000000,1.02211,1.02748,1.02211,1.02748,0,0
AML_PB,D,20140721,000000,1.02748,1.03285,1.02211,1.02748,0,0
AML_PB,D,20140722,000000,1.02748,1.02748,1.01113,1.01113,0,0
AML_PB,D,20140723,000000,1.01658,1.01658,1.01658,1.01658,0,0
AML_PB,D,20140724,000000,1.02748,1.02748,0.973145,0.994861,0,0
AML_PB,D,20140725,000000,0.994861,1.00032,0.994861,1.00032,0,0
AML_PB,D,20140728,000000,1.01113,1.02211,1.00576,1.02211,0,0
AML_PB,D,20140729,000000,1.02211,1.02211,1.01658,1.02211,0,0
AML_PB,D,20140730,000000,1.02211,1.02211,1.00576,1.01658,0,0
AML_PB,D,20140731,000000,1.01113,1.02211,1.01113,1.01658,0,0
AML_PB,D,20140801,000000,1.01658,1.01658,0.989414,0.989414,0,0
AML_PB,D,20140804,000000,1.00032,1.01658,0.989414,0.989414,0,0
AML_PB,D,20140805,000000,0.989414,1.00032,0.989414,1.00032,0,0
AML_PB,D,20140806,000000,1.00032,1.01658,0.994861,1.01658,0,0
AML_PB,D,20140807,000000,1.00576,1.01658,0.989414,1.00576,0,0
AML_PB,D,20140808,000000,1.00576,1.01113,0.994861,1.01113,0,0
AML_PB,D,20140811,000000,1.00032,1.01113,1.00032,1.01113,0,0
AML_PB,D,20140812,000000,1.01113,1.01658,1.00576,1.01113,0,0
AML_PB,D,20140813,000000,1.00576,1.01113,1.00576,1.01113,0,0
AML_PB,D,20140814,000000,0.994861,1.01113,0.994861,1.01113,0,0
AML_PB,D,20140818,000000,1.01113,1.01113,1.01113,1.01113,0,0
AML_PB,D,20140819,000000,1.01113,1.01113,0.994861,1.01113,0,0
AML_PB,D,20140820,000000,1.01113,1.01658,1.00032,1.01113,0,0
AML_PB,D,20140821,000000,1.01658,1.05465,1.01658,1.05465,0,0
AML_PB,D,20140822,000000,1.05465,1.06555,1.05465,1.05465,0,0
AML_PB,D,20140825,000000,1.0601,1.0601,1.04391,1.04919,0,0
AML_PB,D,20140826,000000,1.04391,1.06555,1.04391,1.06555,0,0
AML_PB,D,20140827,000000,1.071,1.09808,1.071,1.09808,0,0
AML_PB,D,20140828,000000,1.09808,1.11996,1.0601,1.08735,0,0
AML_PB,D,20140829,000000,1.08735,1.11452,1.07637,1.09808,0,0
AML_PB,D,20140901,000000,1.09808,1.11996,1.09808,1.10362,0,0
AML_PB,D,20140902,000000,1.11452,1.14714,1.10362,1.14714,0,0
AML_PB,D,20140903,000000,1.15795,1.18512,1.15795,1.16885,0,0
AML_PB,D,20140904,000000,1.16885,1.16885,1.14714,1.16348,0,0
AML_PB,D,20140905,000000,1.16348,1.19057,1.15795,1.18512,0,0
AML_PB,D,20140908,000000,1.17422,1.18512,1.1416,1.1416,0,0
AML_PB,D,20140909,000000,1.1416,1.1416,1.11996,1.11996,0,0
AML_PB,D,20140910,000000,1.11452,1.11452,1.09808,1.10906,0,0
AML_PB,D,20140911,000000,1.09808,1.10906,1.09808,1.10906,0,0
AML_PB,D,20140912,000000,1.10906,1.1416,1.10906,1.1416,0,0
AML_PB,D,20140915,000000,1.1416,1.1416,1.11996,1.13623,0,0
AML_PB,D,20140916,000000,1.13623,1.13623,1.11996,1.12525,0,0
AML_PB,D,20140917,000000,1.12525,1.13079,1.11996,1.13079,0,0
AML_PB,D,20140918,000000,1.13079,1.13623,1.12525,1.13079,0,0
AML_PB,D,20140919,000000,1.13079,1.1416,1.13079,1.13623,0,0
AML_PB,D,20140922,000000,1.13623,1.14714,1.13623,1.1416,0,0
AML_PB,D,20140923,000000,1.13623,1.13623,1.11996,1.12525,0,0
AML_PB,D,20140924,000000,1.12525,1.12525,1.11996,1.11996,0,0
AML_PB,D,20140925,000000,1.12525,1.13079,1.11996,1.12525,0,0
AML_PB,D,20140926,000000,1.11996,1.12525,1.11996,1.12525,0,0
AML_PB,D,20140929,000000,1.11996,1.12525,1.11996,1.12525,0,0
AML_PB,D,20140930,000000,1.11996,1.1416,1.11996,1.1416,0,0
AML_PB,D,20141001,000000,1.1416,1.17422,1.1416,1.16348,0,0
AML_PB,D,20141002,000000,1.16348,1.16885,1.14714,1.16885,0,0
AML_PB,D,20141003,000000,1.16348,1.16348,1.13623,1.14714,0,0
AML_PB,D,20141006,000000,1.1525,1.1525,1.1416,1.14714,0,0
AML_PB,D,20141007,000000,1.13623,1.14714,1.13079,1.14714,0,0
AML_PB,D,20141008,000000,1.13079,1.1416,1.12525,1.1416,0,0
AML_PB,D,20141009,000000,1.1416,1.1416,1.12525,1.13079,0,0
AML_PB,D,20141010,000000,1.12525,1.13079,1.10362,1.13079,0,0
AML_PB,D,20141013,000000,1.11996,1.13623,1.11996,1.13623,0,0
AML_PB,D,20141014,000000,1.13623,1.13623,1.13079,1.13079,0,0
AML_PB,D,20141015,000000,1.13079,1.17422,1.13079,1.14714,0,0
AML_PB,D,20141016,000000,1.14714,1.16885,1.13623,1.16348,0,0
AML_PB,D,20141017,000000,1.16348,1.17422,1.16348,1.17422,0,0
AML_PB,D,20141020,000000,1.17422,1.19057,1.17422,1.19057,0,0
AML_PB,D,20141021,000000,1.18512,1.19601,1.17967,1.19601,0,0
AML_PB,D,20141022,000000,1.20147,1.21782,1.19601,1.21782,0,0
AML_PB,D,20141023,000000,1.20692,1.22863,1.17967,1.20692,0,0
AML_PB,D,20141024,000000,1.20692,1.21237,1.20147,1.21237,0,0
AML_PB,D,20141027,000000,1.21237,1.21237,1.19601,1.21237,0,0
AML_PB,D,20141028,000000,1.21237,1.21237,1.19601,1.21237,0,0
AML_PB,D,20141029,000000,1.21237,1.21237,1.19057,1.20692,0,0
AML_PB,D,20141030,000000,1.20692,1.20692,1.14714,1.14714,0,0
AML_PB,D,20141031,000000,1.14714,1.16348,1.14714,1.16348,0,0
AML_PB,D,20141103,000000,1.16348,1.17967,1.16348,1.17422,0,0
AML_PB,D,20141104,000000,1.17967,1.18512,1.17967,1.17967,0,0
AML_PB,D,20141105,000000,1.17967,1.17967,1.16885,1.17422,0,0
AML_PB,D,20141106,000000,1.17422,1.17422,1.16885,1.16885,0,0
AML_PB,D,20141107,000000,1.16885,1.17422,1.16348,1.16348,0,0
AML_PB,D,20141110,000000,1.16885,1.16885,1.16348,1.16348,0,0
AML_PB,D,20141112,000000,1.16885,1.16885,1.15795,1.16348,0,0
AML_PB,D,20141113,000000,1.16348,1.16348,1.13623,1.14714,0,0
AML_PB,D,20141114,000000,1.14714,1.14714,1.11996,1.12525,0,0
AML_PB,D,20141117,000000,1.11996,1.12525,1.10906,1.10906,0,0
AML_PB,D,20141118,000000,1.10906,1.10906,1.08735,1.09808,0,0
AML_PB,D,20141119,000000,1.09808,1.13079,1.09808,1.12525,0,0
AML_PB,D,20141120,000000,1.13623,1.13623,1.11452,1.12525,0,0
AML_PB,D,20141121,000000,1.13079,1.1525,1.11996,1.14714,0,0
AML_PB,D,20141124,000000,1.14714,1.14714,1.13623,1.14714,0,0
AML_PB,D,20141125,000000,1.14714,1.14714,1.13623,1.14714,0,0
AML_PB,D,20141126,000000,1.1416,1.14714,1.13623,1.14714,0,0
AML_PB,D,20141127,000000,1.14714,1.14714,1.13623,1.14714,0,0
AML_PB,D,20141128,000000,1.1416,1.1416,1.13623,1.13623,0,0
AML_PB,D,20141201,000000,1.13079,1.13079,1.10362,1.10362,0,0
AML_PB,D,20141202,000000,1.10362,1.12525,1.08173,1.12525,0,0
AML_PB,D,20141203,000000,1.12525,1.12525,1.10906,1.12525,0,0
AML_PB,D,20141204,000000,1.11996,1.11996,1.11996,1.11996,0,0
AML_PB,D,20141205,000000,1.10906,1.1525,1.09808,1.14714,0,0
AML_PB,D,20141208,000000,1.14714,1.14714,1.12525,1.14714,0,0
AML_PB,D,20141210,000000,1.12525,1.1416,1.12525,1.12525,0,0
AML_PB,D,20141211,000000,1.09808,1.1416,1.09808,1.11996,0,0
AML_PB,D,20141212,000000,1.13623,1.13623,1.09808,1.13079,0,0
AML_PB,D,20141215,000000,1.09808,1.1416,1.09808,1.13623,0,0
AML_PB,D,20141216,000000,1.10906,1.1416,1.10906,1.1416,0,0
AML_PB,D,20141217,000000,1.11996,1.14714,1.11996,1.14714,0,0
AML_PB,D,20141218,000000,1.1416,1.16348,1.1416,1.16348,0,0
AML_PB,D,20141219,000000,1.1416,1.16348,1.1416,1.16348,0,0
AML_PB,D,20141222,000000,1.16348,1.16885,1.16348,1.16348,0,0
AML_PB,D,20141223,000000,1.15795,1.18512,1.1525,1.18512,0,0
AML_PB,D,20141229,000000,1.19057,1.19057,1.17422,1.19057,0,0
AML_PB,D,20141230,000000,1.18512,1.22863,1.18512,1.21782,0,0
AML_PB,D,20150102,000000,1.22863,1.22863,1.21237,1.21237,0,0
