<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APN_PE,D,20090624,000000,6.17614,6.17614,6.17614,6.17614,0,0
APN_PE,D,20090625,000000,6.17614,6.17614,5.95812,5.95812,0,0
APN_PE,D,20090626,000000,6.10359,6.10359,5.95812,5.95812,0,0
APN_PE,D,20090629,000000,6.03095,6.03095,6.03095,6.03095,0,0
APN_PE,D,20090630,000000,5.95812,6.03095,5.95812,6.03095,0,0
APN_PE,D,20090701,000000,5.95812,6.10359,5.81285,5.95812,0,0
APN_PE,D,20090702,000000,6.03095,6.03095,5.88548,5.88548,0,0
APN_PE,D,20090703,000000,5.95812,5.95812,5.88548,5.95812,0,0
APN_PE,D,20090706,000000,5.95812,5.95812,5.95812,5.95812,0,0
APN_PE,D,20090707,000000,5.88548,5.95812,5.88548,5.95812,0,0
APN_PE,D,20090709,000000,5.81285,5.95812,5.74021,5.81285,0,0
APN_PE,D,20090710,000000,5.81285,6.03095,5.81285,5.95812,0,0
APN_PE,D,20090713,000000,5.95812,5.95812,5.95812,5.95812,0,0
APN_PE,D,20090715,000000,5.95812,5.95812,5.66756,5.88548,0,0
APN_PE,D,20090716,000000,5.95812,5.95812,5.81285,5.95812,0,0
APN_PE,D,20090717,000000,5.88548,6.03095,5.88548,5.95812,0,0
APN_PE,D,20090720,000000,5.81285,5.81285,5.81285,5.81285,0,0
APN_PE,D,20090721,000000,5.88548,5.95812,5.88548,5.88548,0,0
APN_PE,D,20090722,000000,5.88548,6.10359,5.88548,6.10359,0,0
APN_PE,D,20090723,000000,6.03095,6.10359,6.03095,6.03095,0,0
APN_PE,D,20090724,000000,6.10359,6.17614,6.03095,6.03095,0,0
APN_PE,D,20090727,000000,6.10359,6.10359,5.95812,5.95812,0,0
APN_PE,D,20090728,000000,5.95812,6.03095,5.95812,6.03095,0,0
APN_PE,D,20090729,000000,5.95812,6.03095,5.95812,5.95812,0,0
APN_PE,D,20090730,000000,6.03095,6.10359,5.95812,5.95812,0,0
APN_PE,D,20090731,000000,6.03095,6.03095,5.95812,5.95812,0,0
APN_PE,D,20090803,000000,5.95812,6.03095,5.95812,6.03095,0,0
APN_PE,D,20090804,000000,6.03095,6.03095,5.95812,6.03095,0,0
APN_PE,D,20090805,000000,6.03095,6.10359,6.03095,6.03095,0,0
APN_PE,D,20090806,000000,6.03095,6.03095,5.88548,5.95812,0,0
APN_PE,D,20090807,000000,6.03095,6.03095,5.74021,6.03095,0,0
APN_PE,D,20090810,000000,6.03095,6.03095,5.81285,5.81285,0,0
APN_PE,D,20090811,000000,5.81285,5.81285,5.81285,5.81285,0,0
APN_PE,D,20090812,000000,5.74021,6.32151,5.74021,6.32151,0,0
APN_PE,D,20090813,000000,6.39396,6.53952,6.39396,6.46669,0,0
APN_PE,D,20090814,000000,6.46669,6.61207,6.39396,6.53952,0,0
APN_PE,D,20090817,000000,6.39396,6.53952,6.10359,6.53952,0,0
APN_PE,D,20090818,000000,6.53952,6.83017,6.53952,6.83017,0,0
APN_PE,D,20090819,000000,6.83017,7.19365,6.83017,7.19365,0,0
APN_PE,D,20090820,000000,6.97527,7.70139,6.97527,7.70139,0,0
APN_PE,D,20090821,000000,7.41148,7.92069,7.41148,7.92069,0,0
APN_PE,D,20090824,000000,7.99315,8.71899,7.99315,8.57334,0,0
APN_PE,D,20090825,000000,8.50089,8.64663,8.13723,8.50089,0,0
APN_PE,D,20090826,000000,8.42861,8.42861,7.77467,8.35552,0,0
APN_PE,D,20090827,000000,8.35552,8.42861,8.06551,8.35552,0,0
APN_PE,D,20090828,000000,8.35552,8.64663,8.35552,8.50089,0,0
APN_PE,D,20090831,000000,7.92069,8.06551,7.62884,7.99315,0,0
APN_PE,D,20090901,000000,7.62884,7.99315,7.41148,7.92069,0,0
APN_PE,D,20090902,000000,7.41148,9.7363,7.19365,9.7363,0,0
APN_PE,D,20090903,000000,9.66445,10.0995,8.93802,9.01084,0,0
APN_PE,D,20090904,000000,9.01084,9.95571,9.01084,9.88194,0,0
APN_PE,D,20090907,000000,9.95571,10.0276,9.44502,10.0276,0,0
APN_PE,D,20090908,000000,9.88194,9.88194,9.22748,9.59067,0,0
APN_PE,D,20090909,000000,9.30029,9.66445,9.08275,9.66445,0,0
APN_PE,D,20090910,000000,9.37312,9.37312,9.01084,9.37312,0,0
APN_PE,D,20090914,000000,9.59067,9.66445,9.59067,9.66445,0,0
APN_PE,D,20090915,000000,9.01084,9.7363,9.01084,9.7363,0,0
APN_PE,D,20090916,000000,9.22748,9.66445,9.08275,9.44502,0,0
APN_PE,D,20090917,000000,9.44502,9.44502,9.44502,9.44502,0,0
APN_PE,D,20090918,000000,9.08275,9.08275,9.08275,9.08275,0,0
APN_PE,D,20090921,000000,9.08275,9.08275,9.08275,9.08275,0,0
APN_PE,D,20090922,000000,9.01084,9.30029,8.71899,8.79329,0,0
APN_PE,D,20090923,000000,8.86519,9.08275,8.79329,9.08275,0,0
APN_PE,D,20090924,000000,9.08275,9.08275,8.71899,9.08275,0,0
APN_PE,D,20090928,000000,8.79329,8.79329,8.79329,8.79329,0,0
APN_PE,D,20090929,000000,8.79329,8.79329,8.79329,8.79329,0,0
APN_PE,D,20090930,000000,8.79329,8.79329,8.42861,8.71899,0,0
APN_PE,D,20091001,000000,8.13723,8.64663,8.13723,8.64663,0,0
APN_PE,D,20091002,000000,8.20996,8.20996,8.20996,8.20996,0,0
APN_PE,D,20091005,000000,8.13723,8.20996,8.13723,8.13723,0,0
APN_PE,D,20091006,000000,8.20996,8.50089,8.13723,8.50089,0,0
APN_PE,D,20091007,000000,8.13723,8.50089,8.13723,8.50089,0,0
APN_PE,D,20091008,000000,8.20996,8.20996,8.13723,8.13723,0,0
APN_PE,D,20091009,000000,8.13723,8.13723,8.13723,8.13723,0,0
APN_PE,D,20091012,000000,8.13723,8.13723,8.13723,8.13723,0,0
APN_PE,D,20091013,000000,8.13723,8.13723,8.13723,8.13723,0,0
APN_PE,D,20091014,000000,8.13723,8.13723,8.13723,8.13723,0,0
APN_PE,D,20091015,000000,8.13723,8.13723,7.55629,8.13723,0,0
APN_PE,D,20091016,000000,8.13723,8.50089,8.13723,8.35552,0,0
APN_PE,D,20091019,000000,8.35552,8.50089,8.35552,8.50089,0,0
APN_PE,D,20091020,000000,8.35552,8.50089,8.35552,8.50089,0,0
APN_PE,D,20091021,000000,8.35552,8.35552,8.20996,8.20996,0,0
APN_PE,D,20091022,000000,8.20996,8.28241,8.20996,8.28241,0,0
APN_PE,D,20091023,000000,8.28241,8.28241,8.28241,8.28241,0,0
APN_PE,D,20091026,000000,8.20996,8.20996,8.20996,8.20996,0,0
APN_PE,D,20091027,000000,8.13723,8.20996,8.13723,8.20996,0,0
APN_PE,D,20091029,000000,8.20996,8.28241,8.20996,8.28241,0,0
APN_PE,D,20091030,000000,8.20996,8.28241,8.20996,8.28241,0,0
APN_PE,D,20091103,000000,8.35552,8.42861,8.13723,8.28241,0,0
APN_PE,D,20091105,000000,8.06551,8.28241,8.06551,8.28241,0,0
APN_PE,D,20091106,000000,8.13723,8.13723,8.13723,8.13723,0,0
APN_PE,D,20091109,000000,8.28241,8.28241,8.13723,8.13723,0,0
APN_PE,D,20091110,000000,8.13723,8.13723,8.06551,8.06551,0,0
APN_PE,D,20091112,000000,8.20996,8.57334,8.20996,8.50089,0,0
APN_PE,D,20091113,000000,8.35552,8.64663,8.35552,8.57334,0,0
APN_PE,D,20091116,000000,8.57334,8.64663,8.57334,8.64663,0,0
APN_PE,D,20091117,000000,8.71899,9.44502,8.57334,8.79329,0,0
APN_PE,D,20091118,000000,9.08275,9.08275,7.77467,7.77467,0,0
APN_PE,D,20091119,000000,7.84732,7.84732,7.70139,7.70139,0,0
APN_PE,D,20091120,000000,7.70139,7.92069,7.62884,7.92069,0,0
APN_PE,D,20091124,000000,7.92069,7.92069,7.92069,7.92069,0,0
