<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT_MV,D,20070813,000000,426.044,426.044,426.044,426.044,0,0
APT_MV,D,20070814,000000,416.356,416.356,416.356,416.356,0,0
APT_MV,D,20070816,000000,401.534,401.534,401.534,401.534,0,0
APT_MV,D,20070817,000000,432.428,432.428,432.428,432.428,0,0
APT_MV,D,20070820,000000,414.109,414.109,414.109,414.109,0,0
APT_MV,D,20070821,000000,424.194,424.194,424.194,424.194,0,0
APT_MV,D,20070822,000000,440.469,440.469,440.469,440.469,0,0
APT_MV,D,20070823,000000,443.764,443.764,443.764,443.764,0,0
APT_MV,D,20070824,000000,454.875,454.875,454.875,454.875,0,0
APT_MV,D,20070827,000000,455.098,455.098,455.098,455.098,0,0
APT_MV,D,20070828,000000,453.025,453.025,453.025,453.025,0,0
APT_MV,D,20070829,000000,453.025,453.025,453.025,453.025,0,0
APT_MV,D,20070830,000000,453.025,453.025,453.025,453.025,0,0
APT_MV,D,20070831,000000,459.205,459.205,459.205,459.205,0,0
APT_MV,D,20070903,000000,477.729,477.729,477.729,477.729,0,0
APT_MV,D,20070904,000000,494.218,494.218,494.218,494.218,0,0
APT_MV,D,20070905,000000,494.218,494.218,494.218,494.218,0,0
APT_MV,D,20070906,000000,496.252,496.252,496.252,496.252,0,0
APT_MV,D,20070907,000000,474.018,474.018,474.018,474.018,0,0
APT_MV,D,20070910,000000,477.729,477.729,477.729,477.729,0,0
APT_MV,D,20070911,000000,494.218,494.218,494.218,494.218,0,0
APT_MV,D,20070912,000000,494.218,494.218,494.218,494.218,0,0
APT_MV,D,20070913,000000,508.827,508.827,508.827,508.827,0,0
APT_MV,D,20070914,000000,506.347,506.347,506.347,506.347,0,0
APT_MV,D,20070917,000000,505.534,505.534,505.534,505.534,0,0
APT_MV,D,20070918,000000,503.46,503.46,503.46,503.46,0,0
APT_MV,D,20070919,000000,504.517,504.517,504.517,504.517,0,0
APT_MV,D,20070920,000000,504.517,504.517,504.517,504.517,0,0
APT_MV,D,20070921,000000,505.534,505.534,505.534,505.534,0,0
APT_MV,D,20070924,000000,504.08,504.08,504.08,504.08,0,0
APT_MV,D,20070925,000000,499.168,499.168,499.168,499.168,0,0
APT_MV,D,20070926,000000,506.57,506.57,506.57,506.57,0,0
APT_MV,D,20070927,000000,505.534,505.534,505.534,505.534,0,0
APT_MV,D,20070928,000000,497.715,497.715,497.715,497.715,0,0
APT_MV,D,20071001,000000,498.335,498.335,498.335,498.335,0,0
APT_MV,D,20071002,000000,500.185,500.185,500.185,500.185,0,0
APT_MV,D,20071003,000000,502.433,502.433,502.433,502.433,0,0
APT_MV,D,20071004,000000,497.521,497.521,497.521,497.521,0,0
APT_MV,D,20071005,000000,504.312,504.312,504.312,504.312,0,0
APT_MV,D,20071008,000000,494.615,494.615,494.615,494.615,0,0
APT_MV,D,20071009,000000,510.697,510.697,510.697,510.697,0,0
APT_MV,D,20071010,000000,512.751,512.751,512.751,512.751,0,0
APT_MV,D,20071011,000000,525.083,525.083,525.083,525.083,0,0
APT_MV,D,20071012,000000,535.178,535.178,535.178,535.178,0,0
APT_MV,D,20071015,000000,557.848,557.848,557.848,557.848,0,0
APT_MV,D,20071016,000000,547.143,547.143,547.143,547.143,0,0
APT_MV,D,20071017,000000,555.794,555.794,555.794,555.794,0,0
APT_MV,D,20071018,000000,537.029,537.029,537.029,537.029,0,0
APT_MV,D,20071019,000000,543.616,543.616,543.616,543.616,0,0
APT_MV,D,20071022,000000,545.708,545.708,545.708,545.708,0,0
APT_MV,D,20071023,000000,545.708,545.708,545.708,545.708,0,0
APT_MV,D,20071024,000000,545.708,545.708,545.708,545.708,0,0
APT_MV,D,20071025,000000,535.381,535.381,535.381,535.381,0,0
APT_MV,D,20071026,000000,534.771,534.771,534.771,534.771,0,0
APT_MV,D,20071029,000000,525.316,525.316,525.316,525.316,0,0
APT_MV,D,20071030,000000,525.083,525.083,525.083,525.083,0,0
APT_MV,D,20071031,000000,528.193,528.193,528.193,528.193,0,0
APT_MV,D,20071102,000000,520.976,520.976,520.976,520.976,0,0
APT_MV,D,20071105,000000,506.57,506.57,506.57,506.57,0,0
APT_MV,D,20071106,000000,516.868,516.868,516.868,516.868,0,0
APT_MV,D,20071107,000000,492.144,492.144,492.144,492.144,0,0
APT_MV,D,20071108,000000,502.433,502.433,502.433,502.433,0,0
APT_MV,D,20071109,000000,454.032,523.04,454.032,518.913,0,0
APT_MV,D,20071112,000000,517.895,518.913,484.927,510.494,0,0
APT_MV,D,20071113,000000,517.895,517.895,484.336,510.494,0,0
APT_MV,D,20071114,000000,510.494,512.751,490.101,502.24,0,0
APT_MV,D,20071115,000000,492.144,502.24,453.025,461.279,0,0
APT_MV,D,20071116,000000,445.817,461.279,433.465,461.279,0,0
APT_MV,D,20071119,000000,461.279,473.631,456.725,472.788,0,0
APT_MV,D,20071120,000000,444.791,473.195,444.791,473.195,0,0
APT_MV,D,20071121,000000,453.025,473.195,446.834,461.037,0,0
APT_MV,D,20071122,000000,432.428,471.558,422.343,471.558,0,0
APT_MV,D,20071123,000000,471.558,471.558,448.918,448.918,0,0
APT_MV,D,20071126,000000,448.918,473.631,448.918,463.12,0,0
APT_MV,D,20071127,000000,463.12,473.195,453.025,462.897,0,0
APT_MV,D,20071128,000000,462.897,476.673,453.025,476.673,0,0
APT_MV,D,20071129,000000,476.673,476.673,454.458,470.328,0,0
APT_MV,D,20071130,000000,472.585,478.775,463.952,478.775,0,0
APT_MV,D,20071203,000000,473.631,473.631,463.952,469.475,0,0
APT_MV,D,20071204,000000,477.816,477.816,457.036,477.603,0,0
APT_MV,D,20071205,000000,467.431,477.816,457.036,477.816,0,0
APT_MV,D,20071206,000000,477.603,477.816,465.764,477.816,0,0
APT_MV,D,20071207,000000,477.816,494.441,477.816,488.405,0,0
APT_MV,D,20071210,000000,478.223,498.578,478.223,498.578,0,0
APT_MV,D,20071211,000000,502.733,507.926,498.384,507.926,0,0
APT_MV,D,20071212,000000,507.529,507.529,489.432,503.789,0,0
APT_MV,D,20071213,000000,506.493,506.493,485.092,485.092,0,0
APT_MV,D,20071214,000000,493.375,498.578,488.618,493.375,0,0
APT_MV,D,20071217,000000,497.541,497.541,488.192,488.192,0,0
APT_MV,D,20071218,000000,467.828,490.256,467.828,490.256,0,0
APT_MV,D,20071219,000000,488.192,488.192,471.8,488.192,0,0
APT_MV,D,20071220,000000,475.724,488.192,467.431,488.192,0,0
APT_MV,D,20071221,000000,478,488.192,477.816,488.192,0,0
APT_MV,D,20071227,000000,478.843,493.375,478.223,493.375,0,0
APT_MV,D,20071228,000000,488.192,498.578,488.192,498.578,0,0
APT_MV,D,20080102,000000,498.578,498.578,498.384,498.384,0,0
APT_MV,D,20080103,000000,498.578,498.578,480.296,484.026,0,0
APT_MV,D,20080104,000000,484.026,484.026,467.431,467.431,0,0
APT_MV,D,20080107,000000,467.431,467.431,467.431,467.431,0,0
APT_MV,D,20080108,000000,467.431,467.431,458.276,458.276,0,0
APT_MV,D,20080109,000000,457.036,467.828,445.188,445.188,0,0
APT_MV,D,20080110,000000,465.135,465.135,425.869,425.869,0,0
APT_MV,D,20080111,000000,430.016,450.593,424.833,450.38,0,0
APT_MV,D,20080114,000000,424.416,424.416,424.416,424.416,0,0
APT_MV,D,20080115,000000,416.104,417.567,409.671,415.484,0,0
APT_MV,D,20080116,000000,385.151,405.109,385.151,394.714,0,0
APT_MV,D,20080117,000000,411.338,413.411,385.151,402.803,0,0
APT_MV,D,20080118,000000,402.619,402.619,394.714,402.619,0,0
APT_MV,D,20080121,000000,394.714,394.714,380.172,380.172,0,0
APT_MV,D,20080122,000000,372.461,415.484,365.631,411.124,0,0
APT_MV,D,20080123,000000,415.484,415.484,395.528,411.338,0,0
APT_MV,D,20080124,000000,413.411,421.723,412.374,421.723,0,0
APT_MV,D,20080125,000000,430.016,430.016,377.896,377.896,0,0
APT_MV,D,20080128,000000,400.933,400.933,398.879,398.879,0,0
APT_MV,D,20080129,000000,423.787,423.787,405.109,415.484,0,0
APT_MV,D,20080130,000000,409.256,415.484,407.163,415.484,0,0
APT_MV,D,20080131,000000,400.933,411.338,399.489,411.338,0,0
APT_MV,D,20080201,000000,419.428,436.265,411.338,436.265,0,0
APT_MV,D,20080204,000000,446.651,446.651,407.163,407.163,0,0
APT_MV,D,20080205,000000,415.484,415.484,405.303,405.303,0,0
APT_MV,D,20080206,000000,407.163,409.256,403.229,409.256,0,0
APT_MV,D,20080207,000000,409.256,409.256,405.109,405.109,0,0
APT_MV,D,20080208,000000,405.109,405.109,403.036,403.036,0,0
APT_MV,D,20080211,000000,403.036,411.338,403.036,411.338,0,0
APT_MV,D,20080212,000000,411.338,415.484,407.579,407.579,0,0
APT_MV,D,20080213,000000,426.896,426.896,411.338,411.338,0,0
APT_MV,D,20080214,000000,419.631,419.631,419.428,419.428,0,0
APT_MV,D,20080215,000000,419.224,419.224,400.933,410.496,0,0
APT_MV,D,20080218,000000,405.109,411.541,400.933,411.541,0,0
APT_MV,D,20080219,000000,397.833,404.082,396.806,397.213,0,0
APT_MV,D,20080220,000000,392.65,392.65,380.172,382.246,0,0
APT_MV,D,20080221,000000,406.126,406.126,382.246,400.739,0,0
APT_MV,D,20080222,000000,394.287,394.287,383.718,384.328,0,0
APT_MV,D,20080225,000000,386.391,404.082,380.376,392.65,0,0
APT_MV,D,20080226,000000,394.714,394.714,386.614,392.65,0,0
APT_MV,D,20080227,000000,392.65,392.65,384.328,386.391,0,0
APT_MV,D,20080228,000000,365.631,381.199,354.209,354.402,0,0
APT_MV,D,20080229,000000,357.096,358.771,342.796,358.771,0,0
APT_MV,D,20080303,000000,358.151,358.151,332.401,350.052,0,0
APT_MV,D,20080304,000000,349.626,361.281,346.933,361.281,0,0
APT_MV,D,20080305,000000,353.153,362.501,353.153,362.501,0,0
APT_MV,D,20080306,000000,362.724,362.918,355.254,361.494,0,0
APT_MV,D,20080307,000000,353.366,359.799,351.089,359.799,0,0
APT_MV,D,20080310,000000,345.082,359.799,343.814,359.799,0,0
APT_MV,D,20080311,000000,360.224,363.151,345.082,363.151,0,0
APT_MV,D,20080312,000000,362.501,363.151,362.288,362.918,0,0
APT_MV,D,20080313,000000,353.153,362.918,351.273,351.273,0,0
APT_MV,D,20080314,000000,342.981,357.299,342.981,357.299,0,0
APT_MV,D,20080317,000000,356.902,356.902,340.694,353.153,0,0
APT_MV,D,20080318,000000,353.153,353.153,352.329,352.329,0,0
APT_MV,D,20080319,000000,353.153,357.299,345.082,356.699,0,0
APT_MV,D,20080320,000000,356.088,361.494,353.153,361.494,0,0
APT_MV,D,20080325,000000,353.589,358.994,352.116,358.994,0,0
APT_MV,D,20080326,000000,358.994,358.994,357.096,357.096,0,0
APT_MV,D,20080327,000000,353.153,357.096,349.006,357.096,0,0
APT_MV,D,20080328,000000,357.299,361.494,349.209,361.494,0,0
APT_MV,D,20080331,000000,360.224,360.224,360.224,360.224,0,0
APT_MV,D,20080401,000000,353.153,353.153,351.515,353.153,0,0
APT_MV,D,20080402,000000,355.254,355.254,343.397,353.153,0,0
APT_MV,D,20080403,000000,345.257,355.254,345.257,353.153,0,0
APT_MV,D,20080404,000000,347.117,347.117,347.117,347.117,0,0
APT_MV,D,20080407,000000,343.194,345.257,343.194,344.026,0,0
APT_MV,D,20080408,000000,344.841,345.877,343.397,345.877,0,0
APT_MV,D,20080409,000000,342.796,344.841,342.796,344.841,0,0
APT_MV,D,20080411,000000,345.877,346.729,327.169,342.796,0,0
APT_MV,D,20080414,000000,332.401,342.796,332.401,342.796,0,0
APT_MV,D,20080415,000000,339.657,339.657,339.657,339.657,0,0
APT_MV,D,20080416,000000,324.089,340.277,324.089,340.277,0,0
APT_MV,D,20080417,000000,332.401,332.401,332.401,332.401,0,0
APT_MV,D,20080418,000000,330.309,330.309,322.006,326.162,0,0
APT_MV,D,20080421,000000,322.006,322.006,301.226,316.387,0,0
APT_MV,D,20080422,000000,302.282,310.991,301.826,310.361,0,0
APT_MV,D,20080423,000000,290.84,307.029,290.84,293.959,0,0
APT_MV,D,20080424,000000,294.996,303.318,292.932,300.189,0,0
APT_MV,D,20080425,000000,293.959,299.792,293.959,297.486,0,0
APT_MV,D,20080428,000000,301.226,311.611,297.486,310.361,0,0
APT_MV,D,20080429,000000,311.194,311.194,298.319,299.133,0,0
APT_MV,D,20080430,000000,299.133,308.074,299.133,307.242,0,0
APT_MV,D,20080505,000000,307.029,322.006,307.029,307.668,0,0
APT_MV,D,20080506,000000,308.288,308.288,307.029,307.871,0,0
APT_MV,D,20080507,000000,309.537,312.88,301.226,307.454,0,0
APT_MV,D,20080508,000000,305.382,313.064,305.382,313.064,0,0
APT_MV,D,20080509,000000,307.454,308.288,305.382,308.288,0,0
APT_MV,D,20080512,000000,308.288,308.288,305.382,308.288,0,0
APT_MV,D,20080513,000000,308.501,308.501,305.382,305.382,0,0
APT_MV,D,20080514,000000,305.382,305.382,299.365,303.318,0,0
APT_MV,D,20080515,000000,297.273,306.844,287.73,288.157,0,0
APT_MV,D,20080516,000000,291.054,319.914,291.054,299.133,0,0
APT_MV,D,20080519,000000,296.653,299.133,296.653,299.133,0,0
APT_MV,D,20080520,000000,301.226,303.318,299.133,299.365,0,0
APT_MV,D,20080521,000000,301.226,301.226,299.133,301.226,0,0
APT_MV,D,20080523,000000,301.226,301.226,300.189,301.226,0,0
APT_MV,D,20080526,000000,303.318,305.382,301.226,305.382,0,0
APT_MV,D,20080527,000000,303.318,305.382,298.319,305.382,0,0
APT_MV,D,20080528,000000,305.382,315.748,305.382,313.471,0,0
APT_MV,D,20080529,000000,317.434,319.914,312.638,318.683,0,0
APT_MV,D,20080530,000000,318.683,318.683,313.694,315.564,0,0
APT_MV,D,20080602,000000,313.694,313.694,313.694,313.694,0,0
APT_MV,D,20080603,000000,301.429,363.557,301.429,363.557,0,0
APT_MV,D,20080604,000000,344.434,344.434,318.054,318.683,0,0
APT_MV,D,20080605,000000,330.309,330.309,304.549,311.611,0,0
APT_MV,D,20080606,000000,311.611,311.611,311.611,311.611,0,0
APT_MV,D,20080609,000000,307.242,311.611,296.256,296.256,0,0
APT_MV,D,20080610,000000,311.611,311.611,292.099,303.938,0,0
APT_MV,D,20080611,000000,295.412,298.939,295.412,298.939,0,0
APT_MV,D,20080612,000000,294.996,301.226,282.509,301.226,0,0
APT_MV,D,20080613,000000,287.091,298.939,286.878,286.878,0,0
APT_MV,D,20080616,000000,287.73,290.84,286.684,286.878,0,0
APT_MV,D,20080617,000000,286.684,301.012,286.684,301.012,0,0
APT_MV,D,20080618,000000,308.501,308.501,308.501,308.501,0,0
APT_MV,D,20080619,000000,301.226,301.226,294.996,294.996,0,0
APT_MV,D,20080623,000000,299.792,299.792,294.996,294.996,0,0
APT_MV,D,20080624,000000,294.774,294.774,286.684,294.774,0,0
APT_MV,D,20080625,000000,307.454,307.454,286.684,300.189,0,0
APT_MV,D,20080626,000000,286.878,286.878,286.684,286.684,0,0
APT_MV,D,20080627,000000,278.585,299.559,278.585,299.559,0,0
APT_MV,D,20080630,000000,298.939,298.939,283.351,291.674,0,0
APT_MV,D,20080702,000000,288.767,290.414,284.601,290.414,0,0
APT_MV,D,20080703,000000,271.319,280.445,271.319,280.445,0,0
APT_MV,D,20080704,000000,272.985,279.816,272.985,279.816,0,0
