<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT_PB,D,20070813,000000,2.9982,2.9982,2.9982,2.9982,0,0
APT_PB,D,20070814,000000,2.93708,2.93708,2.93708,2.93708,0,0
APT_PB,D,20070816,000000,2.82741,2.82741,2.82741,2.82741,0,0
APT_PB,D,20070817,000000,3.04684,3.04684,3.04684,3.04684,0,0
APT_PB,D,20070820,000000,2.91906,2.91906,2.91906,2.91906,0,0
APT_PB,D,20070821,000000,2.9859,2.9859,2.9859,2.9859,0,0
APT_PB,D,20070822,000000,3.10177,3.10177,3.10177,3.10177,0,0
APT_PB,D,20070823,000000,3.12609,3.12609,3.12609,3.12609,0,0
APT_PB,D,20070824,000000,3.20524,3.20524,3.20524,3.20524,0,0
APT_PB,D,20070827,000000,3.20524,3.20524,3.20524,3.20524,0,0
APT_PB,D,20070828,000000,3.19312,3.19312,3.19312,3.19312,0,0
APT_PB,D,20070829,000000,3.19312,3.19312,3.19312,3.19312,0,0
APT_PB,D,20070830,000000,3.19923,3.19923,3.19923,3.19923,0,0
APT_PB,D,20070831,000000,3.24195,3.24195,3.24195,3.24195,0,0
APT_PB,D,20070903,000000,3.36994,3.36994,3.36994,3.36994,0,0
APT_PB,D,20070904,000000,3.49161,3.49161,3.49161,3.49161,0,0
APT_PB,D,20070905,000000,3.49161,3.49161,3.49161,3.49161,0,0
APT_PB,D,20070906,000000,3.50382,3.50382,3.50382,3.50382,0,0
APT_PB,D,20070907,000000,3.35142,3.35142,3.35142,3.35142,0,0
APT_PB,D,20070910,000000,3.36994,3.36994,3.36994,3.36994,0,0
APT_PB,D,20070911,000000,3.49161,3.49161,3.49161,3.49161,0,0
APT_PB,D,20070912,000000,3.49161,3.49161,3.49161,3.49161,0,0
APT_PB,D,20070913,000000,3.59556,3.59556,3.59556,3.59556,0,0
APT_PB,D,20070914,000000,3.57706,3.57706,3.57706,3.57706,0,0
APT_PB,D,20070917,000000,3.57096,3.57096,3.57096,3.57096,0,0
APT_PB,D,20070918,000000,3.55264,3.55264,3.55264,3.55264,0,0
APT_PB,D,20070919,000000,3.56466,3.56466,3.56466,3.56466,0,0
APT_PB,D,20070920,000000,3.56466,3.56466,3.56466,3.56466,0,0
APT_PB,D,20070921,000000,3.57096,3.57096,3.57096,3.57096,0,0
APT_PB,D,20070924,000000,3.55894,3.55894,3.55894,3.55894,0,0
APT_PB,D,20070925,000000,3.52232,3.52232,3.52232,3.52232,0,0
APT_PB,D,20070926,000000,3.57706,3.57706,3.57706,3.57706,0,0
APT_PB,D,20070927,000000,3.57096,3.57096,3.57096,3.57096,0,0
APT_PB,D,20070928,000000,3.51002,3.51002,3.51002,3.51002,0,0
APT_PB,D,20071001,000000,3.51612,3.51612,3.51612,3.51612,0,0
APT_PB,D,20071002,000000,3.52842,3.52842,3.52842,3.52842,0,0
APT_PB,D,20071003,000000,3.54674,3.54674,3.54674,3.54674,0,0
APT_PB,D,20071004,000000,3.51002,3.51002,3.51002,3.51002,0,0
APT_PB,D,20071005,000000,3.55894,3.55894,3.55894,3.55894,0,0
APT_PB,D,20071008,000000,3.49781,3.49781,3.49781,3.49781,0,0
APT_PB,D,20071009,000000,3.60758,3.60758,3.60758,3.60758,0,0
APT_PB,D,20071010,000000,3.62589,3.62589,3.62589,3.62589,0,0
APT_PB,D,20071011,000000,3.71123,3.71123,3.71123,3.71123,0,0
APT_PB,D,20071012,000000,3.77828,3.77828,3.77828,3.77828,0,0
APT_PB,D,20071015,000000,3.93648,3.93648,3.93648,3.93648,0,0
APT_PB,D,20071016,000000,3.86333,3.86333,3.86333,3.86333,0,0
APT_PB,D,20071017,000000,3.92427,3.92427,3.92427,3.92427,0,0
APT_PB,D,20071018,000000,3.79029,3.79029,3.79029,3.79029,0,0
APT_PB,D,20071019,000000,3.83911,3.83911,3.83911,3.83911,0,0
APT_PB,D,20071022,000000,3.85142,3.85142,3.85142,3.85142,0,0
APT_PB,D,20071023,000000,3.85142,3.85142,3.85142,3.85142,0,0
APT_PB,D,20071024,000000,3.85142,3.85142,3.85142,3.85142,0,0
APT_PB,D,20071025,000000,3.77828,3.77828,3.77828,3.77828,0,0
APT_PB,D,20071026,000000,3.77218,3.77218,3.77218,3.77218,0,0
APT_PB,D,20071029,000000,3.71123,3.71123,3.71123,3.71123,0,0
APT_PB,D,20071030,000000,3.71123,3.71123,3.71123,3.71123,0,0
APT_PB,D,20071031,000000,3.72955,3.72955,3.72955,3.72955,0,0
APT_PB,D,20071102,000000,3.68081,3.68081,3.68081,3.68081,0,0
APT_PB,D,20071105,000000,3.57706,3.57706,3.57706,3.57706,0,0
APT_PB,D,20071106,000000,3.6502,3.6502,3.6502,3.6502,0,0
APT_PB,D,20071107,000000,3.47969,3.47969,3.47969,3.47969,0,0
APT_PB,D,20071108,000000,3.54674,3.54674,3.54674,3.54674,0,0
APT_PB,D,20071109,000000,3.21124,3.69283,3.21124,3.66221,0,0
APT_PB,D,20071112,000000,3.65631,3.66221,3.42467,3.60758,0,0
APT_PB,D,20071113,000000,3.65631,3.65631,3.41866,3.60758,0,0
APT_PB,D,20071114,000000,3.60758,3.62589,3.46119,3.54674,0,0
APT_PB,D,20071115,000000,3.47969,3.54674,3.03463,3.03463,0,0
