<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH_MV,D,20160509,000000,168.428,168.428,168.428,168.428,0,0
ARH_MV,D,20160510,000000,168.428,169.211,168.428,169.211,0,0
ARH_MV,D,20160511,000000,168.643,174.037,168.643,174.037,0,0
ARH_MV,D,20160512,000000,174.484,174.484,171.8,173.253,0,0
ARH_MV,D,20160513,000000,172.918,172.918,172.918,172.918,0,0
ARH_MV,D,20160516,000000,173.598,173.933,173.142,173.933,0,0
ARH_MV,D,20160517,000000,174.037,174.037,173.486,173.486,0,0
ARH_MV,D,20160518,000000,172.918,172.918,172.918,172.918,0,0
ARH_MV,D,20160519,000000,171.8,174.037,171.8,174.037,0,0
ARH_MV,D,20160520,000000,175.059,175.163,175.059,175.163,0,0
ARH_MV,D,20160523,000000,172.918,172.918,171.8,171.8,0,0
ARH_MV,D,20160524,000000,174.037,175.163,174.037,174.147,0,0
ARH_MV,D,20160525,000000,175.163,175.163,175.163,175.163,0,0
ARH_MV,D,20160530,000000,174.037,174.037,171.904,174.037,0,0
ARH_MV,D,20160531,000000,173.486,174.037,171.8,174.037,0,0
ARH_MV,D,20160601,000000,171.904,171.904,168.876,168.876,0,0
ARH_MV,D,20160602,000000,168.54,175.163,168.428,175.163,0,0
ARH_MV,D,20160603,000000,175.163,175.163,175.163,175.163,0,0
ARH_MV,D,20160606,000000,175.163,175.163,170.682,170.682,0,0
ARH_MV,D,20160607,000000,170.441,174.94,170.441,174.94,0,0
ARH_MV,D,20160608,000000,170.114,171.8,170.114,171.8,0,0
ARH_MV,D,20160609,000000,171.8,171.8,171.8,171.8,0,0
ARH_MV,D,20160610,000000,170.682,170.682,170.682,170.682,0,0
ARH_MV,D,20160614,000000,170.785,170.785,168.54,168.54,0,0
ARH_MV,D,20160615,000000,168.54,168.54,168.428,168.428,0,0
ARH_MV,D,20160616,000000,167.31,167.31,165.056,165.056,0,0
ARH_MV,D,20160620,000000,165.056,165.056,165.056,165.056,0,0
ARH_MV,D,20160621,000000,160.679,160.679,160.679,160.679,0,0
ARH_MV,D,20160622,000000,164.833,167.069,164.833,167.069,0,0
ARH_MV,D,20160624,000000,160.679,162.7,151.588,162.141,0,0
ARH_MV,D,20160627,000000,167.896,167.896,166.708,167.896,0,0
ARH_MV,D,20160628,000000,167.896,167.896,167.896,167.896,0,0
ARH_MV,D,20160629,000000,166.708,173.778,166.708,173.778,0,0
ARH_MV,D,20160630,000000,170.295,170.295,170.295,170.295,0,0
ARH_MV,D,20160701,000000,169.082,169.211,169.082,169.211,0,0
ARH_MV,D,20160704,000000,170.295,170.295,165.505,165.505,0,0
ARH_MV,D,20160705,000000,166.708,166.708,160.094,160.094,0,0
ARH_MV,D,20160706,000000,159.491,159.491,159.491,159.491,0,0
ARH_MV,D,20160707,000000,159.491,160.696,159.491,160.696,0,0
ARH_MV,D,20160712,000000,161.779,161.891,161.779,161.891,0,0
ARH_MV,D,20160713,000000,160.696,160.696,160.696,160.696,0,0
ARH_MV,D,20160714,000000,158.408,158.408,158.408,158.408,0,0
ARH_MV,D,20160715,000000,162.503,162.503,162.503,162.503,0,0
ARH_MV,D,20160718,000000,162.503,162.503,159.733,159.733,0,0
ARH_MV,D,20160719,000000,159.491,159.491,159.01,159.01,0,0
ARH_MV,D,20160720,000000,159.38,162.984,159.38,162.984,0,0
ARH_MV,D,20160721,000000,162.984,162.984,158.408,158.778,0,0
ARH_MV,D,20160722,000000,165.133,165.505,165.133,165.505,0,0
ARH_MV,D,20160725,000000,167.896,173.89,162.021,173.89,0,0
ARH_MV,D,20160726,000000,173.89,175.921,173.89,175.921,0,0
ARH_MV,D,20160727,000000,176.281,176.281,175.921,175.921,0,0
ARH_MV,D,20160728,000000,173.89,173.89,173.89,173.89,0,0
ARH_MV,D,20160729,000000,173.778,179.292,173.778,179.292,0,0
ARH_MV,D,20160801,000000,173.176,173.176,173.176,173.176,0,0
ARH_MV,D,20160804,000000,178.088,178.088,178.088,178.088,0,0
ARH_MV,D,20160808,000000,173.288,173.288,173.288,173.288,0,0
ARH_MV,D,20160809,000000,173.778,173.778,173.778,173.778,0,0
ARH_MV,D,20160810,000000,173.778,173.778,173.176,173.176,0,0
ARH_MV,D,20160811,000000,173.89,173.89,173.89,173.89,0,0
ARH_MV,D,20160812,000000,174.492,179.756,174.492,179.756,0,0
ARH_MV,D,20160816,000000,174.123,179.756,173.176,179.756,0,0
ARH_MV,D,20160817,000000,173.288,179.756,173.288,179.756,0,0
ARH_MV,D,20160818,000000,179.756,179.756,179.756,179.756,0,0
ARH_MV,D,20160824,000000,177.494,177.494,172.815,176.883,0,0
ARH_MV,D,20160829,000000,172.694,176.281,172.694,176.281,0,0
ARH_MV,D,20160830,000000,173.4,173.4,172.694,172.694,0,0
ARH_MV,D,20160831,000000,176.281,180.736,173.89,179.292,0,0
ARH_MV,D,20160901,000000,179.292,179.653,179.292,179.653,0,0
ARH_MV,D,20160902,000000,179.292,179.292,173.288,178.69,0,0
ARH_MV,D,20160905,000000,178.569,178.569,173.288,176.281,0,0
ARH_MV,D,20160906,000000,173.657,178.088,173.657,178.088,0,0
ARH_MV,D,20160907,000000,177.846,179.885,177.846,179.885,0,0
ARH_MV,D,20160908,000000,179.756,182.284,178.69,182.284,0,0
ARH_MV,D,20160909,000000,181.089,185.277,181.089,182.284,0,0
ARH_MV,D,20160912,000000,178.088,178.088,176.281,176.281,0,0
ARH_MV,D,20160913,000000,176.281,176.281,176.281,176.281,0,0
ARH_MV,D,20160914,000000,174.604,174.604,174.604,174.604,0,0
ARH_MV,D,20160915,000000,174.725,184.073,174.604,183.361,0,0
ARH_MV,D,20160916,000000,183.73,184.073,183.48,183.73,0,0
ARH_MV,D,20160919,000000,183.48,184.073,183.48,184.073,0,0
ARH_MV,D,20160920,000000,182.284,184.073,180.014,181.089,0,0
ARH_MV,D,20160921,000000,181.33,184.684,181.33,184.073,0,0
ARH_MV,D,20160923,000000,184.073,184.684,184.073,184.684,0,0
ARH_MV,D,20160926,000000,184.684,185.519,179.42,185.519,0,0
ARH_MV,D,20160927,000000,181.812,185.519,181.691,185.519,0,0
ARH_MV,D,20160928,000000,181.691,185.399,179.885,185.399,0,0
ARH_MV,D,20160929,000000,184.684,187.085,184.684,187.085,0,0
ARH_MV,D,20160930,000000,187.085,188.28,187.085,188.28,0,0
ARH_MV,D,20161003,000000,188.28,188.28,187.085,187.085,0,0
ARH_MV,D,20161004,000000,187.085,188.28,183.609,186.121,0,0
ARH_MV,D,20161006,000000,184.684,186.121,184.684,186.121,0,0
ARH_MV,D,20161007,000000,186.121,187.085,186.121,187.085,0,0
ARH_MV,D,20161010,000000,187.085,187.085,182.896,185.055,0,0
ARH_MV,D,20161011,000000,185.277,185.277,185.277,185.277,0,0
ARH_MV,D,20161012,000000,184.684,184.684,184.684,184.684,0,0
ARH_MV,D,20161013,000000,185.277,187.936,185.277,187.936,0,0
ARH_MV,D,20161014,000000,185.88,185.88,185.88,185.88,0,0
ARH_MV,D,20161017,000000,183.48,187.807,183.48,185.88,0,0
ARH_MV,D,20161018,000000,185.88,185.88,185.88,185.88,0,0
ARH_MV,D,20161019,000000,188.047,188.047,187.936,187.936,0,0
ARH_MV,D,20161021,000000,185.88,185.88,185.88,185.88,0,0
ARH_MV,D,20161024,000000,185.88,185.88,183.48,183.48,0,0
ARH_MV,D,20161025,000000,187.454,187.454,187.454,187.454,0,0
ARH_MV,D,20161027,000000,183.48,185.88,180.014,182.767,0,0
ARH_MV,D,20161028,000000,182.896,182.896,182.896,182.896,0,0
ARH_MV,D,20161031,000000,182.896,185.649,182.896,185.649,0,0
ARH_MV,D,20161103,000000,179.292,180.969,179.292,180.969,0,0
ARH_MV,D,20161104,000000,180.969,184.323,180.969,184.323,0,0
ARH_MV,D,20161107,000000,179.885,179.885,179.885,179.885,0,0
ARH_MV,D,20161109,000000,181.089,185.399,181.089,185.399,0,0
ARH_MV,D,20161110,000000,179.885,183.48,179.885,179.885,0,0
ARH_MV,D,20161114,000000,178.088,181.691,178.088,179.885,0,0
ARH_MV,D,20161115,000000,179.42,181.691,179.42,179.885,0,0
ARH_MV,D,20161116,000000,178.209,178.209,178.088,178.209,0,0
ARH_MV,D,20161117,000000,181.571,181.571,181.571,181.571,0,0
