<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH_PB,D,20160509,000000,0.578774,0.578774,0.578774,0.578774,0,0
ARH_PB,D,20160510,000000,0.578774,0.583762,0.578774,0.583762,0,0
ARH_PB,D,20160511,000000,0.578774,0.598127,0.578774,0.598127,0,0
ARH_PB,D,20160512,000000,0.602943,0.602943,0.593224,0.598127,0,0
ARH_PB,D,20160513,000000,0.593224,0.593224,0.593224,0.593224,0,0
ARH_PB,D,20160516,000000,0.598127,0.598127,0.598127,0.598127,0,0
ARH_PB,D,20160517,000000,0.598127,0.598127,0.598127,0.598127,0,0
ARH_PB,D,20160518,000000,0.593224,0.593224,0.593224,0.593224,0,0
ARH_PB,D,20160519,000000,0.593224,0.598127,0.593224,0.598127,0,0
ARH_PB,D,20160520,000000,0.602943,0.602943,0.602943,0.602943,0,0
ARH_PB,D,20160523,000000,0.598127,0.598127,0.593224,0.593224,0,0
ARH_PB,D,20160524,000000,0.602943,0.602943,0.602943,0.602943,0,0
ARH_PB,D,20160525,000000,0.602943,0.602943,0.602943,0.602943,0,0
ARH_PB,D,20160530,000000,0.602943,0.602943,0.593224,0.602943,0,0
ARH_PB,D,20160531,000000,0.598127,0.602943,0.593224,0.602943,0,0
ARH_PB,D,20160601,000000,0.593224,0.593224,0.583762,0.583762,0,0
ARH_PB,D,20160602,000000,0.583762,0.602943,0.583762,0.602943,0,0
ARH_PB,D,20160603,000000,0.602943,0.602943,0.602943,0.602943,0,0
ARH_PB,D,20160606,000000,0.602943,0.602943,0.588493,0.588493,0,0
ARH_PB,D,20160607,000000,0.588493,0.602943,0.588493,0.602943,0,0
ARH_PB,D,20160608,000000,0.588493,0.593224,0.588493,0.593224,0,0
ARH_PB,D,20160609,000000,0.593224,0.593224,0.593224,0.593224,0,0
ARH_PB,D,20160610,000000,0.588493,0.588493,0.588493,0.588493,0,0
ARH_PB,D,20160614,000000,0.588493,0.588493,0.583762,0.583762,0,0
ARH_PB,D,20160615,000000,0.583762,0.583762,0.583762,0.583762,0,0
ARH_PB,D,20160616,000000,0.578774,0.578774,0.569226,0.569226,0,0
ARH_PB,D,20160620,000000,0.569226,0.569226,0.569226,0.569226,0,0
ARH_PB,D,20160621,000000,0.554777,0.554777,0.554777,0.554777,0,0
ARH_PB,D,20160622,000000,0.569226,0.578774,0.569226,0.578774,0,0
ARH_PB,D,20160624,000000,0.554777,0.56441,0.525791,0.559507,0,0
ARH_PB,D,20160627,000000,0.582129,0.582129,0.576967,0.582129,0,0
ARH_PB,D,20160628,000000,0.582129,0.582129,0.582129,0.582129,0,0
ARH_PB,D,20160629,000000,0.576967,0.602771,0.576967,0.602771,0,0
ARH_PB,D,20160630,000000,0.587289,0.587289,0.587289,0.587289,0,0
ARH_PB,D,20160701,000000,0.582129,0.582129,0.582129,0.582129,0,0
ARH_PB,D,20160704,000000,0.587289,0.587289,0.571807,0.571807,0,0
ARH_PB,D,20160705,000000,0.576967,0.576967,0.55125,0.55125,0,0
ARH_PB,D,20160706,000000,0.55125,0.55125,0.55125,0.55125,0,0
ARH_PB,D,20160707,000000,0.55125,0.556325,0.55125,0.556325,0,0
ARH_PB,D,20160712,000000,0.556325,0.561571,0.556325,0.561571,0,0
ARH_PB,D,20160713,000000,0.556325,0.556325,0.556325,0.556325,0,0
ARH_PB,D,20160714,000000,0.546089,0.546089,0.546089,0.546089,0,0
ARH_PB,D,20160715,000000,0.561571,0.561571,0.561571,0.561571,0,0
ARH_PB,D,20160718,000000,0.561571,0.561571,0.55125,0.55125,0,0
ARH_PB,D,20160719,000000,0.55125,0.55125,0.55125,0.55125,0,0
ARH_PB,D,20160720,000000,0.55125,0.561571,0.55125,0.561571,0,0
ARH_PB,D,20160721,000000,0.561571,0.561571,0.546089,0.546089,0,0
ARH_PB,D,20160722,000000,0.571807,0.571807,0.571807,0.571807,0,0
ARH_PB,D,20160725,000000,0.582129,0.602771,0.561571,0.602771,0,0
ARH_PB,D,20160726,000000,0.602771,0.607932,0.602771,0.607932,0,0
ARH_PB,D,20160727,000000,0.607932,0.607932,0.607932,0.607932,0,0
ARH_PB,D,20160728,000000,0.602771,0.602771,0.602771,0.602771,0,0
ARH_PB,D,20160729,000000,0.602771,0.618253,0.602771,0.618253,0,0
ARH_PB,D,20160801,000000,0.59761,0.59761,0.59761,0.59761,0,0
ARH_PB,D,20160804,000000,0.613007,0.613007,0.613007,0.613007,0,0
ARH_PB,D,20160808,000000,0.59761,0.59761,0.59761,0.59761,0,0
ARH_PB,D,20160809,000000,0.602771,0.602771,0.602771,0.602771,0,0
ARH_PB,D,20160810,000000,0.602771,0.602771,0.59761,0.59761,0,0
ARH_PB,D,20160811,000000,0.602771,0.602771,0.602771,0.602771,0,0
ARH_PB,D,20160812,000000,0.602771,0.623328,0.602771,0.623328,0,0
ARH_PB,D,20160816,000000,0.602771,0.623328,0.59761,0.623328,0,0
ARH_PB,D,20160817,000000,0.59761,0.623328,0.59761,0.623328,0,0
ARH_PB,D,20160818,000000,0.623328,0.623328,0.623328,0.623328,0,0
ARH_PB,D,20160824,000000,0.613007,0.613007,0.59761,0.613007,0,0
ARH_PB,D,20160829,000000,0.59761,0.607932,0.59761,0.607932,0,0
ARH_PB,D,20160830,000000,0.59761,0.59761,0.59761,0.59761,0,0
ARH_PB,D,20160831,000000,0.607932,0.623328,0.602771,0.618253,0,0
ARH_PB,D,20160901,000000,0.618253,0.618253,0.618253,0.618253,0,0
ARH_PB,D,20160902,000000,0.618253,0.618253,0.59761,0.618253,0,0
ARH_PB,D,20160905,000000,0.618253,0.618253,0.499815,0.499815,0,0
ARH_PB,D,20160906,000000,0.494567,0.504889,0.494567,0.504889,0,0
ARH_PB,D,20160907,000000,0.504889,0.51005,0.504889,0.51005,0,0
ARH_PB,D,20160908,000000,0.51005,0.515125,0.504889,0.515125,0,0
ARH_PB,D,20160909,000000,0.515125,0.525446,0.515125,0.515125,0,0
ARH_PB,D,20160912,000000,0.504889,0.504889,0.499815,0.499815,0,0
ARH_PB,D,20160913,000000,0.499815,0.499815,0.499815,0.499815,0,0
ARH_PB,D,20160914,000000,0.494567,0.494567,0.494567,0.494567,0,0
ARH_PB,D,20160915,000000,0.494567,0.520371,0.494567,0.520371,0,0
ARH_PB,D,20160916,000000,0.520371,0.520371,0.520371,0.520371,0,0
ARH_PB,D,20160919,000000,0.520371,0.520371,0.520371,0.520371,0,0
