<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB_MV,D,20071030,000000,172.119,172.119,172.119,172.119,0,0
ASB_MV,D,20071031,000000,166.127,166.127,166.127,166.127,0,0
ASB_MV,D,20071102,000000,168.649,168.649,168.649,168.649,0,0
ASB_MV,D,20071105,000000,166.127,166.127,166.127,166.127,0,0
ASB_MV,D,20071106,000000,168.649,168.649,168.649,168.649,0,0
ASB_MV,D,20071107,000000,159.884,159.884,159.884,159.884,0,0
ASB_MV,D,20071108,000000,164.642,164.642,164.642,164.642,0,0
ASB_MV,D,20071109,000000,153.64,164.642,153.64,164.642,0,0
ASB_MV,D,20071112,000000,153.64,172.119,153.64,162.378,0,0
ASB_MV,D,20071113,000000,172.119,172.119,162.378,162.378,0,0
ASB_MV,D,20071114,000000,172.369,172.369,162.378,168.38,0,0
ASB_MV,D,20071115,000000,172.369,172.369,153.64,165.634,0,0
ASB_MV,D,20071116,000000,162.378,165.634,162.378,162.378,0,0
ASB_MV,D,20071119,000000,164.892,165.634,162.378,165.634,0,0
ASB_MV,D,20071120,000000,164.892,164.892,155.895,155.895,0,0
ASB_MV,D,20071121,000000,148.159,148.159,137.408,137.408,0,0
ASB_MV,D,20071122,000000,137.408,137.408,137.408,137.408,0,0
ASB_MV,D,20071123,000000,125.181,154.642,125.181,154.642,0,0
ASB_MV,D,20071126,000000,164.642,165.375,149.893,149.893,0,0
ASB_MV,D,20071127,000000,149.893,157.128,149.893,153.64,0,0
ASB_MV,D,20071128,000000,153.64,162.378,144.893,162.378,0,0
ASB_MV,D,20071129,000000,162.378,162.378,162.378,162.378,0,0
ASB_MV,D,20071130,000000,148.64,167.378,148.64,167.378,0,0
ASB_MV,D,20071203,000000,167.378,172.369,162.378,172.369,0,0
ASB_MV,D,20071205,000000,167.128,169.883,158.89,167.378,0,0
ASB_MV,D,20071206,000000,167.378,172.119,167.378,172.119,0,0
ASB_MV,D,20071210,000000,162.138,167.128,162.138,162.648,0,0
ASB_MV,D,20071211,000000,162.378,181.135,162.378,181.135,0,0
