<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB_PE,D,20071030,000000,5.80723,5.80723,5.80723,5.80723,0,0
ASB_PE,D,20071031,000000,5.58312,5.58312,5.58312,5.58312,0,0
ASB_PE,D,20071102,000000,5.66975,5.66975,5.66975,5.66975,0,0
ASB_PE,D,20071105,000000,6.48281,6.48281,6.48281,6.48281,0,0
ASB_PE,D,20071106,000000,6.61602,6.61602,6.61602,6.61602,0,0
ASB_PE,D,20071107,000000,6.39218,6.39218,6.39218,6.39218,0,0
ASB_PE,D,20071108,000000,6.52947,6.52947,6.52947,6.52947,0,0
ASB_PE,D,20071109,000000,6.07716,6.56945,6.07716,6.56945,0,0
ASB_PE,D,20071112,000000,6.12224,6.88511,6.12224,6.48281,0,0
ASB_PE,D,20071113,000000,6.88511,6.88511,6.48281,6.48281,0,0
ASB_PE,D,20071114,000000,4.9067,4.9067,4.9067,4.9067,0,0
ASB_PE,D,20071115,000000,5.03963,5.03963,4.76988,4.76988,0,0
ASB_PE,D,20071116,000000,4.68305,4.76988,4.63741,4.63741,0,0
ASB_PE,D,20071119,000000,4.72414,4.76988,4.63741,4.76988,0,0
ASB_PE,D,20071120,000000,4.50041,4.50041,4.50041,4.50041,0,0
ASB_PE,D,20071121,000000,4.27639,4.27639,3.96109,3.96109,0,0
ASB_PE,D,20071122,000000,3.96109,3.96109,3.96109,3.96109,0,0
ASB_PE,D,20071123,000000,3.60034,4.50041,3.60034,4.50041,0,0
ASB_PE,D,20071126,000000,4.76988,4.76988,4.36776,4.36776,0,0
ASB_PE,D,20071127,000000,4.36776,4.50041,4.36776,4.45467,0,0
ASB_PE,D,20071128,000000,4.45467,4.72414,4.45467,4.72414,0,0
ASB_PE,D,20071129,000000,4.72414,4.72414,4.72414,4.72414,0,0
ASB_PE,D,20071130,000000,4.32221,4.9067,4.32221,4.9067,0,0
ASB_PE,D,20071203,000000,4.9067,5.03963,4.76988,5.03963,0,0
ASB_PE,D,20071205,000000,4.9067,4.95299,4.63741,4.9067,0,0
ASB_PE,D,20071206,000000,4.9067,5.03963,4.9067,5.03963,0,0
ASB_PE,D,20071210,000000,4.72414,4.9067,4.72414,4.81561,0,0
ASB_PE,D,20071211,000000,4.81561,5.35456,4.81561,5.35456,0,0
ASB_PE,D,20071212,000000,5.35456,5.35456,5.17663,5.31411,0,0
ASB_PE,D,20071213,000000,5.17663,5.31411,5.17663,5.31411,0,0
ASB_PE,D,20071214,000000,5.13099,5.31411,5.13099,5.22227,0,0
ASB_PE,D,20071217,000000,5.22227,5.22227,5.03963,5.03963,0,0
ASB_PE,D,20071218,000000,4.99863,4.99863,4.99863,4.99863,0,0
ASB_PE,D,20071219,000000,5.13099,5.17663,5.13099,5.17663,0,0
ASB_PE,D,20071220,000000,5.17663,5.66975,5.17663,5.62875,0,0
ASB_PE,D,20071221,000000,5.62875,6.03144,5.62875,5.85296,0,0
ASB_PE,D,20071227,000000,5.85296,6.34627,5.85296,6.12224,0,0
ASB_PE,D,20071228,000000,6.39218,6.48281,6.21333,6.43634,0,0
ASB_PE,D,20080102,000000,6.70664,6.70664,6.43634,6.61602,0,0
ASB_PE,D,20080103,000000,6.52947,6.61602,6.21333,6.21333,0,0
ASB_PE,D,20080104,000000,6.21333,6.21333,6.21333,6.21333,0,0
ASB_PE,D,20080107,000000,6.07716,6.07716,5.62875,5.85296,0,0
ASB_PE,D,20080108,000000,5.62875,5.66975,5.62875,5.66975,0,0
ASB_PE,D,20080109,000000,5.35456,5.58312,5.22227,5.58312,0,0
ASB_PE,D,20080110,000000,5.35456,5.4463,5.22227,5.4463,0,0
ASB_PE,D,20080111,000000,5.35456,5.40028,5.17663,5.40028,0,0
ASB_PE,D,20080114,000000,5.22227,5.22227,5.22227,5.22227,0,0
ASB_PE,D,20080115,000000,5.22227,5.58312,5.22227,5.40028,0,0
ASB_PE,D,20080116,000000,5.08535,5.26782,4.86106,5.03963,0,0
ASB_PE,D,20080117,000000,4.9067,5.35456,4.9067,4.9067,0,0
ASB_PE,D,20080118,000000,5.13099,5.13099,4.95299,4.95299,0,0
ASB_PE,D,20080121,000000,5.08535,5.08535,4.76988,4.76988,0,0
ASB_PE,D,20080122,000000,4.9067,4.9067,4.63741,4.63741,0,0
ASB_PE,D,20080123,000000,4.86106,4.86106,4.63741,4.68305,0,0
ASB_PE,D,20080124,000000,4.76988,5.17663,4.68305,5.17663,0,0
ASB_PE,D,20080125,000000,5.71595,5.71595,5.08535,5.22227,0,0
ASB_PE,D,20080128,000000,5.26782,5.26782,4.81561,4.86106,0,0
ASB_PE,D,20080129,000000,4.95299,5.4463,4.86106,4.9067,0,0
ASB_PE,D,20080130,000000,4.99863,5.31411,4.81561,5.31411,0,0
ASB_PE,D,20080131,000000,5.40028,5.40028,5.13099,5.13099,0,0
ASB_PE,D,20080201,000000,5.22227,5.26782,4.99863,5.26782,0,0
ASB_PE,D,20080204,000000,5.35456,5.35456,5.17663,5.22227,0,0
ASB_PE,D,20080205,000000,5.22227,5.22227,5.03963,5.03963,0,0
ASB_PE,D,20080206,000000,4.9067,5.03963,4.81561,4.99863,0,0
ASB_PE,D,20080207,000000,4.9067,5.13099,4.86106,5.13099,0,0
ASB_PE,D,20080211,000000,5.03963,5.31411,5.03963,5.31411,0,0
ASB_PE,D,20080212,000000,5.26782,5.26782,5.13099,5.22227,0,0
ASB_PE,D,20080213,000000,5.17663,5.22227,5.17663,5.22227,0,0
ASB_PE,D,20080214,000000,5.31411,5.31411,4.99863,5.22227,0,0
ASB_PE,D,20080215,000000,4.99863,5.26782,4.99863,5.26782,0,0
ASB_PE,D,20080218,000000,5.17663,5.26782,4.86106,5.26782,0,0
ASB_PE,D,20080219,000000,4.9067,5.17663,4.9067,5.17663,0,0
ASB_PE,D,20080220,000000,4.95299,5.17663,4.86106,5.17663,0,0
ASB_PE,D,20080221,000000,4.95299,5.17663,4.9067,5.17663,0,0
ASB_PE,D,20080222,000000,4.99863,5.17663,4.99863,5.17663,0,0
ASB_PE,D,20080225,000000,5.22227,5.22227,4.63741,4.63741,0,0
ASB_PE,D,20080226,000000,4.63741,4.68305,4.63741,4.68305,0,0
ASB_PE,D,20080227,000000,4.63741,4.63741,4.63741,4.63741,0,0
ASB_PE,D,20080228,000000,4.63741,4.63741,4.41358,4.63741,0,0
ASB_PE,D,20080229,000000,4.72414,4.81561,4.5915,4.81561,0,0
ASB_PE,D,20080303,000000,4.81561,4.81561,3.82417,3.82417,0,0
ASB_PE,D,20080304,000000,3.82417,3.82417,3.73735,3.78299,0,0
ASB_PE,D,20080305,000000,3.73735,3.91536,3.73735,3.91536,0,0
ASB_PE,D,20080306,000000,4.00691,4.41358,3.91536,4.18511,0,0
ASB_PE,D,20080307,000000,3.86991,4.36776,3.86991,4.27639,0,0
ASB_PE,D,20080310,000000,4.32221,4.45467,4.32221,4.45467,0,0
ASB_PE,D,20080311,000000,4.36776,4.63741,4.36776,4.63741,0,0
ASB_PE,D,20080312,000000,4.68305,4.76988,4.63741,4.76988,0,0
ASB_PE,D,20080313,000000,4.41358,4.76988,4.41358,4.72414,0,0
ASB_PE,D,20080314,000000,4.45467,4.81561,4.45467,4.63741,0,0
ASB_PE,D,20080317,000000,4.86106,4.86106,4.45467,4.45467,0,0
ASB_PE,D,20080318,000000,4.76988,4.76988,4.36776,4.76988,0,0
ASB_PE,D,20080319,000000,4.5915,4.72414,4.54605,4.72414,0,0
ASB_PE,D,20080320,000000,4.50041,4.72414,4.27639,4.72414,0,0
ASB_PE,D,20080325,000000,4.5915,4.76988,4.5915,4.76988,0,0
ASB_PE,D,20080326,000000,4.72414,4.81561,4.5915,4.5915,0,0
ASB_PE,D,20080327,000000,4.5915,4.81561,4.5915,4.81561,0,0
ASB_PE,D,20080328,000000,4.81561,4.86106,4.81561,4.81561,0,0
ASB_PE,D,20080331,000000,4.81561,4.81561,4.81561,4.81561,0,0
ASB_PE,D,20080401,000000,4.81561,4.9067,4.68305,4.72414,0,0
ASB_PE,D,20080402,000000,4.68305,4.95299,4.63741,4.95299,0,0
ASB_PE,D,20080403,000000,4.95299,4.95299,4.9067,4.9067,0,0
ASB_PE,D,20080404,000000,4.86106,4.95299,4.86106,4.9067,0,0
ASB_PE,D,20080407,000000,4.9067,4.9067,4.72414,4.72414,0,0
ASB_PE,D,20080408,000000,4.76988,4.76988,4.72414,4.72414,0,0
ASB_PE,D,20080409,000000,4.68305,4.68305,4.50041,4.50041,0,0
ASB_PE,D,20080410,000000,4.45467,4.5915,4.45467,4.5915,0,0
ASB_PE,D,20080411,000000,4.54605,4.68305,4.36776,4.68305,0,0
ASB_PE,D,20080414,000000,4.45467,4.68305,4.45467,4.63741,0,0
ASB_PE,D,20080416,000000,4.45467,4.45467,4.45467,4.45467,0,0
ASB_PE,D,20080417,000000,4.36776,4.41358,4.36776,4.41358,0,0
ASB_PE,D,20080418,000000,4.09819,4.50041,4.09819,4.45467,0,0
ASB_PE,D,20080421,000000,4.63741,4.63741,4.32221,4.36776,0,0
ASB_PE,D,20080422,000000,4.23075,4.36776,4.23075,4.36776,0,0
ASB_PE,D,20080425,000000,4.36776,4.41358,4.36776,4.41358,0,0
ASB_PE,D,20080428,000000,4.41358,4.41358,4.41358,4.41358,0,0
ASB_PE,D,20080505,000000,4.41358,4.41358,4.41358,4.41358,0,0
ASB_PE,D,20080507,000000,4.41358,4.68305,4.41358,4.50041,0,0
ASB_PE,D,20080508,000000,4.50041,4.68305,4.50041,4.68305,0,0
ASB_PE,D,20080509,000000,4.68305,4.86106,4.5915,4.86106,0,0
ASB_PE,D,20080512,000000,4.99863,5.08535,4.86106,5.08535,0,0
ASB_PE,D,20080513,000000,5.03963,5.03963,5.03963,5.03963,0,0
ASB_PE,D,20080514,000000,5.03963,5.03963,4.81561,4.99863,0,0
ASB_PE,D,20080515,000000,4.68305,4.99863,4.68305,4.99863,0,0
ASB_PE,D,20080516,000000,5.03963,5.03963,5.03963,5.03963,0,0
ASB_PE,D,20080519,000000,5.08535,5.17663,4.68305,5.17663,0,0
ASB_PE,D,20080520,000000,5.17663,5.17663,4.9067,5.03963,0,0
ASB_PE,D,20080521,000000,5.20863,5.20863,5.20863,5.20863,0,0
ASB_PE,D,20080523,000000,4.98007,5.20863,4.93435,4.93435,0,0
ASB_PE,D,20080527,000000,4.93435,5.16245,4.7517,4.79734,0,0
ASB_PE,D,20080528,000000,4.79734,5.16245,4.79734,5.16245,0,0
ASB_PE,D,20080529,000000,5.11689,5.16245,4.88871,5.11689,0,0
ASB_PE,D,20080530,000000,5.07098,5.11689,5.07098,5.11689,0,0
ASB_PE,D,20080602,000000,4.88871,5.11689,4.88871,5.11689,0,0
ASB_PE,D,20080603,000000,4.93435,5.16245,4.93435,5.16245,0,0
ASB_PE,D,20080605,000000,5.11689,5.11689,4.93435,4.93435,0,0
ASB_PE,D,20080606,000000,4.84307,5.16245,4.84307,5.16245,0,0
ASB_PE,D,20080609,000000,4.88871,5.16245,4.88871,5.02543,0,0
ASB_PE,D,20080611,000000,4.88871,4.88871,4.88871,4.88871,0,0
ASB_PE,D,20080612,000000,4.88871,5.02543,4.66024,5.02543,0,0
ASB_PE,D,20080613,000000,5.07098,5.07098,5.02543,5.02543,0,0
ASB_PE,D,20080616,000000,4.70587,5.02543,4.70587,5.02543,0,0
ASB_PE,D,20080620,000000,4.79734,4.93435,4.79734,4.93435,0,0
ASB_PE,D,20080623,000000,5.02543,5.02543,4.93435,5.02543,0,0
ASB_PE,D,20080630,000000,4.70587,5.02543,4.70587,5.02543,0,0
ASB_PE,D,20080701,000000,4.70587,4.93435,4.66024,4.93435,0,0
ASB_PE,D,20080703,000000,4.66024,4.7517,4.3404,4.7517,0,0
ASB_PE,D,20080708,000000,4.93435,4.93435,4.93435,4.93435,0,0
ASB_PE,D,20080711,000000,4.93435,4.93435,4.52332,4.70587,0,0
ASB_PE,D,20080714,000000,4.52332,4.66024,4.52332,4.66024,0,0
ASB_PE,D,20080721,000000,4.56905,4.66024,4.56905,4.66024,0,0
ASB_PE,D,20080723,000000,4.88871,4.88871,4.38594,4.66024,0,0
ASB_PE,D,20080724,000000,4.7517,4.7517,4.7517,4.7517,0,0
ASB_PE,D,20080725,000000,4.88871,4.88871,4.38594,4.66024,0,0
ASB_PE,D,20080730,000000,4.43176,4.66024,4.43176,4.66024,0,0
ASB_PE,D,20080731,000000,4.38594,4.56905,4.38594,4.52332,0,0
ASB_PE,D,20080804,000000,4.52332,4.93435,4.52332,4.93435,0,0
ASB_PE,D,20080808,000000,4.6146,4.6146,4.6146,4.6146,0,0
ASB_PE,D,20080811,000000,4.3404,4.3404,4.24893,4.29476,0,0
ASB_PE,D,20080812,000000,4.38594,4.38594,4.38594,4.38594,0,0
ASB_PE,D,20080819,000000,4.29476,4.29476,4.29476,4.29476,0,0
ASB_PE,D,20080820,000000,4.15766,4.15766,4.06628,4.06628,0,0
ASB_PE,D,20080821,000000,4.06628,4.06628,3.92918,3.97501,0,0
ASB_PE,D,20080822,000000,3.97501,4.24893,3.97501,3.97501,0,0
ASB_PE,D,20080825,000000,4.06628,4.06628,3.51788,3.51788,0,0
ASB_PE,D,20080826,000000,3.65517,3.79199,3.65517,3.79199,0,0
ASB_PE,D,20080827,000000,3.79199,3.79199,3.79199,3.79199,0,0
ASB_PE,D,20080828,000000,3.88355,3.88355,3.88355,3.88355,0,0
ASB_PE,D,20080829,000000,3.79199,3.88355,3.79199,3.88355,0,0
ASB_PE,D,20080901,000000,3.88355,3.92918,3.79199,3.88355,0,0
ASB_PE,D,20080902,000000,3.88355,3.88355,3.88355,3.88355,0,0
ASB_PE,D,20080903,000000,3.88355,3.88355,3.79199,3.79199,0,0
ASB_PE,D,20080904,000000,3.88355,3.88355,3.79199,3.88355,0,0
ASB_PE,D,20080905,000000,3.65517,3.65517,3.65517,3.65517,0,0
ASB_PE,D,20080908,000000,3.60943,3.60943,3.60943,3.60943,0,0
ASB_PE,D,20080909,000000,3.65517,3.65517,3.60943,3.65517,0,0
ASB_PE,D,20080910,000000,3.65517,3.65517,3.51788,3.51788,0,0
ASB_PE,D,20080911,000000,3.51788,3.51788,3.19813,3.19813,0,0
ASB_PE,D,20080915,000000,3.0613,3.0613,3.0613,3.0613,0,0
ASB_PE,D,20080917,000000,3.10686,3.10686,3.0613,3.0613,0,0
ASB_PE,D,20080918,000000,3.10686,3.10686,3.10686,3.10686,0,0
ASB_PE,D,20080922,000000,3.0613,3.0613,3.0613,3.0613,0,0
ASB_PE,D,20080923,000000,3.01548,3.01548,3.01548,3.01548,0,0
ASB_PE,D,20080924,000000,3.0613,3.0613,3.01548,3.0613,0,0
ASB_PE,D,20080926,000000,2.92402,3.0613,2.92402,3.0613,0,0
ASB_PE,D,20080929,000000,3.65517,3.65517,3.4266,3.4266,0,0
ASB_PE,D,20080930,000000,3.28969,3.28969,3.15249,3.24386,0,0
ASB_PE,D,20081001,000000,3.24386,3.56361,3.15249,3.56361,0,0
ASB_PE,D,20081002,000000,3.60943,3.60943,3.47243,3.56361,0,0
ASB_PE,D,20081003,000000,3.24386,3.24386,3.24386,3.24386,0,0
ASB_PE,D,20081006,000000,3.24386,3.24386,2.92402,3.19813,0,0
ASB_PE,D,20081007,000000,3.10686,3.19813,3.10686,3.19813,0,0
ASB_PE,D,20081008,000000,2.92402,3.19813,2.87838,3.15249,0,0
ASB_PE,D,20081009,000000,2.87838,3.15249,2.87838,3.15249,0,0
ASB_PE,D,20081010,000000,2.87838,3.15249,2.87838,3.15249,0,0
ASB_PE,D,20081013,000000,3.15249,3.15249,3.0613,3.15249,0,0
ASB_PE,D,20081014,000000,3.15249,3.15249,3.15249,3.15249,0,0
ASB_PE,D,20081015,000000,3.01548,3.01548,2.83293,2.87838,0,0
ASB_PE,D,20081016,000000,2.64972,2.87838,2.64972,2.87838,0,0
ASB_PE,D,20081017,000000,3.15249,3.15249,2.78692,2.78692,0,0
ASB_PE,D,20081020,000000,3.15249,3.15249,2.87838,2.87838,0,0
ASB_PE,D,20081021,000000,3.10686,3.10686,2.60427,2.74128,0,0
ASB_PE,D,20081022,000000,3.0613,3.0613,2.55845,2.55845,0,0
ASB_PE,D,20081023,000000,2.55845,2.55845,2.19307,2.55845,0,0
ASB_PE,D,20081029,000000,2.55845,2.55845,2.28453,2.55845,0,0
ASB_PE,D,20081030,000000,2.55845,2.55845,2.32998,2.55845,0,0
ASB_PE,D,20081031,000000,2.83293,2.83293,2.60427,2.60427,0,0
ASB_PE,D,20081103,000000,2.46717,2.60427,2.28453,2.28453,0,0
ASB_PE,D,20081104,000000,2.28453,2.28453,2.10169,2.28453,0,0
ASB_PE,D,20081105,000000,2.2387,2.28453,2.05596,2.10169,0,0
ASB_PE,D,20081106,000000,2.2387,2.2387,1.96469,2.05596,0,0
ASB_PE,D,20081107,000000,2.14733,2.14733,2.05596,2.05596,0,0
ASB_PE,D,20081110,000000,2.14733,2.14733,1.82749,1.82749,0,0
ASB_PE,D,20081112,000000,2.01033,2.01033,1.78176,1.96469,0,0
ASB_PE,D,20081113,000000,2.14733,2.14733,1.91886,2.05596,0,0
ASB_PE,D,20081114,000000,2.32998,2.32998,2.14733,2.14733,0,0
ASB_PE,D,20081117,000000,2.14733,2.14733,2.05596,2.05596,0,0
ASB_PE,D,20081118,000000,2.10169,2.10169,1.87322,2.05596,0,0
ASB_PE,D,20081120,000000,1.82749,1.96469,1.82749,1.96469,0,0
ASB_PE,D,20081121,000000,2.10169,2.10169,1.96469,2.05596,0,0
ASB_PE,D,20081124,000000,2.05596,2.05596,1.91886,2.05596,0,0
ASB_PE,D,20081125,000000,2.05596,2.05596,2.05596,2.05596,0,0
ASB_PE,D,20081128,000000,1.87322,1.87322,1.6903,1.87322,0,0
ASB_PE,D,20081201,000000,1.82749,1.87322,1.82749,1.82749,0,0
ASB_PE,D,20081203,000000,1.64484,1.73621,1.64484,1.73621,0,0
ASB_PE,D,20081204,000000,1.73621,1.73621,1.64484,1.6903,0,0
ASB_PE,D,20081209,000000,1.50774,1.55356,1.37064,1.55356,0,0
ASB_PE,D,20081210,000000,1.59911,1.59911,1.41638,1.41638,0,0
ASB_PE,D,20081211,000000,1.41638,1.41638,1.27927,1.27927,0,0
ASB_PE,D,20081212,000000,1.27927,1.27927,1.23363,1.23363,0,0
ASB_PE,D,20081215,000000,1.27927,1.27927,1.09662,1.14217,0,0
ASB_PE,D,20081216,000000,1.1879,1.1879,1.00516,1.00516,0,0
ASB_PE,D,20081217,000000,1.00516,1.0508,0.913699,0.959523,0,0
ASB_PE,D,20081218,000000,1.00516,1.00516,0.959523,0.959523,0,0
ASB_PE,D,20081219,000000,0.913699,0.959523,0.913699,0.959523,0,0
ASB_PE,D,20081222,000000,0.913699,0.913699,0.822421,0.86806,0,0
ASB_PE,D,20081223,000000,0.86806,0.913699,0.822421,0.913699,0,0
ASB_PE,D,20081229,000000,0.959523,1.0508,0.959523,0.959523,0,0
ASB_PE,D,20081230,000000,0.959523,0.959523,0.959523,0.959523,0,0
ASB_PE,D,20090105,000000,0.86806,1.00516,0.86806,0.913699,0,0
ASB_PE,D,20090106,000000,0.959523,0.959523,0.959523,0.959523,0,0
ASB_PE,D,20090107,000000,0.913699,0.959523,0.822421,0.86806,0,0
ASB_PE,D,20090108,000000,0.913699,0.913699,0.731052,0.731052,0,0
ASB_PE,D,20090109,000000,0.731052,0.731052,0.68532,0.68532,0,0
ASB_PE,D,20090112,000000,0.731052,0.731052,0.68532,0.68532,0,0
ASB_PE,D,20090113,000000,0.68532,0.68532,0.68532,0.68532,0,0
ASB_PE,D,20090114,000000,0.731052,0.731052,0.68532,0.731052,0,0
ASB_PE,D,20090115,000000,0.731052,0.731052,0.731052,0.731052,0,0
ASB_PE,D,20090116,000000,0.731052,0.731052,0.731052,0.731052,0,0
ASB_PE,D,20090119,000000,0.731052,0.731052,0.68532,0.731052,0,0
ASB_PE,D,20090120,000000,0.731052,0.731052,0.68532,0.68532,0,0
ASB_PE,D,20090121,000000,0.68532,0.68532,0.639589,0.68532,0,0
ASB_PE,D,20090122,000000,0.68532,0.68532,0.639589,0.68532,0,0
ASB_PE,D,20090123,000000,0.68532,0.68532,0.639589,0.68532,0,0
ASB_PE,D,20090126,000000,0.68532,0.68532,0.68532,0.68532,0,0
ASB_PE,D,20090127,000000,0.68532,0.68532,0.639589,0.639589,0,0
ASB_PE,D,20090128,000000,0.68532,0.68532,0.639589,0.639589,0,0
ASB_PE,D,20090129,000000,0.639589,0.639589,0.639589,0.639589,0,0
ASB_PE,D,20090130,000000,0.639589,0.639589,0.59395,0.639589,0,0
ASB_PE,D,20090202,000000,0.639589,0.68532,0.59395,0.59395,0,0
ASB_PE,D,20090203,000000,0.59395,0.59395,0.59395,0.59395,0,0
ASB_PE,D,20090204,000000,0.59395,0.639589,0.59395,0.59395,0,0
ASB_PE,D,20090205,000000,0.59395,0.59395,0.548312,0.548312,0,0
ASB_PE,D,20090206,000000,0.548312,0.548312,0.548312,0.548312,0,0
ASB_PE,D,20090209,000000,0.548312,0.548312,0.548312,0.548312,0,0
ASB_PE,D,20090210,000000,0.548312,0.548312,0.548312,0.548312,0,0
ASB_PE,D,20090211,000000,0.548312,0.548312,0.502581,0.502581,0,0
ASB_PE,D,20090212,000000,0.502581,0.502581,0.502581,0.502581,0,0
ASB_PE,D,20090213,000000,0.502581,0.502581,0.502581,0.502581,0,0
ASB_PE,D,20090216,000000,0.502581,0.502581,0.502581,0.502581,0,0
ASB_PE,D,20090217,000000,0.502581,0.502581,0.411174,0.411174,0,0
ASB_PE,D,20090218,000000,0.411174,0.411174,0.411174,0.411174,0,0
ASB_PE,D,20090219,000000,0.411174,0.457035,0.411174,0.457035,0,0
ASB_PE,D,20090220,000000,0.457035,0.457035,0.457035,0.457035,0,0
ASB_PE,D,20090223,000000,0.457035,0.548312,0.365591,0.365591,0,0
ASB_PE,D,20090224,000000,0.365591,0.365591,0.319888,0.365591,0,0
ASB_PE,D,20090225,000000,0.365591,0.411174,0.365591,0.365591,0,0
ASB_PE,D,20090226,000000,0.365591,0.365591,0.319888,0.319888,0,0
ASB_PE,D,20090227,000000,0.319888,0.319888,0.319888,0.319888,0,0
ASB_PE,D,20090302,000000,0.319888,2.92402,0.319888,2.92402,0,0
ASB_PE,D,20090303,000000,2.96976,3.01548,1.23363,1.23363,0,0
ASB_PE,D,20090304,000000,1.23363,1.23363,1.1879,1.23363,0,0
ASB_PE,D,20090305,000000,1.23363,1.23363,0.959523,0.959523,0,0
ASB_PE,D,20090306,000000,0.959523,1.00516,0.959523,1.00516,0,0
ASB_PE,D,20090309,000000,1.00516,1.09662,1.00516,1.09662,0,0
ASB_PE,D,20090310,000000,1.09662,1.27927,1.09662,1.27927,0,0
ASB_PE,D,20090311,000000,1.41638,1.41638,1.3251,1.37064,0,0
ASB_PE,D,20090312,000000,1.41638,1.50774,1.37064,1.50774,0,0
ASB_PE,D,20090313,000000,1.50774,1.64484,1.50774,1.59911,0,0
ASB_PE,D,20090316,000000,1.64484,1.64484,1.55356,1.59911,0,0
ASB_PE,D,20090317,000000,1.59911,1.59911,1.46182,1.46182,0,0
ASB_PE,D,20090318,000000,1.46182,1.50774,1.46182,1.50774,0,0
ASB_PE,D,20090319,000000,1.50774,1.59911,1.50774,1.55356,0,0
ASB_PE,D,20090320,000000,1.64484,1.78176,1.64484,1.6903,0,0
ASB_PE,D,20090323,000000,1.78176,1.82749,1.78176,1.78176,0,0
ASB_PE,D,20090324,000000,1.96469,2.10169,1.87322,2.05596,0,0
ASB_PE,D,20090325,000000,2.32998,2.51299,2.2387,2.46717,0,0
ASB_PE,D,20090326,000000,2.51299,2.69564,2.42144,2.46717,0,0
ASB_PE,D,20090327,000000,2.51299,2.51299,2.28453,2.3758,0,0
ASB_PE,D,20090330,000000,2.3758,2.3758,2.01033,2.01033,0,0
ASB_PE,D,20090331,000000,2.01033,2.05596,1.96469,2.01033,0,0
ASB_PE,D,20090401,000000,2.10169,2.10169,1.96469,2.01033,0,0
ASB_PE,D,20090402,000000,2.46717,2.46717,2.46717,2.46717,0,0
ASB_PE,D,20090403,000000,2.55845,2.55845,2.3758,2.42144,0,0
ASB_PE,D,20090406,000000,2.46717,2.55845,2.42144,2.42144,0,0
ASB_PE,D,20090407,000000,2.46717,2.46717,2.3758,2.42144,0,0
ASB_PE,D,20090408,000000,2.46717,2.55845,2.42144,2.42144,0,0
ASB_PE,D,20090409,000000,2.51299,2.51299,2.46717,2.46717,0,0
ASB_PE,D,20090414,000000,2.51299,3.01548,2.46717,2.64972,0,0
ASB_PE,D,20090415,000000,2.83293,2.83293,2.69564,2.83293,0,0
ASB_PE,D,20090416,000000,2.92402,3.24386,2.83293,3.15249,0,0
ASB_PE,D,20090417,000000,3.38096,3.70081,3.33514,3.56361,0,0
ASB_PE,D,20090420,000000,3.60943,3.70081,3.33514,3.33514,0,0
ASB_PE,D,20090421,000000,3.15249,3.47243,3.15249,3.24386,0,0
ASB_PE,D,20090422,000000,3.38096,3.60943,3.38096,3.60943,0,0
ASB_PE,D,20090423,000000,3.65517,3.65517,3.51788,3.51788,0,0
ASB_PE,D,20090424,000000,3.60943,3.60943,3.33514,3.51788,0,0
ASB_PE,D,20090427,000000,3.51788,3.51788,3.33514,3.38096,0,0
ASB_PE,D,20090428,000000,3.33514,3.33514,3.15249,3.19813,0,0
ASB_PE,D,20090429,000000,3.19813,3.47243,3.19813,3.47243,0,0
ASB_PE,D,20090430,000000,3.51788,3.51788,3.38096,3.47243,0,0
ASB_PE,D,20090504,000000,3.51788,3.51788,3.33514,3.38096,0,0
ASB_PE,D,20090505,000000,3.38096,3.4266,3.24386,3.33514,0,0
ASB_PE,D,20090506,000000,3.24386,3.4266,3.24386,3.33514,0,0
ASB_PE,D,20090507,000000,3.0613,3.28969,3.0613,3.19813,0,0
ASB_PE,D,20090508,000000,3.19813,3.33514,3.15249,3.33514,0,0
ASB_PE,D,20100510,000000,13.0682,13.0682,13.0682,13.0682,0,0
ASB_PE,D,20100511,000000,13.3409,13.3409,12.7482,12.7482,0,0
ASB_PE,D,20100512,000000,13.0682,13.0682,12.6554,12.7482,0,0
ASB_PE,D,20100513,000000,13.0219,13.0219,12.4736,12.7482,0,0
ASB_PE,D,20100514,000000,12.7037,12.7482,12.2,12.7482,0,0
ASB_PE,D,20100517,000000,12.4736,12.52,12.2,12.52,0,0
ASB_PE,D,20100518,000000,12.4736,12.7482,11.9699,12.7482,0,0
ASB_PE,D,20100519,000000,12.2,12.3817,11.879,12.3817,0,0
ASB_PE,D,20100520,000000,11.9699,12.3817,11.879,11.9263,0,0
ASB_PE,D,20100521,000000,11.1471,11.6045,11.1471,11.5608,0,0
ASB_PE,D,20100524,000000,11.5135,11.879,11.4217,11.5608,0,0
ASB_PE,D,20100525,000000,11.5608,11.6045,10.9662,11.6045,0,0
ASB_PE,D,20100526,000000,11.6045,12.7927,11.6045,12.7482,0,0
ASB_PE,D,20100527,000000,13.0682,13.0682,12.3363,12.7482,0,0
ASB_PE,D,20100528,000000,13.2945,13.2945,13.0219,13.0682,0,0
ASB_PE,D,20100531,000000,13.2027,13.2027,13.0682,13.0682,0,0
