<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AST_MV,D,20070813,000000,400.431,400.431,400.431,400.431,0,0
AST_MV,D,20070814,000000,401.54,401.54,401.54,401.54,0,0
AST_MV,D,20070816,000000,390.393,390.393,390.393,390.393,0,0
AST_MV,D,20070817,000000,385.923,385.923,385.923,385.923,0,0
AST_MV,D,20070820,000000,394.854,394.854,394.854,394.854,0,0
AST_MV,D,20070821,000000,405.115,405.115,405.115,405.115,0,0
AST_MV,D,20070822,000000,426.086,426.086,426.086,426.086,0,0
AST_MV,D,20070823,000000,443.927,443.927,443.927,443.927,0,0
AST_MV,D,20070824,000000,428.535,428.535,428.535,428.535,0,0
AST_MV,D,20070827,000000,445.268,445.268,445.268,445.268,0,0
AST_MV,D,20070828,000000,440.584,440.584,440.584,440.584,0,0
AST_MV,D,20070829,000000,443.927,443.927,443.927,443.927,0,0
AST_MV,D,20070830,000000,435.007,435.007,435.007,435.007,0,0
AST_MV,D,20070831,000000,443.927,443.927,443.927,443.927,0,0
AST_MV,D,20070903,000000,471.593,471.593,471.593,471.593,0,0
AST_MV,D,20070904,000000,466.239,466.239,466.239,466.239,0,0
AST_MV,D,20070905,000000,430.546,430.546,430.546,430.546,0,0
AST_MV,D,20070906,000000,441.031,441.031,441.031,441.031,0,0
AST_MV,D,20070907,000000,423.851,423.851,423.851,423.851,0,0
AST_MV,D,20070910,000000,419.838,419.838,419.838,419.838,0,0
AST_MV,D,20070911,000000,436.571,436.571,436.571,436.571,0,0
AST_MV,D,20070912,000000,436.571,436.571,436.571,436.571,0,0
AST_MV,D,20070913,000000,437.018,437.018,437.018,437.018,0,0
AST_MV,D,20070914,000000,437.018,437.018,437.018,437.018,0,0
AST_MV,D,20070917,000000,432.772,432.772,432.772,432.772,0,0
AST_MV,D,20070918,000000,430.546,430.546,430.546,430.546,0,0
AST_MV,D,20070919,000000,463.781,463.781,463.781,463.781,0,0
AST_MV,D,20070920,000000,455.083,455.083,455.083,455.083,0,0
AST_MV,D,20070921,000000,450.623,450.623,450.623,450.623,0,0
