<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATG_MV,D,20070813,000000,339.397,339.397,339.397,339.397,0,0
ATG_MV,D,20070814,000000,341.129,341.129,341.129,341.129,0,0
ATG_MV,D,20070816,000000,324.041,324.041,324.041,324.041,0,0
ATG_MV,D,20070817,000000,324.041,324.041,324.041,324.041,0,0
ATG_MV,D,20070820,000000,320.639,320.639,320.639,320.639,0,0
ATG_MV,D,20070821,000000,306.997,306.997,306.997,306.997,0,0
ATG_MV,D,20070822,000000,330.702,330.702,330.702,330.702,0,0
ATG_MV,D,20070823,000000,375.226,375.226,375.226,375.226,0,0
ATG_MV,D,20070824,000000,385.458,385.458,385.458,385.458,0,0
ATG_MV,D,20070827,000000,391.422,391.422,391.422,391.422,0,0
ATG_MV,D,20070828,000000,389.54,389.54,389.54,389.54,0,0
ATG_MV,D,20070829,000000,376.075,376.075,376.075,376.075,0,0
ATG_MV,D,20070830,000000,389.035,389.035,389.035,389.035,0,0
ATG_MV,D,20070831,000000,390.574,390.574,390.574,390.574,0,0
ATG_MV,D,20070903,000000,393.136,393.136,393.136,393.136,0,0
ATG_MV,D,20070904,000000,397.051,397.051,397.051,397.051,0,0
ATG_MV,D,20070905,000000,426.385,426.385,426.385,426.385,0,0
ATG_MV,D,20070906,000000,417.858,417.858,417.858,417.858,0,0
ATG_MV,D,20070907,000000,417.858,417.858,417.858,417.858,0,0
ATG_MV,D,20070910,000000,417.858,417.858,417.858,417.858,0,0
ATG_MV,D,20070911,000000,421.092,421.092,421.092,421.092,0,0
ATG_MV,D,20070912,000000,424.688,424.688,424.688,424.688,0,0
ATG_MV,D,20070913,000000,424.688,424.688,424.688,424.688,0,0
ATG_MV,D,20070914,000000,424.688,424.688,424.688,424.688,0,0
ATG_MV,D,20070917,000000,414.457,414.457,414.457,414.457,0,0
ATG_MV,D,20070918,000000,409.34,409.34,409.34,409.34,0,0
ATG_MV,D,20070919,000000,424.688,424.688,424.688,424.688,0,0
ATG_MV,D,20070920,000000,423.823,423.823,423.823,423.823,0,0
ATG_MV,D,20070921,000000,426.385,426.385,426.385,426.385,0,0
ATG_MV,D,20070924,000000,422.974,422.974,422.974,422.974,0,0
ATG_MV,D,20070925,000000,422.797,422.797,422.797,422.797,0,0
ATG_MV,D,20070926,000000,460.491,460.491,460.491,460.491,0,0
ATG_MV,D,20070927,000000,459.65,459.65,459.65,459.65,0,0
ATG_MV,D,20070928,000000,418.716,418.716,418.716,418.716,0,0
ATG_MV,D,20071001,000000,422.126,422.126,422.126,422.126,0,0
ATG_MV,D,20071002,000000,422.974,422.974,422.974,422.974,0,0
ATG_MV,D,20071003,000000,417.858,417.858,417.858,417.858,0,0
ATG_MV,D,20071004,000000,405.064,405.064,405.064,405.064,0,0
ATG_MV,D,20071005,000000,426.385,426.385,426.385,426.385,0,0
ATG_MV,D,20071008,000000,426.385,426.385,426.385,426.385,0,0
ATG_MV,D,20071009,000000,460.491,460.491,460.491,460.491,0,0
ATG_MV,D,20071010,000000,460.491,460.491,460.491,460.491,0,0
ATG_MV,D,20071011,000000,465.615,465.615,465.615,465.615,0,0
ATG_MV,D,20071012,000000,472.436,472.436,472.436,472.436,0,0
ATG_MV,D,20071015,000000,493.756,493.756,493.756,493.756,0,0
ATG_MV,D,20071016,000000,486.087,486.087,486.087,486.087,0,0
ATG_MV,D,20071017,000000,510.81,510.81,510.81,510.81,0,0
ATG_MV,D,20071018,000000,494.605,494.605,494.605,494.605,0,0
ATG_MV,D,20071019,000000,486.087,486.087,486.087,486.087,0,0
ATG_MV,D,20071022,000000,485.575,485.575,485.575,485.575,0,0
ATG_MV,D,20071023,000000,580.196,580.196,580.196,580.196,0,0
ATG_MV,D,20071024,000000,580.196,580.196,580.196,580.196,0,0
ATG_MV,D,20071025,000000,570.424,570.424,570.424,570.424,0,0
