<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATP_MV,D,20070813,000000,46.7654,46.7654,46.7654,46.7654,0,0
ATP_MV,D,20070814,000000,47.4912,47.4912,47.4912,47.4912,0,0
ATP_MV,D,20070816,000000,44.2771,44.2771,44.2771,44.2771,0,0
ATP_MV,D,20070817,000000,43.8384,43.8384,43.8384,43.8384,0,0
ATP_MV,D,20070820,000000,46.5802,46.5802,46.5802,46.5802,0,0
ATP_MV,D,20070821,000000,43.1078,43.1078,43.1078,43.1078,0,0
ATP_MV,D,20070822,000000,46.0349,46.0349,46.0349,46.0349,0,0
ATP_MV,D,20070823,000000,45.2659,45.2659,45.2659,45.2659,0,0
ATP_MV,D,20070824,000000,45.2659,45.2659,45.2659,45.2659,0,0
ATP_MV,D,20070827,000000,44.4278,44.4278,44.4278,44.4278,0,0
ATP_MV,D,20070828,000000,44.7936,44.7936,44.7936,44.7936,0,0
ATP_MV,D,20070829,000000,46.0349,46.0349,46.0349,46.0349,0,0
ATP_MV,D,20070830,000000,45.4829,45.4829,45.4829,45.4829,0,0
ATP_MV,D,20070831,000000,45.6691,45.6691,45.6691,45.6691,0,0
ATP_MV,D,20070903,000000,45.7046,45.7046,45.7046,45.7046,0,0
ATP_MV,D,20070904,000000,45.8851,45.8851,45.8851,45.8851,0,0
ATP_MV,D,20070905,000000,45.6691,45.6691,45.6691,45.6691,0,0
ATP_MV,D,20070906,000000,45.3005,45.3005,45.3005,45.3005,0,0
ATP_MV,D,20070907,000000,45.6691,45.6691,45.6691,45.6691,0,0
ATP_MV,D,20070910,000000,45.4829,45.4829,45.4829,45.4829,0,0
ATP_MV,D,20070911,000000,45.3005,45.3005,45.3005,45.3005,0,0
ATP_MV,D,20070912,000000,45.3005,45.3005,45.3005,45.3005,0,0
ATP_MV,D,20070913,000000,45.6691,45.6691,45.6691,45.6691,0,0
ATP_MV,D,20070914,000000,45.6691,45.6691,45.6691,45.6691,0,0
ATP_MV,D,20070917,000000,45.6691,45.6691,45.6691,45.6691,0,0
ATP_MV,D,20070918,000000,44.5709,44.5709,44.5709,44.5709,0,0
ATP_MV,D,20070919,000000,44.3904,44.3904,44.3904,44.3904,0,0
ATP_MV,D,20070920,000000,44.5709,44.5709,44.5709,44.5709,0,0
ATP_MV,D,20070921,000000,45.4829,45.4829,45.4829,45.4829,0,0
ATP_MV,D,20070924,000000,44.3904,44.3904,44.3904,44.3904,0,0
ATP_MV,D,20070925,000000,44.2061,44.2061,44.2061,44.2061,0,0
ATP_MV,D,20070926,000000,43.4371,43.4371,43.4371,43.4371,0,0
ATP_MV,D,20070927,000000,45.3005,45.3005,45.3005,45.3005,0,0
ATP_MV,D,20070928,000000,43.8384,43.8384,43.8384,43.8384,0,0
ATP_MV,D,20071001,000000,43.8384,43.8384,43.8384,43.8384,0,0
ATP_MV,D,20071002,000000,44.2061,44.2061,44.2061,44.2061,0,0
ATP_MV,D,20071003,000000,43.4736,43.4736,43.4736,43.4736,0,0
ATP_MV,D,20071004,000000,43.6589,43.6589,43.6589,43.6589,0,0
ATP_MV,D,20071005,000000,43.6589,43.6589,43.6589,43.6589,0,0
ATP_MV,D,20071008,000000,43.1078,43.1078,43.1078,43.1078,0,0
ATP_MV,D,20071009,000000,43.1078,43.1078,43.1078,43.1078,0,0
ATP_MV,D,20071010,000000,43.1078,43.1078,43.1078,43.1078,0,0
ATP_MV,D,20071011,000000,42.3043,42.3043,42.3043,42.3043,0,0
ATP_MV,D,20071012,000000,42.0163,42.0163,42.0163,42.0163,0,0
ATP_MV,D,20071015,000000,42.0163,42.0163,42.0163,42.0163,0,0
ATP_MV,D,20071016,000000,42.0163,42.0163,42.0163,42.0163,0,0
ATP_MV,D,20071017,000000,42.0163,42.0163,42.0163,42.0163,0,0
ATP_MV,D,20071018,000000,42.0163,42.0163,42.0163,42.0163,0,0
ATP_MV,D,20071019,000000,42.8554,42.8554,42.8554,42.8554,0,0
ATP_MV,D,20071022,000000,42.0518,42.0518,42.0518,42.0518,0,0
ATP_MV,D,20071023,000000,41.8291,41.8291,41.8291,41.8291,0,0
ATP_MV,D,20071024,000000,42.0163,42.0163,42.0163,42.0163,0,0
ATP_MV,D,20071025,000000,41.6506,41.6506,41.6506,41.6506,0,0
ATP_MV,D,20071026,000000,41.6506,41.6506,41.6506,41.6506,0,0
ATP_MV,D,20071029,000000,41.6506,41.6506,41.6506,41.6506,0,0
ATP_MV,D,20071030,000000,41.6506,41.6506,41.6506,41.6506,0,0
ATP_MV,D,20071031,000000,40.919,40.919,40.919,40.919,0,0
ATP_MV,D,20071102,000000,40.919,40.919,40.919,40.919,0,0
ATP_MV,D,20071105,000000,38.7226,38.7226,38.7226,38.7226,0,0
ATP_MV,D,20071106,000000,36.5357,36.5357,36.5357,36.5357,0,0
ATP_MV,D,20071107,000000,35.4739,35.4739,35.4739,35.4739,0,0
ATP_MV,D,20071108,000000,34.7059,34.7059,34.7059,34.7059,0,0
ATP_MV,D,20071109,000000,34.0522,34.7414,33.9734,33.9734,0,0
ATP_MV,D,20071112,000000,34.0522,34.0522,31.8202,31.8202,0,0
ATP_MV,D,20071113,000000,33.4282,33.4282,31.8202,32.4806,0,0
ATP_MV,D,20071114,000000,33.1334,33.1334,29.2666,29.2666,0,0
ATP_MV,D,20071115,000000,33.1334,33.1334,28.1328,28.1328,0,0
ATP_MV,D,20071116,000000,25.9373,28.1328,24.1498,24.8045,0,0
ATP_MV,D,20071119,000000,24.8045,25.9373,24.8045,25.1702,0,0
ATP_MV,D,20071120,000000,24.697,24.697,22.7222,24.6605,0,0
ATP_MV,D,20071122,000000,24.6605,27.0355,24.1853,26.0102,0,0
ATP_MV,D,20071123,000000,26.0102,28.0954,25.9373,27.9456,0,0
ATP_MV,D,20071126,000000,29.2301,29.2301,25.9373,26.303,0,0
ATP_MV,D,20071127,000000,25.8288,25.8288,25.5734,25.5734,0,0
ATP_MV,D,20071128,000000,25.5734,25.9373,24.2957,25.9373,0,0
ATP_MV,D,20071129,000000,25.9373,27.3648,25.9373,27.0355,0,0
ATP_MV,D,20071130,000000,27.0355,27.3648,27.0355,27.3648,0,0
ATP_MV,D,20071203,000000,28.4976,28.4976,26.303,27.4022,0,0
ATP_MV,D,20071204,000000,27.143,27.3648,25.7578,25.7578,0,0
ATP_MV,D,20071205,000000,26.855,26.855,25.7578,25.7578,0,0
ATP_MV,D,20071206,000000,27.215,27.215,27.143,27.143,0,0
ATP_MV,D,20071210,000000,26.928,26.928,26.928,26.928,0,0
ATP_MV,D,20071211,000000,27.0355,27.5808,26.928,26.928,0,0
ATP_MV,D,20071212,000000,26.855,26.855,25.3901,25.3901,0,0
ATP_MV,D,20071213,000000,26.928,26.928,25.0262,25.0262,0,0
ATP_MV,D,20071214,000000,24.6605,27.0355,24.6605,27.0355,0,0
ATP_MV,D,20071217,000000,26.303,26.303,25.6502,26.2675,0,0
ATP_MV,D,20071218,000000,25.7933,26.1235,24.481,25.5734,0,0
ATP_MV,D,20071219,000000,25.2067,25.2067,24.6605,25.1347,0,0
ATP_MV,D,20071220,000000,24.6605,24.6605,24.1853,24.6605,0,0
ATP_MV,D,20071221,000000,24.2957,24.2957,23.7485,23.7485,0,0
ATP_MV,D,20071227,000000,23.7485,23.7485,23.7485,23.7485,0,0
ATP_MV,D,20071228,000000,24.839,24.839,24.839,24.839,0,0
ATP_MV,D,20080102,000000,24.6605,24.6605,24.6605,24.6605,0,0
ATP_MV,D,20080104,000000,25.5734,25.5734,23.7485,24.8045,0,0
ATP_MV,D,20080109,000000,23.3837,24.839,23.3837,24.481,0,0
