<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATR_PE,D,20090107,000000,14.1439,14.1439,14.1439,14.1439,0,0
ATR_PE,D,20090108,000000,13.6618,13.9029,13.6618,13.9029,0,0
ATR_PE,D,20090112,000000,13.8222,14.7871,13.8222,13.9835,0,0
ATR_PE,D,20090113,000000,13.6618,14.7871,13.6618,14.7065,0,0
ATR_PE,D,20090114,000000,14.7065,15.1087,14.0633,14.9475,0,0
ATR_PE,D,20090115,000000,14.3849,14.9475,14.3849,14.3849,0,0
ATR_PE,D,20090116,000000,14.0633,14.7065,14.0633,14.1439,0,0
ATR_PE,D,20090119,000000,15.0281,15.0281,15.0281,15.0281,0,0
ATR_PE,D,20090120,000000,13.9835,14.4654,13.7416,14.4654,0,0
ATR_PE,D,20090121,000000,14.4654,14.4654,13.9029,13.9029,0,0
ATR_PE,D,20090122,000000,13.8222,14.2245,13.8222,14.1439,0,0
ATR_PE,D,20090123,000000,14.3849,14.3849,13.5813,14.3849,0,0
ATR_PE,D,20090126,000000,14.4654,14.4654,13.3403,13.5007,0,0
ATR_PE,D,20090127,000000,13.5007,13.5007,13.179,13.4218,0,0
ATR_PE,D,20090128,000000,13.5007,13.5007,13.4218,13.5007,0,0
ATR_PE,D,20090129,000000,13.3403,13.4218,13.3403,13.4218,0,0
ATR_PE,D,20090130,000000,13.2597,13.2597,13.1001,13.179,0,0
ATR_PE,D,20090202,000000,13.3403,13.3403,11.4921,12.2159,0,0
ATR_PE,D,20090203,000000,12.2159,12.2159,11.6525,11.6525,0,0
ATR_PE,D,20090204,000000,11.6525,11.6525,11.0899,11.2512,0,0
ATR_PE,D,20090205,000000,10.4467,11.4115,9.88404,11.1714,0,0
ATR_PE,D,20090206,000000,11.1714,13.4218,11.1714,11.8944,0,0
ATR_PE,D,20090209,000000,11.2512,11.9741,11.2512,11.9741,0,0
ATR_PE,D,20090210,000000,12.2957,12.6971,11.6525,12.6971,0,0
ATR_PE,D,20090211,000000,13.0186,13.4218,12.6165,12.6971,0,0
ATR_PE,D,20090212,000000,13.0186,13.0186,13.0186,13.0186,0,0
ATR_PE,D,20090213,000000,13.0186,13.179,13.0186,13.1001,0,0
ATR_PE,D,20090216,000000,12.7786,12.938,11.5727,11.6525,0,0
ATR_PE,D,20090217,000000,11.2512,11.2512,10.5273,10.5273,0,0
ATR_PE,D,20090218,000000,10.2872,10.2872,10.0462,10.2057,0,0
ATR_PE,D,20090219,000000,10.4467,10.4467,10.4467,10.4467,0,0
ATR_PE,D,20090220,000000,10.4467,10.4467,10.4467,10.4467,0,0
ATR_PE,D,20090223,000000,9.96552,10.4467,9.96552,10.4467,0,0
ATR_PE,D,20090224,000000,10.4467,11.4921,9.72456,11.4115,0,0
ATR_PE,D,20090225,000000,11.0899,12.3754,11.0899,11.6525,0,0
ATR_PE,D,20090226,000000,11.7331,12.2159,11.7331,12.2159,0,0
ATR_PE,D,20090227,000000,11.6525,12.0539,11.6525,12.0539,0,0
ATR_PE,D,20090302,000000,11.8137,11.8137,5.3844,5.3844,0,0
ATR_PE,D,20090303,000000,5.14332,5.22359,5.06288,5.14332,0,0
ATR_PE,D,20090304,000000,4.98252,5.30404,4.98252,5.30404,0,0
ATR_PE,D,20090305,000000,5.30404,5.54503,5.22359,5.54503,0,0
ATR_PE,D,20090306,000000,5.3844,5.54503,5.06288,5.54503,0,0
ATR_PE,D,20090309,000000,5.22359,5.22359,5.22359,5.22359,0,0
ATR_PE,D,20090310,000000,5.22359,5.22359,4.90224,4.90224,0,0
ATR_PE,D,20090311,000000,4.90224,4.98252,4.90224,4.98252,0,0
ATR_PE,D,20090312,000000,4.90224,4.98252,4.90224,4.98252,0,0
ATR_PE,D,20090313,000000,4.90224,5.62548,4.90224,5.62548,0,0
ATR_PE,D,20090316,000000,5.06288,5.46476,5.06288,5.30404,0,0
ATR_PE,D,20090317,000000,5.62548,5.62548,5.46476,5.46476,0,0
ATR_PE,D,20090318,000000,5.62548,5.62548,5.54503,5.62548,0,0
ATR_PE,D,20090319,000000,5.62548,5.7862,5.62548,5.70575,0,0
ATR_PE,D,20090320,000000,5.7862,5.7862,5.7862,5.7862,0,0
ATR_PE,D,20090323,000000,5.86664,6.18799,5.7862,6.18799,0,0
ATR_PE,D,20090324,000000,6.18799,6.26835,6.18799,6.18799,0,0
ATR_PE,D,20090325,000000,6.26835,6.26835,6.10763,6.10763,0,0
ATR_PE,D,20090326,000000,6.42907,6.42907,6.42907,6.42907,0,0
