<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBT_MV,D,20190611,000000,219.453,219.453,219.453,219.453,0,0
BBT_MV,D,20190612,000000,218.42,224.021,200.522,202.22,0,0
BBT_MV,D,20190613,000000,202.22,218.306,199.918,199.918,0,0
BBT_MV,D,20190614,000000,205.895,211.409,198.536,209.554,0,0
BBT_MV,D,20190617,000000,212.565,212.565,201.073,207.961,0,0
BBT_MV,D,20190618,000000,211.409,211.409,201.073,202.22,0,0
BBT_MV,D,20190619,000000,202.22,202.22,186.134,187.517,0,0
BBT_MV,D,20190621,000000,188.436,200.504,188.436,195.393,0,0
BBT_MV,D,20190624,000000,195.323,195.323,185.232,190.492,0,0
BBT_MV,D,20190625,000000,190.492,201.651,175.221,197.626,0,0
BBT_MV,D,20190626,000000,194.414,200.381,188.567,198.203,0,0
BBT_MV,D,20190627,000000,201.651,205.624,196.015,198.203,0,0
BBT_MV,D,20190628,000000,201.073,205.318,194.203,203.367,0,0
BBT_MV,D,20190701,000000,211.313,213.711,203.367,212.565,0,0
BBT_MV,D,20190702,000000,211.987,235.538,211.987,232.091,0,0
BBT_MV,D,20190703,000000,232.091,232.091,221.998,228.642,0,0
BBT_MV,D,20190704,000000,229.105,229.105,214.166,218.306,0,0
BBT_MV,D,20190705,000000,216.003,218.306,208.241,211.987,0,0
BBT_MV,D,20190708,000000,216.591,218.306,209.116,213.711,0,0
BBT_MV,D,20190709,000000,216.003,220.835,213.711,218.306,0,0
BBT_MV,D,20190710,000000,221.614,222.647,216.003,219.225,0,0
BBT_MV,D,20190711,000000,221.684,221.684,214.621,221.158,0,0
BBT_MV,D,20190712,000000,221.063,221.063,218.306,218.306,0,0
BBT_MV,D,20190715,000000,221.158,232.44,220.608,224.608,0,0
BBT_MV,D,20190716,000000,227.451,235.538,224.047,226.348,0,0
BBT_MV,D,20190717,000000,231.985,233.246,228.642,229.858,0,0
BBT_MV,D,20190718,000000,234.278,234.278,226.348,231.46,0,0
BBT_MV,D,20190719,000000,229.797,234.392,226.804,232.895,0,0
BBT_MV,D,20190722,000000,233.009,233.823,225.203,229.797,0,0
BBT_MV,D,20190723,000000,232.204,232.204,224.047,227.496,0,0
BBT_MV,D,20190724,000000,227.496,227.496,224.047,224.047,0,0
BBT_MV,D,20190725,000000,226.348,226.348,213.711,214.288,0,0
BBT_MV,D,20190726,000000,214.288,214.858,210.718,214.473,0,0
BBT_MV,D,20190729,000000,214.473,215.663,210.263,213.143,0,0
BBT_MV,D,20190730,000000,214.263,218.306,210.263,212.565,0,0
BBT_MV,D,20190731,000000,217.501,217.501,205.668,212.565,0,0
BBT_MV,D,20190801,000000,213.685,213.685,211.409,212.565,0,0
BBT_MV,D,20190802,000000,213.711,213.711,208.075,212.565,0,0
BBT_MV,D,20190805,000000,212.565,212.565,201.073,204.495,0,0
BBT_MV,D,20190806,000000,201.344,237.726,201.344,212.101,0,0
BBT_MV,D,20190807,000000,216.003,234.969,216.003,229.228,0,0
BBT_MV,D,20190808,000000,234.33,256.219,234.33,251.624,0,0
BBT_MV,D,20190809,000000,255.309,257.715,247.029,251.449,0,0
BBT_MV,D,20190812,000000,250.477,251.449,236.633,247.029,0,0
BBT_MV,D,20190813,000000,241.288,245.822,235.538,241.288,0,0
BBT_MV,D,20190814,000000,244.159,244.159,229.797,237.84,0,0
BBT_MV,D,20190816,000000,232.204,243.468,232.204,243.354,0,0
BBT_MV,D,20190819,000000,243.582,254.959,243.582,251.624,0,0
BBT_MV,D,20190820,000000,251.624,252.77,247.72,252.665,0,0
BBT_MV,D,20190821,000000,251.86,252.429,243.695,248.114,0,0
BBT_MV,D,20190822,000000,243.582,246.46,235.538,242.89,0,0
BBT_MV,D,20190823,000000,242.89,248.867,242.89,245.191,0,0
BBT_MV,D,20190826,000000,244.727,272.077,244.727,271.158,0,0
BBT_MV,D,20190827,000000,268.287,275.753,264.262,268.857,0,0
BBT_MV,D,20190828,000000,272.305,272.305,261.4,261.969,0,0
BBT_MV,D,20190829,000000,264.034,271.158,261.969,267.71,0,0
BBT_MV,D,20190830,000000,270.012,272.305,264.201,269.662,0,0
BBT_MV,D,20190902,000000,269.662,270.012,264.551,264.551,0,0
BBT_MV,D,20190903,000000,266.449,266.449,252.77,262.424,0,0
BBT_MV,D,20190904,000000,264.034,268.752,261.4,265.995,0,0
BBT_MV,D,20190905,000000,270.012,270.012,259.151,259.151,0,0
BBT_MV,D,20190906,000000,262.197,264.034,256.797,258.17,0,0
BBT_MV,D,20190909,000000,258.52,261.969,248.176,248.754,0,0
BBT_MV,D,20190910,000000,248.176,252.605,236.684,245.594,0,0
BBT_MV,D,20190911,000000,241.288,251.624,238.47,250.477,0,0
BBT_MV,D,20190912,000000,250.477,252.542,243.695,250.477,0,0
BBT_MV,D,20190913,000000,251.624,258.52,251.624,256.105,0,0
BBT_MV,D,20190916,000000,259.211,259.211,248.063,252.77,0,0
BBT_MV,D,20190917,000000,252.77,256.157,242.033,248.176,0,0
BBT_MV,D,20190918,000000,247.029,247.029,227.496,234.155,0,0
BBT_MV,D,20190919,000000,233.246,238.987,228.187,237.84,0,0
BBT_MV,D,20190920,000000,238.987,240.072,232.091,233.246,0,0
BBT_MV,D,20190923,000000,234.155,238.417,231.398,232.151,0,0
BBT_MV,D,20190924,000000,229.797,234.33,220.161,221.64,0,0
BBT_MV,D,20190925,000000,219.566,237.726,219.453,237.726,0,0
BBT_MV,D,20190926,000000,241.288,251.624,241.288,245.882,0,0
BBT_MV,D,20190927,000000,224.047,229.333,205.668,205.668,0,0
BBT_MV,D,20190930,000000,201.073,201.073,163.152,166.032,0,0
BBT_MV,D,20191001,000000,163.038,167.747,149.945,164.307,0,0
BBT_MV,D,20191002,000000,164.071,168.902,152.93,157.41,0,0
BBT_MV,D,20191003,000000,160.859,163.152,151.704,159.94,0,0
BBT_MV,D,20191004,000000,162.355,176.708,159.94,166.599,0,0
BBT_MV,D,20191007,000000,164.307,166.599,159.248,159.248,0,0
BBT_MV,D,20191008,000000,162.924,162.924,156.264,160.29,0,0
BBT_MV,D,20191009,000000,160.053,160.859,148.221,148.221,0,0
BBT_MV,D,20191010,000000,141.325,141.903,114.789,114.789,0,0
BBT_MV,D,20191011,000000,111.454,128.687,111.454,118.369,0,0
BBT_MV,D,20191014,000000,119.725,119.725,116.627,119.358,0,0
BBT_MV,D,20191015,000000,119.262,119.358,115.008,119.148,0,0
BBT_MV,D,20191016,000000,116.741,119.498,115.699,115.699,0,0
BBT_MV,D,20191017,000000,116.049,119.498,115.699,116.671,0,0
BBT_MV,D,20191018,000000,116.671,116.671,110.536,114.438,0,0
BBT_MV,D,20191021,000000,111.682,118.229,111.682,117.432,0,0
BBT_MV,D,20191022,000000,117.432,122.937,116.644,118.342,0,0
BBT_MV,D,20191023,000000,120.075,122.368,117.196,119.262,0,0
BBT_MV,D,20191024,000000,119.498,121.099,115.813,115.813,0,0
BBT_MV,D,20191025,000000,114.894,117.774,114.894,114.894,0,0
BBT_MV,D,20191028,000000,114.894,117.774,103.412,111.104,0,0
BBT_MV,D,20191029,000000,107.437,107.437,96.6903,99.6136,0,0
BBT_MV,D,20191030,000000,97.6619,98.8085,93.3032,93.3032,0,0
BBT_MV,D,20191031,000000,90.0739,93.1813,85.0241,91.2116,0,0
BBT_MV,D,20191104,000000,91.8068,98.8085,91.8068,94.4677,0,0
BBT_MV,D,20191105,000000,98.117,98.3525,88.4723,94.6772,0,0
BBT_MV,D,20191106,000000,94.6772,95.9468,90.8791,90.8791,0,0
BBT_MV,D,20191107,000000,89.6189,92.4983,87.5534,90.7654,0,0
BBT_MV,D,20191108,000000,89.6189,91.9205,89.6189,91.8068,0,0
BBT_MV,D,20191112,000000,91.8068,91.8068,87.5534,90.1964,0,0
BBT_MV,D,20191113,000000,89.7326,90.1964,87.3258,87.3258,0,0
BBT_MV,D,20191114,000000,88.4723,88.4723,85.1361,88.236,0,0
BBT_MV,D,20191115,000000,90.1789,90.1789,86.3368,89.0499,0,0
BBT_MV,D,20191118,000000,90.1789,91.1154,88.7087,90.8879,0,0
BBT_MV,D,20191119,000000,90.8879,90.8879,89.4963,90.4327,0,0
BBT_MV,D,20191120,000000,90.1964,90.4327,88.1047,89.8552,0,0
BBT_MV,D,20191121,000000,87.8772,91.8243,87.8772,91.3604,0,0
BBT_MV,D,20191122,000000,91.4654,91.4654,86.9504,88.1047,0,0
BBT_MV,D,20191125,000000,87.8772,95.6308,87.6497,92.5158,0,0
BBT_MV,D,20191126,000000,89.2687,92.7432,89.2687,92.7348,0,0
BBT_MV,D,20191127,000000,90.4327,90.4327,88.1047,90.4327,0,0
BBT_MV,D,20191128,000000,85.7934,90.4327,70.6493,72.3418,0,0
BBT_MV,D,20191129,000000,74.4072,74.4072,73.0419,73.0419,0,0
BBT_MV,D,20191202,000000,73.0419,73.0419,70.139,71.8675,0,0
BBT_MV,D,20191203,000000,70.9512,70.9512,67.2623,67.2623,0,0
BBT_MV,D,20191204,000000,66.7792,66.7792,61.5867,65.5005,0,0
BBT_MV,D,20191205,000000,68.4026,86.0262,68.4026,86.0262,0,0
BBT_MV,D,20191206,000000,83.4689,91.8243,78.6055,81.154,0,0
BBT_MV,D,20191209,000000,81.154,85.0504,79.9962,80.713,0,0
BBT_MV,D,20191210,000000,80.713,81.2661,76.6355,79.4265,0,0
BBT_MV,D,20191211,000000,79.9962,80.8084,75.124,77.4135,0,0
BBT_MV,D,20191212,000000,76.5146,79.0633,73.6205,76.7483,0,0
BBT_MV,D,20191213,000000,76.8603,77.9054,71.8753,74.0791,0,0
BBT_MV,D,20191216,000000,75.2448,75.2448,70.139,71.8753,0,0
BBT_MV,D,20191217,000000,71.8753,73.3877,68.1698,69.4485,0,0
BBT_MV,D,20191218,000000,67.4697,71.5305,66.1997,67.9361,0,0
