<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCM_MV,D,20070813,000000,23.3014,23.3014,23.3014,23.3014,0,0
BCM_MV,D,20070814,000000,23.4151,23.4151,23.4151,23.4151,0,0
BCM_MV,D,20070816,000000,22.4376,22.4376,22.4376,22.4376,0,0
BCM_MV,D,20070817,000000,20.919,20.919,20.919,20.919,0,0
BCM_MV,D,20070820,000000,20.8398,20.8398,20.8398,20.8398,0,0
BCM_MV,D,20070821,000000,20.5042,20.5042,20.5042,20.5042,0,0
BCM_MV,D,20070822,000000,21.149,21.149,21.149,21.149,0,0
BCM_MV,D,20070823,000000,21.8801,21.8801,21.8801,21.8801,0,0
BCM_MV,D,20070824,000000,21.7273,21.7273,21.7273,21.7273,0,0
BCM_MV,D,20070827,000000,22.0047,22.0047,22.0047,22.0047,0,0
BCM_MV,D,20070828,000000,21.7492,21.7492,21.7492,21.7492,0,0
BCM_MV,D,20070829,000000,21.4827,21.4827,21.4827,21.4827,0,0
BCM_MV,D,20070830,000000,22.0047,22.0047,22.0047,22.0047,0,0
BCM_MV,D,20070831,000000,22.3284,22.3284,22.3284,22.3284,0,0
BCM_MV,D,20070903,000000,23.3014,23.3014,23.3014,23.3014,0,0
BCM_MV,D,20070904,000000,23.6306,23.6306,23.6306,23.6306,0,0
BCM_MV,D,20070905,000000,23.8071,23.8071,23.8071,23.8071,0,0
BCM_MV,D,20070906,000000,22.7676,22.7676,22.7676,22.7676,0,0
BCM_MV,D,20070907,000000,22.7676,22.7676,22.7676,22.7676,0,0
BCM_MV,D,20070910,000000,22.4267,22.4267,22.4267,22.4267,0,0
BCM_MV,D,20070911,000000,22.5576,22.5576,22.5576,22.5576,0,0
BCM_MV,D,20070912,000000,22.1129,22.1129,22.1129,22.1129,0,0
BCM_MV,D,20070913,000000,21.891,21.891,21.891,21.891,0,0
BCM_MV,D,20070914,000000,22.2329,22.2329,22.2329,22.2329,0,0
BCM_MV,D,20070917,000000,22.3411,22.3411,22.3411,22.3411,0,0
BCM_MV,D,20070918,000000,22.5576,22.5576,22.5576,22.5576,0,0
BCM_MV,D,20070919,000000,22.5576,22.5576,22.5576,22.5576,0,0
BCM_MV,D,20070920,000000,22.5576,22.5576,22.5576,22.5576,0,0
BCM_MV,D,20070921,000000,22.4493,22.4493,22.4493,22.4493,0,0
BCM_MV,D,20070924,000000,22.5576,22.5576,22.5576,22.5576,0,0
BCM_MV,D,20070925,000000,22.7676,22.7676,22.7676,22.7676,0,0
BCM_MV,D,20070926,000000,22.5576,22.5576,22.5576,22.5576,0,0
BCM_MV,D,20070927,000000,23.0404,23.0404,23.0404,23.0404,0,0
BCM_MV,D,20070928,000000,22.9832,22.9832,22.9832,22.9832,0,0
BCM_MV,D,20071001,000000,23.0796,23.0796,23.0796,23.0796,0,0
BCM_MV,D,20071002,000000,22.6304,22.6304,22.6304,22.6304,0,0
BCM_MV,D,20071003,000000,22.7449,22.7449,22.7449,22.7449,0,0
BCM_MV,D,20071004,000000,22.7676,22.7676,22.7676,22.7676,0,0
BCM_MV,D,20071005,000000,22.5576,22.5576,22.5576,22.5576,0,0
BCM_MV,D,20071008,000000,22.9723,22.9723,22.9723,22.9723,0,0
BCM_MV,D,20071009,000000,22.9886,22.9886,22.9886,22.9886,0,0
BCM_MV,D,20071010,000000,23.1487,23.1487,23.1487,23.1487,0,0
BCM_MV,D,20071011,000000,22.8758,22.8758,22.8758,22.8758,0,0
BCM_MV,D,20071012,000000,22.8758,22.8758,22.8758,22.8758,0,0
BCM_MV,D,20071015,000000,23.126,23.126,23.126,23.126,0,0
BCM_MV,D,20071016,000000,23.8034,23.8034,23.8034,23.8034,0,0
BCM_MV,D,20071017,000000,23.8071,23.8071,23.8071,23.8071,0,0
BCM_MV,D,20071018,000000,23.8634,23.8634,23.8634,23.8634,0,0
