<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDX_MV,D,20070813,000000,906.837,906.837,906.837,906.837,0,0
BDX_MV,D,20070814,000000,895.889,895.889,895.889,895.889,0,0
BDX_MV,D,20070816,000000,818.283,818.283,818.283,818.283,0,0
BDX_MV,D,20070817,000000,749.951,749.951,749.951,749.951,0,0
BDX_MV,D,20070820,000000,759.224,759.224,759.224,759.224,0,0
BDX_MV,D,20070821,000000,734.757,734.757,734.757,734.757,0,0
BDX_MV,D,20070822,000000,750.776,750.776,750.776,750.776,0,0
BDX_MV,D,20070823,000000,747.816,747.816,747.816,747.816,0,0
BDX_MV,D,20070824,000000,735.182,735.182,735.182,735.182,0,0
BDX_MV,D,20070827,000000,736.866,736.866,736.866,736.866,0,0
BDX_MV,D,20070828,000000,708.605,708.605,708.605,708.605,0,0
BDX_MV,D,20070829,000000,692.585,692.585,692.585,692.585,0,0
BDX_MV,D,20070830,000000,669.802,669.802,669.802,669.802,0,0
BDX_MV,D,20070831,000000,674.872,674.872,674.872,674.872,0,0
BDX_MV,D,20070903,000000,691.309,691.309,691.309,691.309,0,0
BDX_MV,D,20070904,000000,687.523,687.523,687.523,687.523,0,0
BDX_MV,D,20070905,000000,725.475,725.475,725.475,725.475,0,0
BDX_MV,D,20070906,000000,758.382,758.382,758.382,758.382,0,0
BDX_MV,D,20070907,000000,749.525,749.525,749.525,749.525,0,0
BDX_MV,D,20070910,000000,708.605,708.605,708.605,708.605,0,0
BDX_MV,D,20070911,000000,671.495,671.495,671.495,671.495,0,0
BDX_MV,D,20070912,000000,657.577,657.577,657.577,657.577,0,0
BDX_MV,D,20070913,000000,660.946,660.946,660.946,660.946,0,0
BDX_MV,D,20070914,000000,641.532,641.532,641.532,641.532,0,0
BDX_MV,D,20070917,000000,653.774,653.774,653.774,653.774,0,0
BDX_MV,D,20070918,000000,657.143,657.143,657.143,657.143,0,0
BDX_MV,D,20070919,000000,649.554,649.554,649.554,649.554,0,0
BDX_MV,D,20070920,000000,624.236,624.236,624.236,624.236,0,0
BDX_MV,D,20070921,000000,620.034,620.034,620.034,620.034,0,0
BDX_MV,D,20070924,000000,628.464,628.464,628.464,628.464,0,0
BDX_MV,D,20070925,000000,601.47,601.47,601.47,601.47,0,0
BDX_MV,D,20070926,000000,596.417,596.417,596.417,596.417,0,0
BDX_MV,D,20070927,000000,603.163,603.163,603.163,603.163,0,0
BDX_MV,D,20070928,000000,598.935,598.935,598.935,598.935,0,0
BDX_MV,D,20071001,000000,598.935,598.935,598.935,598.935,0,0
BDX_MV,D,20071002,000000,584.174,584.174,584.174,584.174,0,0
BDX_MV,D,20071003,000000,616.23,616.23,616.23,616.23,0,0
BDX_MV,D,20071004,000000,590.921,590.921,590.921,590.921,0,0
BDX_MV,D,20071005,000000,603.163,603.163,603.163,603.163,0,0
BDX_MV,D,20071008,000000,574.476,574.476,574.476,574.476,0,0
BDX_MV,D,20071009,000000,582.498,582.498,582.498,582.498,0,0
BDX_MV,D,20071010,000000,587.127,587.127,587.127,587.127,0,0
BDX_MV,D,20071011,000000,583.749,583.749,583.749,583.749,0,0
BDX_MV,D,20071012,000000,582.082,582.082,582.082,582.082,0,0
BDX_MV,D,20071015,000000,569.414,569.414,569.414,569.414,0,0
BDX_MV,D,20071016,000000,554.653,554.653,554.653,554.653,0,0
BDX_MV,D,20071017,000000,560.983,560.983,560.983,560.983,0,0
BDX_MV,D,20071018,000000,570.265,570.265,570.265,570.265,0,0
BDX_MV,D,20071019,000000,565.211,565.211,565.211,565.211,0,0
BDX_MV,D,20071022,000000,560.983,560.983,560.983,560.983,0,0
BDX_MV,D,20071023,000000,565.211,565.211,565.211,565.211,0,0
BDX_MV,D,20071024,000000,600.637,600.637,600.637,600.637,0,0
BDX_MV,D,20071025,000000,615.389,615.389,615.389,615.389,0,0
BDX_MV,D,20071026,000000,607.374,607.374,607.374,607.374,0,0
BDX_MV,D,20071029,000000,628.464,628.464,628.464,628.464,0,0
BDX_MV,D,20071030,000000,638.154,638.154,638.154,638.154,0,0
BDX_MV,D,20071031,000000,624.236,624.236,624.236,624.236,0,0
BDX_MV,D,20071102,000000,609.918,609.918,609.918,609.918,0,0
BDX_MV,D,20071105,000000,617.498,617.498,617.498,617.498,0,0
BDX_MV,D,20071106,000000,624.236,624.236,624.236,624.236,0,0
BDX_MV,D,20071107,000000,638.588,638.588,638.588,638.588,0,0
BDX_MV,D,20071108,000000,620.034,620.034,620.034,620.034,0,0
BDX_MV,D,20071109,000000,615.822,620.034,607.791,607.791,0,0
BDX_MV,D,20071112,000000,608.216,627.205,607.791,609.059,0,0
BDX_MV,D,20071113,000000,628.464,628.464,608.216,608.642,0,0
BDX_MV,D,20071114,000000,626.797,626.797,608.642,615.822,0,0
BDX_MV,D,20071115,000000,601.47,615.822,599.786,606.532,0,0
BDX_MV,D,20071116,000000,598.935,606.532,594.732,597.258,0,0
BDX_MV,D,20071119,000000,594.732,615.822,594.732,615.822,0,0
BDX_MV,D,20071120,000000,607.374,624.236,603.163,609.059,0,0
BDX_MV,D,20071121,000000,604.005,620.034,604.005,608.216,0,0
BDX_MV,D,20071122,000000,608.642,638.588,608.642,632.684,0,0
BDX_MV,D,20071123,000000,636.895,698.489,633.535,668.109,0,0
BDX_MV,D,20071126,000000,673.171,740.235,673.171,708.605,0,0
BDX_MV,D,20071127,000000,706.92,706.92,649.554,657.577,0,0
BDX_MV,D,20071128,000000,674.872,674.872,645.343,664.731,0,0
BDX_MV,D,20071129,000000,674.872,683.295,641.115,641.115,0,0
BDX_MV,D,20071130,000000,645.343,646.185,629.732,641.115,0,0
BDX_MV,D,20071203,000000,633.535,655.45,633.535,649.554,0,0
BDX_MV,D,20071204,000000,646.185,656.318,644.076,644.076,0,0
BDX_MV,D,20071205,000000,641.115,690.892,641.115,687.523,0,0
BDX_MV,D,20071206,000000,690.892,690.892,665.574,674.872,0,0
BDX_MV,D,20071207,000000,683.295,688.365,674.872,683.295,0,0
BDX_MV,D,20071210,000000,687.523,691.735,679.926,688.365,0,0
BDX_MV,D,20071211,000000,690.05,705.653,684.996,698.064,0,0
BDX_MV,D,20071212,000000,686.673,725.475,686.673,725.475,0,0
BDX_MV,D,20071213,000000,717.035,717.035,702.7,708.605,0,0
BDX_MV,D,20071214,000000,709.447,724.642,709.447,718.737,0,0
BDX_MV,D,20071217,000000,701.858,712.816,701.858,709.03,0,0
BDX_MV,D,20071218,000000,709.03,739.818,709.03,725.475,0,0
BDX_MV,D,20071219,000000,725.475,739.402,719.154,725.475,0,0
BDX_MV,D,20071220,000000,733.081,765.128,728.861,752.478,0,0
BDX_MV,D,20071221,000000,751.627,759.224,744.889,744.889,0,0
BDX_MV,D,20071227,000000,744.889,783.683,744.889,778.629,0,0
BDX_MV,D,20071228,000000,776.095,781.999,776.095,776.095,0,0
BDX_MV,D,20080102,000000,776.095,835.136,776.095,824.179,0,0
