<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDX_PE,D,20070813,000000,604.15,604.15,604.15,604.15,0,0
BDX_PE,D,20070814,000000,596.842,596.842,596.842,596.842,0,0
BDX_PE,D,20070816,000000,545.142,545.142,545.142,545.142,0,0
BDX_PE,D,20080225,000000,29.0445,29.0445,29.0445,29.0445,0,0
BDX_PE,D,20080226,000000,29.0445,29.0445,28.2516,28.2516,0,0
BDX_PE,D,20080227,000000,28.1521,28.2848,28.0874,28.1189,0,0
BDX_PE,D,20080228,000000,28.1189,50.3234,28.0874,50.3234,0,0
BDX_PE,D,20080229,000000,48.5394,49.5314,48.5394,49.4642,0,0
BDX_PE,D,20080303,000000,48.7053,48.7053,47.02,47.2522,0,0
BDX_PE,D,20080304,000000,46.7554,47.2522,44.7714,45.0692,0,0
BDX_PE,D,20080305,000000,45.2682,45.3346,45.0692,45.2682,0,0
BDX_PE,D,20080306,000000,45.202,45.9302,45.0692,45.3346,0,0
BDX_PE,D,20080307,000000,44.5426,45.3346,44.5426,45.0692,0,0
BDX_PE,D,20080310,000000,44.8718,45.7643,44.8718,45.3346,0,0
BDX_PE,D,20080311,000000,45.3346,45.8961,44.5426,45.8961,0,0
BDX_PE,D,20080312,000000,46.4584,48.5394,45.8961,48.5394,0,0
BDX_PE,D,20080313,000000,46.2594,48.5394,46.2594,46.5904,0,0
BDX_PE,D,20080314,000000,46.5904,46.5904,46.49,46.5904,0,0
BDX_PE,D,20080317,000000,45.3661,45.4002,44.6412,45.0028,0,0
BDX_PE,D,20080318,000000,44.8063,44.8063,44.6736,44.7392,0,0
BDX_PE,D,20080319,000000,44.8063,46.2918,44.5094,46.2918,0,0
BDX_PE,D,20080320,000000,46.1598,46.1598,44.5741,45.3346,0,0
BDX_PE,D,20080325,000000,45.5328,45.5984,45.4333,45.4665,0,0
BDX_PE,D,20080326,000000,46.1947,46.1947,44.7714,45.731,0,0
BDX_PE,D,20080327,000000,45.6315,46.7554,45.5661,46.7554,0,0
BDX_PE,D,20080328,000000,46.7554,46.7554,46.4584,46.4584,0,0
BDX_PE,D,20080331,000000,46.9196,46.9196,46.9196,46.9196,0,0
BDX_PE,D,20080401,000000,46.4584,46.9196,46.2271,46.8208,0,0
BDX_PE,D,20080402,000000,46.3589,47.054,46.3589,46.689,0,0
BDX_PE,D,20080403,000000,47.02,47.02,46.4584,46.5904,0,0
BDX_PE,D,20080404,000000,46.2594,46.9859,46.2594,46.4584,0,0
BDX_PE,D,20080407,000000,45.8961,46.4584,45.8961,46.1947,0,0
BDX_PE,D,20080408,000000,45.9302,45.9302,45.5005,45.5661,0,0
BDX_PE,D,20080409,000000,45.1024,45.4665,45.0028,45.4665,0,0
BDX_PE,D,20080410,000000,44.8063,45.4665,44.8063,44.8063,0,0
BDX_PE,D,20080411,000000,45.3346,45.4665,43.5506,43.6501,0,0
BDX_PE,D,20080414,000000,43.3848,43.3848,42.0627,42.2609,0,0
BDX_PE,D,20080415,000000,42.2609,42.5255,42.0295,42.0627,0,0
BDX_PE,D,20080416,000000,41.998,43.7812,41.998,43.6825,0,0
BDX_PE,D,20080417,000000,43.9794,44.7068,43.6825,43.7489,0,0
BDX_PE,D,20080418,000000,43.6501,43.9462,43.6501,43.6825,0,0
BDX_PE,D,20080421,000000,43.9794,43.9794,43.3848,43.3848,0,0
BDX_PE,D,20080422,000000,42.6258,42.6574,42.0295,42.2286,0,0
BDX_PE,D,20080423,000000,42.0295,43.617,41.5676,43.617,0,0
BDX_PE,D,20080424,000000,42.5587,43.5157,42.0958,42.2609,0,0
BDX_PE,D,20080425,000000,44.6072,44.6072,42.7237,43.7148,0,0
BDX_PE,D,20080428,000000,45.0028,46.1947,43.7148,45.8961,0,0
BDX_PE,D,20080429,000000,45.3346,45.731,44.8395,45.1696,0,0
BDX_PE,D,20080430,000000,44.9041,45.1696,20.8833,20.8833,0,0
BDX_PE,D,20080505,000000,21.3461,21.3461,20.9497,21.2134,0,0
BDX_PE,D,20080506,000000,21.4771,21.4771,20.9497,21.2134,0,0
BDX_PE,D,20080507,000000,21.2134,21.4439,21.0815,21.3461,0,0
BDX_PE,D,20080508,000000,20.8509,21.278,20.8509,21.278,0,0
BDX_PE,D,20080509,000000,21.278,21.9067,21.278,21.5767,0,0
BDX_PE,D,20080512,000000,21.4771,21.8403,21.4116,21.7434,0,0
BDX_PE,D,20080513,000000,21.7434,21.9723,21.5443,21.5443,0,0
BDX_PE,D,20080514,000000,21.3461,21.7434,21.3121,21.3775,0,0
BDX_PE,D,20080515,000000,21.3461,21.643,21.3461,21.643,0,0
BDX_PE,D,20080516,000000,21.4116,21.7758,21.4116,21.7434,0,0
BDX_PE,D,20080519,000000,21.4771,21.8736,21.4771,21.8736,0,0
BDX_PE,D,20080520,000000,21.8736,22.1382,21.5112,21.7434,0,0
BDX_PE,D,20080521,000000,21.8736,21.8736,21.5112,21.7102,0,0
BDX_PE,D,20080523,000000,21.7102,22.1382,21.5112,22.1382,0,0
BDX_PE,D,20080526,000000,22.0063,22.0063,21.3461,21.3775,0,0
BDX_PE,D,20080527,000000,21.2134,21.4771,21.2134,21.4771,0,0
BDX_PE,D,20080528,000000,21.4771,21.5112,21.4771,21.5112,0,0
BDX_PE,D,20080529,000000,21.2134,21.7434,21.2134,21.7434,0,0
BDX_PE,D,20080530,000000,21.4771,22.0063,21.4771,21.7434,0,0
BDX_PE,D,20080602,000000,21.4771,21.8736,21.4771,21.643,0,0
BDX_PE,D,20080603,000000,21.4771,21.4771,21.4771,21.4771,0,0
BDX_PE,D,20080604,000000,21.5112,22.1058,21.5112,22.0063,0,0
BDX_PE,D,20080605,000000,21.7758,21.7758,21.7434,21.7434,0,0
BDX_PE,D,20080606,000000,21.7434,21.9408,21.7434,21.9408,0,0
BDX_PE,D,20080609,000000,21.7434,21.9408,21.5443,21.609,0,0
BDX_PE,D,20080610,000000,20.8833,21.609,20.8833,21.2134,0,0
BDX_PE,D,20080611,000000,21.016,21.2134,21.016,21.2134,0,0
BDX_PE,D,20080612,000000,20.6843,21.4771,20.6843,21.4771,0,0
BDX_PE,D,20080613,000000,21.2134,21.2134,21.0815,21.2134,0,0
BDX_PE,D,20080616,000000,21.2134,21.2134,20.982,21.2134,0,0
BDX_PE,D,20080617,000000,21.2134,21.2466,20.982,21.2466,0,0
BDX_PE,D,20080618,000000,21.2466,21.278,21.2466,21.278,0,0
BDX_PE,D,20080619,000000,21.278,21.278,21.1802,21.278,0,0
BDX_PE,D,20080620,000000,21.2134,21.2134,21.2134,21.2134,0,0
BDX_PE,D,20080623,000000,21.2134,21.3121,21.2134,21.3121,0,0
BDX_PE,D,20080624,000000,21.2466,21.5767,21.2134,21.2134,0,0
BDX_PE,D,20080625,000000,20.7174,21.1147,20.6843,20.7174,0,0
BDX_PE,D,20080626,000000,20.1891,20.4197,20.1891,20.2223,0,0
BDX_PE,D,20080627,000000,20.1559,20.2223,20.1559,20.1559,0,0
BDX_PE,D,20080630,000000,20.024,20.1559,19.859,19.9253,0,0
BDX_PE,D,20080701,000000,19.363,19.5944,19.363,19.4941,0,0
BDX_PE,D,20080702,000000,19.1316,19.4294,19.1316,19.2975,0,0
BDX_PE,D,20080703,000000,19.0976,19.0976,17.8418,18.4383,0,0
BDX_PE,D,20080704,000000,17.8418,17.8418,17.3799,17.3799,0,0
BDX_PE,D,20080707,000000,16.9826,16.9826,16.1914,16.6534,0,0
BDX_PE,D,20080708,000000,15.5627,16.4551,15.5627,15.9915,0,0
BDX_PE,D,20080709,000000,15.9915,16.6202,15.9915,16.6202,0,0
BDX_PE,D,20080710,000000,16.6202,16.6202,16.1914,16.1914,0,0
BDX_PE,D,20080711,000000,16.2892,17.2489,16.2892,17.2489,0,0
BDX_PE,D,20080714,000000,17.2489,18.5692,17.2489,17.2812,0,0
BDX_PE,D,20080715,000000,17.5135,17.5135,16.8857,17.1494,0,0
BDX_PE,D,20080716,000000,16.7206,16.9826,16.7206,16.9826,0,0
BDX_PE,D,20080717,000000,16.9826,17.5135,16.9826,17.2489,0,0
BDX_PE,D,20080718,000000,17.414,18.9666,17.3136,18.9666,0,0
BDX_PE,D,20080721,000000,18.9666,20.3541,18.9666,19.6276,0,0
BDX_PE,D,20080722,000000,19.8922,19.8922,19.6276,19.6276,0,0
BDX_PE,D,20080723,000000,19.7587,20.4197,19.5289,20.4197,0,0
BDX_PE,D,20080724,000000,20.1559,20.4197,20.0564,20.1219,0,0
BDX_PE,D,20080725,000000,19.859,19.9253,19.5289,19.9253,0,0
BDX_PE,D,20080728,000000,19.8922,19.9253,19.5289,19.7587,0,0
BDX_PE,D,20080729,000000,19.694,19.694,19.4941,19.5944,0,0
BDX_PE,D,20080730,000000,19.6276,20.4528,19.6276,20.3873,0,0
BDX_PE,D,20080731,000000,20.1891,20.1891,20.1559,20.1559,0,0
BDX_PE,D,20080801,000000,19.8922,19.8922,19.7587,19.859,0,0
BDX_PE,D,20080804,000000,19.5289,19.859,19.4941,19.859,0,0
BDX_PE,D,20080805,000000,19.5289,19.6276,19.4941,19.4941,0,0
BDX_PE,D,20080806,000000,19.694,19.7918,19.694,19.7918,0,0
BDX_PE,D,20080807,000000,19.6276,19.6276,19.4294,19.4294,0,0
BDX_PE,D,20080808,000000,19.4294,19.4294,19.363,19.363,0,0
BDX_PE,D,20080811,000000,19.4941,19.4941,19.363,19.363,0,0
BDX_PE,D,20080812,000000,19.3307,19.5944,19.0976,19.5944,0,0
BDX_PE,D,20080813,000000,19.363,19.8922,19.363,19.8922,0,0
BDX_PE,D,20080814,000000,20.2223,21.4439,20.2223,21.4116,0,0
BDX_PE,D,20080818,000000,21.7434,22.0063,10.6071,10.6071,0,0
BDX_PE,D,20080819,000000,10.4081,10.6071,10.4081,10.6071,0,0
BDX_PE,D,20080820,000000,10.4735,10.6071,10.4735,10.6071,0,0
BDX_PE,D,20080821,000000,10.6071,10.6726,10.6071,10.6726,0,0
BDX_PE,D,20080822,000000,10.7381,11.0027,10.7381,10.9696,0,0
BDX_PE,D,20080825,000000,10.9696,10.9696,10.9372,10.9696,0,0
BDX_PE,D,20080826,000000,10.6403,10.7058,10.6403,10.7058,0,0
BDX_PE,D,20080827,000000,10.6071,11.2673,10.4735,10.9372,0,0
BDX_PE,D,20080828,000000,10.9372,11.0027,10.87,11.0027,0,0
BDX_PE,D,20080829,000000,11.1363,11.2359,11.0691,11.2359,0,0
BDX_PE,D,20080901,000000,11.2026,11.2026,10.9372,11.0027,0,0
BDX_PE,D,20080902,000000,10.8385,11.1363,10.8385,11.0027,0,0
BDX_PE,D,20080903,000000,10.8385,11.0691,10.8045,11.0691,0,0
BDX_PE,D,20080904,000000,10.7714,11.0691,10.7714,10.9372,0,0
BDX_PE,D,20080905,000000,10.87,11.0691,10.87,10.9372,0,0
BDX_PE,D,20080908,000000,10.87,10.9372,10.6071,10.6071,0,0
BDX_PE,D,20080909,000000,10.7058,10.7058,10.6071,10.6071,0,0
BDX_PE,D,20080910,000000,10.5076,10.5076,10.3757,10.3757,0,0
BDX_PE,D,20080911,000000,10.3426,10.3426,10.2106,10.3426,0,0
BDX_PE,D,20080912,000000,10.5076,10.5076,10.2106,10.3426,0,0
BDX_PE,D,20080915,000000,10.3426,10.3426,9.71469,9.74784,0,0
BDX_PE,D,20080916,000000,9.98014,9.98014,9.71469,9.71469,0,0
BDX_PE,D,20080917,000000,9.68069,9.68069,9.61431,9.64831,0,0
BDX_PE,D,20080918,000000,9.05366,9.81337,9.05366,9.08599,0,0
BDX_PE,D,20080919,000000,9.84737,9.84737,9.08599,9.68069,0,0
BDX_PE,D,20080922,000000,9.78022,9.78022,9.51649,9.71469,0,0
BDX_PE,D,20080923,000000,9.68069,9.68069,9.12002,9.12002,0,0
