<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFT_PB,D,20110421,000000,17.0139,17.0139,17.0139,17.0139,0,0
BFT_PB,D,20110426,000000,16.9709,17.178,16.7364,17.0139,0,0
BFT_PB,D,20110427,000000,17.0393,17.0823,16.9709,17.0305,0,0
BFT_PB,D,20110428,000000,17.1526,17.9264,17.1526,17.7788,0,0
BFT_PB,D,20110429,000000,18.1344,18.1344,17.8648,17.9947,0,0
BFT_PB,D,20110502,000000,17.9947,18.0035,17.9781,17.9781,0,0
BFT_PB,D,20110504,000000,17.9947,18.1344,17.431,18.1344,0,0
BFT_PB,D,20110505,000000,18.1344,18.6903,11.6025,11.6025,0,0
BFT_PB,D,20110506,000000,11.2644,11.4813,11.1941,11.4813,0,0
BFT_PB,D,20110509,000000,11.6816,11.6904,11.2644,11.6904,0,0
BFT_PB,D,20110510,000000,11.6122,11.6904,11.4813,11.6904,0,0
BFT_PB,D,20110511,000000,11.6904,11.6904,11.6122,11.62,0,0
BFT_PB,D,20110512,000000,11.6816,11.959,11.6816,11.959,0,0
BFT_PB,D,20110513,000000,12.9927,13.4264,11.959,13.0015,0,0
BFT_PB,D,20110516,000000,12.8285,13.6873,12.8285,13.1656,0,0
BFT_PB,D,20110517,000000,13.7742,14.2442,10.0921,10.0921,0,0
BFT_PB,D,20110518,000000,10.222,10.222,9.70128,9.70128,0,0
BFT_PB,D,20110519,000000,9.31049,9.31049,9.18016,9.25763,0,0
BFT_PB,D,20110520,000000,8.78918,9.44043,8.78918,9.44043,0,0
BFT_PB,D,20110523,000000,9.31049,9.43163,9.31049,9.37008,0,0
BFT_PB,D,20110525,000000,9.11031,9.11031,9.11031,9.11031,0,0
BFT_PB,D,20110526,000000,9.11031,9.24142,9.11031,9.24142,0,0
BFT_PB,D,20110530,000000,9.41405,10.0227,9.41405,9.79604,0,0
BFT_PB,D,20110601,000000,9.46583,9.89178,9.46583,9.89178,0,0
BFT_PB,D,20110602,000000,9.89178,10.0227,9.63191,10.0227,0,0
BFT_PB,D,20110603,000000,9.44043,10.1878,9.44043,10.1878,0,0
BFT_PB,D,20110606,000000,10.1878,10.222,10.1878,10.222,0,0
BFT_PB,D,20110607,000000,10.0921,10.0921,10.0921,10.0921,0,0
BFT_PB,D,20110608,000000,9.83121,10.0921,9.70128,9.70128,0,0
BFT_PB,D,20110610,000000,9.76282,9.76282,9.70128,9.76282,0,0
BFT_PB,D,20110614,000000,9.44043,9.76282,9.44043,9.44043,0,0
BFT_PB,D,20110616,000000,9.44043,9.76282,9.11988,9.76282,0,0
BFT_PB,D,20110620,000000,9.18778,9.76282,9.18778,9.70128,0,0
BFT_PB,D,20110621,000000,9.11031,9.63191,9.11031,9.63191,0,0
BFT_PB,D,20110622,000000,9.50197,9.63191,9.50197,9.50197,0,0
BFT_PB,D,20110624,000000,9.70128,10.647,9.70128,10.647,0,0
BFT_PB,D,20110627,000000,10.7261,10.9958,10.647,10.647,0,0
BFT_PB,D,20110628,000000,10.647,10.7173,10.647,10.7173,0,0
BFT_PB,D,20110629,000000,10.9958,11.2898,10.7349,11.2898,0,0
BFT_PB,D,20110630,000000,11.3602,11.3602,11.0114,11.2898,0,0
BFT_PB,D,20110701,000000,11.2898,11.2898,11.0387,11.2898,0,0
BFT_PB,D,20110704,000000,11.2898,11.2898,11.2898,11.2898,0,0
BFT_PB,D,20110705,000000,11.0387,11.0387,11.0387,11.0387,0,0
BFT_PB,D,20110706,000000,11.0387,11.0387,11.0387,11.0387,0,0
BFT_PB,D,20110707,000000,11.3944,11.3944,11.3944,11.3944,0,0
BFT_PB,D,20110708,000000,11.3944,11.5683,11.3944,11.5683,0,0
BFT_PB,D,20110711,000000,11.4989,11.4989,11.3602,11.3602,0,0
BFT_PB,D,20110712,000000,11.3602,11.3602,11.3602,11.3602,0,0
BFT_PB,D,20110713,000000,11.3514,11.3602,11.0299,11.0299,0,0
BFT_PB,D,20110718,000000,11.0299,11.0299,11.0299,11.0299,0,0
BFT_PB,D,20110719,000000,11.0387,11.0387,11.0045,11.0045,0,0
BFT_PB,D,20110720,000000,11.0045,11.0045,11.0045,11.0045,0,0
BFT_PB,D,20110721,000000,10.6558,11.2898,10.647,11.2898,0,0
BFT_PB,D,20110725,000000,10.6909,10.6909,10.6909,10.6909,0,0
BFT_PB,D,20110726,000000,10.6909,11.2214,10.6909,11.2214,0,0
BFT_PB,D,20110727,000000,11.2214,11.3602,11.2214,11.3602,0,0
BFT_PB,D,20110729,000000,11.3602,11.3602,11.3602,11.3602,0,0
