<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMC_MV,D,20090205,000000,63.0453,63.0453,63.0453,63.0453,0,0
BMC_MV,D,20090206,000000,71.2844,71.2844,64.3023,64.3023,0,0
BMC_MV,D,20090209,000000,63.6738,63.6738,63.4676,63.4676,0,0
BMC_MV,D,20090210,000000,67.6706,67.6706,63.0453,63.0453,0,0
BMC_MV,D,20090211,000000,63.0453,63.0453,56.3185,56.3185,0,0
BMC_MV,D,20090212,000000,57.4184,57.4184,52.5378,52.5378,0,0
BMC_MV,D,20090213,000000,51.2808,52.5378,51.2808,51.2808,0,0
BMC_MV,D,20090216,000000,56.1123,56.1123,53.7162,53.7162,0,0
BMC_MV,D,20090217,000000,56.7408,57.1631,56.7408,57.1631,0,0
BMC_MV,D,20090218,000000,56.1123,56.8292,54.6393,54.6393,0,0
BMC_MV,D,20090219,000000,57.0354,57.0354,57.0354,57.0354,0,0
BMC_MV,D,20090220,000000,58.42,58.42,58.42,58.42,0,0
BMC_MV,D,20090223,000000,57.0354,58.42,47.0778,50.23,0,0
BMC_MV,D,20090224,000000,50.4363,50.4363,49.1302,49.1302,0,0
BMC_MV,D,20090225,000000,48.1285,48.1285,48.1285,48.1285,0,0
BMC_MV,D,20090226,000000,49.2186,49.2186,47.5786,47.5786,0,0
BMC_MV,D,20090227,000000,47.4902,47.4902,45.3887,45.3887,0,0
BMC_MV,D,20090302,000000,49.2186,49.2186,46.3609,46.3609,0,0
BMC_MV,D,20090303,000000,49.2186,49.2186,43.8371,43.8371,0,0
BMC_MV,D,20090304,000000,45.1432,45.1432,37.8272,40.1349,0,0
BMC_MV,D,20090305,000000,44.2987,44.2987,39.9287,39.9287,0,0
BMC_MV,D,20090306,000000,41.8633,41.8633,33.6242,33.6242,0,0
BMC_MV,D,20090309,000000,37.4049,37.4049,36.5211,36.5211,0,0
BMC_MV,D,20090310,000000,35.7257,36.5702,35.7257,35.7257,0,0
BMC_MV,D,20090311,000000,39.0842,39.5064,35.0088,35.5587,0,0
BMC_MV,D,20090312,000000,34.8812,42.9926,34.8812,39.4279,0,0
BMC_MV,D,20090313,000000,42.0302,42.0302,38.6717,38.6717,0,0
BMC_MV,D,20090316,000000,39.9287,39.9287,35.981,39.8403,0,0
BMC_MV,D,20090317,000000,39.0842,42.0302,39.0842,42.0302,0,0
BMC_MV,D,20090318,000000,41.4017,44.1317,41.4017,42.7078,0,0
BMC_MV,D,20090319,000000,37.8272,52.5378,37.8272,52.5378,0,0
BMC_MV,D,20090320,000000,50.4363,52.5378,49.1302,52.5378,0,0
BMC_MV,D,20090323,000000,52.5378,56.7408,47.4902,56.7408,0,0
BMC_MV,D,20090324,000000,60.5215,60.5215,54.6393,54.6393,0,0
BMC_MV,D,20090325,000000,50.4363,51.2808,48.4231,51.2808,0,0
BMC_MV,D,20090326,000000,51.487,55.3954,51.487,55.3954,0,0
BMC_MV,D,20090327,000000,55.2678,55.2678,54.2661,54.2661,0,0
BMC_MV,D,20090330,000000,54.217,55.8963,53.7555,53.7555,0,0
BMC_MV,D,20090331,000000,49.1793,55.1892,49.1793,55.1892,0,0
BMC_MV,D,20090401,000000,57.33,57.33,56.7015,56.7015,0,0
BMC_MV,D,20090402,000000,50.014,56.7015,44.554,50.014,0,0
BMC_MV,D,20090403,000000,50.6425,54.9732,50.014,50.4363,0,0
BMC_MV,D,20090406,000000,52.5771,53.127,51.9486,53.127,0,0
BMC_MV,D,20090407,000000,55.4838,55.4838,53.3332,53.3332,0,0
BMC_MV,D,20090408,000000,53.5885,53.5885,50.4363,50.8585,0,0
BMC_MV,D,20090409,000000,50.4755,50.4755,46.6555,48.9632,0,0
BMC_MV,D,20090414,000000,51.2808,51.2808,48.1678,49.1793,0,0
BMC_MV,D,20090415,000000,50.397,50.397,47.9125,49.1793,0,0
BMC_MV,D,20090416,000000,48.757,53.7947,46.3216,53.7947,0,0
BMC_MV,D,20090417,000000,54.217,54.217,52.1646,52.3315,0,0
BMC_MV,D,20090420,000000,54.4331,54.4331,54.1777,54.1777,0,0
BMC_MV,D,20090421,000000,51.654,54.217,48.541,50.4363,0,0
BMC_MV,D,20090422,000000,54.217,58.6754,50.4363,58.6754,0,0
BMC_MV,D,20090423,000000,58.42,58.42,54.3447,54.3447,0,0
BMC_MV,D,20090424,000000,55.3562,55.3562,52.5378,55.2678,0,0
BMC_MV,D,20090427,000000,53.3332,53.3332,52.2039,53.0386,0,0
BMC_MV,D,20090428,000000,48.757,52.5378,48.757,52.5378,0,0
BMC_MV,D,20090429,000000,52.1155,52.96,50.4363,52.96,0,0
BMC_MV,D,20090430,000000,50.4363,50.4363,49.8078,49.8863,0,0
