<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOW_PB,D,20120125,000000,1.41386,1.41386,1.41386,1.41386,0,0
BOW_PB,D,20120126,000000,1.46059,1.55405,1.34055,1.41386,0,0
BOW_PB,D,20120127,000000,1.48732,1.48732,1.3472,1.3472,0,0
BOW_PB,D,20120130,000000,1.37385,1.37385,1.37385,1.37385,0,0
BOW_PB,D,20120131,000000,1.35392,1.37385,1.34055,1.34055,0,0
BOW_PB,D,20120201,000000,1.34055,1.34055,1.23388,1.34055,0,0
BOW_PB,D,20120202,000000,1.33384,1.33384,1.21373,1.32055,0,0
BOW_PB,D,20120203,000000,1.32719,1.32719,1.28046,1.32719,0,0
BOW_PB,D,20120206,000000,1.32055,1.32719,1.28046,1.32055,0,0
BOW_PB,D,20120207,000000,1.28046,1.28718,1.21373,1.24717,0,0
BOW_PB,D,20120208,000000,1.24053,1.24053,1.18715,1.22716,0,0
BOW_PB,D,20120209,000000,1.23388,1.23388,1.20715,1.23388,0,0
BOW_PB,D,20120210,000000,1.20715,1.20715,1.20715,1.20715,0,0
BOW_PB,D,20120213,000000,1.20715,1.20715,1.20715,1.20715,0,0
BOW_PB,D,20120214,000000,1.24717,1.24717,1.24717,1.24717,0,0
BOW_PB,D,20120215,000000,1.22716,1.24717,1.16043,1.20715,0,0
BOW_PB,D,20120216,000000,1.14714,1.19387,1.10041,1.19387,0,0
BOW_PB,D,20120217,000000,1.20715,1.20715,1.18715,1.18715,0,0
BOW_PB,D,20120220,000000,1.18051,1.18051,1.14049,1.14049,0,0
BOW_PB,D,20120221,000000,1.14714,1.14714,1.03375,1.10041,0,0
BOW_PB,D,20120222,000000,1.08705,1.09376,1.08705,1.09376,0,0
BOW_PB,D,20120223,000000,1.14049,1.14049,1.09376,1.09376,0,0
BOW_PB,D,20120224,000000,1.07376,1.08705,1.0471,1.08705,0,0
BOW_PB,D,20120227,000000,1.09376,1.09376,1.08705,1.08705,0,0
BOW_PB,D,20120228,000000,1.08705,1.08705,1.08041,1.08041,0,0
BOW_PB,D,20120229,000000,1.08705,1.08705,1.08041,1.08041,0,0
BOW_PB,D,20120301,000000,1.07376,1.08041,1.05375,1.07376,0,0
BOW_PB,D,20120302,000000,1.10041,1.10041,1.10041,1.10041,0,0
BOW_PB,D,20120305,000000,1.10041,1.10041,1.08705,1.08705,0,0
BOW_PB,D,20120306,000000,1.08041,1.08041,1.08041,1.08041,0,0
BOW_PB,D,20120307,000000,1.12714,1.12714,1.08705,1.08705,0,0
BOW_PB,D,20120308,000000,1.10041,1.10041,1.00037,1.07376,0,0
BOW_PB,D,20120309,000000,1.0471,1.0471,1.0471,1.0471,0,0
BOW_PB,D,20120312,000000,1.0471,1.0471,1.0471,1.0471,0,0
BOW_PB,D,20120313,000000,1.04039,1.04039,0.993739,1.00703,0,0
BOW_PB,D,20120314,000000,1.03375,1.03375,0.980443,0.980443,0,0
BOW_PB,D,20120315,000000,1.03375,1.03375,0.993739,0.993739,0,0
BOW_PB,D,20120316,000000,1.03375,1.03375,0.993739,0.993739,0,0
BOW_PB,D,20120319,000000,1.01374,1.01374,0.993739,0.993739,0,0
BOW_PB,D,20120320,000000,1.01374,1.01374,0.993739,1.01374,0,0
BOW_PB,D,20120321,000000,1.01374,1.01374,1.01374,1.01374,0,0
BOW_PB,D,20120322,000000,1.01374,1.09376,1.01374,1.09376,0,0
BOW_PB,D,20120323,000000,1.09376,1.09376,1.09376,1.09376,0,0
BOW_PB,D,20120326,000000,1.09376,1.11385,1.09376,1.11385,0,0
BOW_PB,D,20120327,000000,1.11385,1.11385,1.09376,1.09376,0,0
BOW_PB,D,20120328,000000,1.11385,1.11385,1.07376,1.07376,0,0
BOW_PB,D,20120329,000000,1.06711,1.07376,1.02703,1.06711,0,0
BOW_PB,D,20120330,000000,1.11385,1.11385,1.06711,1.11385,0,0
BOW_PB,D,20120402,000000,1.11385,1.11385,1.11385,1.11385,0,0
BOW_PB,D,20120403,000000,1.11385,1.11385,1.11385,1.11385,0,0
BOW_PB,D,20120404,000000,1.06711,1.06711,1.06711,1.06711,0,0
BOW_PB,D,20120410,000000,1.11385,1.11385,1.05375,1.05375,0,0
BOW_PB,D,20120411,000000,1.08705,1.08705,1.03375,1.03375,0,0
BOW_PB,D,20120412,000000,1.00703,1.00703,1.00037,1.00037,0,0
BOW_PB,D,20120413,000000,0.980443,0.980443,0.97366,0.980443,0,0
BOW_PB,D,20120416,000000,1.04039,1.04039,1.04039,1.04039,0,0
BOW_PB,D,20120417,000000,1.02046,1.02046,1.02046,1.02046,0,0
BOW_PB,D,20120418,000000,1.11385,1.11385,1.07376,1.08705,0,0
BOW_PB,D,20120419,000000,1.12714,1.12714,1.08705,1.08705,0,0
BOW_PB,D,20120420,000000,1.08705,1.08705,1.08705,1.08705,0,0
BOW_PB,D,20120423,000000,1.08705,1.08705,1.01374,1.01374,0,0
BOW_PB,D,20120424,000000,1.08705,1.08705,1.08705,1.08705,0,0
BOW_PB,D,20120425,000000,1.02046,1.02046,1.01374,1.01374,0,0
BOW_PB,D,20120426,000000,1.02046,1.02046,1.02046,1.02046,0,0
BOW_PB,D,20120427,000000,1.08705,1.08705,1.00703,1.06047,0,0
BOW_PB,D,20120430,000000,1.08705,1.08705,1.06047,1.08705,0,0
BOW_PB,D,20120502,000000,1.08705,1.08705,1.08705,1.08705,0,0
BOW_PB,D,20120504,000000,1.08705,1.08705,1.08705,1.08705,0,0
BOW_PB,D,20120507,000000,1.08041,1.08041,1.02703,1.02703,0,0
BOW_PB,D,20120508,000000,1.10041,1.10041,1.01374,1.01374,0,0
BOW_PB,D,20120509,000000,1.01374,1.01374,0.980443,0.993739,0,0
BOW_PB,D,20120510,000000,0.993739,0.993739,0.993739,0.993739,0,0
BOW_PB,D,20120511,000000,0.993739,0.993739,0.967016,0.967016,0,0
BOW_PB,D,20120514,000000,0.967016,0.967016,0.967016,0.967016,0,0
BOW_PB,D,20120515,000000,0.980443,0.980443,0.980443,0.980443,0,0
BOW_PB,D,20120517,000000,0.940434,0.940434,0.920355,0.920355,0,0
BOW_PB,D,20120524,000000,0.913707,0.913707,0.913707,0.913707,0,0
BOW_PB,D,20120528,000000,0.866981,0.913707,0.866981,0.866981,0,0
BOW_PB,D,20120529,000000,0.820324,0.820324,0.780311,0.780311,0,0
BOW_PB,D,20120530,000000,0.780311,0.780311,0.733726,0.780311,0,0
BOW_PB,D,20120604,000000,0.780311,0.780311,0.780311,0.780311,0,0
BOW_PB,D,20120605,000000,0.773666,0.780311,0.773666,0.780311,0,0
BOW_PB,D,20120613,000000,0.906997,0.906997,0.906997,0.906997,0,0
BOW_PB,D,20120614,000000,0.873698,0.906997,0.873698,0.873698,0,0
BOW_PB,D,20120615,000000,0.873698,0.873698,0.826969,0.873698,0,0
BOW_PB,D,20120618,000000,0.873698,0.873698,0.873698,0.873698,0,0
BOW_PB,D,20120619,000000,0.873698,0.873698,0.826969,0.873698,0,0
BOW_PB,D,20120620,000000,0.873698,0.873698,0.873698,0.873698,0,0
BOW_PB,D,20120621,000000,0.860408,0.860408,0.787028,0.860408,0,0
BOW_PB,D,20120622,000000,0.873698,0.906997,0.813679,0.906997,0,0
BOW_PB,D,20120625,000000,0.906997,0.906997,0.906997,0.906997,0,0
BOW_PB,D,20120626,000000,0.906997,0.906997,0.906997,0.906997,0,0
BOW_PB,D,20120627,000000,0.906997,0.906997,0.826969,0.873698,0,0
BOW_PB,D,20120628,000000,0.873698,0.873698,0.800318,0.873698,0,0
BOW_PB,D,20120629,000000,0.873698,0.960298,0.813679,0.960298,0,0
BOW_PB,D,20120703,000000,0.866981,1.03375,0.866981,1.03375,0,0
BOW_PB,D,20120704,000000,1.04039,1.04039,1.04039,1.04039,0,0
BOW_PB,D,20120705,000000,1.08705,1.08705,0.960298,1.08705,0,0
BOW_PB,D,20120706,000000,1.08705,1.08705,1.08705,1.08705,0,0
BOW_PB,D,20120709,000000,1.08705,1.08705,0.97366,1.07376,0,0
BOW_PB,D,20120710,000000,1.08041,1.08041,1.07376,1.08041,0,0
BOW_PB,D,20120711,000000,1.08041,1.08041,1.01374,1.07376,0,0
BOW_PB,D,20120712,000000,1.08041,1.08041,0.97366,1.08041,0,0
