<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOW_PE,D,20120125,000000,23.01,23.01,23.01,23.01,0,0
BOW_PE,D,20120126,000000,23.8102,25.3428,21.9417,23.01,0,0
BOW_PE,D,20120127,000000,24.2096,24.2096,22.0089,23.8766,0,0
BOW_PE,D,20120130,000000,24.3432,24.3432,24.3432,24.3432,0,0
BOW_PE,D,20120131,000000,23.9431,24.3432,23.6759,23.7437,0,0
BOW_PE,D,20120201,000000,23.7437,23.7437,21.8761,23.7437,0,0
BOW_PE,D,20120202,000000,23.6101,23.6101,21.4751,23.4093,0,0
BOW_PE,D,20120203,000000,23.5422,23.5422,22.6091,23.4765,0,0
BOW_PE,D,20120206,000000,23.4093,23.4765,22.6091,23.3429,0,0
BOW_PE,D,20120207,000000,22.6762,22.8092,21.5417,22.0754,0,0
BOW_PE,D,20120208,000000,22.0089,22.0089,21.075,21.7431,0,0
BOW_PE,D,20120209,000000,21.8089,21.8089,21.4088,21.8089,0,0
BOW_PE,D,20120210,000000,21.4088,21.4088,21.4088,21.4088,0,0
BOW_PE,D,20120213,000000,21.4088,21.4088,21.4088,21.4088,0,0
BOW_PE,D,20120214,000000,22.0754,22.0754,22.0754,22.0754,0,0
BOW_PE,D,20120215,000000,21.7431,22.0754,20.5421,21.4088,0,0
BOW_PE,D,20120216,000000,20.3405,21.1415,19.541,21.1415,0,0
BOW_PE,D,20120217,000000,21.4088,21.4088,21.0079,21.0079,0,0
BOW_PE,D,20120220,000000,20.875,20.875,20.142,20.142,0,0
BOW_PE,D,20120221,000000,20.2749,20.2749,18.2742,19.4745,0,0
BOW_PE,D,20120222,000000,19.2088,19.3416,19.2088,19.3416,0,0
BOW_PE,D,20120223,000000,20.142,20.142,19.3416,19.3416,0,0
BOW_PE,D,20120224,000000,19.0072,19.2745,18.4735,19.2745,0,0
BOW_PE,D,20120227,000000,19.4074,19.4074,19.2088,19.2088,0,0
BOW_PE,D,20120228,000000,19.2088,19.2088,19.1402,19.1402,0,0
BOW_PE,D,20120229,000000,19.2088,19.2088,19.1402,19.1402,0,0
BOW_PE,D,20120301,000000,19.0072,19.1402,18.6743,19.0072,0,0
BOW_PE,D,20120302,000000,19.4745,19.4745,19.4745,19.4745,0,0
BOW_PE,D,20120305,000000,19.4745,19.4745,19.2088,19.2745,0,0
BOW_PE,D,20120306,000000,19.1402,19.1402,19.0738,19.0738,0,0
BOW_PE,D,20120307,000000,19.9411,19.9411,19.2088,19.2745,0,0
BOW_PE,D,20120308,000000,19.541,19.541,17.7404,19.0072,0,0
BOW_PE,D,20120309,000000,18.5407,18.5407,18.5407,18.5407,0,0
BOW_PE,D,20120312,000000,18.5407,18.5407,18.5407,18.5407,0,0
BOW_PE,D,20120313,000000,18.4077,18.4077,17.6076,17.8733,0,0
BOW_PE,D,20120314,000000,18.2071,18.2071,17.4069,17.4069,0,0
BOW_PE,D,20120315,000000,18.3399,18.3399,17.6076,17.6076,0,0
BOW_PE,D,20120316,000000,18.3399,18.3399,17.6076,17.6076,0,0
BOW_PE,D,20120319,000000,17.9412,17.9412,17.6076,17.6076,0,0
BOW_PE,D,20120320,000000,17.9412,17.9412,17.6076,17.9412,0,0
BOW_PE,D,20120321,000000,17.9412,17.9412,17.9412,17.9412,0,0
BOW_PE,D,20120322,000000,17.9412,17.9412,17.9412,17.9412,0,0
BOW_PE,D,20140401,000000,37.1478,37.215,37.1478,37.215,0,0
BOW_PE,D,20140402,000000,37.215,37.215,37.215,37.215,0,0
BOW_PE,D,20140403,000000,37.215,37.215,37.215,37.215,0,0
BOW_PE,D,20140404,000000,37.215,37.215,37.215,37.215,0,0
BOW_PE,D,20140408,000000,37.215,37.215,37.215,37.215,0,0
BOW_PE,D,20140409,000000,37.215,37.215,34.9479,34.9479,0,0
BOW_PE,D,20140410,000000,37.215,37.215,31.7455,31.7455,0,0
BOW_PE,D,20140411,000000,31.8798,35.0143,31.8798,34.4806,0,0
BOW_PE,D,20140414,000000,34.4806,34.4806,34.4806,34.4806,0,0
BOW_PE,D,20140415,000000,37.0149,37.0149,34.1469,34.1469,0,0
BOW_PE,D,20140416,000000,34.9479,34.9479,34.9479,34.9479,0,0
BOW_PE,D,20140417,000000,37.0149,37.0149,33.4132,33.9462,0,0
BOW_PE,D,20140424,000000,32.2792,33.9462,32.2792,32.2792,0,0
BOW_PE,D,20140430,000000,23.4093,32.2792,23.4093,23.4093,0,0
BOW_PE,D,20140502,000000,25.1434,25.1434,23.4093,25.1434,0,0
BOW_PE,D,20140505,000000,25.2764,25.2764,25.1434,25.1434,0,0
BOW_PE,D,20140507,000000,25.1434,25.1434,25.1434,25.1434,0,0
BOW_PE,D,20140508,000000,25.1434,25.1434,24.076,25.0771,0,0
BOW_PE,D,20140512,000000,25.2099,25.2099,25.2099,25.2099,0,0
BOW_PE,D,20140513,000000,25.61,27.4112,25.61,27.3434,0,0
BOW_PE,D,20140514,000000,27.3434,27.3434,27.3434,27.3434,0,0
BOW_PE,D,20140515,000000,27.3434,27.3434,27.3434,27.3434,0,0
BOW_PE,D,20140516,000000,26.8111,26.8111,26.8111,26.8111,0,0
BOW_PE,D,20140519,000000,26.8111,26.8111,26.8111,26.8111,0,0
BOW_PE,D,20140520,000000,26.8111,26.8111,26.8111,26.8111,0,0
BOW_PE,D,20140521,000000,25.2099,25.2099,25.1434,25.1434,0,0
BOW_PE,D,20140522,000000,24.076,25.1434,24.076,25.1434,0,0
BOW_PE,D,20140523,000000,24.076,25.61,24.076,25.61,0,0
BOW_PE,D,20140527,000000,24.076,25.7429,24.076,25.1434,0,0
BOW_PE,D,20140528,000000,24.076,24.076,24.076,24.076,0,0
BOW_PE,D,20140529,000000,26.2773,26.2773,26.2773,26.2773,0,0
BOW_PE,D,20140603,000000,25.7429,25.7429,25.7429,25.7429,0,0
BOW_PE,D,20140606,000000,26.2773,26.2773,26.2773,26.2773,0,0
