<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRS_PE,D,20070813,000000,11.8394,11.8394,11.8394,11.8394,0,0
BRS_PE,D,20070814,000000,11.9916,11.9916,11.9916,11.9916,0,0
BRS_PE,D,20070816,000000,10.9291,10.9291,10.9291,10.9291,0,0
BRS_PE,D,20070817,000000,10.3979,10.3979,10.3979,10.3979,0,0
BRS_PE,D,20070820,000000,10.3979,10.3979,10.3979,10.3979,0,0
BRS_PE,D,20070821,000000,10.2458,10.2458,10.2458,10.2458,0,0
BRS_PE,D,20070822,000000,10.6249,10.6249,10.6249,10.6249,0,0
BRS_PE,D,20070823,000000,10.9291,10.9291,10.9291,10.9291,0,0
BRS_PE,D,20070824,000000,11.5359,11.5359,11.5359,11.5359,0,0
BRS_PE,D,20070827,000000,11.7638,11.7638,11.7638,11.7638,0,0
BRS_PE,D,20070828,000000,11.6117,11.6117,11.6117,11.6117,0,0
BRS_PE,D,20070829,000000,11.9916,11.9916,11.9916,11.9916,0,0
BRS_PE,D,20070830,000000,24.4378,24.4378,24.4378,24.4378,0,0
BRS_PE,D,20070831,000000,24.8177,24.8177,24.8177,24.8177,0,0
BRS_PE,D,20070903,000000,24.742,24.742,24.742,24.742,0,0
BRS_PE,D,20070904,000000,25.1211,25.1211,25.1211,25.1211,0,0
BRS_PE,D,20070905,000000,24.4378,24.4378,24.4378,24.4378,0,0
BRS_PE,D,20070906,000000,23.983,23.983,23.983,23.983,0,0
BRS_PE,D,20070907,000000,23.6031,23.6031,23.6031,23.6031,0,0
BRS_PE,D,20070910,000000,23.1476,23.1476,23.1476,23.1476,0,0
BRS_PE,D,20070911,000000,23.2997,23.2997,23.2997,23.2997,0,0
BRS_PE,D,20070912,000000,23.2241,23.2241,23.2241,23.2241,0,0
BRS_PE,D,20070913,000000,23.1476,23.1476,23.1476,23.1476,0,0
BRS_PE,D,20070914,000000,23.1476,23.1476,23.1476,23.1476,0,0
BRS_PE,D,20070917,000000,22.6164,22.6164,22.6164,22.6164,0,0
BRS_PE,D,20070918,000000,11.0804,11.0804,11.0804,11.0804,0,0
BRS_PE,D,20070919,000000,11.0804,11.0804,11.0804,11.0804,0,0
BRS_PE,D,20070920,000000,11.1569,11.1569,11.1569,11.1569,0,0
BRS_PE,D,20070921,000000,11.1569,11.1569,11.1569,11.1569,0,0
BRS_PE,D,20070924,000000,11.1569,11.1569,11.1569,11.1569,0,0
BRS_PE,D,20070925,000000,10.9291,10.9291,10.9291,10.9291,0,0
BRS_PE,D,20070926,000000,10.9291,10.9291,10.9291,10.9291,0,0
BRS_PE,D,20070927,000000,10.9291,10.9291,10.9291,10.9291,0,0
BRS_PE,D,20070928,000000,10.7013,10.7013,10.7013,10.7013,0,0
BRS_PE,D,20071001,000000,10.6249,10.6249,10.6249,10.6249,0,0
BRS_PE,D,20071002,000000,10.777,10.777,10.777,10.777,0,0
BRS_PE,D,20071003,000000,10.777,10.777,10.777,10.777,0,0
BRS_PE,D,20071004,000000,10.777,10.777,10.777,10.777,0,0
BRS_PE,D,20071005,000000,10.9291,10.9291,10.9291,10.9291,0,0
BRS_PE,D,20071008,000000,10.8527,10.8527,10.8527,10.8527,0,0
BRS_PE,D,20071009,000000,10.9291,10.9291,10.9291,10.9291,0,0
BRS_PE,D,20071010,000000,10.9291,10.9291,10.9291,10.9291,0,0
BRS_PE,D,20071011,000000,11.2326,11.2326,11.2326,11.2326,0,0
BRS_PE,D,20071012,000000,11.1569,11.1569,11.1569,11.1569,0,0
BRS_PE,D,20071015,000000,11.1569,11.1569,11.1569,11.1569,0,0
BRS_PE,D,20071016,000000,11.1569,11.1569,11.1569,11.1569,0,0
BRS_PE,D,20071017,000000,11.1569,11.1569,11.1569,11.1569,0,0
BRS_PE,D,20071018,000000,10.9291,10.9291,10.9291,10.9291,0,0
BRS_PE,D,20071019,000000,10.9291,10.9291,10.9291,10.9291,0,0
