<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAR_MV,D,20070813,000000,1611.74,1611.74,1611.74,1611.74,0,0
CAR_MV,D,20070814,000000,1581.26,1581.26,1581.26,1581.26,0,0
CAR_MV,D,20070816,000000,1377.92,1377.92,1377.92,1377.92,0,0
CAR_MV,D,20070817,000000,1412.94,1412.94,1412.94,1412.94,0,0
CAR_MV,D,20070820,000000,1445.71,1445.71,1445.71,1445.71,0,0
CAR_MV,D,20070821,000000,1445.71,1445.71,1445.71,1445.71,0,0
CAR_MV,D,20070822,000000,1494.39,1494.39,1494.39,1494.39,0,0
CAR_MV,D,20070823,000000,1494.39,1494.39,1494.39,1494.39,0,0
CAR_MV,D,20070824,000000,1532.89,1532.89,1532.89,1532.89,0,0
CAR_MV,D,20070827,000000,1562.31,1562.31,1562.31,1562.31,0,0
CAR_MV,D,20070828,000000,1638.15,1638.15,1638.15,1638.15,0,0
CAR_MV,D,20070829,000000,1652.88,1652.88,1652.88,1652.88,0,0
CAR_MV,D,20070830,000000,1690.24,1690.24,1690.24,1690.24,0,0
CAR_MV,D,20070831,000000,1651.75,1651.75,1651.75,1651.75,0,0
CAR_MV,D,20070903,000000,1651.75,1651.75,1651.75,1651.75,0,0
CAR_MV,D,20070904,000000,1651.75,1651.75,1651.75,1651.75,0,0
CAR_MV,D,20070905,000000,1641.56,1641.56,1641.56,1641.56,0,0
CAR_MV,D,20070906,000000,1663.07,1663.07,1663.07,1663.07,0,0
CAR_MV,D,20070907,000000,1641.56,1641.56,1641.56,1641.56,0,0
CAR_MV,D,20070910,000000,1612.12,1612.12,1612.12,1612.12,0,0
CAR_MV,D,20070911,000000,1613.24,1613.24,1613.24,1613.24,0,0
CAR_MV,D,20070912,000000,1583.81,1583.81,1583.81,1583.81,0,0
CAR_MV,D,20070913,000000,1579.28,1579.28,1579.28,1579.28,0,0
CAR_MV,D,20070914,000000,1596.28,1596.28,1596.28,1596.28,0,0
CAR_MV,D,20070917,000000,1573.63,1573.63,1573.63,1573.63,0,0
CAR_MV,D,20070918,000000,1556.65,1556.65,1556.65,1556.65,0,0
CAR_MV,D,20070919,000000,1583.81,1583.81,1583.81,1583.81,0,0
CAR_MV,D,20070920,000000,1572.5,1572.5,1572.5,1572.5,0,0
CAR_MV,D,20070921,000000,1572.5,1572.5,1572.5,1572.5,0,0
CAR_MV,D,20070924,000000,1538.55,1538.55,1538.55,1538.55,0,0
CAR_MV,D,20070925,000000,1495.5,1495.5,1495.5,1495.5,0,0
CAR_MV,D,20070926,000000,1584.96,1584.96,1584.96,1584.96,0,0
CAR_MV,D,20070927,000000,1573.63,1573.63,1573.63,1573.63,0,0
CAR_MV,D,20070928,000000,1573.63,1573.63,1573.63,1573.63,0,0
CAR_MV,D,20071001,000000,1550.99,1550.99,1550.99,1550.99,0,0
CAR_MV,D,20071002,000000,1550.99,1550.99,1550.99,1550.99,0,0
CAR_MV,D,20071003,000000,1539.67,1539.67,1539.67,1539.67,0,0
CAR_MV,D,20071004,000000,1519.29,1519.29,1519.29,1519.29,0,0
CAR_MV,D,20071005,000000,1528.35,1528.35,1528.35,1528.35,0,0
CAR_MV,D,20071008,000000,1522.7,1522.7,1522.7,1522.7,0,0
CAR_MV,D,20071009,000000,1530.61,1530.61,1530.61,1530.61,0,0
CAR_MV,D,20071010,000000,1494.39,1494.39,1494.39,1494.39,0,0
CAR_MV,D,20071011,000000,1528.35,1528.35,1528.35,1528.35,0,0
CAR_MV,D,20071012,000000,1545.32,1545.32,1545.32,1545.32,0,0
CAR_MV,D,20071015,000000,1615.53,1615.53,1615.53,1615.53,0,0
CAR_MV,D,20071016,000000,1549.84,1549.84,1549.84,1549.84,0,0
CAR_MV,D,20071017,000000,1562.31,1562.31,1562.31,1562.31,0,0
CAR_MV,D,20071018,000000,1520.42,1520.42,1520.42,1520.42,0,0
CAR_MV,D,20071019,000000,1539.67,1539.67,1539.67,1539.67,0,0
CAR_MV,D,20071022,000000,1549.84,1549.84,1549.84,1549.84,0,0
CAR_MV,D,20071023,000000,1583.81,1583.81,1583.81,1583.81,0,0
CAR_MV,D,20071024,000000,1582.7,1582.7,1582.7,1582.7,0,0
CAR_MV,D,20071025,000000,1518.15,1518.15,1518.15,1518.15,0,0
CAR_MV,D,20071026,000000,1541.93,1541.93,1541.93,1541.93,0,0
CAR_MV,D,20071029,000000,1562.31,1562.31,1562.31,1562.31,0,0
CAR_MV,D,20071030,000000,1552.12,1552.12,1552.12,1552.12,0,0
CAR_MV,D,20071031,000000,1555.52,1555.52,1555.52,1555.52,0,0
CAR_MV,D,20071102,000000,1517.02,1517.02,1517.02,1517.02,0,0
CAR_MV,D,20071105,000000,1517.02,1517.02,1517.02,1517.02,0,0
CAR_MV,D,20071106,000000,1475.14,1475.14,1475.14,1475.14,0,0
CAR_MV,D,20071107,000000,1471.75,1471.75,1471.75,1471.75,0,0
CAR_MV,D,20071108,000000,1440.04,1440.04,1440.04,1440.04,0,0
CAR_MV,D,20071109,000000,1440.04,1440.04,1376.65,1392.48,0,0
CAR_MV,D,20071112,000000,1392.48,1392.48,1369.86,1381.16,0,0
CAR_MV,D,20071113,000000,1420.8,1420.8,1320.04,1358.52,0,0
CAR_MV,D,20071114,000000,1358.52,1392.48,1308.72,1335.89,0,0
CAR_MV,D,20071115,000000,1358.52,1358.52,1203.42,1234.01,0,0
CAR_MV,D,20071116,000000,1177.39,1234.01,1104.37,1146.84,0,0
CAR_MV,D,20071119,000000,1132.1,1177.39,1132.1,1166.08,0,0
CAR_MV,D,20071120,000000,1134.39,1154.74,1132.1,1142.3,0,0
CAR_MV,D,20071121,000000,1132.1,1132.1,1132.1,1132.1,0,0
CAR_MV,D,20071122,000000,1132.1,1222.7,1075.5,1211.35,0,0
CAR_MV,D,20071123,000000,1211.35,1222.7,1155.89,1210.24,0,0
CAR_MV,D,20071126,000000,1210.24,1234.01,1194.38,1228.34,0,0
CAR_MV,D,20071127,000000,1228.34,1228.34,1160.41,1188.72,0,0
CAR_MV,D,20071128,000000,1188.72,1188.72,1138.89,1187.58,0,0
CAR_MV,D,20071129,000000,1194.38,1211.35,1194.38,1211.35,0,0
CAR_MV,D,20071130,000000,1211.35,1215.89,1180.79,1205.7,0,0
CAR_MV,D,20071203,000000,1217.01,1256.63,1217.01,1222.7,0,0
CAR_MV,D,20071204,000000,1234.01,1258.91,1223.79,1228.34,0,0
CAR_MV,D,20071205,000000,1239.65,1265.71,1228.34,1265.71,0,0
CAR_MV,D,20071206,000000,1267.97,1323.44,1267.97,1290.6,0,0
CAR_MV,D,20071207,000000,1324.57,1351.73,1324.57,1351.73,0,0
CAR_MV,D,20071210,000000,1351.73,1460.42,1351.73,1414.01,0,0
CAR_MV,D,20071211,000000,1460.42,1460.42,1358.52,1403.82,0,0
CAR_MV,D,20071212,000000,1402.69,1402.69,1352.87,1392.48,0,0
CAR_MV,D,20071213,000000,1391.37,1391.37,1358.52,1381.16,0,0
CAR_MV,D,20071214,000000,1381.16,1447.98,1381.16,1447.98,0,0
CAR_MV,D,20071217,000000,1394.76,1470.61,1361.92,1470.61,0,0
CAR_MV,D,20071218,000000,1398.16,1443.45,1392.48,1443.45,0,0
CAR_MV,D,20071219,000000,1398.16,1437.79,1358.52,1437.79,0,0
CAR_MV,D,20071220,000000,1409.46,1434.37,1402.69,1434.37,0,0
CAR_MV,D,20071221,000000,1432.13,1432.13,1426.45,1426.45,0,0
CAR_MV,D,20071227,000000,1415.13,1436.65,1392.48,1436.65,0,0
CAR_MV,D,20071228,000000,1401.55,1436.65,1373.24,1401.55,0,0
CAR_MV,D,20080102,000000,1370.98,1370.98,1346.06,1358.52,0,0
CAR_MV,D,20080103,000000,1358.52,1358.52,1271.36,1335.89,0,0
CAR_MV,D,20080104,000000,1313.25,1313.25,1294,1294,0,0
CAR_MV,D,20080107,000000,1286.07,1324.57,1201.18,1324.57,0,0
CAR_MV,D,20080108,000000,1256.63,1324.57,1256.63,1296.26,0,0
CAR_MV,D,20080109,000000,1256.63,1267.97,1222.7,1234.01,0,0
CAR_MV,D,20080110,000000,1234.01,1245.31,1177.39,1177.39,0,0
CAR_MV,D,20080111,000000,1211.35,1211.35,1115.7,1188.72,0,0
CAR_MV,D,20080114,000000,1150.22,1150.22,1150.22,1150.22,0,0
CAR_MV,D,20080115,000000,1098.15,1120.78,1098.15,1116.28,0,0
CAR_MV,D,20080116,000000,1064.18,1075.5,1027.96,1041.54,0,0
CAR_MV,D,20080117,000000,1054.57,1118.51,984.948,1058.52,0,0
CAR_MV,D,20080118,000000,1035.89,1104.95,1034.75,1104.95,0,0
CAR_MV,D,20080121,000000,1120.78,1132.1,1007.59,1007.59,0,0
CAR_MV,D,20080122,000000,984.948,1047.19,984.948,1018.9,0,0
CAR_MV,D,20080123,000000,1017.76,1109.48,1003.07,1052.85,0,0
CAR_MV,D,20080124,000000,1075.5,1092.48,1052.85,1092.48,0,0
CAR_MV,D,20080125,000000,1102.67,1109.48,1086.82,1086.82,0,0
CAR_MV,D,20080128,000000,1075.5,1086.82,1075.5,1086.82,0,0
CAR_MV,D,20080129,000000,1033.62,1120.78,1033.62,1119.67,0,0
CAR_MV,D,20080130,000000,1132.1,1154.74,1109.48,1154.74,0,0
CAR_MV,D,20080131,000000,1232.88,1232.88,1132.1,1132.1,0,0
CAR_MV,D,20080201,000000,1154.74,1207.97,1154.74,1200.04,0,0
CAR_MV,D,20080204,000000,1222.7,1256.63,1222.7,1234.01,0,0
CAR_MV,D,20080205,000000,1188.72,1267.97,1188.72,1256.63,0,0
CAR_MV,D,20080206,000000,1168.33,1211.35,1168.33,1211.35,0,0
CAR_MV,D,20080207,000000,1210.24,1244.2,1200.04,1227.21,0,0
CAR_MV,D,20080208,000000,1239.65,1239.65,1205.7,1238.54,0,0
CAR_MV,D,20080211,000000,1200.04,1235.13,1200.04,1232.88,0,0
CAR_MV,D,20080212,000000,1234.01,1267.97,1234.01,1245.31,0,0
CAR_MV,D,20080213,000000,1236.25,1267.97,1236.25,1267.97,0,0
CAR_MV,D,20080214,000000,1274.75,1274.75,1245.31,1256.63,0,0
CAR_MV,D,20080215,000000,1245.31,1267.97,1234.01,1267.97,0,0
CAR_MV,D,20080219,000000,1234.01,1267.97,1234.01,1267.97,0,0
CAR_MV,D,20080221,000000,1278.15,1290.6,1267.97,1267.97,0,0
