<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAR_PB,D,20070813,000000,12.8455,12.8455,12.8455,12.8455,0,0
CAR_PB,D,20070814,000000,12.5929,12.5929,12.5929,12.5929,0,0
CAR_PB,D,20070816,000000,10.9741,10.9741,10.9741,10.9741,0,0
CAR_PB,D,20070817,000000,11.2556,11.2556,11.2556,11.2556,0,0
CAR_PB,D,20070820,000000,11.5181,11.5181,11.5181,11.5181,0,0
CAR_PB,D,20070821,000000,11.5181,11.5181,11.5181,11.5181,0,0
CAR_PB,D,20070822,000000,11.9068,11.9068,11.9068,11.9068,0,0
CAR_PB,D,20070823,000000,10.4203,10.4203,10.4203,10.4203,0,0
CAR_PB,D,20070824,000000,10.6918,10.6918,10.6918,10.6918,0,0
CAR_PB,D,20070827,000000,10.8956,10.8956,10.8956,10.8956,0,0
CAR_PB,D,20070828,000000,11.4295,11.4295,11.4295,11.4295,0,0
CAR_PB,D,20070829,000000,11.5279,11.5279,11.5279,11.5279,0,0
CAR_PB,D,20070830,000000,11.9257,11.9257,11.9257,11.9257,0,0
CAR_PB,D,20070831,000000,11.6503,11.6503,11.6503,11.6503,0,0
CAR_PB,D,20070903,000000,11.6503,11.6503,11.6503,11.6503,0,0
CAR_PB,D,20070904,000000,11.6503,11.6503,11.6503,11.6503,0,0
CAR_PB,D,20070905,000000,11.5846,11.5846,11.5846,11.5846,0,0
CAR_PB,D,20070906,000000,11.7298,11.7298,11.7298,11.7298,0,0
CAR_PB,D,20070907,000000,11.5846,11.5846,11.5846,11.5846,0,0
CAR_PB,D,20070910,000000,11.3798,11.3798,11.3798,11.3798,0,0
CAR_PB,D,20070911,000000,11.3897,11.3897,11.3897,11.3897,0,0
CAR_PB,D,20070912,000000,11.1769,11.1769,11.1769,11.1769,0,0
CAR_PB,D,20070913,000000,11.1492,11.1492,11.1492,11.1492,0,0
CAR_PB,D,20070914,000000,11.2635,11.2635,11.2635,11.2635,0,0
CAR_PB,D,20070917,000000,11.1004,11.1004,11.1004,11.1004,0,0
CAR_PB,D,20070918,000000,10.9841,10.9841,10.9841,10.9841,0,0
CAR_PB,D,20070919,000000,11.1769,11.1769,11.1769,11.1769,0,0
CAR_PB,D,20070920,000000,11.1004,11.1004,11.1004,11.1004,0,0
CAR_PB,D,20070921,000000,11.1004,11.1004,11.1004,11.1004,0,0
CAR_PB,D,20070924,000000,10.8569,10.8569,10.8569,10.8569,0,0
CAR_PB,D,20070925,000000,10.5565,10.5565,10.5565,10.5565,0,0
CAR_PB,D,20070926,000000,11.1859,11.1859,11.1859,11.1859,0,0
CAR_PB,D,20070927,000000,11.1004,11.1004,11.1004,11.1004,0,0
CAR_PB,D,20070928,000000,11.1004,11.1004,11.1004,11.1004,0,0
CAR_PB,D,20071001,000000,10.9453,10.9453,10.9453,10.9453,0,0
CAR_PB,D,20071002,000000,10.9453,10.9453,10.9453,10.9453,0,0
