<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIE_MV,D,20070813,000000,2403.92,2403.92,2403.92,2403.92,0,0
CIE_MV,D,20070814,000000,2370.06,2370.06,2370.06,2370.06,0,0
CIE_MV,D,20070816,000000,2200.77,2200.77,2200.77,2200.77,0,0
CIE_MV,D,20070817,000000,2154.44,2154.44,2154.44,2154.44,0,0
CIE_MV,D,20070820,000000,2120.58,2120.58,2120.58,2120.58,0,0
CIE_MV,D,20070821,000000,2049.29,2049.29,2049.29,2049.29,0,0
CIE_MV,D,20070822,000000,2138.39,2138.39,2138.39,2138.39,0,0
CIE_MV,D,20070823,000000,2138.39,2138.39,2138.39,2138.39,0,0
CIE_MV,D,20070824,000000,2218.59,2218.59,2218.59,2218.59,0,0
CIE_MV,D,20070827,000000,2227.51,2227.51,2227.51,2227.51,0,0
CIE_MV,D,20070828,000000,2209.67,2209.67,2209.67,2209.67,0,0
CIE_MV,D,20070829,000000,2207.9,2207.9,2207.9,2207.9,0,0
CIE_MV,D,20070830,000000,2174.04,2174.04,2174.04,2174.04,0,0
CIE_MV,D,20070831,000000,2218.59,2218.59,2218.59,2218.59,0,0
CIE_MV,D,20070903,000000,2245.31,2245.31,2245.31,2245.31,0,0
CIE_MV,D,20070904,000000,2245.31,2245.31,2245.31,2245.31,0,0
CIE_MV,D,20070905,000000,2243.55,2243.55,2243.55,2243.55,0,0
CIE_MV,D,20070906,000000,2186.51,2186.51,2186.51,2186.51,0,0
CIE_MV,D,20070907,000000,2138.39,2138.39,2138.39,2138.39,0,0
CIE_MV,D,20070910,000000,2136.62,2136.62,2136.62,2136.62,0,0
CIE_MV,D,20070911,000000,2122.36,2122.36,2122.36,2122.36,0,0
CIE_MV,D,20070912,000000,2147.31,2147.31,2147.31,2147.31,0,0
CIE_MV,D,20070913,000000,2209.67,2209.67,2209.67,2209.67,0,0
CIE_MV,D,20070914,000000,2191.87,2191.87,2191.87,2191.87,0,0
CIE_MV,D,20070917,000000,2191.87,2191.87,2191.87,2191.87,0,0
CIE_MV,D,20070918,000000,2191.87,2191.87,2191.87,2191.87,0,0
CIE_MV,D,20070919,000000,2227.51,2227.51,2227.51,2227.51,0,0
CIE_MV,D,20070920,000000,2209.67,2209.67,2209.67,2209.67,0,0
CIE_MV,D,20070921,000000,2252.45,2252.45,2252.45,2252.45,0,0
CIE_MV,D,20070924,000000,2245.31,2245.31,2245.31,2245.31,0,0
CIE_MV,D,20070925,000000,2245.31,2245.31,2245.31,2245.31,0,0
CIE_MV,D,20070926,000000,2277.39,2277.39,2277.39,2277.39,0,0
CIE_MV,D,20070927,000000,2263.14,2263.14,2263.14,2263.14,0,0
CIE_MV,D,20070928,000000,2259.58,2259.58,2259.58,2259.58,0,0
CIE_MV,D,20071001,000000,2202.55,2202.55,2202.55,2202.55,0,0
CIE_MV,D,20071002,000000,2200.77,2200.77,2200.77,2200.77,0,0
