<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLD_PB,D,20120518,000000,20.2141,20.2141,20.2141,20.2141,0,0
CLD_PB,D,20120521,000000,20.54,29.23,20.54,29.23,0,0
CLD_PB,D,20120522,000000,33.6738,36.4091,28.8054,36.4091,0,0
CLD_PB,D,20120523,000000,35.7475,35.7475,33.6738,33.6738,0,0
CLD_PB,D,20120524,000000,33.6738,33.6738,14.3188,14.3188,0,0
CLD_PB,D,20120525,000000,14.3188,14.3188,12.3931,14.2101,0,0
CLD_PB,D,20120528,000000,12.4524,14.2101,12.4524,14.1706,0,0
CLD_PB,D,20120529,000000,13.3313,14.2694,13.3313,14.2694,0,0
CLD_PB,D,20120530,000000,14.3681,17.0838,13.825,16.7875,0,0
CLD_PB,D,20120531,000000,16.4419,16.4419,13.3313,14.4274,0,0
CLD_PB,D,20120601,000000,13.825,13.825,13.3313,13.3313,0,0
CLD_PB,D,20120604,000000,13.7164,13.7164,13.0943,13.0943,0,0
CLD_PB,D,20120605,000000,13.3313,13.7164,13.0943,13.0943,0,0
CLD_PB,D,20120606,000000,13.7164,13.7164,13.7164,13.7164,0,0
CLD_PB,D,20120608,000000,13.0943,13.0943,13.0943,13.0943,0,0
CLD_PB,D,20120611,000000,13.0943,13.0943,11.3563,11.3563,0,0
CLD_PB,D,20120612,000000,10.8625,10.8625,10.8625,10.8625,0,0
CLD_PB,D,20120613,000000,10.8625,11.4056,10.8625,11.4056,0,0
CLD_PB,D,20120614,000000,10.9119,11.4056,10.9119,11.4056,0,0
CLD_PB,D,20120615,000000,10.8625,10.8625,10.8625,10.8625,0,0
CLD_PB,D,20120618,000000,10.8625,10.8625,9.14425,9.14425,0,0
CLD_PB,D,20120619,000000,9.33188,10.2601,9.33188,10.2601,0,0
CLD_PB,D,20120620,000000,9.38125,9.38125,9.38125,9.38125,0,0
CLD_PB,D,20120621,000000,9.82563,9.82563,9.38125,9.638,0,0
CLD_PB,D,20120622,000000,9.14425,9.14425,9.14425,9.14425,0,0
CLD_PB,D,20120625,000000,9.14425,9.14425,9.14425,9.14425,0,0
CLD_PB,D,20120626,000000,9.57875,9.57875,9.57875,9.57875,0,0
CLD_PB,D,20120628,000000,9.57875,9.57875,9.57875,9.57875,0,0
CLD_PB,D,20120706,000000,9.875,9.875,9.875,9.875,0,0
CLD_PB,D,20120710,000000,9.38125,9.38125,9.38125,9.38125,0,0
CLD_PB,D,20120716,000000,9.38125,9.38125,9.38125,9.38125,0,0
CLD_PB,D,20120719,000000,9.38125,9.38125,9.03563,9.03563,0,0
CLD_PB,D,20120801,000000,9.03563,9.38125,9.03563,9.38125,0,0
CLD_PB,D,20120802,000000,9.38125,9.38125,9.38125,9.38125,0,0
CLD_PB,D,20120829,000000,9.43063,9.43063,9.43063,9.43063,0,0
CLD_PB,D,20120830,000000,9.03563,9.43063,9.03563,9.43063,0,0
CLD_PB,D,20120904,000000,9.03563,9.48988,9.03563,9.48988,0,0
CLD_PB,D,20120921,000000,9.48988,9.48988,9.48988,9.48988,0,0
CLD_PB,D,20120925,000000,9.43063,9.43063,9.43063,9.43063,0,0
CLD_PB,D,20120926,000000,9.43063,9.43063,9.43063,9.43063,0,0
CLD_PB,D,20121010,000000,9.48988,9.48988,9.48988,9.48988,0,0
CLD_PB,D,20121015,000000,9.03563,9.48988,9.03563,9.48988,0,0
CLD_PB,D,20121106,000000,9.48988,9.48988,9.48988,9.48988,0,0
CLD_PB,D,20121107,000000,9.52938,10.0231,9.52938,10.0231,0,0
CLD_PB,D,20121115,000000,10.0231,10.0231,10.0231,10.0231,0,0
CLD_PB,D,20121126,000000,10.0231,10.8131,10.0231,10.8131,0,0
CLD_PB,D,20121127,000000,11.3563,16.2938,11.2081,14.2101,0,0
CLD_PB,D,20121128,000000,14.0225,14.2101,13.3806,13.3806,0,0
CLD_PB,D,20121129,000000,13.035,13.035,11.2476,11.2476,0,0
CLD_PB,D,20121203,000000,9.875,10.3688,9.875,10.3688,0,0
CLD_PB,D,20121204,000000,10.8625,10.8625,10.8625,10.8625,0,0
CLD_PB,D,20121205,000000,10.3688,10.3688,10.3688,10.3688,0,0
CLD_PB,D,20121206,000000,10.3688,10.3688,10.3688,10.3688,0,0
CLD_PB,D,20121213,000000,10.3688,10.8625,10.3688,10.7045,0,0
CLD_PB,D,20121219,000000,9.57875,10.7045,9.57875,10.7045,0,0
CLD_PB,D,20130117,000000,10.9514,10.9514,10.9514,10.9514,0,0
CLD_PB,D,20130204,000000,10.9909,10.9909,10.9909,10.9909,0,0
CLD_PB,D,20130205,000000,11.139,11.139,11.139,11.139,0,0
CLD_PB,D,20130218,000000,11.139,11.139,11.139,11.139,0,0
CLD_PB,D,20130219,000000,11.139,11.1884,11.139,11.1884,0,0
CLD_PB,D,20130228,000000,11.139,13.3806,11.139,13.3806,0,0
CLD_PB,D,20130305,000000,12.1561,13.3214,12.1561,13.3214,0,0
CLD_PB,D,20130306,000000,12.4129,13.2325,12.4129,13.2325,0,0
