<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMR_MV,D,20070813,000000,1361.62,1361.62,1361.62,1361.62,0,0
CMR_MV,D,20070814,000000,1345.25,1345.25,1345.25,1345.25,0,0
CMR_MV,D,20070816,000000,1195,1195,1195,1195,0,0
CMR_MV,D,20070817,000000,1236,1236,1236,1236,0,0
CMR_MV,D,20070820,000000,1188.86,1188.86,1188.86,1188.86,0,0
CMR_MV,D,20070821,000000,1215.49,1215.49,1215.49,1215.49,0,0
CMR_MV,D,20070822,000000,1276.96,1276.96,1276.96,1276.96,0,0
CMR_MV,D,20070823,000000,1338.43,1338.43,1338.43,1338.43,0,0
CMR_MV,D,20070824,000000,1358.9,1358.9,1358.9,1358.9,0,0
CMR_MV,D,20070827,000000,1348.66,1348.66,1348.66,1348.66,0,0
CMR_MV,D,20070828,000000,1331.57,1331.57,1331.57,1331.57,0,0
CMR_MV,D,20070829,000000,1360.25,1360.25,1360.25,1360.25,0,0
CMR_MV,D,20070830,000000,1353.43,1353.43,1353.43,1353.43,0,0
CMR_MV,D,20070831,000000,1362.31,1362.31,1362.31,1362.31,0,0
CMR_MV,D,20070903,000000,1378.7,1378.7,1378.7,1378.7,0,0
CMR_MV,D,20070904,000000,1383.49,1383.49,1383.49,1383.49,0,0
CMR_MV,D,20070905,000000,1380.76,1380.76,1380.76,1380.76,0,0
CMR_MV,D,20070906,000000,1378.7,1378.7,1378.7,1378.7,0,0
CMR_MV,D,20070907,000000,1372.56,1372.56,1372.56,1372.56,0,0
CMR_MV,D,20070910,000000,1311.1,1311.1,1311.1,1311.1,0,0
CMR_MV,D,20070911,000000,1365.05,1365.05,1365.05,1365.05,0,0
CMR_MV,D,20070912,000000,1364.36,1364.36,1364.36,1364.36,0,0
CMR_MV,D,20070913,000000,1365.05,1365.05,1365.05,1365.05,0,0
CMR_MV,D,20070914,000000,1364.36,1364.36,1364.36,1364.36,0,0
CMR_MV,D,20070917,000000,1347.95,1347.95,1347.95,1347.95,0,0
CMR_MV,D,20070918,000000,1343.88,1343.88,1343.88,1343.88,0,0
CMR_MV,D,20070919,000000,1352.07,1352.07,1352.07,1352.07,0,0
CMR_MV,D,20070920,000000,1334.99,1334.99,1334.99,1334.99,0,0
CMR_MV,D,20070921,000000,1328.18,1328.18,1328.18,1328.18,0,0
CMR_MV,D,20070924,000000,1328.18,1328.18,1328.18,1328.18,0,0
CMR_MV,D,20070925,000000,1351.38,1351.38,1351.38,1351.38,0,0
CMR_MV,D,20070926,000000,1362.31,1362.31,1362.31,1362.31,0,0
CMR_MV,D,20070927,000000,1372.56,1372.56,1372.56,1372.56,0,0
CMR_MV,D,20070928,000000,1371.18,1371.18,1371.18,1371.18,0,0
CMR_MV,D,20071001,000000,1278.31,1278.31,1278.31,1278.31,0,0
CMR_MV,D,20071002,000000,1311.1,1311.1,1311.1,1311.1,0,0
CMR_MV,D,20071003,000000,1283.78,1283.78,1283.78,1283.78,0,0
CMR_MV,D,20071004,000000,1276.96,1276.96,1276.96,1276.96,0,0
CMR_MV,D,20071005,000000,1276.96,1276.96,1276.96,1276.96,0,0
CMR_MV,D,20071008,000000,1257.15,1257.15,1257.15,1257.15,0,0
CMR_MV,D,20071009,000000,1282.43,1282.43,1282.43,1282.43,0,0
CMR_MV,D,20071010,000000,1283.78,1283.78,1283.78,1283.78,0,0
CMR_MV,D,20071011,000000,1331.57,1331.57,1331.57,1331.57,0,0
CMR_MV,D,20071012,000000,1324.75,1324.75,1324.75,1324.75,0,0
CMR_MV,D,20071015,000000,1324.75,1324.75,1324.75,1324.75,0,0
CMR_MV,D,20071016,000000,1334.32,1334.32,1334.32,1334.32,0,0
CMR_MV,D,20071017,000000,1345.25,1345.25,1345.25,1345.25,0,0
CMR_MV,D,20071018,000000,1331.57,1331.57,1331.57,1331.57,0,0
CMR_MV,D,20071019,000000,1343.88,1343.88,1343.88,1343.88,0,0
CMR_MV,D,20071022,000000,1263.29,1263.29,1263.29,1263.29,0,0
CMR_MV,D,20071023,000000,1246.22,1246.22,1246.22,1246.22,0,0
CMR_MV,D,20071024,000000,1236,1236,1236,1236,0,0
CMR_MV,D,20071025,000000,1231.21,1231.21,1231.21,1231.21,0,0
CMR_MV,D,20071026,000000,1210.03,1210.03,1210.03,1210.03,0,0
CMR_MV,D,20071029,000000,1188.17,1188.17,1188.17,1188.17,0,0
CMR_MV,D,20071030,000000,1177.95,1177.95,1177.95,1177.95,0,0
CMR_MV,D,20071031,000000,1160.19,1160.19,1160.19,1160.19,0,0
CMR_MV,D,20071102,000000,1159.51,1159.51,1159.51,1159.51,0,0
CMR_MV,D,20071105,000000,1123.3,1123.3,1123.3,1123.3,0,0
CMR_MV,D,20071106,000000,1091.21,1091.21,1091.21,1091.21,0,0
CMR_MV,D,20071107,000000,1044.78,1044.78,1044.78,1044.78,0,0
CMR_MV,D,20071108,000000,1043.43,1043.43,1043.43,1043.43,0,0
CMR_MV,D,20071109,000000,1048.19,1065.26,1034.53,1034.53,0,0
CMR_MV,D,20071112,000000,1031.13,1034.53,998.344,1030.43,0,0
