<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMR_PE,D,20070813,000000,28.6501,28.6501,28.6501,28.6501,0,0
CMR_PE,D,20070814,000000,28.3062,28.3062,28.3062,28.3062,0,0
CMR_PE,D,20070816,000000,25.2192,25.2192,25.2192,25.2192,0,0
CMR_PE,D,20070817,000000,26.0778,26.0778,26.0778,26.0778,0,0
CMR_PE,D,20070820,000000,25.1346,25.1346,25.1346,25.1346,0,0
CMR_PE,D,20070821,000000,25.6475,25.6475,25.6475,25.6475,0,0
CMR_PE,D,20070822,000000,27.0211,27.0211,27.0211,27.0211,0,0
CMR_PE,D,20070823,000000,28.3062,28.3062,28.3062,28.3062,0,0
CMR_PE,D,20070824,000000,28.7375,28.7375,28.7375,28.7375,0,0
CMR_PE,D,20070827,000000,28.4801,28.4801,28.4801,28.4801,0,0
CMR_PE,D,20070828,000000,28.1362,28.1362,28.1362,28.1362,0,0
CMR_PE,D,20070829,000000,28.7375,28.7375,28.7375,28.7375,0,0
CMR_PE,D,20070830,000000,28.5656,28.5656,28.5656,28.5656,0,0
CMR_PE,D,20070831,000000,28.821,28.821,28.821,28.821,0,0
CMR_PE,D,20070903,000000,29.1649,29.1649,29.1649,29.1649,0,0
CMR_PE,D,20070904,000000,29.2504,29.2504,29.2504,29.2504,0,0
CMR_PE,D,20070905,000000,29.1649,29.1649,29.1649,29.1649,0,0
CMR_PE,D,20070906,000000,29.1649,29.1649,29.1649,29.1649,0,0
CMR_PE,D,20070907,000000,28.9939,28.9939,28.9939,28.9939,0,0
CMR_PE,D,20070910,000000,27.7059,27.7059,27.7059,27.7059,0,0
CMR_PE,D,20070911,000000,28.821,28.821,28.821,28.821,0,0
CMR_PE,D,20070912,000000,28.821,28.821,28.821,28.821,0,0
CMR_PE,D,20070913,000000,28.821,28.821,28.821,28.821,0,0
CMR_PE,D,20070914,000000,28.821,28.821,28.821,28.821,0,0
CMR_PE,D,20070917,000000,28.4801,28.4801,28.4801,28.4801,0,0
CMR_PE,D,20070918,000000,28.3955,28.3955,28.3955,28.3955,0,0
CMR_PE,D,20070919,000000,28.5656,28.5656,28.5656,28.5656,0,0
CMR_PE,D,20070920,000000,28.2207,28.2207,28.2207,28.2207,0,0
CMR_PE,D,20070921,000000,28.0488,28.0488,28.0488,28.0488,0,0
CMR_PE,D,20070924,000000,28.0488,28.0488,28.0488,28.0488,0,0
CMR_PE,D,20070925,000000,28.5656,28.5656,28.5656,28.5656,0,0
CMR_PE,D,20070926,000000,28.821,28.821,28.821,28.821,0,0
CMR_PE,D,20070927,000000,28.9939,28.9939,28.9939,28.9939,0,0
