<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPG_MV,D,20140310,000000,376.471,384.473,363.392,366.3,0,0
CPG_MV,D,20140311,000000,369.932,384.473,369.932,381.565,0,0
CPG_MV,D,20140312,000000,372.84,388.826,363.392,374.294,0,0
CPG_MV,D,20140313,000000,377.925,388.826,363.392,369.932,0,0
CPG_MV,D,20140314,000000,363.392,376.471,344.497,359.029,0,0
CPG_MV,D,20140317,000000,366.3,369.932,362.661,369.932,0,0
CPG_MV,D,20140318,000000,376.471,380.834,359.752,369.209,0,0
CPG_MV,D,20140319,000000,355.399,377.202,349.582,351.037,0,0
CPG_MV,D,20140320,000000,352.491,363.392,351.037,356.121,0,0
CPG_MV,D,20140321,000000,356.121,366.3,356.121,363.392,0,0
CPG_MV,D,20140324,000000,367.023,370.654,353.936,370.654,0,0
CPG_MV,D,20140325,000000,372.109,383.742,370.654,377.925,0,0
CPG_MV,D,20140326,000000,383.742,399.729,383.742,392.467,0,0
CPG_MV,D,20140327,000000,358.308,393.912,358.308,392.467,0,0
CPG_MV,D,20140328,000000,392.467,398.274,392.467,396.097,0,0
CPG_MV,D,20140331,000000,392.467,406.268,392.467,399.729,0,0
CPG_MV,D,20140401,000000,407,407,394.643,404.814,0,0
CPG_MV,D,20140402,000000,410.631,414.262,409.177,414.262,0,0
CPG_MV,D,20140403,000000,428.804,428.804,412.816,412.816,0,0
CPG_MV,D,20140404,000000,420.079,420.079,414.262,414.262,0,0
CPG_MV,D,20140407,000000,415.725,415.725,415.725,415.725,0,0
CPG_MV,D,20140408,000000,413.539,413.539,396.097,396.097,0,0
CPG_MV,D,20140409,000000,394.643,416.447,394.643,401.183,0,0
CPG_MV,D,20140410,000000,414.993,414.993,398.274,398.274,0,0
CPG_MV,D,20140411,000000,398.274,406.268,398.274,403.36,0,0
CPG_MV,D,20140414,000000,392.467,392.467,385.196,388.826,0,0
CPG_MV,D,20140415,000000,388.095,397.552,379.379,397.552,0,0
CPG_MV,D,20140416,000000,396.82,398.274,375.748,376.471,0,0
CPG_MV,D,20140417,000000,393.189,393.189,372.109,377.925,0,0
CPG_MV,D,20140422,000000,385.196,385.196,371.386,371.386,0,0
CPG_MV,D,20140423,000000,377.925,378.657,372.109,377.925,0,0
CPG_MV,D,20140424,000000,383.742,383.742,370.654,374.294,0,0
CPG_MV,D,20140425,000000,372.84,374.294,366.3,374.294,0,0
CPG_MV,D,20140428,000000,369.932,369.932,356.121,358.308,0,0
CPG_MV,D,20140429,000000,359.752,367.755,355.399,355.399,0,0
CPG_MV,D,20140430,000000,361.938,361.938,351.758,359.752,0,0
CPG_MV,D,20140502,000000,350.314,359.752,350.314,357.575,0,0
CPG_MV,D,20140505,000000,356.844,359.752,349.582,349.582,0,0
CPG_MV,D,20140506,000000,353.936,353.936,343.043,350.314,0,0
CPG_MV,D,20140507,000000,352.491,352.491,329.964,340.857,0,0
CPG_MV,D,20140508,000000,355.399,355.399,335.772,355.399,0,0
CPG_MV,D,20140509,000000,331.409,355.399,331.409,355.399,0,0
CPG_MV,D,20140512,000000,333.595,353.936,333.595,345.951,0,0
CPG_MV,D,20140513,000000,354.667,354.667,335.049,345.951,0,0
CPG_MV,D,20140514,000000,335.049,354.667,334.318,354.667,0,0
CPG_MV,D,20140515,000000,337.226,342.311,336.503,342.311,0,0
CPG_MV,D,20140516,000000,348.128,348.128,340.134,340.857,0,0
CPG_MV,D,20140519,000000,336.503,353.936,336.503,348.85,0,0
CPG_MV,D,20140520,000000,352.491,352.491,337.226,345.22,0,0
CPG_MV,D,20140521,000000,344.497,349.582,344.497,349.582,0,0
CPG_MV,D,20140522,000000,341.589,348.85,341.589,348.85,0,0
CPG_MV,D,20140523,000000,349.582,349.582,341.589,348.85,0,0
CPG_MV,D,20140526,000000,348.85,353.936,348.85,353.936,0,0
CPG_MV,D,20140527,000000,348.85,353.936,348.85,351.758,0,0
CPG_MV,D,20140528,000000,348.85,352.491,347.405,352.491,0,0
CPG_MV,D,20140529,000000,349.582,349.582,348.128,348.128,0,0
CPG_MV,D,20140530,000000,346.674,348.128,341.589,348.128,0,0
CPG_MV,D,20140602,000000,355.399,355.399,347.405,352.491,0,0
CPG_MV,D,20140603,000000,352.491,352.491,347.405,348.85,0,0
CPG_MV,D,20140604,000000,347.405,352.491,347.405,351.037,0,0
CPG_MV,D,20140605,000000,351.037,353.936,351.037,353.936,0,0
CPG_MV,D,20140606,000000,349.582,353.936,349.582,353.936,0,0
CPG_MV,D,20140609,000000,353.936,353.936,349.582,353.936,0,0
CPG_MV,D,20140610,000000,356.121,356.121,356.121,356.121,0,0
CPG_MV,D,20140611,000000,356.121,359.752,350.314,359.752,0,0
CPG_MV,D,20140612,000000,361.216,361.216,356.121,360.484,0,0
CPG_MV,D,20140613,000000,353.936,360.484,353.936,359.029,0,0
CPG_MV,D,20140616,000000,352.491,359.029,352.491,359.029,0,0
