<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRJ_MV,D,20180806,000000,60.8639,60.8639,60.8639,60.8639,0,0
CRJ_MV,D,20180807,000000,60.8185,62.5417,57.3087,57.4266,0,0
CRJ_MV,D,20180808,000000,58.4152,60.9364,56.0209,60.0748,0,0
CRJ_MV,D,20180809,000000,60.9455,60.9455,56.6921,56.6921,0,0
CRJ_MV,D,20180810,000000,56.7556,56.7556,51.7583,54.1617,0,0
CRJ_MV,D,20180813,000000,51.7583,58.5422,51.7583,56.6921,0,0
CRJ_MV,D,20180814,000000,57.3087,59.7756,56.7556,57.9255,0,0
CRJ_MV,D,20180816,000000,60.6916,67.4755,60.6916,65.9336,0,0
CRJ_MV,D,20180817,000000,67.7838,73.9418,65.9336,72.4,0,0
CRJ_MV,D,20180820,000000,73.3251,75.792,70.8673,70.8673,0,0
CRJ_MV,D,20180821,000000,70.559,71.1666,65.9971,69.0172,0,0
CRJ_MV,D,20180822,000000,67.7838,69.0172,65.3169,68.4005,0,0
CRJ_MV,D,20180823,000000,66.5504,69.6339,65.3169,67.167,0,0
CRJ_MV,D,20180824,000000,65.3169,67.1036,64.4553,67.1036,0,0
CRJ_MV,D,20180827,000000,68.337,68.337,61.6166,63.4668,0,0
CRJ_MV,D,20180828,000000,65.3169,65.3169,61.6166,62.8501,0,0
CRJ_MV,D,20180829,000000,61.6166,72.7083,59.1588,60.3833,0,0
CRJ_MV,D,20180830,000000,59.6486,59.6486,51.45,52.4386,0,0
CRJ_MV,D,20180831,000000,53.4906,57.0004,46.9516,54.2252,0,0
CRJ_MV,D,20180903,000000,64.7003,77.6421,64.7003,73.3251,0,0
CRJ_MV,D,20180904,000000,74.5585,96.1251,73.3251,86.8837,0,0
CRJ_MV,D,20180905,000000,86.2034,93.0417,83.8001,86.2669,0,0
CRJ_MV,D,20180906,000000,86.276,90.5839,80.109,84.4168,0,0
CRJ_MV,D,20180907,000000,85.0335,89.3505,81.95,89.3505,0,0
CRJ_MV,D,20180910,000000,94.892,95.6986,91.2007,95.6986,0,0
CRJ_MV,D,20180911,000000,97.9753,114.246,93.6585,111.407,0,0
CRJ_MV,D,20180912,000000,107.834,109.621,102.909,104.751,0,0
CRJ_MV,D,20180913,000000,103.526,107.834,94.2751,102.293,0,0
CRJ_MV,D,20180914,000000,102.293,104.134,97.3583,103.825,0,0
CRJ_MV,D,20180917,000000,99.8255,102.909,97.6673,99.8255,0,0
CRJ_MV,D,20180918,000000,101.676,101.676,95.6986,100.134,0,0
CRJ_MV,D,20180919,000000,100.443,117.692,100.443,114.001,0,0
CRJ_MV,D,20180920,000000,114.001,120.149,111.534,112.767,0,0
CRJ_MV,D,20180921,000000,110.981,114.001,107.834,109.684,0,0
CRJ_MV,D,20180924,000000,110.917,113.385,109.684,110.917,0,0
CRJ_MV,D,20180925,000000,110.917,120.149,110.917,118.926,0,0
CRJ_MV,D,20180926,000000,117.075,120.149,114.001,120.123,0,0
CRJ_MV,D,20180927,000000,120.159,120.159,114.618,118.926,0,0
CRJ_MV,D,20180928,000000,114.618,114.618,111.543,114.001,0,0
CRJ_MV,D,20181001,000000,110.917,110.917,101.676,101.676,0,0
CRJ_MV,D,20181002,000000,103.526,109.684,103.526,105.676,0,0
CRJ_MV,D,20181003,000000,104.751,107.217,101.676,105.984,0,0
CRJ_MV,D,20181004,000000,104.751,105.984,101.676,105.984,0,0
CRJ_MV,D,20181005,000000,101.676,105.059,101.059,101.676,0,0
CRJ_MV,D,20181008,000000,105.367,105.367,97.6673,101.658,0,0
CRJ_MV,D,20181009,000000,99.5175,100.443,93.7854,100.443,0,0
CRJ_MV,D,20181010,000000,98.5924,111.225,98.5924,108.886,0,0
CRJ_MV,D,20181011,000000,110.917,110.917,101.676,103.526,0,0
CRJ_MV,D,20181012,000000,97.9753,107.834,97.9753,107.834,0,0
CRJ_MV,D,20181015,000000,107.834,107.834,103.526,104.751,0,0
CRJ_MV,D,20181016,000000,104.751,104.751,96.7422,98.5924,0,0
CRJ_MV,D,20181017,000000,99.2085,101.676,95.5716,95.5716,0,0
CRJ_MV,D,20181018,000000,101.304,106.6,95.6351,105.984,0,0
CRJ_MV,D,20181019,000000,105.984,106.6,99.8255,104.696,0,0
CRJ_MV,D,20181022,000000,99.5175,104.016,95.5716,98.7194,0,0
CRJ_MV,D,20181023,000000,100.443,101.676,95.8891,95.8891,0,0
CRJ_MV,D,20181024,000000,95.2,97.9753,93.0417,94.5835,0,0
CRJ_MV,D,20181025,000000,92.8603,92.8603,88.7338,89.414,0,0
CRJ_MV,D,20181026,000000,91.8174,91.8174,83.9906,86.3304,0,0
CRJ_MV,D,20181029,000000,83.8001,87.4369,82.5848,84.7252,0,0
CRJ_MV,D,20181030,000000,83.8001,84.4168,80.2903,81.95,0,0
