<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRJ_PB,D,20180806,000000,14.5652,14.5652,14.5652,14.5652,0,0
CRJ_PB,D,20180807,000000,14.5471,14.9644,13.7127,13.7399,0,0
CRJ_PB,D,20180808,000000,13.9757,14.5743,13.4044,14.3748,0,0
CRJ_PB,D,20180809,000000,14.5834,14.5834,13.5586,13.5586,0,0
CRJ_PB,D,20180810,000000,13.5767,13.5767,12.3796,12.96,0,0
CRJ_PB,D,20180813,000000,12.3796,14.2116,12.3796,14.2116,0,0
CRJ_PB,D,20180814,000000,14.3657,14.9825,14.2207,14.5199,0,0
CRJ_PB,D,20180816,000000,15.2092,16.9142,15.2092,16.5242,0,0
CRJ_PB,D,20180817,000000,16.9868,18.5285,16.5242,18.1476,0,0
CRJ_PB,D,20180820,000000,18.3743,18.9911,17.7577,17.7577,0,0
CRJ_PB,D,20180821,000000,17.6851,17.8393,16.5423,17.2951,0,0
CRJ_PB,D,20180822,000000,16.9868,17.2951,16.37,17.1409,0,0
CRJ_PB,D,20180823,000000,16.6784,17.4493,16.37,16.8326,0,0
CRJ_PB,D,20180824,000000,16.37,16.8145,16.1524,16.8145,0,0
CRJ_PB,D,20180827,000000,17.1228,17.1228,15.445,15.9076,0,0
CRJ_PB,D,20180828,000000,16.37,16.37,15.445,15.7533,0,0
CRJ_PB,D,20180829,000000,15.445,18.2202,14.8282,15.1366,0,0
CRJ_PB,D,20180830,000000,14.9462,14.9462,12.8965,13.1414,0,0
CRJ_PB,D,20180831,000000,13.4044,14.2841,11.7629,13.5858,0,0
CRJ_PB,D,20180903,000000,16.2159,19.4627,16.2159,18.3743,0,0
CRJ_PB,D,20180904,000000,18.6827,24.088,18.3743,21.7753,0,0
CRJ_PB,D,20180905,000000,21.603,23.3171,21.0044,21.6212,0,0
CRJ_PB,D,20180906,000000,21.6212,22.7004,20.0794,21.1586,0,0
CRJ_PB,D,20180907,000000,21.3128,22.3921,20.5419,22.3921,0,0
CRJ_PB,D,20180910,000000,23.7796,23.9883,22.8545,23.9883,0,0
CRJ_PB,D,20180911,000000,24.5596,28.6317,23.4713,27.9243,0,0
CRJ_PB,D,20180912,000000,27.0265,27.4708,25.7931,26.2556,0,0
CRJ_PB,D,20180913,000000,25.9472,27.0265,23.6255,25.6388,0,0
CRJ_PB,D,20180914,000000,25.6388,26.1014,24.3964,26.0198,0,0
CRJ_PB,D,20180917,000000,25.0222,25.7931,24.478,25.0222,0,0
CRJ_PB,D,20180918,000000,25.4846,25.4846,23.9883,25.0947,0,0
CRJ_PB,D,20180919,000000,25.1763,29.4933,25.1763,28.5683,0,0
CRJ_PB,D,20180920,000000,28.5683,30.11,27.9515,28.2598,0,0
CRJ_PB,D,20180921,000000,27.8155,28.5683,27.0265,27.4889,0,0
CRJ_PB,D,20180924,000000,27.7974,28.414,27.4889,27.7974,0,0
CRJ_PB,D,20180925,000000,27.7974,30.11,27.7974,29.8016,0,0
CRJ_PB,D,20180926,000000,29.3391,30.11,28.5683,30.11,0,0
