<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRJ_PE,D,20181107,000000,91.0556,91.0556,91.0556,91.0556,0,0
CRJ_PE,D,20181108,000000,84.5256,88.6975,82.349,88.6975,0,0
CRJ_PE,D,20181109,000000,88.6975,90.4207,74.6402,85.1605,0,0
CRJ_PE,D,20181113,000000,79.2655,95.0465,79.2655,82.2583,0,0
CRJ_PE,D,20181114,000000,81.0794,90.7834,81.0794,85.7954,0,0
CRJ_PE,D,20181115,000000,85.7954,85.7954,82.8025,82.8025,0,0
CRJ_PE,D,20181116,000000,83.1653,83.1653,78.0864,82.2583,0,0
CRJ_PE,D,20181119,000000,81.6235,82.8025,79.6282,82.8025,0,0
CRJ_PE,D,20181120,000000,82.8025,82.8932,79.2655,79.3562,0,0
CRJ_PE,D,20181121,000000,80.5352,81.0794,78.812,79.991,0,0
CRJ_PE,D,20181122,000000,79.4469,82.2583,78.7213,81.6235,0,0
CRJ_PE,D,20181123,000000,81.3514,85.1605,80.5352,81.6235,0,0
CRJ_PE,D,20181126,000000,82.8025,91.8718,82.8025,87.5185,0,0
CRJ_PE,D,20181127,000000,86.9743,91.0556,85.7954,85.7954,0,0
CRJ_PE,D,20181128,000000,85.5233,88.1533,85.5233,86.9743,0,0
CRJ_PE,D,20181129,000000,89.3324,92.8694,89.3324,92.7787,0,0
CRJ_PE,D,20181130,000000,93.3228,93.3228,89.2417,89.3324,0,0
CRJ_PE,D,20181203,000000,92.7787,92.7787,86.9743,90.5114,0,0
CRJ_PE,D,20181204,000000,90.2393,90.2393,86.6116,86.6116,0,0
CRJ_PE,D,20181205,000000,86.6116,88.0626,85.7047,86.8837,0,0
CRJ_PE,D,20181206,000000,88.1533,88.1533,83.9815,83.9815,0,0
CRJ_PE,D,20181207,000000,84.5256,84.5256,82.2583,83.9815,0,0
CRJ_PE,D,20181210,000000,83.9815,85.1605,80.5352,84.6164,0,0
CRJ_PE,D,20181211,000000,84.0722,88.1533,83.9815,83.9815,0,0
CRJ_PE,D,20181212,000000,83.9815,85.7954,83.3466,85.7954,0,0
CRJ_PE,D,20181213,000000,82.8932,87.7906,82.8932,87.7906,0,0
CRJ_PE,D,20181214,000000,87.6999,88.6975,86.3395,86.3395,0,0
CRJ_PE,D,20181217,000000,86.3395,87.5185,83.4373,87.5185,0,0
CRJ_PE,D,20181219,000000,83.9815,86.3395,83.9815,86.3395,0,0
CRJ_PE,D,20181220,000000,83.4373,86.8837,83.4373,83.4373,0,0
CRJ_PE,D,20181221,000000,83.4373,86.3395,78.1771,82.8932,0,0
CRJ_PE,D,20181227,000000,82.2583,82.8932,78.0864,78.0864,0,0
CRJ_PE,D,20181228,000000,82.6211,82.8025,82.6211,82.8025,0,0
CRJ_PE,D,20190102,000000,83.3466,88.6975,83.3466,87.5185,0,0
CRJ_PE,D,20190103,000000,87.5185,87.5185,86.9743,86.9743,0,0
CRJ_PE,D,20190104,000000,87.065,87.065,86.9743,86.9743,0,0
CRJ_PE,D,20190107,000000,87.2464,87.2464,86.4302,87.2464,0,0
CRJ_PE,D,20190108,000000,87.2464,88.1533,85.1605,86.9743,0,0
CRJ_PE,D,20190109,000000,88.7882,88.7882,84.6164,84.6164,0,0
CRJ_PE,D,20190110,000000,84.0722,86.9743,84.0722,86.8837,0,0
CRJ_PE,D,20190111,000000,86.8837,91.9625,86.8837,89.3324,0,0
CRJ_PE,D,20190114,000000,87.065,87.065,85.7954,87.065,0,0
CRJ_PE,D,20190115,000000,85.7954,87.5185,83.9815,87.5185,0,0
CRJ_PE,D,20190116,000000,87.7906,87.7906,85.7954,85.7954,0,0
CRJ_PE,D,20190117,000000,86.4302,87.9719,85.7954,86.3395,0,0
CRJ_PE,D,20190118,000000,85.7954,87.5185,84.6164,85.7954,0,0
CRJ_PE,D,20190121,000000,84.0722,86.9743,84.0722,86.9743,0,0
CRJ_PE,D,20190122,000000,86.9743,92.2345,86.4302,89.8765,0,0
CRJ_PE,D,20190123,000000,89.7858,94.8645,87.5185,92.5973,0,0
CRJ_PE,D,20190124,000000,92.7787,100.76,92.7787,99.853,0,0
CRJ_PE,D,20190125,000000,99.853,109.829,93.9577,105.113,0,0
CRJ_PE,D,20190128,000000,105.657,105.657,101.576,101.666,0,0
CRJ_PE,D,20190129,000000,100.487,101.666,97.2227,97.2227,0,0
CRJ_PE,D,20190130,000000,99.309,105.113,97.8578,101.032,0,0
CRJ_PE,D,20190131,000000,101.032,102.755,98.1298,98.4019,0,0
CRJ_PE,D,20190201,000000,101.032,102.845,99.853,99.853,0,0
CRJ_PE,D,20190204,000000,100.397,108.378,100.397,108.378,0,0
CRJ_PE,D,20190205,000000,108.741,108.741,105.748,106.746,0,0
CRJ_PE,D,20190206,000000,106.927,108.106,104.569,105.748,0,0
CRJ_PE,D,20190207,000000,102.845,102.845,99.309,99.309,0,0
CRJ_PE,D,20190208,000000,99.399,105.023,99.309,99.309,0,0
CRJ_PE,D,20190211,000000,95.6806,108.65,48.6113,48.6113,0,0
CRJ_PE,D,20190212,000000,49.5183,50.2438,47.6137,47.6137,0,0
CRJ_PE,D,20190213,000000,46.0719,49.1554,46.0719,48.6113,0,0
CRJ_PE,D,20190214,000000,48.0671,48.9741,48.0671,48.6113,0,0
CRJ_PE,D,20190215,000000,47.2509,47.2509,46.9789,47.2509,0,0
CRJ_PE,D,20190218,000000,47.5231,47.5231,45.6184,47.5231,0,0
CRJ_PE,D,20190219,000000,47.5231,49.4276,47.2509,47.2509,0,0
CRJ_PE,D,20190220,000000,47.2509,47.7951,47.2509,47.2509,0,0
CRJ_PE,D,20190221,000000,46.8882,48.6113,46.7068,48.6113,0,0
CRJ_PE,D,20190222,000000,47.5231,49.1554,47.2509,47.7951,0,0
CRJ_PE,D,20190225,000000,48.6113,48.6113,47.2509,47.2509,0,0
CRJ_PE,D,20190226,000000,48.0671,49.1554,48.0671,49.1554,0,0
CRJ_PE,D,20190227,000000,47.4323,48.6113,47.4323,48.6113,0,0
CRJ_PE,D,20190228,000000,48.6113,49.1554,48.6113,48.8834,0,0
CRJ_PE,D,20190301,000000,48.702,48.8834,47.5231,47.5231,0,0
CRJ_PE,D,20190304,000000,48.6113,48.6113,47.6137,47.7044,0,0
CRJ_PE,D,20190305,000000,48.0671,51.2414,47.0695,48.3392,0,0
CRJ_PE,D,20190306,000000,48.8834,50.1531,47.4323,48.3392,0,0
CRJ_PE,D,20190307,000000,48.6113,50.2438,48.3392,48.6113,0,0
CRJ_PE,D,20190308,000000,48.702,48.702,46.7068,47.2509,0,0
CRJ_PE,D,20190311,000000,46.9789,48.5207,46.9789,47.2509,0,0
CRJ_PE,D,20190312,000000,48.3392,48.6113,42.6256,44.0767,0,0
CRJ_PE,D,20190313,000000,43.5325,44.0767,43.5325,43.5325,0,0
CRJ_PE,D,20190314,000000,44.0767,44.7115,44.0767,44.5301,0,0
CRJ_PE,D,20190315,000000,44.4394,48.0671,44.4394,48.0671,0,0
CRJ_PE,D,20190318,000000,48.0671,48.0671,46.1626,47.2509,0,0
CRJ_PE,D,20190319,000000,47.9765,47.9765,46.2533,46.2533,0,0
CRJ_PE,D,20190320,000000,46.344,48.0671,46.344,48.0671,0,0
CRJ_PE,D,20190321,000000,46.5253,46.5253,45.8906,45.8906,0,0
CRJ_PE,D,20190322,000000,45.8906,45.9812,45.8906,45.9812,0,0
CRJ_PE,D,20190325,000000,45.9812,47.0695,45.437,45.5277,0,0
CRJ_PE,D,20190326,000000,45.6184,47.3416,45.6184,45.8906,0,0
