<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSR_MV,D,20111208,000000,58.7287,58.7287,58.7287,58.7287,0,0
CSR_MV,D,20111209,000000,60.9587,64.4119,47.0068,47.126,0,0
CSR_MV,D,20111212,000000,49.235,49.235,41.8466,43.3863,0,0
CSR_MV,D,20111213,000000,45.7199,46.894,43.3726,44.5458,0,0
CSR_MV,D,20111214,000000,45.2489,45.2489,45.2489,45.2489,0,0
CSR_MV,D,20111215,000000,44.6668,44.6668,44.4276,44.4276,0,0
CSR_MV,D,20111216,000000,43.9629,43.9629,43.9629,43.9629,0,0
CSR_MV,D,20111219,000000,43.3726,43.3726,43.3726,43.3726,0,0
CSR_MV,D,20111220,000000,43.3726,43.3726,43.3726,43.3726,0,0
CSR_MV,D,20111222,000000,43.3726,43.3726,43.3726,43.3726,0,0
CSR_MV,D,20111228,000000,45.7199,45.7199,45.7199,45.7199,0,0
CSR_MV,D,20111229,000000,46.774,46.894,46.774,46.894,0,0
CSR_MV,D,20120111,000000,44.8978,44.8978,44.8978,44.8978,0,0
CSR_MV,D,20120127,000000,44.7778,44.7778,44.7778,44.7778,0,0
CSR_MV,D,20120131,000000,46.894,46.894,46.894,46.894,0,0
CSR_MV,D,20120202,000000,46.894,46.894,46.894,46.894,0,0
CSR_MV,D,20120227,000000,50.0643,58.6042,50.0643,58.6042,0,0
CSR_MV,D,20120229,000000,61.0569,63.4979,61.0569,63.4979,0,0
CSR_MV,D,20120301,000000,64.7174,67.1657,64.7174,67.1657,0,0
CSR_MV,D,20120302,000000,67.1657,80.5929,67.1657,80.5929,0,0
CSR_MV,D,20120305,000000,67.0994,67.0994,64.7174,64.7174,0,0
CSR_MV,D,20120309,000000,64.7102,70.829,64.7102,69.6049,0,0
CSR_MV,D,20120314,000000,56.1705,56.1705,56.1705,56.1705,0,0
CSR_MV,D,20120315,000000,56.1705,56.1705,54.949,54.949,0,0
CSR_MV,D,20120525,000000,48.8421,48.8421,48.8421,48.8421,0,0
CSR_MV,D,20120720,000000,47.6244,48.8293,47.6244,48.8293,0,0
CSR_MV,D,20120829,000000,48.2337,48.2337,48.2337,48.2337,0,0
CSR_MV,D,20120830,000000,48.2337,48.8421,48.2337,48.2337,0,0
CSR_MV,D,20120913,000000,47.0123,47.0123,47.0123,47.0123,0,0
CSR_MV,D,20121120,000000,46.6476,46.6476,45.4289,45.4289,0,0
CSR_MV,D,20121217,000000,43.1535,43.1535,43.1535,43.1535,0,0
CSR_MV,D,20121220,000000,40.9062,40.9062,36.6345,36.6345,0,0
CSR_MV,D,20121221,000000,34.0835,34.0835,34.0835,34.0835,0,0
CSR_MV,D,20130110,000000,34.7983,34.7983,34.7983,34.7983,0,0
CSR_MV,D,20130111,000000,36.7555,36.7555,36.7555,36.7555,0,0
CSR_MV,D,20130122,000000,36.7555,36.7555,36.7555,36.7555,0,0
CSR_MV,D,20130227,000000,39.5075,43.9629,39.5075,43.9629,0,0
CSR_MV,D,20130228,000000,47.2578,47.2578,47.2578,47.2578,0,0
CSR_MV,D,20130301,000000,56.4159,56.4159,43.9629,43.9629,0,0
CSR_MV,D,20130327,000000,43.9629,43.9629,43.9629,43.9629,0,0
CSR_MV,D,20130419,000000,43.3526,43.3526,42.033,42.033,0,0
CSR_MV,D,20130520,000000,42.7433,42.7433,42.7433,42.7433,0,0
CSR_MV,D,20130604,000000,48.8421,48.8421,48.8421,48.8421,0,0
CSR_MV,D,20130704,000000,38.4652,38.4652,38.4652,38.4652,0,0
CSR_MV,D,20130705,000000,39.0764,39.6866,39.0764,39.6866,0,0
CSR_MV,D,20130708,000000,41.3491,41.3491,41.3491,41.3491,0,0
