<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBC_MV,D,20070813,000000,749.701,749.701,749.701,749.701,0,0
DBC_MV,D,20070814,000000,749.701,749.701,749.701,749.701,0,0
DBC_MV,D,20070816,000000,742.952,742.952,742.952,742.952,0,0
DBC_MV,D,20070817,000000,729.435,729.435,729.435,729.435,0,0
DBC_MV,D,20070820,000000,742.952,742.952,742.952,742.952,0,0
DBC_MV,D,20070821,000000,715.927,715.927,715.927,715.927,0,0
DBC_MV,D,20070822,000000,715.927,715.927,715.927,715.927,0,0
DBC_MV,D,20070823,000000,715.927,715.927,715.927,715.927,0,0
DBC_MV,D,20070824,000000,702.42,702.42,702.42,702.42,0,0
DBC_MV,D,20070827,000000,715.927,715.927,715.927,715.927,0,0
DBC_MV,D,20070828,000000,715.927,715.927,715.927,715.927,0,0
DBC_MV,D,20070829,000000,708.497,708.497,708.497,708.497,0,0
DBC_MV,D,20070830,000000,715.927,715.927,715.927,715.927,0,0
DBC_MV,D,20070831,000000,709.178,709.178,709.178,709.178,0,0
DBC_MV,D,20070903,000000,715.927,715.927,715.927,715.927,0,0
DBC_MV,D,20070904,000000,715.255,715.255,715.255,715.255,0,0
DBC_MV,D,20070905,000000,715.255,715.255,715.255,715.255,0,0
DBC_MV,D,20070906,000000,709.178,709.178,709.178,709.178,0,0
DBC_MV,D,20070907,000000,688.903,688.903,688.903,688.903,0,0
DBC_MV,D,20070910,000000,682.153,682.153,682.153,682.153,0,0
DBC_MV,D,20070911,000000,682.153,682.153,682.153,682.153,0,0
DBC_MV,D,20070912,000000,688.903,688.903,688.903,688.903,0,0
DBC_MV,D,20070913,000000,682.153,682.153,682.153,682.153,0,0
DBC_MV,D,20070914,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20070917,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20070918,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20070919,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20070920,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20070921,000000,674.051,674.051,674.051,674.051,0,0
DBC_MV,D,20070924,000000,682.153,682.153,682.153,682.153,0,0
DBC_MV,D,20070925,000000,675.058,675.058,675.058,675.058,0,0
DBC_MV,D,20070926,000000,675.058,675.058,675.058,675.058,0,0
DBC_MV,D,20070927,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20070928,000000,672.025,672.025,672.025,672.025,0,0
DBC_MV,D,20071001,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20071002,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20071003,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20071004,000000,674.722,674.722,674.722,674.722,0,0
DBC_MV,D,20071005,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20071008,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20071009,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20071010,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20071011,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20071012,000000,675.058,675.058,675.058,675.058,0,0
DBC_MV,D,20071015,000000,674.722,674.722,674.722,674.722,0,0
DBC_MV,D,20071016,000000,674.722,674.722,674.722,674.722,0,0
DBC_MV,D,20071017,000000,674.722,674.722,674.722,674.722,0,0
DBC_MV,D,20071018,000000,661.896,661.896,661.896,661.896,0,0
DBC_MV,D,20071019,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20071022,000000,675.413,675.413,675.413,675.413,0,0
DBC_MV,D,20071023,000000,668.636,668.636,668.636,668.636,0,0
DBC_MV,D,20071024,000000,668.636,668.636,668.636,668.636,0,0
DBC_MV,D,20071025,000000,682.835,682.835,682.835,682.835,0,0
DBC_MV,D,20071026,000000,709.178,709.178,709.178,709.178,0,0
DBC_MV,D,20071029,000000,709.178,709.178,709.178,709.178,0,0
DBC_MV,D,20071030,000000,688.903,688.903,688.903,688.903,0,0
DBC_MV,D,20071031,000000,703.773,703.773,703.773,703.773,0,0
DBC_MV,D,20071102,000000,653.794,653.794,653.794,653.794,0,0
DBC_MV,D,20071105,000000,621.364,621.364,621.364,621.364,0,0
DBC_MV,D,20071106,000000,625.079,625.079,625.079,625.079,0,0
DBC_MV,D,20071107,000000,607.865,607.865,607.865,607.865,0,0
DBC_MV,D,20071108,000000,607.865,607.865,607.865,607.865,0,0
DBC_MV,D,20071109,000000,588.943,641.639,588.943,641.639,0,0
DBC_MV,D,20071112,000000,622.727,655.138,621.364,648.379,0,0
DBC_MV,D,20071113,000000,641.639,648.379,639.259,641.639,0,0
DBC_MV,D,20071114,000000,645.01,651.758,633.201,651.758,0,0
DBC_MV,D,20071115,000000,645.01,651.758,607.865,641.303,0,0
DBC_MV,D,20071116,000000,648.379,648.379,607.865,641.303,0,0
DBC_MV,D,20071119,000000,641.303,655.138,634.881,655.138,0,0
DBC_MV,D,20071120,000000,651.758,655.138,641.639,655.138,0,0
DBC_MV,D,20071121,000000,655.82,655.82,641.639,641.639,0,0
DBC_MV,D,20071122,000000,629.812,642.656,629.812,641.639,0,0
DBC_MV,D,20071123,000000,641.639,645.01,628.122,641.639,0,0
DBC_MV,D,20071126,000000,641.639,641.639,628.804,641.639,0,0
DBC_MV,D,20071127,000000,641.639,641.639,631.838,640.958,0,0
DBC_MV,D,20071128,000000,648.043,648.043,635.226,641.639,0,0
DBC_MV,D,20071129,000000,641.639,641.639,634.881,641.639,0,0
DBC_MV,D,20071130,000000,634.881,634.881,603.478,607.865,0,0
DBC_MV,D,20071203,000000,608.211,608.556,580.85,594.348,0,0
DBC_MV,D,20071204,000000,603.814,603.814,582.203,599.091,0,0
DBC_MV,D,20071205,000000,594.348,619.338,594.348,618.003,0,0
DBC_MV,D,20071206,000000,618.003,618.003,603.478,608.556,0,0
DBC_MV,D,20071207,000000,621.364,634.881,615.287,634.881,0,0
DBC_MV,D,20071210,000000,623.39,634.881,623.39,634.881,0,0
DBC_MV,D,20071211,000000,623.39,644.664,623.39,644.664,0,0
DBC_MV,D,20071212,000000,645.01,675.413,645.01,675.413,0,0
DBC_MV,D,20071213,000000,663.259,675.413,655.474,668.636,0,0
DBC_MV,D,20071214,000000,668.3,695.661,668.3,695.661,0,0
DBC_MV,D,20071217,000000,682.835,702.42,672.025,702.42,0,0
DBC_MV,D,20071218,000000,701.747,715.927,690.256,709.178,0,0
DBC_MV,D,20071219,000000,697.015,709.178,697.015,707.815,0,0
DBC_MV,D,20071220,000000,689.584,714.573,689.584,714.573,0,0
DBC_MV,D,20071221,000000,720.659,720.659,709.178,713.23,0,0
DBC_MV,D,20071227,000000,715.255,722.685,709.841,722.685,0,0
DBC_MV,D,20071228,000000,721.341,721.341,709.178,710.522,0,0
DBC_MV,D,20080102,000000,709.178,710.522,708.497,709.178,0,0
DBC_MV,D,20080103,000000,696.324,696.324,685.532,688.903,0,0
DBC_MV,D,20080104,000000,695.661,695.661,684.869,688.903,0,0
DBC_MV,D,20080107,000000,694.989,695.661,688.903,688.903,0,0
DBC_MV,D,20080108,000000,682.153,688.903,678.783,686.877,0,0
