<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBC_PB,D,20070813,000000,1.20888,1.20888,1.20888,1.20888,0,0
DBC_PB,D,20070814,000000,1.20888,1.20888,1.20888,1.20888,0,0
DBC_PB,D,20070816,000000,1.19372,1.19372,1.19372,1.19372,0,0
DBC_PB,D,20070817,000000,1.17354,1.17354,1.17354,1.17354,0,0
DBC_PB,D,20070820,000000,1.19372,1.19372,1.19372,1.19372,0,0
DBC_PB,D,20070821,000000,1.15347,1.15347,1.15347,1.15347,0,0
DBC_PB,D,20070822,000000,1.15347,1.15347,1.15347,1.15347,0,0
DBC_PB,D,20070823,000000,1.15347,1.15347,1.15347,1.15347,0,0
DBC_PB,D,20070824,000000,1.12831,1.12831,1.12831,1.12831,0,0
DBC_PB,D,20070827,000000,1.15347,1.15347,1.15347,1.15347,0,0
DBC_PB,D,20070828,000000,1.15347,1.15347,1.15347,1.15347,0,0
DBC_PB,D,20070829,000000,1.13839,1.13839,1.13839,1.13839,0,0
DBC_PB,D,20070830,000000,1.15347,1.15347,1.15347,1.15347,0,0
DBC_PB,D,20070831,000000,1.13839,1.13839,1.13839,1.13839,0,0
DBC_PB,D,20070903,000000,1.15347,1.15347,1.15347,1.15347,0,0
DBC_PB,D,20070904,000000,1.14848,1.14848,1.14848,1.14848,0,0
DBC_PB,D,20070905,000000,1.14848,1.14848,1.14848,1.14848,0,0
DBC_PB,D,20070906,000000,1.13839,1.13839,1.13839,1.13839,0,0
DBC_PB,D,20070907,000000,1.11313,1.11313,1.11313,1.11313,0,0
DBC_PB,D,20070910,000000,1.09797,1.09797,1.09797,1.09797,0,0
DBC_PB,D,20070911,000000,1.09797,1.09797,1.09797,1.09797,0,0
DBC_PB,D,20070912,000000,1.11313,1.11313,1.11313,1.11313,0,0
DBC_PB,D,20070913,000000,1.09797,1.09797,1.09797,1.09797,0,0
DBC_PB,D,20070914,000000,1.08797,1.08797,1.08797,1.08797,0,0
DBC_PB,D,20070917,000000,1.08797,1.08797,1.08797,1.08797,0,0
DBC_PB,D,20070918,000000,1.08797,1.08797,1.08797,1.08797,0,0
DBC_PB,D,20070919,000000,1.08797,1.08797,1.08797,1.08797,0,0
DBC_PB,D,20070920,000000,1.08797,1.08797,1.08797,1.08797,0,0
