<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCR_MV,D,20070813,000000,209.128,209.128,209.128,209.128,0,0
DCR_MV,D,20070814,000000,189.292,189.292,189.292,189.292,0,0
DCR_MV,D,20070816,000000,169.93,169.93,169.93,169.93,0,0
DCR_MV,D,20070817,000000,172.171,172.171,172.171,172.171,0,0
DCR_MV,D,20070820,000000,188.243,188.243,188.243,188.243,0,0
DCR_MV,D,20070821,000000,195.127,195.127,195.127,195.127,0,0
DCR_MV,D,20070822,000000,211.199,211.199,211.199,211.199,0,0
DCR_MV,D,20070823,000000,224.475,224.475,224.475,224.475,0,0
DCR_MV,D,20070824,000000,224.421,224.421,224.421,224.421,0,0
DCR_MV,D,20070827,000000,216.246,216.246,216.246,216.246,0,0
DCR_MV,D,20070828,000000,207.991,207.991,207.991,207.991,0,0
DCR_MV,D,20070829,000000,204.315,204.315,204.315,204.315,0,0
DCR_MV,D,20070830,000000,205.687,205.687,205.687,205.687,0,0
DCR_MV,D,20070831,000000,210.707,210.707,210.707,210.707,0,0
DCR_MV,D,20070903,000000,217.572,217.572,217.572,217.572,0,0
DCR_MV,D,20070904,000000,218.093,218.093,218.093,218.093,0,0
DCR_MV,D,20070905,000000,217.949,217.949,217.949,217.949,0,0
DCR_MV,D,20070906,000000,219.375,219.375,219.375,219.375,0,0
DCR_MV,D,20070907,000000,206.61,206.61,206.61,206.61,0,0
DCR_MV,D,20070910,000000,204.315,204.315,204.315,204.315,0,0
DCR_MV,D,20070911,000000,205.687,205.687,205.687,205.687,0,0
DCR_MV,D,20070912,000000,211.199,211.199,211.199,211.199,0,0
DCR_MV,D,20070913,000000,211.11,211.11,211.11,211.11,0,0
DCR_MV,D,20070914,000000,212.893,212.893,212.893,212.893,0,0
DCR_MV,D,20070917,000000,219.473,219.473,219.473,219.473,0,0
DCR_MV,D,20070918,000000,218.093,218.093,218.093,218.093,0,0
