<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIG_PE,D,20111017,000000,6.01023,6.01023,6.01023,6.01023,0,0
DIG_PE,D,20111018,000000,6.01023,6.01023,6.01023,6.01023,0,0
DIG_PE,D,20111019,000000,5.93888,6.29656,5.93888,5.93888,0,0
DIG_PE,D,20111020,000000,6.22493,6.22493,5.93888,6.22493,0,0
DIG_PE,D,20111021,000000,6.22493,6.22493,6.22493,6.22493,0,0
DIG_PE,D,20111024,000000,6.22493,6.22493,6.22493,6.22493,0,0
DIG_PE,D,20111025,000000,6.15339,6.15339,6.15339,6.15339,0,0
DIG_PE,D,20111026,000000,6.15339,6.15339,6.15339,6.15339,0,0
DIG_PE,D,20111027,000000,6.15339,6.15339,5.86716,6.15339,0,0
DIG_PE,D,20111028,000000,6.15339,6.15339,5.93888,6.15339,0,0
DIG_PE,D,20111031,000000,6.368,6.368,6.15339,6.15339,0,0
DIG_PE,D,20111102,000000,6.08176,6.15339,6.08176,6.15339,0,0
DIG_PE,D,20111103,000000,6.08176,6.72576,6.08176,6.72576,0,0
DIG_PE,D,20111104,000000,6.58269,7.15507,6.58269,7.15507,0,0
DIG_PE,D,20111107,000000,7.012,7.15507,7.012,7.15507,0,0
DIG_PE,D,20111108,000000,7.15507,7.36967,7.08353,7.29823,0,0
DIG_PE,D,20111109,000000,7.29823,7.29823,7.22669,7.29823,0,0
DIG_PE,D,20111110,000000,7.29823,7.29823,7.22669,7.22669,0,0
DIG_PE,D,20111114,000000,7.22669,7.22669,7.22669,7.22669,0,0
DIG_PE,D,20111115,000000,7.22669,7.22669,6.86902,7.15507,0,0
DIG_PE,D,20111116,000000,7.22669,7.22669,7.15507,7.22669,0,0
DIG_PE,D,20111117,000000,7.22669,7.29823,7.15507,7.15507,0,0
DIG_PE,D,20111118,000000,7.22669,7.22669,6.86902,6.86902,0,0
DIG_PE,D,20111121,000000,7.22669,7.22669,7.15507,7.15507,0,0
DIG_PE,D,20111122,000000,7.15507,7.15507,7.15507,7.15507,0,0
DIG_PE,D,20111123,000000,7.15507,7.15507,6.7973,7.15507,0,0
DIG_PE,D,20111124,000000,7.15507,7.15507,7.08353,7.15507,0,0
DIG_PE,D,20111125,000000,7.15507,7.15507,6.7973,7.15507,0,0
DIG_PE,D,20111128,000000,7.22669,7.22669,6.7973,6.7973,0,0
DIG_PE,D,20111129,000000,6.7973,6.7973,6.7973,6.7973,0,0
DIG_PE,D,20111130,000000,6.58354,6.93661,6.58354,6.93661,0,0
DIG_PE,D,20111201,000000,7.15507,7.15507,7.08353,7.15507,0,0
DIG_PE,D,20111202,000000,6.86902,7.15507,6.86902,7.15507,0,0
DIG_PE,D,20111205,000000,7.22669,7.22669,6.86902,6.94046,0,0
DIG_PE,D,20111206,000000,7.08353,7.08353,6.7973,7.012,0,0
DIG_PE,D,20111207,000000,7.08353,7.08353,6.94046,6.94046,0,0
DIG_PE,D,20111208,000000,7.08353,7.08353,6.86902,6.86902,0,0
DIG_PE,D,20111209,000000,6.94046,7.012,6.94046,7.012,0,0
DIG_PE,D,20111212,000000,7.15507,7.15507,6.72576,6.72576,0,0
DIG_PE,D,20111213,000000,7.08353,7.08353,6.7973,6.86902,0,0
DIG_PE,D,20111214,000000,7.08353,7.08353,6.7973,6.7973,0,0
DIG_PE,D,20111215,000000,6.7973,6.7973,6.7973,6.7973,0,0
DIG_PE,D,20111216,000000,7.08353,7.08353,6.7973,7.012,0,0
DIG_PE,D,20111219,000000,7.15507,7.15507,7.08353,7.08353,0,0
DIG_PE,D,20111220,000000,7.22669,7.22669,7.08353,7.15507,0,0
DIG_PE,D,20111221,000000,7.15507,7.15507,7.15507,7.15507,0,0
DIG_PE,D,20111222,000000,7.15507,7.15507,7.08353,7.15507,0,0
DIG_PE,D,20111223,000000,7.15507,7.15507,7.15507,7.15507,0,0
DIG_PE,D,20111227,000000,7.15507,7.15507,6.94046,7.15507,0,0
DIG_PE,D,20111228,000000,7.15507,7.15507,7.15507,7.15507,0,0
DIG_PE,D,20111229,000000,7.15507,7.15507,7.08353,7.15507,0,0
DIG_PE,D,20111230,000000,7.08569,7.22707,7.01509,7.01509,0,0
DIG_PE,D,20120102,000000,7.22669,7.22669,7.012,7.012,0,0
DIG_PE,D,20120103,000000,7.15507,7.15507,7.15507,7.15507,0,0
DIG_PE,D,20120104,000000,7.15507,7.15507,7.012,7.012,0,0
DIG_PE,D,20120105,000000,7.012,7.012,7.012,7.012,0,0
DIG_PE,D,20120109,000000,7.15507,7.15507,7.15507,7.15507,0,0
DIG_PE,D,20120110,000000,7.15507,7.15507,7.15507,7.15507,0,0
DIG_PE,D,20120111,000000,7.012,7.08353,7.012,7.08353,0,0
DIG_PE,D,20120112,000000,7.08353,7.08353,7.012,7.012,0,0
DIG_PE,D,20120113,000000,7.012,7.012,6.86902,6.94046,0,0
DIG_PE,D,20120116,000000,6.7973,7.08353,6.7973,7.08353,0,0
DIG_PE,D,20120117,000000,7.08353,7.08353,7.08353,7.08353,0,0
DIG_PE,D,20120118,000000,7.08353,7.22669,7.08353,7.15507,0,0
DIG_PE,D,20120119,000000,7.15507,7.15507,7.15507,7.15507,0,0
DIG_PE,D,20120120,000000,7.15507,7.36967,7.15507,7.36967,0,0
DIG_PE,D,20120123,000000,7.4413,7.51283,7.4413,7.4413,0,0
DIG_PE,D,20120124,000000,7.51283,7.51283,7.4413,7.4413,0,0
DIG_PE,D,20120125,000000,7.4413,7.4413,7.4413,7.4413,0,0
DIG_PE,D,20120126,000000,7.36967,8.15693,7.36967,8.15693,0,0
