<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOM_MV,D,20070813,000000,1403.28,1403.28,1403.28,1403.28,0,0
DOM_MV,D,20070814,000000,1398.77,1398.77,1398.77,1398.77,0,0
DOM_MV,D,20070816,000000,1285.07,1285.07,1285.07,1285.07,0,0
DOM_MV,D,20070817,000000,1317.56,1317.56,1317.56,1317.56,0,0
DOM_MV,D,20070820,000000,1326.58,1326.58,1326.58,1326.58,0,0
DOM_MV,D,20070821,000000,1308.53,1308.53,1308.53,1308.53,0,0
DOM_MV,D,20070822,000000,1380.72,1380.72,1380.72,1380.72,0,0
DOM_MV,D,20070823,000000,1353.65,1353.65,1353.65,1353.65,0,0
DOM_MV,D,20070824,000000,1362.67,1362.67,1362.67,1362.67,0,0
DOM_MV,D,20070827,000000,1371.69,1371.69,1371.69,1371.69,0,0
DOM_MV,D,20070828,000000,1355.46,1355.46,1355.46,1355.46,0,0
DOM_MV,D,20070829,000000,1353.65,1353.65,1353.65,1353.65,0,0
DOM_MV,D,20070830,000000,1362.67,1362.67,1362.67,1362.67,0,0
DOM_MV,D,20070831,000000,1389.74,1389.74,1389.74,1389.74,0,0
DOM_MV,D,20070903,000000,1376.21,1376.21,1376.21,1376.21,0,0
DOM_MV,D,20070904,000000,1369.89,1369.89,1369.89,1369.89,0,0
DOM_MV,D,20070905,000000,1382.53,1382.53,1382.53,1382.53,0,0
DOM_MV,D,20070906,000000,1367.2,1367.2,1367.2,1367.2,0,0
DOM_MV,D,20070907,000000,1367.2,1367.2,1367.2,1367.2,0,0
DOM_MV,D,20070910,000000,1344.63,1344.63,1344.63,1344.63,0,0
DOM_MV,D,20070911,000000,1380.72,1380.72,1380.72,1380.72,0,0
DOM_MV,D,20070912,000000,1354.54,1354.54,1354.54,1354.54,0,0
DOM_MV,D,20070913,000000,1351.86,1351.86,1351.86,1351.86,0,0
DOM_MV,D,20070914,000000,1368.09,1368.09,1368.09,1368.09,0,0
DOM_MV,D,20070917,000000,1367.2,1367.2,1367.2,1367.2,0,0
DOM_MV,D,20070918,000000,1398.77,1398.77,1398.77,1398.77,0,0
DOM_MV,D,20070919,000000,1396.97,1396.97,1396.97,1396.97,0,0
DOM_MV,D,20070920,000000,1398.77,1398.77,1398.77,1398.77,0,0
