<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOM_PE,D,20070813,000000,8.30482,8.30482,8.30482,8.30482,0,0
DOM_PE,D,20070814,000000,8.26696,8.26696,8.26696,8.26696,0,0
DOM_PE,D,20070816,000000,7.60539,7.60539,7.60539,7.60539,0,0
DOM_PE,D,20070817,000000,7.78838,7.78838,7.78838,7.78838,0,0
DOM_PE,D,20070820,000000,7.82574,7.82574,7.82574,7.82574,0,0
DOM_PE,D,20070821,000000,7.71684,7.71684,7.71684,7.71684,0,0
DOM_PE,D,20070822,000000,8.15583,8.15583,8.15583,8.15583,0,0
DOM_PE,D,20070823,000000,8.0126,8.0126,8.0126,8.0126,0,0
DOM_PE,D,20070824,000000,8.04717,8.04717,8.04717,8.04717,0,0
DOM_PE,D,20070827,000000,8.08339,8.08339,8.08339,8.08339,0,0
DOM_PE,D,20070828,000000,8.0126,8.0126,8.0126,8.0126,0,0
DOM_PE,D,20070829,000000,8.0126,8.0126,8.0126,8.0126,0,0
DOM_PE,D,20070830,000000,8.04717,8.04717,8.04717,8.04717,0,0
DOM_PE,D,20070831,000000,8.19452,8.19452,8.19452,8.19452,0,0
DOM_PE,D,20070903,000000,8.12208,8.12208,8.12208,8.12208,0,0
DOM_PE,D,20070904,000000,8.08339,8.08339,8.08339,8.08339,0,0
DOM_PE,D,20070905,000000,8.15583,8.15583,8.15583,8.15583,0,0
DOM_PE,D,20070906,000000,8.08339,8.08339,8.08339,8.08339,0,0
DOM_PE,D,20070907,000000,8.08339,8.08339,8.08339,8.08339,0,0
DOM_PE,D,20070910,000000,7.93605,7.93605,7.93605,7.93605,0,0
DOM_PE,D,20070911,000000,8.15583,8.15583,8.15583,8.15583,0,0
DOM_PE,D,20070912,000000,8.0126,8.0126,8.0126,8.0126,0,0
DOM_PE,D,20070913,000000,7.97392,7.97392,7.97392,7.97392,0,0
DOM_PE,D,20070914,000000,8.08339,8.08339,8.08339,8.08339,0,0
DOM_PE,D,20070917,000000,8.08339,8.08339,8.08339,8.08339,0,0
DOM_PE,D,20070918,000000,8.26696,8.26696,8.26696,8.26696,0,0
DOM_PE,D,20070919,000000,8.23239,8.23239,8.23239,8.23239,0,0
DOM_PE,D,20070920,000000,8.26696,8.26696,8.26696,8.26696,0,0
DOM_PE,D,20070921,000000,8.41595,8.41595,8.41595,8.41595,0,0
DOM_PE,D,20070924,000000,8.04717,8.04717,8.04717,8.04717,0,0
DOM_PE,D,20070925,000000,8.04717,8.04717,8.04717,8.04717,0,0
DOM_PE,D,20070926,000000,7.89819,7.89819,7.89819,7.89819,0,0
DOM_PE,D,20070927,000000,7.93605,7.93605,7.93605,7.93605,0,0
DOM_PE,D,20070928,000000,7.93605,7.93605,7.93605,7.93605,0,0
DOM_PE,D,20071001,000000,7.78838,7.78838,7.78838,7.78838,0,0
DOM_PE,D,20071002,000000,7.75298,7.75298,7.75298,7.75298,0,0
DOM_PE,D,20071003,000000,7.56769,7.56769,7.56769,7.56769,0,0
DOM_PE,D,20071004,000000,7.60539,7.60539,7.60539,7.60539,0,0
DOM_PE,D,20071005,000000,7.60539,7.60539,7.60539,7.60539,0,0
DOM_PE,D,20071008,000000,7.71684,7.71684,7.71684,7.71684,0,0
DOM_PE,D,20071009,000000,7.82574,7.82574,7.82574,7.82574,0,0
DOM_PE,D,20071010,000000,7.82574,7.82574,7.82574,7.82574,0,0
DOM_PE,D,20071011,000000,7.60539,7.60539,7.60539,7.60539,0,0
DOM_PE,D,20071012,000000,7.60539,7.60539,7.60539,7.60539,0,0
DOM_PE,D,20071015,000000,7.56769,7.56769,7.56769,7.56769,0,0
DOM_PE,D,20071016,000000,7.42306,7.42306,7.42306,7.42306,0,0
DOM_PE,D,20071017,000000,7.38544,7.38544,7.38544,7.38544,0,0
DOM_PE,D,20071018,000000,7.6784,7.6784,7.6784,7.6784,0,0
DOM_PE,D,20071019,000000,8.0126,8.0126,8.0126,8.0126,0,0
DOM_PE,D,20071022,000000,7.71684,7.71684,7.71684,7.71684,0,0
DOM_PE,D,20071023,000000,7.71684,7.71684,7.71684,7.71684,0,0
DOM_PE,D,20071024,000000,7.6784,7.6784,7.6784,7.6784,0,0
DOM_PE,D,20071025,000000,7.64382,7.64382,7.64382,7.64382,0,0
DOM_PE,D,20071026,000000,7.53303,7.53303,7.53303,7.53303,0,0
DOM_PE,D,20071029,000000,7.42306,7.42306,7.42306,7.42306,0,0
DOM_PE,D,20071030,000000,7.12673,7.12673,7.12673,7.12673,0,0
DOM_PE,D,20071031,000000,7.09281,7.09281,7.09281,7.09281,0,0
DOM_PE,D,20071102,000000,7.12673,7.12673,7.12673,7.12673,0,0
DOM_PE,D,20071105,000000,7.20361,7.20361,7.20361,7.20361,0,0
DOM_PE,D,20071106,000000,7.23744,7.23744,7.23744,7.23744,0,0
DOM_PE,D,20071107,000000,7.20361,7.20361,7.20361,7.20361,0,0
DOM_PE,D,20071108,000000,6.90653,6.90653,6.90653,6.90653,0,0
DOM_PE,D,20071109,000000,6.94464,6.94464,6.61422,6.68634,0,0
DOM_PE,D,20071112,000000,6.28364,6.68634,6.28364,6.50417,0,0
DOM_PE,D,20071113,000000,6.46565,6.65152,6.46565,6.61422,0,0
DOM_PE,D,20071114,000000,6.87129,6.90653,6.61422,6.61422,0,0
DOM_PE,D,20071115,000000,6.72453,6.72453,6.28364,6.39362,0,0
DOM_PE,D,20071116,000000,6.24561,6.39362,6.13565,6.13565,0,0
DOM_PE,D,20071119,000000,6.13565,6.21146,6.02567,6.02567,0,0
DOM_PE,D,20071120,000000,5.99109,5.99109,5.99109,5.99109,0,0
DOM_PE,D,20071121,000000,5.95306,5.95306,5.547,5.58438,0,0
DOM_PE,D,20071122,000000,5.43637,5.95306,5.03393,5.03393,0,0
DOM_PE,D,20071123,000000,5.03393,5.03393,4.96116,4.96116,0,0
DOM_PE,D,20071126,000000,5.03393,5.03393,4.7408,4.77513,0,0
DOM_PE,D,20071127,000000,4.77513,4.77513,4.59305,4.59305,0,0
DOM_PE,D,20071128,000000,4.63116,4.77513,4.63116,4.70319,0,0
DOM_PE,D,20071129,000000,4.77513,4.81357,4.7408,4.81357,0,0
DOM_PE,D,20071130,000000,4.85152,5.14423,4.77513,5.10612,0,0
DOM_PE,D,20071203,000000,5.03393,5.14423,4.96116,4.96116,0,0
DOM_PE,D,20071204,000000,4.9233,4.9233,4.7408,4.85152,0,0
DOM_PE,D,20071205,000000,4.81357,5.0713,4.81357,4.99549,0,0
DOM_PE,D,20071206,000000,4.99549,5.14423,4.99549,5.10612,0,0
DOM_PE,D,20071207,000000,5.10612,5.10612,5.0713,5.0713,0,0
DOM_PE,D,20071210,000000,5.10612,5.10612,4.96116,5.03393,0,0
DOM_PE,D,20071211,000000,4.99549,4.99549,4.85152,4.9233,0,0
DOM_PE,D,20071212,000000,4.7408,4.85152,4.7408,4.81357,0,0
DOM_PE,D,20071213,000000,4.77513,4.77513,4.66541,4.66541,0,0
DOM_PE,D,20071214,000000,4.70319,4.7408,4.66541,4.70319,0,0
DOM_PE,D,20071217,000000,4.63116,4.70319,4.52085,4.5551,0,0
DOM_PE,D,20071218,000000,4.48299,4.5551,4.44472,4.52085,0,0
DOM_PE,D,20071219,000000,4.48299,4.48299,4.33466,4.33466,0,0
DOM_PE,D,20071220,000000,4.37261,4.37261,4.33466,4.37261,0,0
DOM_PE,D,20071221,000000,4.37261,4.37261,4.3005,4.37261,0,0
DOM_PE,D,20071227,000000,4.33466,4.37261,4.33466,4.37261,0,0
DOM_PE,D,20071228,000000,4.37261,4.44472,4.33466,4.44472,0,0
DOM_PE,D,20080102,000000,4.44472,4.5551,4.44472,4.52085,0,0
DOM_PE,D,20080103,000000,4.5551,4.70319,4.48299,4.70319,0,0
DOM_PE,D,20080104,000000,4.70319,4.77513,4.70319,4.7408,0,0
DOM_PE,D,20080107,000000,4.70319,4.70319,4.41064,4.44472,0,0
DOM_PE,D,20080108,000000,4.44472,4.59305,4.41064,4.5551,0,0
DOM_PE,D,20080109,000000,4.48299,4.48299,4.15217,4.26246,0,0
DOM_PE,D,20080110,000000,4.26246,4.26246,4.08014,4.15217,0,0
DOM_PE,D,20080111,000000,4.22452,4.22452,3.97,4.04202,0,0
DOM_PE,D,20080114,000000,3.89394,3.89394,3.89394,3.89394,0,0
DOM_PE,D,20080115,000000,3.82183,3.97,3.82183,3.89394,0,0
DOM_PE,D,20080116,000000,3.52928,3.67366,3.52928,3.6395,0,0
DOM_PE,D,20080117,000000,3.82183,3.82183,3.52928,3.52928,0,0
DOM_PE,D,20080118,000000,3.41527,3.71153,3.41527,3.71153,0,0
DOM_PE,D,20080121,000000,3.67366,3.67366,3.45322,3.45322,0,0
DOM_PE,D,20080122,000000,3.45322,3.60139,3.34308,3.52928,0,0
DOM_PE,D,20080123,000000,3.67366,3.67366,3.6395,3.67366,0,0
DOM_PE,D,20080124,000000,3.74964,3.7838,3.6395,3.7838,0,0
DOM_PE,D,20080125,000000,3.82183,3.82183,3.71153,3.82183,0,0
DOM_PE,D,20080128,000000,3.71153,3.74964,3.67366,3.67366,0,0
DOM_PE,D,20080129,000000,3.71153,3.82183,3.71153,3.7838,0,0
DOM_PE,D,20080130,000000,3.89394,3.89394,3.7838,3.82183,0,0
DOM_PE,D,20080131,000000,3.85978,3.85978,3.67366,3.74964,0,0
DOM_PE,D,20080201,000000,3.82183,3.82183,3.67366,3.67366,0,0
DOM_PE,D,20080204,000000,3.67366,3.67366,3.56345,3.56345,0,0
DOM_PE,D,20080205,000000,3.56345,3.56345,3.49125,3.52928,0,0
DOM_PE,D,20080206,000000,3.41527,3.71153,3.41527,3.71153,0,0
