<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EAH_PE,D,20111124,000000,46.3703,46.3703,46.3703,46.3703,0,0
EAH_PE,D,20111125,000000,46.3703,46.3703,46.3703,46.3703,0,0
EAH_PE,D,20111128,000000,46.3703,46.3703,46.3703,46.3703,0,0
EAH_PE,D,20111129,000000,46.3703,46.3703,46.3703,46.3703,0,0
EAH_PE,D,20111130,000000,46.3703,47.6212,46.3703,47.6212,0,0
EAH_PE,D,20111205,000000,46.3703,46.3703,46.3703,46.3703,0,0
EAH_PE,D,20111206,000000,46.3703,46.3703,46.3703,46.3703,0,0
EAH_PE,D,20111207,000000,46.3703,46.3703,46.3703,46.3703,0,0
EAH_PE,D,20111208,000000,46.3703,46.3703,46.3703,46.3703,0,0
EAH_PE,D,20111209,000000,46.3703,46.3703,46.3703,46.3703,0,0
EAH_PE,D,20111212,000000,46.3703,46.3703,46.3703,46.3703,0,0
EAH_PE,D,20111213,000000,46.3703,46.3703,46.3703,46.3703,0,0
EAH_PE,D,20111214,000000,46.3703,48.872,46.3703,48.872,0,0
EAH_PE,D,20111215,000000,48.872,49.5391,48.872,49.5391,0,0
EAH_PE,D,20111216,000000,50.2072,60.2145,50.2072,60.2145,0,0
EAH_PE,D,20111219,000000,60.2145,72.7243,60.2145,65.2186,0,0
EAH_PE,D,20111220,000000,67.7202,70.2227,67.7202,70.2227,0,0
EAH_PE,D,20111221,000000,70.2227,70.2227,70.2227,70.2227,0,0
EAH_PE,D,20111222,000000,68.9719,68.9719,68.9719,68.9719,0,0
EAH_PE,D,20111223,000000,67.6376,67.7202,67.6376,67.7202,0,0
EAH_PE,D,20111227,000000,67.7202,67.7202,58.9637,58.9637,0,0
EAH_PE,D,20111228,000000,62.7161,67.7202,62.7161,67.7202,0,0
EAH_PE,D,20111229,000000,67.7202,67.7202,67.7202,67.7202,0,0
EAH_PE,D,20111230,000000,67.7202,80.2309,66.4694,80.2309,0,0
EAH_PE,D,20120102,000000,80.2309,80.2309,80.2309,80.2309,0,0
EAH_PE,D,20120103,000000,79.9804,79.9804,79.9804,79.9804,0,0
EAH_PE,D,20120104,000000,79.6463,79.6463,79.6463,79.6463,0,0
EAH_PE,D,20120105,000000,79.9804,79.9804,79.9804,79.9804,0,0
EAH_PE,D,20120109,000000,79.9804,79.9804,79.9804,79.9804,0,0
EAH_PE,D,20120110,000000,79.9804,80.1474,79.9804,80.1474,0,0
EAH_PE,D,20120111,000000,80.1474,80.1474,80.1474,80.1474,0,0
EAH_PE,D,20120112,000000,77.7284,77.7284,77.7284,77.7284,0,0
EAH_PE,D,20120113,000000,77.7284,77.7284,77.7284,77.7284,0,0
EAH_PE,D,20120117,000000,75.9775,75.9775,75.2268,75.2268,0,0
EAH_PE,D,20120118,000000,75.2268,75.2268,75.2268,75.2268,0,0
EAH_PE,D,20120119,000000,75.2268,75.2268,75.2268,75.2268,0,0
EAH_PE,D,20120120,000000,75.2268,75.2268,75.2268,75.2268,0,0
EAH_PE,D,20120126,000000,71.724,71.724,67.7202,67.7202,0,0
EAH_PE,D,20120130,000000,71.4735,71.4735,71.4735,71.4735,0,0
EAH_PE,D,20120201,000000,70.2227,70.2227,70.2227,70.2227,0,0
EAH_PE,D,20120202,000000,70.2227,70.2227,70.2227,70.2227,0,0
EAH_PE,D,20120203,000000,70.2227,70.2227,70.2227,70.2227,0,0
EAH_PE,D,20120206,000000,70.2227,70.2227,70.2227,70.2227,0,0
EAH_PE,D,20120207,000000,70.2227,70.9734,70.2227,70.9734,0,0
EAH_PE,D,20120209,000000,71.724,75.2268,71.724,72.7243,0,0
EAH_PE,D,20120210,000000,72.7243,72.7243,72.7243,72.7243,0,0
EAH_PE,D,20120213,000000,72.7243,72.7243,72.7243,72.7243,0,0
EAH_PE,D,20120215,000000,73.9761,75.2268,73.9761,75.2268,0,0
EAH_PE,D,20120216,000000,75.2268,75.2268,73.9761,73.9761,0,0
EAH_PE,D,20120217,000000,74.2256,75.2268,9.34106,9.34106,0,0
EAH_PE,D,20120220,000000,9.34106,9.34106,9.34106,9.34106,0,0
EAH_PE,D,20120221,000000,9.34106,9.34106,9.00703,9.34106,0,0
EAH_PE,D,20120222,000000,9.34106,9.34106,9.00703,9.09054,0,0
EAH_PE,D,20120223,000000,9.00703,9.42457,9.00703,9.34106,0,0
EAH_PE,D,20120224,000000,9.34106,10.5919,8.92352,10.5919,0,0
EAH_PE,D,20120227,000000,10.5919,10.5919,9.34106,9.34106,0,0
EAH_PE,D,20120228,000000,9.34106,9.84118,9.09054,9.84118,0,0
EAH_PE,D,20120229,000000,9.34106,9.84118,9.00703,9.34106,0,0
EAH_PE,D,20120301,000000,9.34106,9.34106,9.09054,9.25665,0,0
EAH_PE,D,20120302,000000,9.17405,9.34106,9.17405,9.17405,0,0
EAH_PE,D,20120305,000000,9.17405,9.25665,9.17405,9.17405,0,0
EAH_PE,D,20120306,000000,9.17405,9.25665,9.17405,9.25665,0,0
EAH_PE,D,20120307,000000,9.25665,9.25665,9.09054,9.09054,0,0
EAH_PE,D,20120308,000000,9.25665,9.25665,9.09054,9.17405,0,0
EAH_PE,D,20120309,000000,9.25665,9.25665,9.17405,9.17405,0,0
EAH_PE,D,20120312,000000,9.17405,9.17405,9.17405,9.17405,0,0
EAH_PE,D,20120313,000000,9.17405,9.17405,9.17405,9.17405,0,0
EAH_PE,D,20120314,000000,9.17405,9.34106,9.17405,9.34106,0,0
EAH_PE,D,20120315,000000,9.34106,9.34106,9.09054,9.17405,0,0
EAH_PE,D,20120316,000000,9.17405,9.17405,9.17405,9.17405,0,0
