<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH_PB,D,20070813,000000,0.564032,0.564032,0.564032,0.564032,0,0
ECH_PB,D,20070814,000000,0.549334,0.549334,0.549334,0.549334,0,0
ECH_PB,D,20070816,000000,0.50699,0.50699,0.50699,0.50699,0,0
ECH_PB,D,20070817,000000,0.488531,0.488531,0.488531,0.488531,0,0
ECH_PB,D,20070820,000000,0.479256,0.479256,0.479256,0.479256,0,0
ECH_PB,D,20070821,000000,0.464558,0.464558,0.464558,0.464558,0,0
ECH_PB,D,20070822,000000,0.42763,0.42763,0.42763,0.42763,0,0
ECH_PB,D,20070823,000000,0.449773,0.449773,0.449773,0.449773,0,0
ECH_PB,D,20070824,000000,0.453448,0.453448,0.453448,0.453448,0,0
ECH_PB,D,20070827,000000,0.47567,0.47567,0.47567,0.47567,0,0
ECH_PB,D,20070828,000000,0.471908,0.471908,0.471908,0.471908,0,0
ECH_PB,D,20070829,000000,0.464558,0.464558,0.464558,0.464558,0,0
ECH_PB,D,20070830,000000,0.462809,0.462809,0.462809,0.462809,0,0
ECH_PB,D,20070831,000000,0.479256,0.479256,0.479256,0.479256,0,0
ECH_PB,D,20070903,000000,0.490367,0.490367,0.490367,0.490367,0,0
ECH_PB,D,20070904,000000,0.494042,0.494042,0.494042,0.494042,0,0
ECH_PB,D,20070905,000000,0.488531,0.488531,0.488531,0.488531,0,0
ECH_PB,D,20070906,000000,0.481094,0.481094,0.481094,0.481094,0,0
ECH_PB,D,20070907,000000,0.477507,0.477507,0.477507,0.477507,0,0
ECH_PB,D,20070910,000000,0.466309,0.466309,0.466309,0.466309,0,0
ECH_PB,D,20070911,000000,0.464558,0.464558,0.464558,0.464558,0,0
ECH_PB,D,20070912,000000,0.47007,0.47007,0.47007,0.47007,0,0
ECH_PB,D,20070913,000000,0.468233,0.468233,0.468233,0.468233,0,0
ECH_PB,D,20070914,000000,0.45721,0.45721,0.45721,0.45721,0,0
ECH_PB,D,20070917,000000,0.468233,0.468233,0.468233,0.468233,0,0
ECH_PB,D,20070918,000000,0.468233,0.468233,0.468233,0.468233,0,0
ECH_PB,D,20070919,000000,0.468233,0.468233,0.468233,0.468233,0,0
