<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDI_PB,D,20101220,000000,0.970556,0.970556,0.970556,0.970556,0,0
EDI_PB,D,20101221,000000,0.961849,0.970556,0.935728,0.9399,0,0
EDI_PB,D,20101222,000000,0.931374,0.983526,0.931374,0.970556,0,0
EDI_PB,D,20101223,000000,0.983526,0.992233,0.970556,0.992233,0,0
EDI_PB,D,20101227,000000,0.966202,0.98797,0.953142,0.98797,0,0
EDI_PB,D,20101228,000000,0.983526,0.98797,0.944435,0.948788,0,0
EDI_PB,D,20101229,000000,0.983526,1.01409,0.948788,0.996586,0,0
EDI_PB,D,20101230,000000,0.983526,1.01409,0.983526,1.01409,0,0
EDI_PB,D,20101231,000000,1.00801,1.01708,0.999126,1.01246,0,0
EDI_PB,D,20110103,000000,0.98797,1.01409,0.970556,0.970556,0,0
EDI_PB,D,20110104,000000,0.970556,0.970556,0.970556,0.970556,0,0
EDI_PB,D,20110105,000000,0.970556,0.970556,0.961849,0.970556,0,0
EDI_PB,D,20110107,000000,0.983526,0.983526,0.974819,0.974819,0,0
EDI_PB,D,20110110,000000,0.974819,0.974819,0.966202,0.966202,0,0
EDI_PB,D,20110112,000000,0.98797,0.992233,0.970556,0.992233,0,0
EDI_PB,D,20110113,000000,0.996586,1.00965,0.992233,1.00965,0,0
EDI_PB,D,20110114,000000,1.01409,1.01835,0.98797,1.00538,0,0
EDI_PB,D,20110117,000000,0.98797,1.00965,0.98797,1.00965,0,0
EDI_PB,D,20110118,000000,1.00965,1.01409,1.00965,1.01409,0,0
EDI_PB,D,20110119,000000,1.01409,1.01835,0.983526,0.983526,0,0
EDI_PB,D,20110120,000000,1.01409,1.01409,1.00112,1.00112,0,0
EDI_PB,D,20110121,000000,1.00112,1.01409,0.983526,1.01409,0,0
EDI_PB,D,20110124,000000,1.01409,1.01409,0.996586,1.01409,0,0
EDI_PB,D,20110125,000000,1.01409,1.01409,1.01409,1.01409,0,0
EDI_PB,D,20110126,000000,1.00965,1.00965,0.98797,0.98797,0,0
EDI_PB,D,20110127,000000,0.98797,1.00112,0.98797,1.00112,0,0
EDI_PB,D,20110128,000000,0.996586,0.996586,0.996586,0.996586,0,0
EDI_PB,D,20110131,000000,0.994681,1.00366,0.981258,0.994681,0,0
EDI_PB,D,20110201,000000,0.974819,1.00538,0.974819,1.00538,0,0
EDI_PB,D,20110202,000000,0.974819,1.00112,0.974819,1.00112,0,0
EDI_PB,D,20110203,000000,0.996586,1.00112,0.983526,0.996586,0,0
EDI_PB,D,20110204,000000,0.996586,0.996586,0.979172,0.996586,0,0
EDI_PB,D,20110207,000000,0.996586,1.01835,0.996586,1.01835,0,0
EDI_PB,D,20110208,000000,1.01409,1.01835,0.996586,1.00538,0,0
EDI_PB,D,20110209,000000,1.00965,1.00965,0.996586,1.00538,0,0
EDI_PB,D,20110210,000000,1.00538,1.00538,1.00112,1.00112,0,0
EDI_PB,D,20110211,000000,0.996586,1.00112,0.996586,1.00112,0,0
EDI_PB,D,20110214,000000,1.00538,1.00538,1.00112,1.00112,0,0
EDI_PB,D,20110215,000000,1.00112,1.00112,1.00112,1.00112,0,0
EDI_PB,D,20110216,000000,0.996586,1.00538,0.996586,0.996586,0,0
EDI_PB,D,20110217,000000,0.996586,0.996586,0.979172,0.979172,0,0
EDI_PB,D,20110218,000000,0.979172,0.996586,0.979172,0.996586,0,0
EDI_PB,D,20110221,000000,0.98797,1.00538,0.98797,1.00112,0,0
EDI_PB,D,20110222,000000,0.98797,1.00112,0.98797,0.98797,0,0
EDI_PB,D,20110223,000000,0.996586,0.996586,0.983526,0.996586,0,0
EDI_PB,D,20110224,000000,0.983526,0.992233,0.983526,0.992233,0,0
EDI_PB,D,20110225,000000,0.979172,0.992233,0.979172,0.98797,0,0
EDI_PB,D,20110228,000000,0.990147,1.00366,0.990147,1.00366,0,0
EDI_PB,D,20110301,000000,1.00965,1.00965,0.996586,1.00965,0,0
EDI_PB,D,20110302,000000,0.996586,0.996586,0.996586,0.996586,0,0
EDI_PB,D,20110303,000000,0.996586,0.996586,0.98797,0.996586,0,0
EDI_PB,D,20110304,000000,0.996586,0.996586,0.996586,0.996586,0,0
EDI_PB,D,20110307,000000,1.00538,1.00538,1.00538,1.00538,0,0
EDI_PB,D,20110308,000000,1.00538,1.00538,1.00538,1.00538,0,0
EDI_PB,D,20110309,000000,1.00538,1.00538,1.00538,1.00538,0,0
EDI_PB,D,20110310,000000,1.00965,1.00965,0.98797,0.98797,0,0
EDI_PB,D,20110311,000000,1.00965,1.00965,0.98797,0.98797,0,0
EDI_PB,D,20110314,000000,0.996586,0.996586,0.98797,0.98797,0,0
EDI_PB,D,20110315,000000,0.996586,0.996586,0.98797,0.996586,0,0
EDI_PB,D,20110316,000000,0.983526,0.996586,0.983526,0.996586,0,0
EDI_PB,D,20110317,000000,0.992233,0.996586,0.992233,0.992233,0,0
EDI_PB,D,20110318,000000,0.992233,0.992233,0.992233,0.992233,0,0
EDI_PB,D,20110321,000000,0.98797,0.98797,0.609307,0.609307,0,0
EDI_PB,D,20110322,000000,0.61366,0.622277,0.604953,0.622277,0,0
EDI_PB,D,20110323,000000,0.626721,0.652933,0.626721,0.648398,0,0
EDI_PB,D,20110324,000000,0.648398,0.670074,0.648398,0.665812,0,0
EDI_PB,D,20110325,000000,0.670074,0.670074,0.657195,0.661549,0,0
EDI_PB,D,20110328,000000,0.657195,0.657195,0.644044,0.652933,0,0
EDI_PB,D,20110329,000000,0.652933,0.652933,0.644044,0.652933,0,0
EDI_PB,D,20110330,000000,0.657195,0.657195,0.635428,0.635428,0,0
EDI_PB,D,20110331,000000,0.654112,0.654112,0.636153,0.636153,0,0
EDI_PB,D,20110401,000000,0.626721,0.635428,0.622277,0.635428,0,0
EDI_PB,D,20110404,000000,0.635428,0.639781,0.635428,0.639781,0,0
EDI_PB,D,20110405,000000,0.635428,0.639781,0.635428,0.635428,0,0
EDI_PB,D,20110406,000000,0.635428,0.635428,0.626721,0.635428,0,0
EDI_PB,D,20110407,000000,0.635428,0.635428,0.631165,0.631165,0,0
EDI_PB,D,20110408,000000,0.631165,0.631165,0.631165,0.631165,0,0
EDI_PB,D,20110411,000000,0.626721,0.626721,0.618105,0.618105,0,0
EDI_PB,D,20110412,000000,0.618105,0.618105,0.609307,0.609307,0,0
EDI_PB,D,20110413,000000,0.609307,0.618105,0.609307,0.618105,0,0
EDI_PB,D,20110414,000000,0.61366,0.626721,0.61366,0.626721,0,0
EDI_PB,D,20110415,000000,0.626721,0.626721,0.626721,0.626721,0,0
EDI_PB,D,20110418,000000,0.626721,0.626721,0.61366,0.626721,0,0
EDI_PB,D,20110419,000000,0.618105,0.626721,0.600509,0.618105,0,0
EDI_PB,D,20110420,000000,0.618105,0.618105,0.604953,0.618105,0,0
EDI_PB,D,20110421,000000,0.618105,0.618105,0.618105,0.618105,0,0
EDI_PB,D,20110426,000000,0.618105,0.618105,0.618105,0.618105,0,0
EDI_PB,D,20110427,000000,0.618105,0.618105,0.600509,0.609307,0,0
EDI_PB,D,20110428,000000,0.609307,0.609307,0.604953,0.604953,0,0
EDI_PB,D,20110429,000000,0.604772,0.604772,0.591349,0.604772,0,0
EDI_PB,D,20110502,000000,0.600509,0.604953,0.600509,0.600509,0,0
EDI_PB,D,20110504,000000,0.591984,0.596247,0.58763,0.58763,0,0
EDI_PB,D,20110505,000000,0.58763,0.591984,0.58763,0.591984,0,0
EDI_PB,D,20110506,000000,0.596247,0.596247,0.574479,0.578742,0,0
EDI_PB,D,20110509,000000,0.565772,0.574479,0.565772,0.574479,0,0
EDI_PB,D,20110510,000000,0.574479,0.574479,0.561419,0.570126,0,0
EDI_PB,D,20110511,000000,0.574479,0.574479,0.557065,0.557065,0,0
EDI_PB,D,20110512,000000,0.574479,0.574479,0.543914,0.548358,0,0
EDI_PB,D,20110513,000000,0.548358,0.548358,0.517884,0.531035,0,0
EDI_PB,D,20110516,000000,0.517884,0.531035,0.51353,0.51353,0,0
EDI_PB,D,20110517,000000,0.517884,0.517884,0.504823,0.504823,0,0
EDI_PB,D,20110518,000000,0.4875,0.504823,0.470086,0.470086,0,0
EDI_PB,D,20110519,000000,0.461379,0.483056,0.461379,0.478612,0,0
EDI_PB,D,20110520,000000,0.478612,0.478612,0.478612,0.478612,0,0
EDI_PB,D,20110523,000000,0.470086,0.478612,0.470086,0.478612,0,0
EDI_PB,D,20110524,000000,0.478612,0.478612,0.478612,0.478612,0,0
EDI_PB,D,20110525,000000,0.478612,0.4875,0.478612,0.4875,0,0
EDI_PB,D,20110526,000000,0.474349,0.4875,0.474349,0.4875,0,0
EDI_PB,D,20110527,000000,0.496116,0.496116,0.483056,0.483056,0,0
EDI_PB,D,20110530,000000,0.491763,0.491763,0.483056,0.491763,0,0
EDI_PB,D,20110531,000000,0.497386,0.497386,0.492851,0.497386,0,0
EDI_PB,D,20110601,000000,0.496116,0.496116,0.478612,0.478612,0,0
EDI_PB,D,20110602,000000,0.496116,0.496116,0.456935,0.456935,0,0
EDI_PB,D,20110603,000000,0.456935,0.456935,0.43953,0.43953,0,0
EDI_PB,D,20110606,000000,0.443865,0.465733,0.43953,0.443865,0,0
EDI_PB,D,20110607,000000,0.452545,0.452545,0.430061,0.434614,0,0
EDI_PB,D,20110608,000000,0.430061,0.448065,0.430061,0.448065,0,0
EDI_PB,D,20110609,000000,0.448065,0.479337,0.448065,0.479337,0,0
EDI_PB,D,20110610,000000,0.478612,0.4875,0.478612,0.478612,0,0
EDI_PB,D,20110613,000000,0.483056,0.496116,0.483056,0.496116,0,0
EDI_PB,D,20110614,000000,0.496116,0.496116,0.483056,0.491763,0,0
EDI_PB,D,20110615,000000,0.491763,0.522237,0.491763,0.504823,0,0
EDI_PB,D,20110616,000000,0.506274,0.506274,0.479337,0.479337,0,0
EDI_PB,D,20110617,000000,0.492851,0.492851,0.479337,0.492851,0,0
EDI_PB,D,20110620,000000,0.491763,0.491763,0.478612,0.478612,0,0
EDI_PB,D,20110621,000000,0.478612,0.504823,0.478612,0.504823,0,0
EDI_PB,D,20110622,000000,0.488407,0.524233,0.488407,0.524233,0,0
EDI_PB,D,20110624,000000,0.524233,0.524233,0.506274,0.524233,0,0
EDI_PB,D,20110627,000000,0.506274,0.524233,0.50174,0.50174,0,0
EDI_PB,D,20110628,000000,0.524233,0.524233,0.50174,0.519698,0,0
EDI_PB,D,20110629,000000,0.506274,0.519698,0.483963,0.519698,0,0
EDI_PB,D,20110630,000000,0.519698,0.519698,0.510809,0.510809,0,0
EDI_PB,D,20110701,000000,0.510809,0.510809,0.506274,0.506274,0,0
EDI_PB,D,20110704,000000,0.519698,0.519698,0.519698,0.519698,0,0
EDI_PB,D,20110705,000000,0.519698,0.519698,0.519698,0.519698,0,0
EDI_PB,D,20110706,000000,0.519698,0.519698,0.50174,0.50174,0,0
EDI_PB,D,20110707,000000,0.515344,0.515344,0.515344,0.515344,0,0
EDI_PB,D,20110708,000000,0.515344,0.515344,0.515344,0.515344,0,0
EDI_PB,D,20110711,000000,0.515344,0.515344,0.515344,0.515344,0,0
EDI_PB,D,20110712,000000,0.506274,0.506274,0.483963,0.483963,0,0
EDI_PB,D,20110713,000000,0.483963,0.497386,0.483963,0.497386,0,0
EDI_PB,D,20110714,000000,0.497386,0.497386,0.474893,0.474893,0,0
EDI_PB,D,20110715,000000,0.474893,0.474893,0.470449,0.470449,0,0
EDI_PB,D,20110718,000000,0.474893,0.492851,0.470449,0.492851,0,0
EDI_PB,D,20110719,000000,0.470449,0.492851,0.470449,0.492851,0,0
EDI_PB,D,20110720,000000,0.492851,0.492851,0.492851,0.492851,0,0
EDI_PB,D,20110721,000000,0.492851,0.492851,0.470449,0.470449,0,0
EDI_PB,D,20110722,000000,0.470449,0.470449,0.470449,0.470449,0,0
EDI_PB,D,20110725,000000,0.470449,0.470449,0.470449,0.470449,0,0
EDI_PB,D,20110726,000000,0.470449,0.470449,0.470449,0.470449,0,0
EDI_PB,D,20110727,000000,0.470449,0.483963,0.46147,0.483963,0,0
EDI_PB,D,20110728,000000,0.46147,0.483963,0.46147,0.483963,0,0
EDI_PB,D,20110729,000000,0.474893,0.510809,0.474893,0.488407,0,0
EDI_PB,D,20110801,000000,0.479337,0.492851,0.479337,0.492851,0,0
EDI_PB,D,20110802,000000,0.492851,0.492851,0.479337,0.492851,0,0
EDI_PB,D,20110803,000000,0.492851,0.510809,0.483963,0.483963,0,0
EDI_PB,D,20110804,000000,0.492851,0.492851,0.492851,0.492851,0,0
EDI_PB,D,20110805,000000,0.470449,0.492851,0.470449,0.474893,0,0
EDI_PB,D,20110808,000000,0.470449,0.488407,0.452545,0.452545,0,0
EDI_PB,D,20110809,000000,0.443584,0.465823,0.430061,0.452545,0,0
EDI_PB,D,20110810,000000,0.465823,0.465823,0.434614,0.434614,0,0
EDI_PB,D,20110811,000000,0.434614,0.434614,0.394272,0.416683,0,0
EDI_PB,D,20110812,000000,0.407786,0.416683,0.407786,0.407786,0,0
EDI_PB,D,20110816,000000,0.412203,0.46147,0.412203,0.443584,0,0
EDI_PB,D,20110817,000000,0.443584,0.443584,0.443584,0.443584,0,0
EDI_PB,D,20110818,000000,0.443584,0.443584,0.416683,0.416683,0,0
EDI_PB,D,20110819,000000,0.416683,0.416683,0.416683,0.416683,0,0
EDI_PB,D,20110823,000000,0.416683,0.416683,0.416683,0.416683,0,0
EDI_PB,D,20110829,000000,0.416683,0.457026,0.412203,0.457026,0,0
EDI_PB,D,20110830,000000,0.457026,0.46147,0.452545,0.452545,0,0
EDI_PB,D,20110831,000000,0.46147,0.604772,0.452545,0.604772,0,0
EDI_PB,D,20110901,000000,0.591349,0.604772,0.591349,0.591349,0,0
EDI_PB,D,20110902,000000,0.604772,0.613751,0.595974,0.595974,0,0
EDI_PB,D,20110905,000000,0.613751,0.613751,0.591349,0.604772,0,0
EDI_PB,D,20110906,000000,0.604772,0.604772,0.604772,0.604772,0,0
EDI_PB,D,20110907,000000,0.604772,0.604772,0.604772,0.604772,0,0
EDI_PB,D,20110908,000000,0.613751,0.613751,0.609398,0.609398,0,0
EDI_PB,D,20110909,000000,0.613751,0.613751,0.591349,0.591349,0,0
EDI_PB,D,20110912,000000,0.591349,0.591349,0.591349,0.591349,0,0
EDI_PB,D,20110913,000000,0.591349,0.591349,0.564502,0.564502,0,0
EDI_PB,D,20110914,000000,0.560058,0.560058,0.5421,0.5421,0,0
EDI_PB,D,20110915,000000,0.5421,0.546726,0.5421,0.546726,0,0
EDI_PB,D,20110916,000000,0.546726,0.564502,0.537565,0.564502,0,0
EDI_PB,D,20110919,000000,0.564502,0.564502,0.537565,0.564502,0,0
EDI_PB,D,20110920,000000,0.564502,0.564502,0.564502,0.564502,0,0
EDI_PB,D,20110921,000000,0.564502,0.564502,0.564502,0.564502,0,0
EDI_PB,D,20110922,000000,0.537565,0.5421,0.537565,0.537565,0,0
EDI_PB,D,20110923,000000,0.537565,0.537565,0.519698,0.537565,0,0
EDI_PB,D,20110926,000000,0.524233,0.533121,0.524233,0.533121,0,0
EDI_PB,D,20110927,000000,0.528767,0.533121,0.528767,0.528767,0,0
EDI_PB,D,20110928,000000,0.524233,0.524233,0.524233,0.524233,0,0
EDI_PB,D,20110929,000000,0.524233,0.524233,0.524233,0.524233,0,0
EDI_PB,D,20110930,000000,0.524233,0.524233,0.506274,0.524233,0,0
EDI_PB,D,20111003,000000,0.519698,0.524233,0.519698,0.524233,0,0
EDI_PB,D,20111004,000000,0.497386,0.524233,0.497386,0.497386,0,0
EDI_PB,D,20111005,000000,0.524233,0.524233,0.497386,0.524233,0,0
EDI_PB,D,20111006,000000,0.524233,0.528767,0.524233,0.528767,0,0
EDI_PB,D,20111007,000000,0.533121,0.533121,0.533121,0.533121,0,0
EDI_PB,D,20111010,000000,0.533121,0.533121,0.533121,0.533121,0,0
EDI_PB,D,20111011,000000,0.533121,0.533121,0.533121,0.533121,0,0
EDI_PB,D,20111012,000000,0.533121,0.533121,0.533121,0.533121,0,0
EDI_PB,D,20111013,000000,0.515344,0.515344,0.497386,0.497386,0,0
EDI_PB,D,20111014,000000,0.497386,0.497386,0.497386,0.497386,0,0
EDI_PB,D,20111017,000000,0.497386,0.497386,0.497386,0.497386,0,0
EDI_PB,D,20111018,000000,0.497386,0.497386,0.497386,0.497386,0,0
EDI_PB,D,20111019,000000,0.497386,0.497386,0.497386,0.497386,0,0
EDI_PB,D,20111021,000000,0.497386,0.497386,0.497386,0.497386,0,0
EDI_PB,D,20111024,000000,0.497386,0.497386,0.479337,0.497386,0,0
EDI_PB,D,20111025,000000,0.497386,0.533121,0.497386,0.515344,0,0
EDI_PB,D,20111026,000000,0.515344,0.515344,0.488407,0.515344,0,0
EDI_PB,D,20111027,000000,0.497386,0.497386,0.497386,0.497386,0,0
EDI_PB,D,20111028,000000,0.479337,0.506274,0.470449,0.506274,0,0
EDI_PB,D,20111102,000000,0.506274,0.515344,0.488407,0.497386,0,0
EDI_PB,D,20111103,000000,0.497386,0.497386,0.497386,0.497386,0,0
EDI_PB,D,20111104,000000,0.497386,0.515344,0.492851,0.497386,0,0
EDI_PB,D,20111107,000000,0.497386,0.510809,0.488407,0.488407,0,0
EDI_PB,D,20111108,000000,0.510809,0.510809,0.488407,0.488407,0,0
EDI_PB,D,20111109,000000,0.488407,0.488407,0.474893,0.474893,0,0
EDI_PB,D,20111110,000000,0.488407,0.488407,0.448065,0.448065,0,0
EDI_PB,D,20111114,000000,0.448065,0.448065,0.448065,0.448065,0,0
EDI_PB,D,20111115,000000,0.448065,0.448065,0.443584,0.443584,0,0
EDI_PB,D,20111116,000000,0.421236,0.425581,0.407786,0.425581,0,0
EDI_PB,D,20111117,000000,0.425581,0.425581,0.421236,0.421236,0,0
EDI_PB,D,20111118,000000,0.416683,0.416683,0.389782,0.416683,0,0
EDI_PB,D,20111121,000000,0.416683,0.425581,0.403305,0.403305,0,0
EDI_PB,D,20111122,000000,0.412203,0.412203,0.407786,0.412203,0,0
EDI_PB,D,20111123,000000,0.412203,0.412203,0.412203,0.412203,0,0
EDI_PB,D,20111124,000000,0.412203,0.425581,0.412203,0.416683,0,0
EDI_PB,D,20111125,000000,0.407786,0.421236,0.407786,0.421236,0,0
EDI_PB,D,20111128,000000,0.421236,0.421236,0.403305,0.403305,0,0
EDI_PB,D,20111129,000000,0.416683,0.416683,0.403305,0.403305,0,0
EDI_PB,D,20111130,000000,0.403305,0.403305,0.403305,0.403305,0,0
EDI_PB,D,20111201,000000,0.421236,0.430061,0.403305,0.403305,0,0
EDI_PB,D,20111202,000000,0.403305,0.416683,0.394272,0.412203,0,0
EDI_PB,D,20111205,000000,0.412203,0.430061,0.389782,0.412203,0,0
EDI_PB,D,20111206,000000,0.39868,0.412203,0.394272,0.412203,0,0
EDI_PB,D,20111207,000000,0.403305,0.412203,0.394272,0.394272,0,0
EDI_PB,D,20111208,000000,0.403305,0.403305,0.367371,0.367371,0,0
EDI_PB,D,20111209,000000,0.353957,0.380821,0.353957,0.362963,0,0
EDI_PB,D,20111212,000000,0.380821,0.380821,0.349431,0.349431,0,0
EDI_PB,D,20111213,000000,0.349431,0.362963,0.344969,0.353957,0,0
EDI_PB,D,20111214,000000,0.344969,0.362963,0.340506,0.358419,0,0
EDI_PB,D,20111215,000000,0.349431,0.362963,0.331518,0.340506,0,0
EDI_PB,D,20111216,000000,0.318149,0.358419,0.313696,0.313696,0,0
EDI_PB,D,20111219,000000,0.313696,0.327119,0.313696,0.327119,0,0
EDI_PB,D,20111220,000000,0.313696,0.313696,0.313696,0.313696,0,0
EDI_PB,D,20111221,000000,0.313696,0.327119,0.309116,0.322603,0,0
EDI_PB,D,20111222,000000,0.318149,0.327119,0.318149,0.327119,0,0
EDI_PB,D,20111223,000000,0.318149,0.327119,0.318149,0.322603,0,0
EDI_PB,D,20111227,000000,0.318149,0.322603,0.291149,0.313696,0,0
EDI_PB,D,20111228,000000,0.313696,0.313696,0.313696,0.313696,0,0
EDI_PB,D,20111229,000000,0.327119,0.327119,0.322603,0.322603,0,0
EDI_PB,D,20111230,000000,0.317977,0.327301,0.313342,0.327301,0,0
EDI_PB,D,20120102,000000,0.313696,0.336098,0.313696,0.336098,0,0
EDI_PB,D,20120103,000000,0.336098,0.340506,0.322603,0.340506,0,0
EDI_PB,D,20120104,000000,0.340506,0.344969,0.322603,0.322603,0,0
EDI_PB,D,20120105,000000,0.336098,0.336098,0.322603,0.322603,0,0
EDI_PB,D,20120109,000000,0.322603,0.322603,0.322603,0.322603,0,0
EDI_PB,D,20120110,000000,0.322603,0.322603,0.313696,0.322603,0,0
EDI_PB,D,20120111,000000,0.322603,0.331518,0.318149,0.331518,0,0
EDI_PB,D,20120112,000000,0.331518,0.353957,0.331518,0.353957,0,0
EDI_PB,D,20120113,000000,0.353957,0.362963,0.353957,0.353957,0,0
EDI_PB,D,20120116,000000,0.362963,0.389782,0.362963,0.389782,0,0
EDI_PB,D,20120117,000000,0.39868,0.416683,0.39868,0.416683,0,0
EDI_PB,D,20120118,000000,0.430061,0.430061,0.425581,0.430061,0,0
EDI_PB,D,20120119,000000,0.430061,0.430061,0.430061,0.430061,0,0
