<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENP_MV,D,20070813,000000,25.5573,25.5573,25.5573,25.5573,0,0
ENP_MV,D,20070814,000000,22.9403,22.9403,22.9403,22.9403,0,0
ENP_MV,D,20070816,000000,20.9187,20.9187,20.9187,20.9187,0,0
ENP_MV,D,20070817,000000,21.9895,21.9895,21.9895,21.9895,0,0
ENP_MV,D,20070820,000000,23.7739,23.7739,23.7739,23.7739,0,0
ENP_MV,D,20070821,000000,25.3173,25.3173,25.3173,25.3173,0,0
ENP_MV,D,20070822,000000,31.0212,31.0212,31.0212,31.0212,0,0
ENP_MV,D,20070823,000000,29.7169,29.7169,29.7169,29.7169,0,0
ENP_MV,D,20070824,000000,29.3624,29.3624,29.3624,29.3624,0,0
ENP_MV,D,20070827,000000,30.4267,30.4267,30.4267,30.4267,0,0
ENP_MV,D,20070828,000000,30.7905,30.7905,30.7905,30.7905,0,0
ENP_MV,D,20070829,000000,31.5013,31.5013,31.5013,31.5013,0,0
ENP_MV,D,20070830,000000,31.1459,31.1459,31.1459,31.1459,0,0
ENP_MV,D,20070831,000000,31.9785,31.9785,31.9785,31.9785,0,0
ENP_MV,D,20070903,000000,32.3348,32.3348,32.3348,32.3348,0,0
ENP_MV,D,20070904,000000,34.4709,34.4709,34.4709,34.4709,0,0
ENP_MV,D,20070905,000000,35.5455,35.5455,35.5455,35.5455,0,0
ENP_MV,D,20070906,000000,34.3555,34.3555,34.3555,34.3555,0,0
ENP_MV,D,20070907,000000,31.9785,31.9785,31.9785,31.9785,0,0
ENP_MV,D,20070910,000000,30.4267,30.4267,30.4267,30.4267,0,0
ENP_MV,D,20070911,000000,33.8764,33.8764,33.8764,33.8764,0,0
ENP_MV,D,20070912,000000,34.4709,34.4709,34.4709,34.4709,0,0
ENP_MV,D,20070913,000000,35.4208,35.4208,35.4208,35.4208,0,0
ENP_MV,D,20070914,000000,35.4208,35.4208,35.4208,35.4208,0,0
ENP_MV,D,20070917,000000,35.5455,35.5455,35.5455,35.5455,0,0
ENP_MV,D,20070918,000000,35.6609,35.6609,35.6609,35.6609,0,0
ENP_MV,D,20070919,000000,36.1391,36.1391,36.1391,36.1391,0,0
ENP_MV,D,20070920,000000,35.7761,35.7761,35.7761,35.7761,0,0
ENP_MV,D,20070921,000000,36.1391,36.1391,36.1391,36.1391,0,0
ENP_MV,D,20070924,000000,36.0162,36.0162,36.0162,36.0162,0,0
ENP_MV,D,20070925,000000,35.3054,35.3054,35.3054,35.3054,0,0
ENP_MV,D,20070926,000000,35.5455,35.5455,35.5455,35.5455,0,0
ENP_MV,D,20070927,000000,35.6609,35.6609,35.6609,35.6609,0,0
ENP_MV,D,20070928,000000,35.6609,35.6609,35.6609,35.6609,0,0
ENP_MV,D,20071001,000000,34.5871,34.5871,34.5871,34.5871,0,0
ENP_MV,D,20071002,000000,33.8764,33.8764,33.8764,33.8764,0,0
ENP_MV,D,20071003,000000,33.1675,33.1675,33.1675,33.1675,0,0
ENP_MV,D,20071004,000000,33.2829,33.2829,33.2829,33.2829,0,0
ENP_MV,D,20071005,000000,43.7183,43.7183,43.7183,43.7183,0,0
ENP_MV,D,20071008,000000,42.685,42.685,42.685,42.685,0,0
ENP_MV,D,20071009,000000,44.4591,44.4591,44.4591,44.4591,0,0
ENP_MV,D,20071010,000000,44.3137,44.3137,44.3137,44.3137,0,0
ENP_MV,D,20071011,000000,43.4258,43.4258,43.4258,43.4258,0,0
ENP_MV,D,20071012,000000,43.4258,43.4258,43.4258,43.4258,0,0
ENP_MV,D,20071015,000000,43.1238,43.1238,43.1238,43.1238,0,0
ENP_MV,D,20071016,000000,44.3137,44.3137,44.3137,44.3137,0,0
ENP_MV,D,20071017,000000,44.1674,44.1674,44.1674,44.1674,0,0
ENP_MV,D,20071018,000000,42.9784,42.9784,42.9784,42.9784,0,0
ENP_MV,D,20071019,000000,42.9784,42.9784,42.9784,42.9784,0,0
ENP_MV,D,20071022,000000,41.7979,41.7979,41.7979,41.7979,0,0
ENP_MV,D,20071023,000000,42.0904,42.0904,42.0904,42.0904,0,0
ENP_MV,D,20071024,000000,39.8681,39.8681,39.8681,39.8681,0,0
ENP_MV,D,20071025,000000,41.495,41.495,41.495,41.495,0,0
ENP_MV,D,20071026,000000,41.495,41.495,41.495,41.495,0,0
ENP_MV,D,20071029,000000,40.9024,40.9024,40.9024,40.9024,0,0
ENP_MV,D,20071030,000000,40.7552,40.7552,40.7552,40.7552,0,0
ENP_MV,D,20071031,000000,41.2034,41.2034,41.2034,41.2034,0,0
ENP_MV,D,20071102,000000,45.7953,45.7953,45.7953,45.7953,0,0
ENP_MV,D,20071105,000000,42.5387,42.5387,42.5387,42.5387,0,0
ENP_MV,D,20071106,000000,41.495,41.495,41.495,41.495,0,0
ENP_MV,D,20071107,000000,39.1265,39.1265,39.1265,39.1265,0,0
ENP_MV,D,20071108,000000,38.5311,38.5311,38.5311,38.5311,0,0
ENP_MV,D,20071109,000000,38.6792,38.6792,35.869,36.3097,0,0
ENP_MV,D,20071112,000000,34.8272,36.3097,34.2328,34.681,0,0
ENP_MV,D,20071113,000000,34.9744,37.0495,34.0856,36.756,0,0
ENP_MV,D,20071114,000000,38.2394,38.2394,35.568,36.6098,0,0
ENP_MV,D,20071115,000000,36.9042,36.9042,32.0105,32.4567,0,0
ENP_MV,D,20071116,000000,32.3105,34.0856,30.3817,34.0856,0,0
ENP_MV,D,20071119,000000,34.0856,34.0856,32.6049,32.9059,0,0
ENP_MV,D,20071120,000000,30.828,33.1975,30.828,32.3105,0,0
ENP_MV,D,20071121,000000,30.9753,31.4225,29.7872,29.942,0,0
ENP_MV,D,20071122,000000,29.7872,33.3457,28.1584,33.3457,0,0
ENP_MV,D,20071123,000000,32.0105,35.7162,32.0105,35.7162,0,0
ENP_MV,D,20071126,000000,35.7162,37.0495,34.5347,35.7162,0,0
ENP_MV,D,20071127,000000,35.2745,35.2745,33.6457,34.3865,0,0
ENP_MV,D,20071128,000000,34.681,36.3097,34.2328,36.3097,0,0
ENP_MV,D,20071129,000000,37.0495,37.6449,37.0495,37.0495,0,0
ENP_MV,D,20071130,000000,37.3505,37.6449,37.0495,37.4986,0,0
ENP_MV,D,20071203,000000,37.3505,37.3505,35.2745,37.0495,0,0
ENP_MV,D,20071204,000000,35.1282,36.6098,35.1282,36.6098,0,0
ENP_MV,D,20071205,000000,36.756,37.7913,36.756,37.7913,0,0
ENP_MV,D,20071206,000000,37.1967,37.1967,36.3097,36.3097,0,0
ENP_MV,D,20071207,000000,36.3097,37.0495,35.1282,36.3097,0,0
ENP_MV,D,20071210,000000,35.7162,36.3097,35.7162,35.7162,0,0
ENP_MV,D,20071211,000000,37.0495,37.0495,35.4208,36.4559,0,0
ENP_MV,D,20071212,000000,35.4208,36.3097,34.9744,36.3097,0,0
ENP_MV,D,20071213,000000,35.568,36.4559,35.568,36.4559,0,0
ENP_MV,D,20071214,000000,35.7162,36.756,34.9744,36.4559,0,0
ENP_MV,D,20071217,000000,35.1282,35.2745,34.0856,34.8272,0,0
ENP_MV,D,20071218,000000,34.0856,35.4208,33.792,35.1282,0,0
ENP_MV,D,20071219,000000,33.9402,35.1282,33.0522,35.1282,0,0
ENP_MV,D,20071220,000000,34.2328,34.8272,32.9059,33.492,0,0
ENP_MV,D,20071221,000000,33.492,33.6457,30.6818,32.6049,0,0
ENP_MV,D,20071227,000000,32.9059,34.8272,32.1642,34.8272,0,0
ENP_MV,D,20071228,000000,34.0856,35.869,34.0856,35.869,0,0
ENP_MV,D,20080102,000000,36.0162,36.0162,34.9744,35.2745,0,0
