<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ERB_PB,D,20070813,000000,18.3267,18.3267,18.3267,18.3267,0,0
ERB_PB,D,20070814,000000,4.64149,4.64149,4.64149,4.64149,0,0
ERB_PB,D,20070816,000000,4.17739,4.17739,4.17739,4.17739,0,0
ERB_PB,D,20070817,000000,4.33735,4.33735,4.33735,4.33735,0,0
ERB_PB,D,20070820,000000,4.47339,4.47339,4.47339,4.47339,0,0
ERB_PB,D,20070821,000000,4.47339,4.47339,4.47339,4.47339,0,0
ERB_PB,D,20070822,000000,4.58539,4.58539,4.58539,4.58539,0,0
ERB_PB,D,20070823,000000,4.64149,4.64149,4.64149,4.64149,0,0
ERB_PB,D,20070824,000000,4.78547,4.78547,4.78547,4.78547,0,0
ERB_PB,D,20070827,000000,4.87354,4.87354,4.87354,4.87354,0,0
ERB_PB,D,20070828,000000,4.93768,4.93768,4.93768,4.93768,0,0
ERB_PB,D,20070829,000000,4.90571,4.90571,4.90571,4.90571,0,0
ERB_PB,D,20070830,000000,4.99368,4.99368,4.99368,4.99368,0,0
ERB_PB,D,20070831,000000,5.04969,5.04969,5.04969,5.04969,0,0
ERB_PB,D,20070903,000000,5.10579,5.10579,5.10579,5.10579,0,0
ERB_PB,D,20070904,000000,5.26565,5.26565,5.26565,5.26565,0,0
ERB_PB,D,20070905,000000,5.33774,5.33774,5.33774,5.33774,0,0
ERB_PB,D,20070906,000000,5.31381,5.31381,5.31381,5.31381,0,0
ERB_PB,D,20070907,000000,5.22573,5.22573,5.22573,5.22573,0,0
ERB_PB,D,20070910,000000,5.13776,5.13776,5.13776,5.13776,0,0
ERB_PB,D,20070911,000000,5.16973,5.16973,5.16973,5.16973,0,0
ERB_PB,D,20070912,000000,5.27369,5.27369,5.27369,5.27369,0,0
ERB_PB,D,20070913,000000,5.28164,5.28164,5.28164,5.28164,0,0
ERB_PB,D,20070914,000000,5.23358,5.23358,5.23358,5.23358,0,0
ERB_PB,D,20070917,000000,5.22573,5.22573,5.22573,5.22573,0,0
ERB_PB,D,20070918,000000,5.28164,5.28164,5.28164,5.28164,0,0
ERB_PB,D,20070919,000000,5.33774,5.33774,5.33774,5.33774,0,0
ERB_PB,D,20070920,000000,5.33774,5.33774,5.33774,5.33774,0,0
ERB_PB,D,20070921,000000,5.34578,5.34578,5.34578,5.34578,0,0
ERB_PB,D,20070924,000000,5.23358,5.23358,5.23358,5.23358,0,0
ERB_PB,D,20070925,000000,5.23358,5.23358,5.23358,5.23358,0,0
ERB_PB,D,20070926,000000,5.28164,5.28164,5.28164,5.28164,0,0
ERB_PB,D,20070927,000000,5.28164,5.28164,5.28164,5.28164,0,0
ERB_PB,D,20070928,000000,5.28164,5.28164,5.28164,5.28164,0,0
ERB_PB,D,20071001,000000,5.22573,5.22573,5.22573,5.22573,0,0
ERB_PB,D,20071002,000000,5.28164,5.28164,5.28164,5.28164,0,0
ERB_PB,D,20071003,000000,5.28164,5.28164,5.28164,5.28164,0,0
ERB_PB,D,20071004,000000,5.22573,5.22573,5.22573,5.22573,0,0
ERB_PB,D,20071005,000000,5.30557,5.30557,5.30557,5.30557,0,0
ERB_PB,D,20071008,000000,5.28164,5.28164,5.28164,5.28164,0,0
ERB_PB,D,20071009,000000,5.31381,5.31381,5.31381,5.31381,0,0
ERB_PB,D,20071010,000000,5.30557,5.30557,5.30557,5.30557,0,0
ERB_PB,D,20071011,000000,5.40973,5.40973,5.40973,5.40973,0,0
ERB_PB,D,20071012,000000,5.40168,5.40168,5.40168,5.40168,0,0
ERB_PB,D,20071015,000000,5.42571,5.42571,5.42571,5.42571,0,0
ERB_PB,D,20071016,000000,5.46573,5.46573,5.46573,5.46573,0,0
ERB_PB,D,20071017,000000,5.45769,5.45769,5.45769,5.45769,0,0
ERB_PB,D,20071018,000000,5.45769,5.45769,5.45769,5.45769,0,0
ERB_PB,D,20071019,000000,5.56979,5.56979,5.56979,5.56979,0,0
ERB_PB,D,20071022,000000,5.56979,5.56979,5.56979,5.56979,0,0
ERB_PB,D,20071023,000000,5.80998,5.80998,5.80998,5.80998,0,0
ERB_PB,D,20071024,000000,5.69778,5.69778,5.69778,5.69778,0,0
ERB_PB,D,20071025,000000,5.68974,5.68974,5.68974,5.68974,0,0
ERB_PB,D,20071026,000000,5.68974,5.68974,5.68974,5.68974,0,0
ERB_PB,D,20071029,000000,5.69778,5.69778,5.69778,5.69778,0,0
ERB_PB,D,20071030,000000,5.79389,5.79389,5.79389,5.79389,0,0
ERB_PB,D,20071031,000000,5.74584,5.74584,5.74584,5.74584,0,0
ERB_PB,D,20071102,000000,5.60186,5.60186,5.60186,5.60186,0,0
ERB_PB,D,20071105,000000,5.63373,5.63373,5.63373,5.63373,0,0
ERB_PB,D,20071106,000000,5.63373,5.63373,5.63373,5.63373,0,0
ERB_PB,D,20071107,000000,5.46573,5.46573,5.46573,5.46573,0,0
ERB_PB,D,20071108,000000,5.40168,5.40168,5.40168,5.40168,0,0
ERB_PB,D,20071109,000000,5.12962,5.33774,5.12962,5.29763,0,0
ERB_PB,D,20071112,000000,5.22573,5.29763,5.10579,5.22573,0,0
ERB_PB,D,20071113,000000,5.22573,5.22573,5.07362,5.22573,0,0
ERB_PB,D,20071114,000000,5.22573,5.33774,5.22573,5.23358,0,0
ERB_PB,D,20071115,000000,5.22573,5.28164,4.9216,4.9216,0,0
ERB_PB,D,20071116,000000,4.96161,4.96161,4.67346,4.9216,0,0
ERB_PB,D,20071119,000000,4.9216,4.92964,4.87354,4.92964,0,0
ERB_PB,D,20071120,000000,4.94553,4.94553,4.78547,4.81754,0,0
ERB_PB,D,20071121,000000,4.69749,4.8095,4.69749,4.80145,0,0
ERB_PB,D,20071122,000000,4.80145,4.9216,4.56136,4.9216,0,0
ERB_PB,D,20071123,000000,4.9216,4.94553,4.76154,4.88953,0,0
ERB_PB,D,20071126,000000,4.88953,4.88953,4.82548,4.88953,0,0
ERB_PB,D,20071127,000000,4.88953,4.9216,4.8656,4.8656,0,0
ERB_PB,D,20071128,000000,4.8656,4.94553,4.72162,4.78547,0,0
ERB_PB,D,20071129,000000,4.78547,4.9216,4.78547,4.84147,0,0
ERB_PB,D,20071130,000000,4.88953,4.9776,4.84951,4.9776,0,0
ERB_PB,D,20071203,000000,4.84147,4.9776,4.75349,4.9776,0,0
ERB_PB,D,20071204,000000,4.98554,5.10579,4.9216,5.10579,0,0
ERB_PB,D,20071205,000000,5.13776,5.23358,5.09755,5.23358,0,0
