<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETL_MV,D,20070813,000000,21.0312,21.0312,21.0312,21.0312,0,0
ETL_MV,D,20070814,000000,21.1564,21.1564,21.1564,21.1564,0,0
ETL_MV,D,20070816,000000,19.5064,19.5064,19.5064,19.5064,0,0
ETL_MV,D,20070817,000000,19.392,19.392,19.392,19.392,0,0
ETL_MV,D,20070820,000000,19.7843,19.7843,19.7843,19.7843,0,0
ETL_MV,D,20070821,000000,18.7885,18.7885,18.7885,18.7885,0,0
ETL_MV,D,20070822,000000,19.7137,19.7137,19.7137,19.7137,0,0
ETL_MV,D,20070823,000000,19.7137,19.7137,19.7137,19.7137,0,0
ETL_MV,D,20070824,000000,19.5064,19.5064,19.5064,19.5064,0,0
ETL_MV,D,20070827,000000,19.7245,19.7245,19.7245,19.7245,0,0
ETL_MV,D,20070828,000000,20.1721,20.1721,20.1721,20.1721,0,0
ETL_MV,D,20070829,000000,20.4186,20.4186,20.4186,20.4186,0,0
ETL_MV,D,20070830,000000,20.4377,20.4377,20.4377,20.4377,0,0
ETL_MV,D,20070831,000000,20.5407,20.5407,20.5407,20.5407,0,0
ETL_MV,D,20070903,000000,20.8731,20.8731,20.8731,20.8731,0,0
ETL_MV,D,20070904,000000,21.4774,21.4774,21.4774,21.4774,0,0
ETL_MV,D,20070905,000000,21.4236,21.4236,21.4236,21.4236,0,0
ETL_MV,D,20070906,000000,21.2171,21.2171,21.2171,21.2171,0,0
ETL_MV,D,20070907,000000,20.1982,20.1982,20.1982,20.1982,0,0
ETL_MV,D,20070910,000000,19.888,19.888,19.888,19.888,0,0
ETL_MV,D,20070911,000000,19.5064,19.5064,19.5064,19.5064,0,0
ETL_MV,D,20070912,000000,20.1821,20.1821,20.1821,20.1821,0,0
ETL_MV,D,20070913,000000,19.8765,19.8765,19.8765,19.8765,0,0
ETL_MV,D,20070914,000000,19.8688,19.8688,19.8688,19.8688,0,0
ETL_MV,D,20070917,000000,19.6592,19.6592,19.6592,19.6592,0,0
ETL_MV,D,20070918,000000,19.1425,19.1425,19.1425,19.1425,0,0
ETL_MV,D,20070919,000000,19.5064,19.5064,19.5064,19.5064,0,0
ETL_MV,D,20070920,000000,19.6592,19.6592,19.6592,19.6592,0,0
ETL_MV,D,20070921,000000,19.5564,19.5564,19.5564,19.5564,0,0
ETL_MV,D,20070924,000000,19.5371,19.5371,19.5371,19.5371,0,0
ETL_MV,D,20070925,000000,20.2297,20.2297,20.2297,20.2297,0,0
ETL_MV,D,20070926,000000,20.2297,20.2297,20.2297,20.2297,0,0
ETL_MV,D,20070927,000000,20.2865,20.2865,20.2865,20.2865,0,0
ETL_MV,D,20070928,000000,19.6592,19.6592,19.6592,19.6592,0,0
ETL_MV,D,20071001,000000,19.8688,19.8688,19.8688,19.8688,0,0
ETL_MV,D,20071002,000000,19.6915,19.6915,19.6915,19.6915,0,0
ETL_MV,D,20071003,000000,19.4957,19.4957,19.4957,19.4957,0,0
ETL_MV,D,20071004,000000,19.5064,19.5064,19.5064,19.5064,0,0
ETL_MV,D,20071005,000000,19.5993,19.5993,19.5993,19.5993,0,0
ETL_MV,D,20071008,000000,19.2991,19.2991,19.2991,19.2991,0,0
ETL_MV,D,20071009,000000,19.61,19.61,19.61,19.61,0,0
ETL_MV,D,20071010,000000,19.703,19.703,19.703,19.703,0,0
ETL_MV,D,20071011,000000,19.9748,19.9748,19.9748,19.9748,0,0
ETL_MV,D,20071012,000000,19.8174,19.8174,19.8174,19.8174,0,0
ETL_MV,D,20071015,000000,19.7137,19.7137,19.7137,19.7137,0,0
ETL_MV,D,20071016,000000,20.0132,20.0132,20.0132,20.0132,0,0
ETL_MV,D,20071017,000000,19.9633,19.9633,19.9633,19.9633,0,0
ETL_MV,D,20071018,000000,19.7137,19.7137,19.7137,19.7137,0,0
ETL_MV,D,20071019,000000,19.9195,19.9195,19.9195,19.9195,0,0
ETL_MV,D,20071022,000000,20.0239,20.0239,20.0239,20.0239,0,0
ETL_MV,D,20071023,000000,20.9575,20.9575,20.9575,20.9575,0,0
ETL_MV,D,20071024,000000,22.2989,22.2989,22.2989,22.2989,0,0
ETL_MV,D,20071025,000000,22.4118,22.4118,22.4118,22.4118,0,0
