<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETL_PB,D,20070813,000000,0.865915,0.865915,0.865915,0.865915,0,0
ETL_PB,D,20070814,000000,0.868526,0.868526,0.868526,0.868526,0,0
ETL_PB,D,20070816,000000,0.80326,0.80326,0.80326,0.80326,0,0
ETL_PB,D,20070817,000000,0.797809,0.797809,0.797809,0.797809,0,0
ETL_PB,D,20070820,000000,0.811398,0.811398,0.811398,0.811398,0,0
ETL_PB,D,20070821,000000,0.773317,0.773317,0.773317,0.773317,0,0
ETL_PB,D,20070822,000000,0.811398,0.811398,0.811398,0.811398,0,0
ETL_PB,D,20070823,000000,0.811398,0.811398,0.811398,0.811398,0,0
ETL_PB,D,20070824,000000,0.80326,0.80326,0.80326,0.80326,0,0
ETL_PB,D,20070827,000000,0.811398,0.811398,0.811398,0.811398,0,0
ETL_PB,D,20070828,000000,0.827752,0.827752,0.827752,0.827752,0,0
ETL_PB,D,20070829,000000,0.838732,0.838732,0.838732,0.838732,0,0
ETL_PB,D,20070830,000000,0.838732,0.838732,0.838732,0.838732,0,0
ETL_PB,D,20070831,000000,0.844106,0.844106,0.844106,0.844106,0,0
ETL_PB,D,20070903,000000,0.857696,0.857696,0.857696,0.857696,0,0
ETL_PB,D,20070904,000000,0.882192,0.882192,0.882192,0.882192,0,0
ETL_PB,D,20070905,000000,0.882192,0.882192,0.882192,0.882192,0,0
ETL_PB,D,20070906,000000,0.871206,0.871206,0.871206,0.871206,0,0
ETL_PB,D,20070907,000000,0.830517,0.830517,0.830517,0.830517,0,0
ETL_PB,D,20070910,000000,0.816849,0.816849,0.816849,0.816849,0,0
ETL_PB,D,20070911,000000,0.80326,0.80326,0.80326,0.80326,0,0
ETL_PB,D,20070912,000000,0.827752,0.827752,0.827752,0.827752,0,0
ETL_PB,D,20070913,000000,0.816849,0.816849,0.816849,0.816849,0,0
ETL_PB,D,20070914,000000,0.816849,0.816849,0.816849,0.816849,0,0
ETL_PB,D,20070917,000000,0.808711,0.808711,0.808711,0.808711,0,0
ETL_PB,D,20070918,000000,0.786906,0.786906,0.786906,0.786906,0,0
ETL_PB,D,20070919,000000,0.80326,0.80326,0.80326,0.80326,0,0
ETL_PB,D,20070920,000000,0.808711,0.808711,0.808711,0.808711,0,0
ETL_PB,D,20070921,000000,0.80587,0.80587,0.80587,0.80587,0,0
ETL_PB,D,20070924,000000,0.80326,0.80326,0.80326,0.80326,0,0
ETL_PB,D,20070925,000000,0.830517,0.830517,0.830517,0.830517,0,0
ETL_PB,D,20070926,000000,0.830517,0.830517,0.830517,0.830517,0,0
ETL_PB,D,20070927,000000,0.833127,0.833127,0.833127,0.833127,0,0
ETL_PB,D,20070928,000000,0.808711,0.808711,0.808711,0.808711,0,0
ETL_PB,D,20071001,000000,0.816849,0.816849,0.816849,0.816849,0,0
ETL_PB,D,20071002,000000,0.811398,0.811398,0.811398,0.811398,0,0
ETL_PB,D,20071003,000000,0.80326,0.80326,0.80326,0.80326,0,0
ETL_PB,D,20071004,000000,0.80326,0.80326,0.80326,0.80326,0,0
ETL_PB,D,20071005,000000,0.80587,0.80587,0.80587,0.80587,0,0
ETL_PB,D,20071008,000000,0.795044,0.795044,0.795044,0.795044,0,0
ETL_PB,D,20071009,000000,0.808711,0.808711,0.808711,0.808711,0,0
ETL_PB,D,20071010,000000,0.811398,0.811398,0.811398,0.811398,0,0
ETL_PB,D,20071011,000000,0.819537,0.819537,0.819537,0.819537,0,0
ETL_PB,D,20071012,000000,0.814086,0.814086,0.814086,0.814086,0,0
ETL_PB,D,20071015,000000,0.811398,0.811398,0.811398,0.811398,0,0
ETL_PB,D,20071016,000000,0.822301,0.822301,0.822301,0.822301,0,0
ETL_PB,D,20071017,000000,0.819537,0.819537,0.819537,0.819537,0,0
ETL_PB,D,20071018,000000,0.811398,0.811398,0.811398,0.811398,0,0
ETL_PB,D,20071019,000000,0.816849,0.816849,0.816849,0.816849,0,0
ETL_PB,D,20071022,000000,0.822301,0.822301,0.822301,0.822301,0,0
ETL_PB,D,20071023,000000,0.86046,0.86046,0.86046,0.86046,0,0
ETL_PB,D,20071024,000000,0.917582,0.917582,0.917582,0.917582,0,0
ETL_PB,D,20071025,000000,0.920348,0.920348,0.920348,0.920348,0,0
ETL_PB,D,20071026,000000,0.920348,0.920348,0.920348,0.920348,0,0
ETL_PB,D,20071029,000000,0.93386,0.93386,0.93386,0.93386,0,0
ETL_PB,D,20071030,000000,0.94208,0.94208,0.94208,0.94208,0,0
ETL_PB,D,20071031,000000,0.947526,0.947526,0.947526,0.947526,0,0
ETL_PB,D,20071102,000000,0.947526,0.947526,0.947526,0.947526,0,0
ETL_PB,D,20071105,000000,0.895781,0.895781,0.895781,0.895781,0,0
ETL_PB,D,20071106,000000,0.906682,0.906682,0.906682,0.906682,0,0
ETL_PB,D,20071107,000000,0.895781,0.895781,0.895781,0.895781,0,0
ETL_PB,D,20071108,000000,0.890404,0.890404,0.890404,0.890404,0,0
ETL_PB,D,20071109,000000,0.882192,0.917582,0.882192,0.895781,0,0
ETL_PB,D,20071112,000000,0.895781,0.97747,0.895781,0.97747,0,0
ETL_PB,D,20071113,000000,0.97747,0.980313,0.936703,0.980313,0,0
ETL_PB,D,20071114,000000,0.991213,1.00196,0.980313,1.00196,0,0
ETL_PB,D,20071115,000000,1.00196,1.02377,0.936703,1.00196,0,0
ETL_PB,D,20071116,000000,0.947526,1.00196,0.936703,0.955746,0,0
ETL_PB,D,20071119,000000,0.974859,1.05379,0.955746,1.04558,0,0
ETL_PB,D,20071120,000000,1.06185,1.06185,1.03459,1.05917,0,0
ETL_PB,D,20071121,000000,1.03459,1.05379,1.02377,1.02377,0,0
ETL_PB,D,20071122,000000,1.02377,1.02377,0.991213,1.02377,0,0
ETL_PB,D,20071123,000000,1.02377,1.02377,1.00196,1.01018,0,0
ETL_PB,D,20071126,000000,1.01287,1.02653,0.97747,0.991213,0,0
ETL_PB,D,20071127,000000,0.991213,0.991213,0.972024,0.980313,0,0
ETL_PB,D,20071128,000000,0.991213,0.991213,0.920348,0.920348,0,0
ETL_PB,D,20071129,000000,0.93386,0.939392,0.923114,0.939392,0,0
ETL_PB,D,20071130,000000,0.958426,0.958426,0.939392,0.950215,0,0
ETL_PB,D,20071203,000000,0.950215,0.950215,0.950215,0.950215,0,0
ETL_PB,D,20071204,000000,0.947526,0.947526,0.920348,0.920348,0,0
ETL_PB,D,20071205,000000,0.920348,0.920348,0.920348,0.920348,0,0
ETL_PB,D,20071206,000000,0.920348,0.931171,0.920348,0.931171,0,0
ETL_PB,D,20071207,000000,0.93386,0.958426,0.93386,0.958426,0,0
ETL_PB,D,20071210,000000,0.950215,0.950215,0.925803,0.94208,0,0
ETL_PB,D,20071211,000000,0.950215,0.950215,0.950215,0.950215,0,0
ETL_PB,D,20071212,000000,0.92856,0.92856,0.920348,0.920348,0,0
ETL_PB,D,20071213,000000,0.920348,0.920348,0.920348,0.920348,0,0
ETL_PB,D,20071214,000000,0.912136,0.920348,0.884872,0.920348,0,0
ETL_PB,D,20071217,000000,0.920348,0.936703,0.884872,0.893093,0,0
ETL_PB,D,20071218,000000,0.890404,0.917582,0.876738,0.917582,0,0
ETL_PB,D,20071219,000000,0.887716,0.920348,0.871206,0.920348,0,0
ETL_PB,D,20071220,000000,0.912136,0.923114,0.895781,0.923114,0,0
ETL_PB,D,20071221,000000,0.925803,0.925803,0.874049,0.923114,0,0
ETL_PB,D,20071227,000000,0.939392,0.939392,0.901227,0.920348,0,0
ETL_PB,D,20071228,000000,0.909525,0.93386,0.909525,0.93386,0,0
ETL_PB,D,20080102,000000,0.93386,0.93386,0.893093,0.93386,0,0
ETL_PB,D,20080103,000000,0.912136,0.914816,0.893093,0.914816,0,0
ETL_PB,D,20080104,000000,0.914816,0.914816,0.914816,0.914816,0,0
ETL_PB,D,20080107,000000,0.895781,0.920348,0.895781,0.909525,0,0
ETL_PB,D,20080108,000000,0.909525,0.909525,0.909525,0.909525,0,0
ETL_PB,D,20080109,000000,0.879504,0.879504,0.819537,0.874049,0,0
ETL_PB,D,20080110,000000,0.835891,0.857696,0.80587,0.80587,0,0
ETL_PB,D,20080111,000000,0.80326,0.838732,0.797809,0.838732,0,0
ETL_PB,D,20080114,000000,0.833127,0.833127,0.833127,0.833127,0,0
ETL_PB,D,20080115,000000,0.825065,0.825065,0.825065,0.825065,0,0
ETL_PB,D,20080116,000000,0.816849,0.816849,0.767865,0.778614,0,0
ETL_PB,D,20080117,000000,0.808711,0.849481,0.800573,0.833127,0,0
ETL_PB,D,20080118,000000,0.838732,0.838732,0.800573,0.838732,0,0
ETL_PB,D,20080121,000000,0.759573,0.830517,0.759573,0.795044,0,0
ETL_PB,D,20080122,000000,0.822301,0.822301,0.718803,0.795044,0,0
ETL_PB,D,20080123,000000,0.759573,0.789593,0.759573,0.789593,0,0
ETL_PB,D,20080124,000000,0.789593,0.800573,0.754275,0.800573,0,0
ETL_PB,D,20080125,000000,0.800573,0.80326,0.778614,0.778614,0,0
ETL_PB,D,20080128,000000,0.816849,0.816849,0.816849,0.816849,0,0
ETL_PB,D,20080129,000000,0.816849,0.857696,0.800573,0.854932,0,0
ETL_PB,D,20080130,000000,0.849481,0.849481,0.849481,0.849481,0,0
ETL_PB,D,20080131,000000,0.800573,0.833127,0.778614,0.778614,0,0
ETL_PB,D,20080201,000000,0.849481,0.849481,0.800573,0.825065,0,0
ETL_PB,D,20080204,000000,0.852322,0.852322,0.789593,0.838732,0,0
ETL_PB,D,20080205,000000,0.816849,0.816849,0.816849,0.816849,0,0
ETL_PB,D,20080206,000000,0.800573,0.827752,0.778614,0.827752,0,0
ETL_PB,D,20080208,000000,0.792357,0.825065,0.784296,0.784296,0,0
ETL_PB,D,20080211,000000,0.784296,0.808711,0.784296,0.808711,0,0
ETL_PB,D,20080212,000000,0.778614,0.808711,0.778614,0.808711,0,0
ETL_PB,D,20080213,000000,0.808711,0.816849,0.808711,0.816849,0,0
ETL_PB,D,20080214,000000,0.841342,0.841342,0.841342,0.841342,0,0
ETL_PB,D,20080215,000000,0.841342,0.846793,0.841342,0.846793,0,0
ETL_PB,D,20080218,000000,0.838732,0.838732,0.838732,0.838732,0,0
ETL_PB,D,20080219,000000,0.849481,0.849481,0.819537,0.838732,0,0
ETL_PB,D,20080220,000000,0.833127,0.833127,0.792357,0.792357,0,0
ETL_PB,D,20080222,000000,0.748747,0.776003,0.748747,0.776003,0,0
ETL_PB,D,20080225,000000,0.776003,0.776003,0.751434,0.751434,0,0
ETL_PB,D,20080226,000000,0.776003,0.776003,0.754275,0.754275,0,0
ETL_PB,D,20080227,000000,0.778614,0.781454,0.757039,0.773317,0,0
ETL_PB,D,20080228,000000,0.757039,0.757039,0.757039,0.757039,0,0
ETL_PB,D,20080229,000000,0.767865,0.767865,0.743295,0.757039,0,0
ETL_PB,D,20080303,000000,0.757039,0.770552,0.757039,0.770552,0,0
ETL_PB,D,20080304,000000,0.735157,0.770552,0.735157,0.767865,0,0
ETL_PB,D,20080305,000000,0.748747,0.748747,0.748747,0.748747,0,0
ETL_PB,D,20080306,000000,0.770552,0.811398,0.757039,0.757039,0,0
ETL_PB,D,20080307,000000,0.743295,0.754275,0.729706,0.754275,0,0
ETL_PB,D,20080310,000000,0.759573,0.759573,0.737921,0.737921,0,0
ETL_PB,D,20080311,000000,0.757039,0.776003,0.74606,0.7651,0,0
ETL_PB,D,20080312,000000,0.773317,0.773317,0.737921,0.754275,0,0
ETL_PB,D,20080313,000000,0.748747,0.754275,0.74606,0.74606,0,0
ETL_PB,D,20080314,000000,0.74606,0.74606,0.737921,0.737921,0,0
ETL_PB,D,20080317,000000,0.737921,0.754275,0.737921,0.754275,0,0
ETL_PB,D,20080318,000000,0.74606,0.808711,0.74606,0.80326,0,0
ETL_PB,D,20080319,000000,0.789593,0.789593,0.74606,0.776003,0,0
ETL_PB,D,20080320,000000,0.808711,0.808711,0.74606,0.74606,0,0
ETL_PB,D,20080325,000000,0.751434,0.776003,0.74606,0.74606,0,0
ETL_PB,D,20080326,000000,0.74606,0.74606,0.74606,0.74606,0,0
ETL_PB,D,20080327,000000,0.757039,0.795044,0.74606,0.7651,0,0
ETL_PB,D,20080328,000000,0.792357,0.792357,0.757039,0.757039,0,0
ETL_PB,D,20080331,000000,0.757039,0.757039,0.757039,0.757039,0,0
ETL_PB,D,20080403,000000,0.743295,0.743295,0.743295,0.743295,0,0
ETL_PB,D,20080404,000000,0.727019,0.754275,0.727019,0.754275,0,0
ETL_PB,D,20080407,000000,0.754275,0.757039,0.754275,0.757039,0,0
ETL_PB,D,20080408,000000,0.740531,0.740531,0.740531,0.740531,0,0
ETL_PB,D,20080409,000000,0.74606,0.74606,0.743295,0.743295,0,0
ETL_PB,D,20080410,000000,0.743295,0.743295,0.743295,0.743295,0,0
ETL_PB,D,20080411,000000,0.754275,0.754275,0.754275,0.754275,0,0
ETL_PB,D,20080414,000000,0.716116,0.754275,0.702526,0.754275,0,0
ETL_PB,D,20080416,000000,0.74606,0.754275,0.699762,0.754275,0,0
ETL_PB,D,20080417,000000,0.737921,0.737921,0.727019,0.735157,0,0
ETL_PB,D,20080418,000000,0.710741,0.718803,0.710741,0.718803,0,0
ETL_PB,D,20080421,000000,0.735157,0.735157,0.718803,0.718803,0,0
ETL_PB,D,20080422,000000,0.718803,0.718803,0.699762,0.718803,0,0
ETL_PB,D,20080423,000000,0.716116,0.716116,0.677957,0.683485,0,0
ETL_PB,D,20080424,000000,0.675192,0.699762,0.667207,0.672582,0,0
ETL_PB,D,20080425,000000,0.675192,0.675192,0.667207,0.667207,0,0
ETL_PB,D,20080428,000000,0.702526,0.716116,0.667207,0.716116,0,0
ETL_PB,D,20080429,000000,0.699762,0.716116,0.699762,0.716116,0,0
ETL_PB,D,20080430,000000,0.716116,0.716116,0.713352,0.713352,0,0
ETL_PB,D,20080505,000000,0.716116,0.716116,0.716116,0.716116,0,0
ETL_PB,D,20080506,000000,0.716116,0.716116,0.713352,0.713352,0,0
ETL_PB,D,20080507,000000,0.716116,0.716116,0.677957,0.677957,0,0
ETL_PB,D,20080508,000000,0.677957,0.677957,0.677957,0.677957,0,0
ETL_PB,D,20080509,000000,0.688782,0.688782,0.669819,0.669819,0,0
ETL_PB,D,20080512,000000,0.688782,0.69147,0.688782,0.688782,0,0
