<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETL_PE,D,20070813,000000,7.06588,7.06588,7.06588,7.06588,0,0
ETL_PE,D,20070814,000000,7.09337,7.09337,7.09337,7.09337,0,0
ETL_PE,D,20070816,000000,6.53541,6.53541,6.53541,6.53541,0,0
ETL_PE,D,20070817,000000,6.50754,6.50754,6.50754,6.50754,0,0
ETL_PE,D,20070820,000000,6.64175,6.64175,6.64175,6.64175,0,0
ETL_PE,D,20070821,000000,6.29517,6.29517,6.29517,6.29517,0,0
ETL_PE,D,20070822,000000,6.61434,6.61434,6.61434,6.61434,0,0
ETL_PE,D,20070823,000000,6.61434,6.61434,6.61434,6.61434,0,0
ETL_PE,D,20070824,000000,6.53541,6.53541,6.53541,6.53541,0,0
ETL_PE,D,20070827,000000,6.61434,6.61434,6.61434,6.61434,0,0
ETL_PE,D,20070828,000000,6.77151,6.77151,6.77151,6.77151,0,0
ETL_PE,D,20070829,000000,6.85382,6.85382,6.85382,6.85382,0,0
ETL_PE,D,20070830,000000,6.85382,6.85382,6.85382,6.85382,0,0
ETL_PE,D,20070831,000000,6.87784,6.87784,6.87784,6.87784,0,0
ETL_PE,D,20070903,000000,7.01098,7.01098,7.01098,7.01098,0,0
ETL_PE,D,20070904,000000,7.19901,7.19901,7.19901,7.19901,0,0
ETL_PE,D,20070905,000000,7.19901,7.19901,7.19901,7.19901,0,0
ETL_PE,D,20070906,000000,7.11809,7.11809,7.11809,7.11809,0,0
ETL_PE,D,20070907,000000,6.77151,6.77151,6.77151,6.77151,0,0
ETL_PE,D,20070910,000000,6.66579,6.66579,6.66579,6.66579,0,0
ETL_PE,D,20070911,000000,6.53541,6.53541,6.53541,6.53541,0,0
ETL_PE,D,20070912,000000,6.77151,6.77151,6.77151,6.77151,0,0
ETL_PE,D,20070913,000000,6.66579,6.66579,6.66579,6.66579,0,0
ETL_PE,D,20070914,000000,6.66579,6.66579,6.66579,6.66579,0,0
ETL_PE,D,20070917,000000,6.58686,6.58686,6.58686,6.58686,0,0
ETL_PE,D,20070918,000000,6.42831,6.42831,6.42831,6.42831,0,0
ETL_PE,D,20070919,000000,6.53541,6.53541,6.53541,6.53541,0,0
ETL_PE,D,20070920,000000,6.58686,6.58686,6.58686,6.58686,0,0
ETL_PE,D,20070921,000000,6.55945,6.55945,6.55945,6.55945,0,0
ETL_PE,D,20070924,000000,6.55945,6.55945,6.55945,6.55945,0,0
ETL_PE,D,20070925,000000,6.79892,6.79892,6.79892,6.79892,0,0
ETL_PE,D,20070926,000000,6.79892,6.79892,6.79892,6.79892,0,0
ETL_PE,D,20070927,000000,6.79892,6.79892,6.79892,6.79892,0,0
ETL_PE,D,20070928,000000,6.58686,6.58686,6.58686,6.58686,0,0
