<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUR_PE,D,20070813,000000,20.4993,20.4993,20.4993,20.4993,0,0
EUR_PE,D,20070814,000000,20.2778,20.2778,20.2778,20.2778,0,0
EUR_PE,D,20070816,000000,19.6965,19.6965,19.6965,19.6965,0,0
EUR_PE,D,20070817,000000,19.1241,19.1241,19.1241,19.1241,0,0
EUR_PE,D,20070820,000000,19.1241,19.1241,19.1241,19.1241,0,0
EUR_PE,D,20070821,000000,18.3213,18.3213,18.3213,18.3213,0,0
EUR_PE,D,20070822,000000,17.3803,17.3803,17.3803,17.3803,0,0
EUR_PE,D,20070823,000000,17.7488,17.7488,17.7488,17.7488,0,0
EUR_PE,D,20070824,000000,17.6028,17.6028,17.6028,17.6028,0,0
EUR_PE,D,20070827,000000,17.8939,17.8939,17.8939,17.8939,0,0
EUR_PE,D,20070828,000000,18.3213,18.3213,18.3213,18.3213,0,0
EUR_PE,D,20070829,000000,18.4664,18.4664,18.4664,18.4664,0,0
EUR_PE,D,20070830,000000,18.833,18.833,18.833,18.833,0,0
EUR_PE,D,20070831,000000,18.5428,18.5428,18.5428,18.5428,0,0
EUR_PE,D,20070903,000000,18.4664,18.4664,18.4664,18.4664,0,0
EUR_PE,D,20070904,000000,18.4664,18.4664,18.4664,18.4664,0,0
EUR_PE,D,20070905,000000,17.7488,17.7488,17.7488,17.7488,0,0
EUR_PE,D,20070906,000000,17.7488,17.7488,17.7488,17.7488,0,0
EUR_PE,D,20070907,000000,17.7488,17.7488,17.7488,17.7488,0,0
EUR_PE,D,20070910,000000,17.0911,17.0911,17.0911,17.0911,0,0
EUR_PE,D,20070911,000000,18.4664,18.4664,18.4664,18.4664,0,0
EUR_PE,D,20070912,000000,18.1772,18.1772,18.1772,18.1772,0,0
EUR_PE,D,20070913,000000,18.1066,18.1066,18.1066,18.1066,0,0
EUR_PE,D,20070914,000000,18.1066,18.1066,18.1066,18.1066,0,0
EUR_PE,D,20070917,000000,17.6028,17.6028,17.6028,17.6028,0,0
EUR_PE,D,20070918,000000,17.8939,17.8939,17.8939,17.8939,0,0
EUR_PE,D,20070919,000000,17.9625,17.9625,17.9625,17.9625,0,0
EUR_PE,D,20070920,000000,17.9625,17.9625,17.9625,17.9625,0,0
EUR_PE,D,20070921,000000,17.8939,17.8939,17.8939,17.8939,0,0
EUR_PE,D,20070924,000000,17.9625,17.9625,17.9625,17.9625,0,0
EUR_PE,D,20070925,000000,17.9625,17.9625,17.9625,17.9625,0,0
EUR_PE,D,20070926,000000,17.9625,17.9625,17.9625,17.9625,0,0
EUR_PE,D,20070927,000000,17.9625,17.9625,17.9625,17.9625,0,0
EUR_PE,D,20070928,000000,18.1066,18.1066,18.1066,18.1066,0,0
EUR_PE,D,20071001,000000,18.2537,18.2537,18.2537,18.2537,0,0
EUR_PE,D,20071002,000000,17.9625,17.9625,17.9625,17.9625,0,0
EUR_PE,D,20071003,000000,18.1066,18.1066,18.1066,18.1066,0,0
EUR_PE,D,20071004,000000,18.1066,18.1066,18.1066,18.1066,0,0
EUR_PE,D,20071005,000000,18.1772,18.1772,18.1772,18.1772,0,0
EUR_PE,D,20071008,000000,17.8939,17.8939,17.8939,17.8939,0,0
EUR_PE,D,20071009,000000,17.8939,17.8939,17.8939,17.8939,0,0
EUR_PE,D,20071010,000000,18.2537,18.2537,18.2537,18.2537,0,0
EUR_PE,D,20071011,000000,20.0631,20.0631,20.0631,20.0631,0,0
EUR_PE,D,20071012,000000,19.5603,19.5603,19.5603,19.5603,0,0
EUR_PE,D,20071015,000000,20.1327,20.1327,20.1327,20.1327,0,0
EUR_PE,D,20071016,000000,19.9877,19.9877,19.9877,19.9877,0,0
EUR_PE,D,20071017,000000,20.4229,20.4229,20.4229,20.4229,0,0
EUR_PE,D,20071018,000000,20.568,20.568,20.568,20.568,0,0
EUR_PE,D,20071019,000000,21.1492,21.1492,21.1492,21.1492,0,0
EUR_PE,D,20071022,000000,20.3533,20.3533,20.3533,20.3533,0,0
EUR_PE,D,20071023,000000,20.3533,20.3533,20.3533,20.3533,0,0
EUR_PE,D,20071024,000000,20.568,20.568,20.568,20.568,0,0
EUR_PE,D,20071025,000000,20.0631,20.0631,20.0631,20.0631,0,0
EUR_PE,D,20071026,000000,19.9877,19.9877,19.9877,19.9877,0,0
EUR_PE,D,20071029,000000,20.3533,20.3533,20.3533,20.3533,0,0
EUR_PE,D,20071030,000000,19.9877,19.9877,19.9877,19.9877,0,0
EUR_PE,D,20071031,000000,20.3533,20.3533,20.3533,20.3533,0,0
EUR_PE,D,20071102,000000,19.6289,19.6289,19.6289,19.6289,0,0
EUR_PE,D,20071105,000000,20.0631,20.0631,20.0631,20.0631,0,0
EUR_PE,D,20071106,000000,20.1327,20.1327,20.1327,20.1327,0,0
EUR_PE,D,20071107,000000,20.0631,20.0631,20.0631,20.0631,0,0
EUR_PE,D,20071108,000000,19.8436,19.8436,19.8436,19.8436,0,0
EUR_PE,D,20071109,000000,19.773,20.0631,19.773,20.0631,0,0
EUR_PE,D,20071112,000000,19.2692,20.0631,19.2692,19.919,0,0
EUR_PE,D,20071113,000000,19.2692,20.0631,19.2692,19.2692,0,0
EUR_PE,D,20071114,000000,19.919,19.919,19.2692,19.773,0,0
EUR_PE,D,20071115,000000,19.4152,19.773,19.4152,19.773,0,0
EUR_PE,D,20071116,000000,19.8436,19.8436,19.1241,19.5603,0,0
EUR_PE,D,20071119,000000,19.6965,19.6965,19.0476,19.5603,0,0
EUR_PE,D,20080303,000000,18.833,18.833,18.833,18.833,0,0
EUR_PE,D,20080304,000000,18.6124,18.98,18.5428,18.5428,0,0
EUR_PE,D,20080305,000000,18.6124,19.4152,18.6124,18.9026,0,0
EUR_PE,D,20080306,000000,18.7585,19.1927,18.7585,18.9026,0,0
EUR_PE,D,20080307,000000,18.98,19.0476,18.6124,18.9026,0,0
EUR_PE,D,20080310,000000,18.7585,20.3533,18.3213,19.8436,0,0
EUR_PE,D,20080311,000000,20.2778,20.2778,18.7585,18.9026,0,0
EUR_PE,D,20080312,000000,18.9026,19.8436,18.9026,19.8436,0,0
EUR_PE,D,20080313,000000,19.8436,19.8436,19.4838,19.6289,0,0
EUR_PE,D,20080314,000000,19.6289,19.6289,19.5603,19.6289,0,0
EUR_PE,D,20080317,000000,19.5603,19.5603,18.6124,18.9026,0,0
EUR_PE,D,20080318,000000,19.1927,19.6965,19.0476,19.6289,0,0
EUR_PE,D,20080319,000000,19.0476,19.6965,19.0476,19.6965,0,0
EUR_PE,D,20080320,000000,19.2692,19.5603,19.2692,19.5603,0,0
EUR_PE,D,20080325,000000,19.5603,19.5603,19.3388,19.3388,0,0
EUR_PE,D,20080326,000000,19.5603,19.5603,19.5603,19.5603,0,0
EUR_PE,D,20080327,000000,19.4838,19.5603,19.4838,19.5603,0,0
EUR_PE,D,20080328,000000,19.5603,19.8436,19.5603,19.8436,0,0
EUR_PE,D,20080331,000000,20.1327,20.1327,20.1327,20.1327,0,0
EUR_PE,D,20080401,000000,19.8436,20.1327,19.8436,20.1327,0,0
EUR_PE,D,20080402,000000,20.1327,20.2082,20.1327,20.2082,0,0
