<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAB_PE,D,20080606,000000,17.5163,17.5163,17.5163,17.5163,0,0
FAB_PE,D,20080609,000000,17.6024,18.2028,17.5163,18.2028,0,0
FAB_PE,D,20080610,000000,18.2028,18.2028,17.559,17.9019,0,0
FAB_PE,D,20080611,000000,17.13,17.4302,17.13,17.13,0,0
FAB_PE,D,20080612,000000,17.5163,18.5465,17.5163,17.6024,0,0
FAB_PE,D,20080613,000000,17.9019,17.9019,17.9019,17.9019,0,0
FAB_PE,D,20080616,000000,17.9019,17.9019,17.9019,17.9019,0,0
FAB_PE,D,20080617,000000,17.9019,17.9019,17.9019,17.9019,0,0
FAB_PE,D,20080618,000000,17.9019,17.9019,11.5927,11.5927,0,0
FAB_PE,D,20080619,000000,10.6038,11.5927,10.6038,11.5927,0,0
FAB_PE,D,20080620,000000,11.5927,11.5927,11.5927,11.5927,0,0
FAB_PE,D,20080623,000000,11.5927,11.5927,11.5927,11.5927,0,0
FAB_PE,D,20080624,000000,11.5927,11.5927,10.6911,11.1188,0,0
FAB_PE,D,20080625,000000,11.3764,11.3764,11.3764,11.3764,0,0
FAB_PE,D,20080626,000000,11.3764,11.3764,11.3764,11.3764,0,0
FAB_PE,D,20080627,000000,11.1188,11.3764,10.6038,11.3764,0,0
FAB_PE,D,20080630,000000,11.3764,11.3764,10.4756,10.4756,0,0
FAB_PE,D,20080701,000000,10.8193,10.8193,10.6464,10.7758,0,0
FAB_PE,D,20080704,000000,10.2607,10.4756,10.2607,10.4756,0,0
FAB_PE,D,20080708,000000,10.1327,10.1327,9.5301,10.0879,0,0
FAB_PE,D,20080709,000000,10.0459,10.0459,9.61685,10.0459,0,0
FAB_PE,D,20080710,000000,10.0879,10.0879,10.0459,10.0459,0,0
FAB_PE,D,20080711,000000,10.3041,10.3461,10.3041,10.3461,0,0
FAB_PE,D,20080714,000000,10.3461,10.3461,10.3461,10.3461,0,0
FAB_PE,D,20080715,000000,9.5301,10.6038,9.5301,10.6038,0,0
FAB_PE,D,20080716,000000,10.6038,10.6038,9.5301,10.0459,0,0
FAB_PE,D,20080717,000000,10.0459,10.0459,9.01498,9.91712,0,0
FAB_PE,D,20080721,000000,9.74568,9.74568,9.74568,9.74568,0,0
FAB_PE,D,20080722,000000,9.83171,9.83171,9.83171,9.83171,0,0
