<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRO_PB,D,20100414,000000,1.3254,1.3254,1.3254,1.3254,0,0
FRO_PB,D,20100415,000000,1.36098,1.36618,1.3254,1.3254,0,0
FRO_PB,D,20100416,000000,1.36098,1.36098,1.31006,1.34565,0,0
FRO_PB,D,20100419,000000,1.31006,1.31006,1.22858,1.31006,0,0
FRO_PB,D,20100420,000000,1.35076,1.35578,1.27949,1.34072,0,0
FRO_PB,D,20100421,000000,1.27949,1.34072,1.27949,1.34072,0,0
FRO_PB,D,20100422,000000,1.33041,1.33041,1.33041,1.33041,0,0
FRO_PB,D,20100423,000000,1.27949,1.31509,1.27949,1.28452,0,0
FRO_PB,D,20100426,000000,1.33041,1.35578,1.33041,1.33041,0,0
FRO_PB,D,20100427,000000,1.31006,1.31006,1.28962,1.28962,0,0
FRO_PB,D,20100428,000000,1.27949,1.27949,1.26918,1.27949,0,0
FRO_PB,D,20100429,000000,1.34072,1.35578,1.28962,1.28962,0,0
FRO_PB,D,20100430,000000,1.26918,1.7077,1.26918,1.7077,0,0
FRO_PB,D,20100505,000000,1.32028,1.32028,1.26417,1.26417,0,0
FRO_PB,D,20100507,000000,1.25404,1.26417,1.25404,1.25404,0,0
FRO_PB,D,20100510,000000,1.2743,1.2743,1.2743,1.2743,0,0
FRO_PB,D,20100511,000000,1.2743,1.2743,1.23862,1.23862,0,0
FRO_PB,D,20100512,000000,1.28452,1.28452,1.2743,1.2743,0,0
FRO_PB,D,20100513,000000,1.28452,1.28452,1.28452,1.28452,0,0
FRO_PB,D,20100514,000000,1.2743,1.31006,1.2743,1.31006,0,0
FRO_PB,D,20100517,000000,1.31006,1.31006,1.31006,1.31006,0,0
FRO_PB,D,20100518,000000,1.31006,1.31006,1.31006,1.31006,0,0
FRO_PB,D,20100520,000000,1.30504,1.30504,1.22339,1.2337,0,0
FRO_PB,D,20100525,000000,1.11636,1.33041,1.11636,1.33041,0,0
FRO_PB,D,20100526,000000,1.27949,1.31509,1.27949,1.31509,0,0
FRO_PB,D,20100527,000000,1.32028,1.33552,1.32028,1.33552,0,0
FRO_PB,D,20100528,000000,1.33552,1.34072,1.29985,1.34072,0,0
FRO_PB,D,20100531,000000,1.31509,1.33552,1.31509,1.33552,0,0
FRO_PB,D,20100601,000000,1.33552,1.33552,1.28962,1.30504,0,0
FRO_PB,D,20100604,000000,1.29473,1.30504,1.28962,1.30504,0,0
FRO_PB,D,20100607,000000,1.28962,1.28962,1.28962,1.28962,0,0
FRO_PB,D,20100608,000000,1.25906,1.28962,1.25906,1.28962,0,0
FRO_PB,D,20100609,000000,1.28962,1.28962,1.28962,1.28962,0,0
FRO_PB,D,20100610,000000,1.26918,1.26918,1.26918,1.26918,0,0
FRO_PB,D,20100611,000000,1.30504,1.30504,1.27949,1.27949,0,0
FRO_PB,D,20100614,000000,1.27949,1.27949,1.27949,1.27949,0,0
FRO_PB,D,20100615,000000,1.24902,1.24902,1.24902,1.24902,0,0
FRO_PB,D,20100616,000000,1.24902,1.27949,1.24902,1.27949,0,0
FRO_PB,D,20100617,000000,1.24902,1.25906,1.22339,1.22339,0,0
FRO_PB,D,20100618,000000,1.22339,1.2337,1.22339,1.2337,0,0
FRO_PB,D,20100621,000000,1.22339,1.22339,1.22339,1.22339,0,0
FRO_PB,D,20100623,000000,1.15723,1.24373,1.15723,1.19792,0,0
FRO_PB,D,20100624,000000,1.18771,1.18771,1.18771,1.18771,0,0
FRO_PB,D,20100625,000000,1.2743,1.27949,1.2743,1.2743,0,0
FRO_PB,D,20100628,000000,1.27949,1.31006,1.2337,1.29985,0,0
FRO_PB,D,20100629,000000,1.31509,1.34565,1.28962,1.28962,0,0
FRO_PB,D,20100630,000000,1.25404,1.30504,1.25404,1.30504,0,0
FRO_PB,D,20100701,000000,1.30504,1.30504,1.25404,1.30504,0,0
FRO_PB,D,20100702,000000,1.30504,1.30504,1.30504,1.30504,0,0
FRO_PB,D,20100705,000000,1.30504,1.33552,1.30504,1.33552,0,0
FRO_PB,D,20100706,000000,1.33041,1.35076,1.25906,1.35076,0,0
FRO_PB,D,20100707,000000,1.35076,1.38653,1.32028,1.34565,0,0
