<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRO_PE,D,20100414,000000,6.01464,6.01464,6.01464,6.01464,0,0
FRO_PE,D,20100415,000000,6.16793,6.21892,6.01464,6.01464,0,0
FRO_PE,D,20100416,000000,6.16793,6.16793,5.91335,6.11692,0,0
FRO_PE,D,20100419,000000,5.96364,5.96364,5.55632,5.96364,0,0
FRO_PE,D,20100420,000000,6.16793,6.16793,5.81116,6.11692,0,0
FRO_PE,D,20100421,000000,5.86261,6.11692,5.86261,6.11692,0,0
FRO_PE,D,20100422,000000,6.0661,6.0661,6.0661,6.0661,0,0
FRO_PE,D,20100423,000000,5.81116,6.01464,5.81116,5.86261,0,0
FRO_PE,D,20100426,000000,6.0661,6.21892,6.0661,6.0661,0,0
FRO_PE,D,20100427,000000,5.86261,5.86261,5.76015,5.76015,0,0
FRO_PE,D,20100428,000000,5.70924,5.81116,5.65797,5.81116,0,0
FRO_PE,D,20100429,000000,6.11692,6.16793,5.86261,5.86261,0,0
FRO_PE,D,20100430,000000,5.76015,7.54414,5.76015,7.54414,0,0
FRO_PE,D,20100505,000000,5.60705,5.60705,5.35249,5.35249,0,0
FRO_PE,D,20100507,000000,5.30157,5.35249,5.30157,5.30157,0,0
FRO_PE,D,20100510,000000,5.40331,5.40331,5.40331,5.40331,0,0
FRO_PE,D,20100511,000000,5.40331,5.40331,5.25003,5.25003,0,0
FRO_PE,D,20100512,000000,5.45404,5.45404,5.40331,5.40331,0,0
FRO_PE,D,20100513,000000,5.45404,5.45404,5.40331,5.40331,0,0
FRO_PE,D,20100514,000000,5.35249,5.55632,5.35249,5.55632,0,0
FRO_PE,D,20100517,000000,5.55632,5.55632,5.55632,5.55632,0,0
FRO_PE,D,20100518,000000,5.55632,5.55632,5.55632,5.55632,0,0
FRO_PE,D,20100520,000000,5.55632,5.55632,4.79161,4.79161,0,0
FRO_PE,D,20100525,000000,4.33284,5.14847,4.33284,5.14847,0,0
FRO_PE,D,20100526,000000,4.94454,5.14847,4.94454,5.14847,0,0
FRO_PE,D,20100527,000000,5.14847,5.1992,5.14847,5.1992,0,0
FRO_PE,D,20100528,000000,5.1992,5.25003,5.04646,5.1992,0,0
FRO_PE,D,20100531,000000,5.09756,5.1992,5.09756,5.1992,0,0
FRO_PE,D,20100601,000000,5.1992,5.1992,4.99545,5.09756,0,0
FRO_PE,D,20100604,000000,5.04646,5.09756,5.04646,5.09756,0,0
FRO_PE,D,20100607,000000,5.04646,5.04646,5.04646,5.04646,0,0
FRO_PE,D,20100608,000000,4.94454,5.04646,4.94454,5.04646,0,0
FRO_PE,D,20100609,000000,5.04646,5.04646,5.04646,5.04646,0,0
FRO_PE,D,20100610,000000,4.94454,4.94454,4.94454,4.94454,0,0
