<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOP_PB,D,20200417,000000,23.8864,23.8864,23.8864,23.8864,0,0
GOP_PB,D,20200420,000000,26.4913,26.4913,22.9164,25.7822,0,0
GOP_PB,D,20200421,000000,26.0515,26.0515,24.129,24.6951,0,0
GOP_PB,D,20200422,000000,23.8864,23.8864,23.0962,23.3388,0,0
GOP_PB,D,20200423,000000,24.1022,26.5098,23.3388,23.3388,0,0
GOP_PB,D,20200424,000000,22.2516,22.5476,19.8708,22.5476,0,0
GOP_PB,D,20200427,000000,22.6112,23.5186,21.928,22.2064,0,0
GOP_PB,D,20200428,000000,22.2064,22.2064,20.7874,22.153,0,0
GOP_PB,D,20200429,000000,22.153,22.153,21.0658,21.1829,0,0
GOP_PB,D,20200430,000000,21.1829,21.1829,19.8892,20.7606,0,0
GOP_PB,D,20200504,000000,21.6947,22.7818,21.6412,22.7818,0,0
GOP_PB,D,20200505,000000,23.9132,23.9132,22.6647,23.1765,0,0
GOP_PB,D,20200506,000000,23.2308,23.2308,17.3738,17.3738,0,0
GOP_PB,D,20200507,000000,17.8856,17.8856,17.1046,17.1046,0,0
GOP_PB,D,20200508,000000,17.1046,17.3913,16.6371,16.9515,0,0
GOP_PB,D,20200511,000000,17.0861,17.0861,16.4121,16.673,0,0
GOP_PB,D,20200512,000000,16.7984,16.7984,16.1428,16.3678,0,0
GOP_PB,D,20200513,000000,16.4757,16.4757,15.8284,16.4121,0,0
GOP_PB,D,20200514,000000,16.6279,16.6279,15.7389,15.963,0,0
GOP_PB,D,20200515,000000,15.963,16.4932,15.7833,16.3853,0,0
GOP_PB,D,20200518,000000,16.4572,16.4572,16.0082,16.4038,0,0
GOP_PB,D,20200519,000000,16.2332,16.4121,16.188,16.2332,0,0
GOP_PB,D,20200520,000000,16.188,17.4365,16.188,17.4006,0,0
GOP_PB,D,20200521,000000,17.4006,17.4006,16.7716,17.005,0,0
GOP_PB,D,20200522,000000,16.8436,16.8436,16.3227,16.5476,0,0
GOP_PB,D,20200525,000000,16.2332,16.2332,15.963,16.1612,0,0
GOP_PB,D,20200526,000000,16.188,16.4932,16.0082,16.3227,0,0
GOP_PB,D,20200527,000000,16.4038,16.4038,16.0534,16.0534,0,0
GOP_PB,D,20200528,000000,16.188,16.3678,16.0257,16.3678,0,0
GOP_PB,D,20200529,000000,16.3678,16.8621,16.0534,16.3401,0,0
GOP_PB,D,20200601,000000,16.188,16.3678,15.4781,15.4781,0,0
GOP_PB,D,20200602,000000,15.6044,15.6044,15.3166,15.3434,0,0
GOP_PB,D,20200603,000000,15.3434,15.9004,15.2623,15.4328,0,0
GOP_PB,D,20200604,000000,15.4328,15.6044,15.1728,15.218,0,0
GOP_PB,D,20200605,000000,15.2355,15.5592,15.1276,15.4781,0,0
GOP_PB,D,20200608,000000,15.5592,15.5592,14.9211,15.4328,0,0
GOP_PB,D,20200609,000000,15.5592,15.7297,15.218,15.4781,0,0
GOP_PB,D,20200610,000000,15.5592,15.8017,15.3074,15.6486,0,0
GOP_PB,D,20200612,000000,14.9395,15.6486,14.9395,15.6486,0,0
GOP_PB,D,20200615,000000,15.6486,15.6486,15.218,15.3434,0,0
GOP_PB,D,20200616,000000,15.4781,15.6486,15.3074,15.6044,0,0
GOP_PB,D,20200617,000000,15.5767,15.5767,15.3702,15.5499,0,0
GOP_PB,D,20200618,000000,15.6486,19.1341,15.6486,19.1341,0,0
GOP_PB,D,20200619,000000,19.3323,19.8173,18.4876,19.3406,0,0
GOP_PB,D,20200622,000000,19.3406,19.3406,17.8856,18.1106,0,0
GOP_PB,D,20200623,000000,18.1189,18.6583,17.7509,18.0561,0,0
GOP_PB,D,20200624,000000,18.4425,18.4425,17.6256,18.236,0,0
GOP_PB,D,20200625,000000,18.4425,18.4425,17.643,18.0119,0,0
GOP_PB,D,20200626,000000,18.0294,18.0294,17.5352,17.5352,0,0
GOP_PB,D,20200629,000000,17.5352,17.5352,16.6822,16.7265,0,0
GOP_PB,D,20200630,000000,16.7265,17.4006,16.7265,16.7716,0,0
GOP_PB,D,20200701,000000,17.194,17.194,16.7716,16.9247,0,0
