<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOP_PE,D,20200417,000000,46.8029,46.8029,46.8029,46.8029,0,0
GOP_PE,D,20200420,000000,52.0136,52.0136,45.0067,50.4857,0,0
GOP_PE,D,20200421,000000,51.0251,51.0251,47.2519,48.4202,0,0
GOP_PE,D,20200422,000000,46.8029,46.8029,45.2759,45.725,0,0
GOP_PE,D,20200423,000000,47.2519,51.9232,45.725,45.725,0,0
GOP_PE,D,20200424,000000,43.5691,44.198,38.8979,44.198,0,0
GOP_PE,D,20200427,000000,44.2874,46.0846,42.9403,43.4788,0,0
GOP_PE,D,20200428,000000,43.4788,43.4788,40.6941,43.3893,0,0
GOP_PE,D,20200429,000000,43.3893,43.3893,41.2335,41.5028,0,0
GOP_PE,D,20200430,000000,41.5028,41.5028,38.9873,40.6941,0,0
GOP_PE,D,20200504,000000,42.5807,44.647,42.4009,44.647,0,0
GOP_PE,D,20200505,000000,46.8924,46.8924,44.4673,45.3653,0,0
GOP_PE,D,20200506,000000,45.4558,45.4558,43.0297,43.9279,0,0
GOP_PE,D,20200507,000000,45.1856,45.1856,43.2096,43.2096,0,0
GOP_PE,D,20200508,000000,43.2096,43.9279,42.0422,42.8499,0,0
GOP_PE,D,20200511,000000,43.2096,43.2096,41.5028,42.1316,0,0
GOP_PE,D,20200512,000000,42.4913,42.4913,40.7845,41.3229,0,0
GOP_PE,D,20200513,000000,41.5922,41.5922,39.9758,41.5028,0,0
GOP_PE,D,20200514,000000,42.0422,42.0422,39.796,40.3345,0,0
GOP_PE,D,20200515,000000,40.3345,41.6826,39.8855,41.4133,0,0
GOP_PE,D,20200518,000000,41.5922,41.5922,40.4249,41.4133,0,0
GOP_PE,D,20200519,000000,40.9634,41.4133,40.8739,40.9634,0,0
GOP_PE,D,20200520,000000,40.8739,44.0182,40.8739,43.9279,0,0
GOP_PE,D,20200521,000000,43.9279,43.9279,42.3114,42.9403,0,0
GOP_PE,D,20200522,000000,42.5807,42.5807,41.2335,41.772,0,0
GOP_PE,D,20200525,000000,40.9634,40.9634,40.3345,40.8739,0,0
GOP_PE,D,20200526,000000,40.9634,41.6826,40.5143,41.2335,0,0
GOP_PE,D,20200527,000000,41.4133,41.4133,40.5143,40.5143,0,0
GOP_PE,D,20200528,000000,40.8739,41.3229,40.4249,41.3229,0,0
GOP_PE,D,20200529,000000,41.3229,42.5807,40.5143,41.3229,0,0
GOP_PE,D,20200601,000000,40.9634,46.7135,40.5143,46.7135,0,0
GOP_PE,D,20200602,000000,47.0721,47.0721,46.2635,46.3538,0,0
GOP_PE,D,20200603,000000,46.3538,48.0606,46.0846,46.623,0,0
GOP_PE,D,20200604,000000,46.623,47.1624,45.8144,45.9942,0,0
GOP_PE,D,20200605,000000,46.0846,46.9827,45.725,46.7135,0,0
GOP_PE,D,20200608,000000,46.9827,46.9827,45.0067,46.623,0,0
GOP_PE,D,20200609,000000,46.9827,47.5212,45.9942,46.7135,0,0
GOP_PE,D,20200610,000000,46.9827,47.701,46.1741,47.2519,0,0
GOP_PE,D,20200612,000000,45.0961,47.2519,45.0961,47.2519,0,0
GOP_PE,D,20200615,000000,47.2519,47.2519,45.9942,46.3538,0,0
GOP_PE,D,20200616,000000,46.7135,47.2519,46.2635,47.1624,0,0
GOP_PE,D,20200617,000000,47.0721,47.0721,46.4433,46.9827,0,0
GOP_PE,D,20200618,000000,47.2519,57.7627,47.2519,57.7627,0,0
GOP_PE,D,20200619,000000,58.3915,59.8291,55.8761,58.3915,0,0
GOP_PE,D,20200622,000000,58.3915,58.3915,53.9896,54.7079,0,0
GOP_PE,D,20200623,000000,54.7079,56.3252,53.6299,54.529,0,0
GOP_PE,D,20200624,000000,55.6964,55.6964,53.2713,55.0675,0,0
GOP_PE,D,20200625,000000,55.6964,55.6964,53.2713,54.4386,0,0
GOP_PE,D,20200626,000000,54.529,54.529,53.0011,53.0011,0,0
GOP_PE,D,20200629,000000,53.0011,53.0011,50.3962,50.4857,0,0
GOP_PE,D,20200630,000000,50.4857,52.552,50.4857,50.6655,0,0
GOP_PE,D,20200701,000000,51.9232,51.9232,50.6655,51.1145,0,0
GOP_PE,D,20200702,000000,51.1145,54.2588,50.6655,53.4502,0,0
GOP_PE,D,20200703,000000,53.4502,57.4935,53.4502,56.505,0,0
GOP_PE,D,20200706,000000,56.505,59.6492,55.9656,59.5589,0,0
GOP_PE,D,20200707,000000,59.2897,60.1878,57.1338,57.6724,0,0
GOP_PE,D,20200708,000000,57.6724,57.6724,55.9656,55.9656,0,0
GOP_PE,D,20200709,000000,56.2358,57.0435,54.7079,55.7858,0,0
GOP_PE,D,20200710,000000,56.9541,56.9541,52.8213,54.4386,0,0
GOP_PE,D,20200713,000000,53.3607,55.2473,53.3607,53.9001,0,0
GOP_PE,D,20200714,000000,54.529,54.529,51.8337,52.552,0,0
GOP_PE,D,20200715,000000,51.9232,52.8213,51.2943,51.8337,0,0
GOP_PE,D,20200716,000000,51.8337,51.8337,50.6655,51.3847,0,0
GOP_PE,D,20200717,000000,51.2943,51.2943,48.7789,50.1269,0,0
GOP_PE,D,20200720,000000,48.6,48.6,47.1624,47.7913,0,0
GOP_PE,D,20200721,000000,47.5212,47.5212,45.4558,47.3423,0,0
GOP_PE,D,20200722,000000,47.3423,51.9232,47.0721,49.9472,0,0
GOP_PE,D,20200723,000000,49.9472,49.9472,46.9827,48.5096,0,0
GOP_PE,D,20200724,000000,47.3423,47.9712,46.7135,46.7135,0,0
GOP_PE,D,20200727,000000,46.9827,47.2519,46.1741,46.7135,0,0
GOP_PE,D,20200728,000000,46.4433,46.7135,45.8144,46.0846,0,0
GOP_PE,D,20200729,000000,46.7135,49.3183,46.7135,48.3298,0,0
GOP_PE,D,20200730,000000,48.8692,48.8692,45.9942,46.5336,0,0
GOP_PE,D,20200731,000000,46.1741,47.9712,45.6355,45.6355,0,0
GOP_PE,D,20200803,000000,47.9712,47.9712,45.5451,46.4433,0,0
GOP_PE,D,20200804,000000,46.4433,46.7135,45.5451,46.7135,0,0
GOP_PE,D,20200805,000000,47.1624,47.1624,46.0846,46.2635,0,0
GOP_PE,D,20200806,000000,46.3538,48.3298,46.2635,48.0606,0,0
GOP_PE,D,20200807,000000,48.0606,48.0606,46.3538,46.7135,0,0
GOP_PE,D,20200810,000000,46.3538,47.8807,46.2635,46.7135,0,0
GOP_PE,D,20200811,000000,46.7135,47.3423,46.623,46.623,0,0
GOP_PE,D,20200812,000000,46.7135,46.9827,45.8144,45.9047,0,0
GOP_PE,D,20200813,000000,45.9047,46.7135,45.9047,45.9942,0,0
GOP_PE,D,20200814,000000,45.8144,46.9827,45.8144,45.9942,0,0
GOP_PE,D,20200817,000000,46.8029,48.9587,46.8029,48.0606,0,0
GOP_PE,D,20200818,000000,48.6895,48.6895,46.8029,47.1624,0,0
GOP_PE,D,20200819,000000,46.8029,48.4202,46.3538,47.4318,0,0
GOP_PE,D,20200820,000000,48.0606,48.2404,46.2635,48.0606,0,0
GOP_PE,D,20200821,000000,48.0606,50.6655,46.8924,50.6655,0,0
GOP_PE,D,20200824,000000,51.0251,53.1809,48.0606,51.5645,0,0
GOP_PE,D,20200825,000000,52.1924,52.1924,49.3183,49.4981,0,0
GOP_PE,D,20200826,000000,49.3183,50.2164,48.7789,49.9472,0,0
GOP_PE,D,20200827,000000,50.0366,50.4857,49.3183,49.4981,0,0
GOP_PE,D,20200828,000000,51.9232,52.1924,50.6655,51.8337,0,0
GOP_PE,D,20200831,000000,54.529,54.529,50.3962,51.8337,0,0
GOP_PE,D,20200901,000000,51.8337,51.8337,48.9587,49.6779,0,0
GOP_PE,D,20200902,000000,49.9472,50.3068,48.0606,48.9587,0,0
GOP_PE,D,20200903,000000,50.2164,50.2164,47.9712,48.0606,0,0
GOP_PE,D,20200904,000000,47.9712,48.6895,46.8924,48.0606,0,0
GOP_PE,D,20200907,000000,48.6895,48.6895,47.0721,47.9712,0,0
GOP_PE,D,20200908,000000,47.7913,47.7913,45.5451,46.7135,0,0
GOP_PE,D,20200909,000000,46.1741,47.5212,46.1741,47.5212,0,0
GOP_PE,D,20200910,000000,47.8807,47.8807,46.7135,47.6115,0,0
GOP_PE,D,20200911,000000,47.6115,47.6115,46.7135,47.3423,0,0
GOP_PE,D,20200914,000000,47.3423,47.3423,46.3538,46.9827,0,0
GOP_PE,D,20200915,000000,47.3423,47.3423,46.1741,47.2519,0,0
GOP_PE,D,20200916,000000,47.3423,47.3423,46.8029,47.3423,0,0
GOP_PE,D,20200917,000000,47.3423,47.3423,46.0846,46.3538,0,0
GOP_PE,D,20200918,000000,47.3423,47.3423,45.9942,46.0846,0,0
GOP_PE,D,20200921,000000,46.2635,46.9827,45.725,45.725,0,0
GOP_PE,D,20200922,000000,46.623,46.623,45.0067,45.9942,0,0
GOP_PE,D,20200923,000000,45.5451,45.9942,44.2874,45.4558,0,0
GOP_PE,D,20200924,000000,45.4558,45.4558,43.8384,43.8384,0,0
GOP_PE,D,20200925,000000,42.8499,44.1076,41.8624,42.4913,0,0
GOP_PE,D,20200928,000000,42.8499,42.8499,41.5028,42.671,0,0
GOP_PE,D,20200929,000000,42.671,45.0067,42.671,44.1076,0,0
GOP_PE,D,20200930,000000,45.3653,47.2519,44.1076,46.0846,0,0
GOP_PE,D,20201001,000000,45.8144,45.8144,41.2335,41.6826,0,0
GOP_PE,D,20201002,000000,41.2335,44.4673,39.4364,44.4673,0,0
GOP_PE,D,20201005,000000,43.4788,46.8029,43.4788,46.1741,0,0
GOP_PE,D,20201006,000000,46.623,47.4318,44.647,46.8029,0,0
GOP_PE,D,20201007,000000,44.9163,47.5212,44.9163,46.0846,0,0
GOP_PE,D,20201008,000000,45.2759,46.0846,44.647,46.0846,0,0
GOP_PE,D,20201009,000000,46.3538,46.3538,44.198,44.647,0,0
GOP_PE,D,20201012,000000,44.647,44.647,43.3893,43.9279,0,0
GOP_PE,D,20201013,000000,43.9279,44.1076,40.3345,40.6046,0,0
GOP_PE,D,20201014,000000,41.5922,41.5922,40.0652,40.0652,0,0
GOP_PE,D,20201015,000000,40.1556,40.1556,36.5623,37.4604,0,0
GOP_PE,D,20201016,000000,36.2921,39.6162,36.2027,38.0892,0,0
GOP_PE,D,20201019,000000,39.6162,39.6162,37.0113,37.9989,0,0
GOP_PE,D,20201020,000000,37.4604,37.5498,36.7421,37.1007,0,0
GOP_PE,D,20201021,000000,37.9989,37.9989,36.0228,37.4604,0,0
GOP_PE,D,20201022,000000,36.921,37.1912,36.2027,36.7421,0,0
GOP_PE,D,20201023,000000,36.6518,36.6518,35.2142,36.6518,0,0
GOP_PE,D,20201026,000000,37.4604,37.4604,35.2142,35.6633,0,0
GOP_PE,D,20201027,000000,35.7536,35.843,35.1247,35.7536,0,0
GOP_PE,D,20201028,000000,35.1247,35.1247,31.9805,31.9805,0,0
GOP_PE,D,20201029,000000,31.8006,31.8006,28.6564,31.2622,0,0
GOP_PE,D,20201030,000000,31.3516,31.3516,28.9266,29.1958,0,0
GOP_PE,D,20201102,000000,29.1958,32.0699,28.9266,31.8006,0,0
GOP_PE,D,20201103,000000,32.2497,32.34,30.4535,31.6209,0,0
GOP_PE,D,20201104,000000,31.6209,32.8786,31.2622,31.7112,0,0
GOP_PE,D,20201105,000000,30.7228,32.969,30.7228,32.969,0,0
GOP_PE,D,20201106,000000,32.969,32.969,31.7112,32.4295,0,0
GOP_PE,D,20201109,000000,32.4295,32.4295,30.5429,30.9026,0,0
GOP_PE,D,20201110,000000,30.992,31.8006,30.3631,31.8006,0,0
GOP_PE,D,20201112,000000,31.8006,41.772,30.992,40.6046,0,0
GOP_PE,D,20201113,000000,41.772,41.772,36.5623,39.2566,0,0
GOP_PE,D,20201116,000000,39.2566,39.2566,36.6518,36.8315,0,0
GOP_PE,D,20201117,000000,37.7296,38.0892,35.9335,37.4604,0,0
GOP_PE,D,20201118,000000,37.6401,37.6401,35.5738,37.1007,0,0
GOP_PE,D,20201119,000000,37.1007,37.4604,35.7536,37.4604,0,0
GOP_PE,D,20201120,000000,37.4604,37.4604,35.843,37.1007,0,0
GOP_PE,D,20201123,000000,37.0113,39.0777,35.843,39.0777,0,0
GOP_PE,D,20201124,000000,39.0777,39.0777,37.3701,38.8075,0,0
GOP_PE,D,20201125,000000,37.4604,38.8075,37.0113,37.82,0,0
GOP_PE,D,20201126,000000,37.82,37.82,36.2921,37.4604,0,0
GOP_PE,D,20201127,000000,37.4604,38.7181,36.2921,37.2806,0,0
GOP_PE,D,20201130,000000,36.7421,50.7558,33.5074,50.7558,0,0
GOP_PE,D,20201201,000000,49.6779,51.3847,49.2279,49.6779,0,0
GOP_PE,D,20201202,000000,50.3068,50.3068,47.8807,49.2279,0,0
GOP_PE,D,20201203,000000,50.9356,50.9356,47.9712,48.0606,0,0
GOP_PE,D,20201204,000000,49.3183,49.3183,48.8692,48.8692,0,0
GOP_PE,D,20201207,000000,48.8692,50.3068,48.2404,49.2279,0,0
GOP_PE,D,20201208,000000,50.1269,50.3068,48.8692,49.4078,0,0
GOP_PE,D,20201209,000000,50.1269,50.9356,49.3183,50.1269,0,0
GOP_PE,D,20201210,000000,50.2164,50.2164,45.4558,48.1501,0,0
GOP_PE,D,20201211,000000,48.7789,49.0491,47.2519,49.0491,0,0
GOP_PE,D,20201214,000000,49.0491,49.0491,46.1741,47.4318,0,0
GOP_PE,D,20201215,000000,47.0721,48.1501,45.725,46.7135,0,0
GOP_PE,D,20201216,000000,48.1501,48.1501,46.0846,46.7135,0,0
GOP_PE,D,20201217,000000,46.7135,47.6115,46.2635,47.1624,0,0
GOP_PE,D,20201218,000000,46.0846,47.6115,45.6355,46.2635,0,0
GOP_PE,D,20201221,000000,44.5567,46.1741,44.5567,44.5567,0,0
GOP_PE,D,20201222,000000,44.5567,47.1624,44.5567,45.4558,0,0
GOP_PE,D,20201223,000000,46.2635,46.5336,45.0067,45.1856,0,0
GOP_PE,D,20201228,000000,45.1856,45.1856,43.299,43.3893,0,0
GOP_PE,D,20201229,000000,43.299,47.1624,43.299,43.8384,0,0
GOP_PE,D,20201230,000000,41.8624,45.6355,41.8624,44.3778,0,0
GOP_PE,D,20210104,000000,44.7365,49.2279,44.7365,48.0606,0,0
GOP_PE,D,20210105,000000,50.1269,51.3847,46.7135,48.1501,0,0
GOP_PE,D,20210107,000000,48.8692,51.3847,47.0721,47.7913,0,0
GOP_PE,D,20210108,000000,49.3183,50.3068,47.6115,47.9712,0,0
GOP_PE,D,20210111,000000,49.2279,49.2279,47.3423,47.6115,0,0
GOP_PE,D,20210112,000000,49.1385,49.1385,47.8807,47.8807,0,0
GOP_PE,D,20210113,000000,47.8807,49.1385,47.8807,49.0491,0,0
GOP_PE,D,20210114,000000,49.1385,50.3068,48.5096,49.6779,0,0
GOP_PE,D,20210115,000000,50.2164,50.9356,49.4981,50.7558,0,0
GOP_PE,D,20210118,000000,55.1569,64.2302,55.1569,64.2302,0,0
GOP_PE,D,20210119,000000,65.3081,65.3081,59.1098,59.1098,0,0
GOP_PE,D,20210120,000000,59.5589,61.7147,59.1098,60.1878,0,0
GOP_PE,D,20210121,000000,62.5234,64.0503,60.3675,64.0503,0,0
GOP_PE,D,20210122,000000,64.2302,66.3869,64.0503,66.3869,0,0
GOP_PE,D,20210125,000000,66.3869,68.4524,66.3869,68.3629,0,0
GOP_PE,D,20210126,000000,68.2726,68.2726,63.332,65.2187,0,0
GOP_PE,D,20210127,000000,63.8715,66.2071,59.5589,62.0743,0,0
GOP_PE,D,20210128,000000,60.9964,64.3205,57.0435,63.4224,0,0
GOP_PE,D,20210129,000000,63.332,63.332,60.8166,62.0743,0,0
