<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPP_PE,D,20211209,000000,18.3352,18.3352,18.3352,18.3352,0,0
GPP_PE,D,20211210,000000,17.1252,17.6837,16.1015,17.6837,0,0
GPP_PE,D,20211213,000000,17.6837,17.6837,17.4045,17.6837,0,0
GPP_PE,D,20211214,000000,17.6837,17.7768,17.4045,17.4975,0,0
GPP_PE,D,20211215,000000,17.5907,17.6837,17.4045,17.6837,0,0
GPP_PE,D,20211216,000000,17.7768,17.7768,17.5907,17.7768,0,0
GPP_PE,D,20211217,000000,17.7768,17.7768,17.5907,17.6837,0,0
GPP_PE,D,20211220,000000,17.4975,17.7768,17.4975,17.4975,0,0
GPP_PE,D,20211221,000000,17.4975,17.5907,17.4975,17.4975,0,0
GPP_PE,D,20211222,000000,17.5907,17.7768,17.5907,17.6837,0,0
GPP_PE,D,20211223,000000,17.7768,17.963,17.7768,17.963,0,0
GPP_PE,D,20211227,000000,18.056,18.5213,18.056,18.3352,0,0
GPP_PE,D,20211228,000000,18.4283,18.4283,18.3352,18.3352,0,0
GPP_PE,D,20211229,000000,18.3352,18.8936,18.3352,18.8006,0,0
GPP_PE,D,20211230,000000,18.8936,19.0798,18.8936,18.9867,0,0
GPP_PE,D,20220103,000000,18.9867,19.2659,18.9867,19.1729,0,0
GPP_PE,D,20220104,000000,19.3591,19.9174,19.0798,19.5451,0,0
GPP_PE,D,20220105,000000,19.3591,19.8244,19.3591,19.7313,0,0
GPP_PE,D,20220107,000000,19.7313,19.8244,19.6382,19.6382,0,0
GPP_PE,D,20220110,000000,19.6382,19.8244,19.6382,19.7313,0,0
GPP_PE,D,20220111,000000,19.8244,19.9174,19.6382,19.8244,0,0
GPP_PE,D,20220112,000000,19.8244,20.1967,19.8244,20.1036,0,0
GPP_PE,D,20220113,000000,20.3828,20.3828,20.1036,20.2897,0,0
GPP_PE,D,20220114,000000,20.1967,20.2897,20.1967,20.2897,0,0
GPP_PE,D,20220117,000000,20.3828,20.4759,20.2897,20.4759,0,0
GPP_PE,D,20220118,000000,20.4759,20.8482,20.1967,20.3828,0,0
GPP_PE,D,20220119,000000,20.2897,20.7551,20.1036,20.662,0,0
GPP_PE,D,20220120,000000,20.662,20.662,19.1729,19.3591,0,0
GPP_PE,D,20220121,000000,19.3591,19.8244,19.1729,19.5451,0,0
GPP_PE,D,20220124,000000,19.6382,19.6382,19.2659,19.3591,0,0
GPP_PE,D,20220125,000000,19.1729,19.4521,19.1729,19.3591,0,0
GPP_PE,D,20220126,000000,19.3591,19.3591,19.0798,19.1729,0,0
GPP_PE,D,20220127,000000,18.8936,19.1729,18.8006,18.9867,0,0
GPP_PE,D,20220128,000000,18.9867,19.0798,18.4283,18.5213,0,0
GPP_PE,D,20220131,000000,18.9867,18.9867,18.2421,18.8006,0,0
GPP_PE,D,20220201,000000,18.8936,19.3591,18.8936,19.0798,0,0
GPP_PE,D,20220202,000000,19.1729,19.6382,19.1729,19.6382,0,0
GPP_PE,D,20220203,000000,19.6382,19.7313,19.4521,19.4521,0,0
GPP_PE,D,20220204,000000,19.6382,19.6382,19.4521,19.4521,0,0
GPP_PE,D,20220207,000000,19.0798,19.0798,18.8006,18.8006,0,0
GPP_PE,D,20220208,000000,19.2659,19.3591,19.0798,19.2659,0,0
GPP_PE,D,20220209,000000,19.5451,19.8244,19.2659,19.5451,0,0
GPP_PE,D,20220210,000000,19.8244,19.8244,18.7075,18.8006,0,0
GPP_PE,D,20220211,000000,18.6144,18.9867,18.6144,18.9867,0,0
