<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPW_PE,D,20101109,000000,10.74,10.74,10.74,10.74,0,0
GPW_PE,D,20101110,000000,10.74,10.74,10.3461,10.3461,0,0
GPW_PE,D,20101112,000000,10.1491,10.6416,10.0014,10.6416,0,0
GPW_PE,D,20101115,000000,10.5923,11.3318,10.3953,11.3318,0,0
GPW_PE,D,20101116,000000,11.2817,11.2817,11.0363,11.0363,0,0
GPW_PE,D,20101117,000000,11.0363,11.1832,10.8878,10.8878,0,0
GPW_PE,D,20101118,000000,11.0363,11.1339,10.9862,10.9862,0,0
GPW_PE,D,20101119,000000,11.0847,11.0847,10.9862,11.0363,0,0
GPW_PE,D,20101122,000000,11.0363,11.0847,11.0363,11.0363,0,0
GPW_PE,D,20101123,000000,11.0363,11.0363,10.7884,10.7884,0,0
GPW_PE,D,20101124,000000,10.8878,10.9862,10.7884,10.9862,0,0
GPW_PE,D,20101125,000000,11.0363,11.0363,10.8878,10.9369,0,0
GPW_PE,D,20101126,000000,10.9369,10.9369,10.74,10.8878,0,0
GPW_PE,D,20101129,000000,10.7884,10.7884,10.74,10.74,0,0
GPW_PE,D,20101130,000000,10.6416,10.8878,10.6416,10.8385,0,0
GPW_PE,D,20101201,000000,10.8385,11.1832,10.8385,11.1832,0,0
GPW_PE,D,20101202,000000,11.1832,11.2324,11.0847,11.1832,0,0
GPW_PE,D,20101203,000000,11.1832,11.1832,11.0847,11.0847,0,0
GPW_PE,D,20101206,000000,11.0847,11.0847,10.9369,10.9862,0,0
GPW_PE,D,20101207,000000,10.8878,10.9369,10.8385,10.8878,0,0
GPW_PE,D,20101208,000000,10.8385,10.9862,10.8385,10.9862,0,0
GPW_PE,D,20101209,000000,10.9369,10.9862,10.8878,10.9369,0,0
GPW_PE,D,20101210,000000,10.9369,10.9369,10.8878,10.9369,0,0
GPW_PE,D,20101213,000000,10.9369,11.0847,10.9369,11.0847,0,0
GPW_PE,D,20101214,000000,10.9862,10.9862,10.8878,10.8878,0,0
GPW_PE,D,20101215,000000,10.8385,10.8878,10.8385,10.8878,0,0
GPW_PE,D,20101216,000000,10.8878,10.8878,10.7884,10.8878,0,0
GPW_PE,D,20101217,000000,10.8385,10.8385,10.7884,10.7884,0,0
GPW_PE,D,20101220,000000,10.7884,10.8385,10.74,10.8385,0,0
GPW_PE,D,20101221,000000,10.74,10.8385,10.74,10.7884,0,0
GPW_PE,D,20101222,000000,10.74,10.7884,10.74,10.7884,0,0
GPW_PE,D,20101223,000000,10.7884,10.7884,10.74,10.74,0,0
GPW_PE,D,20101227,000000,10.74,10.74,10.5923,10.5923,0,0
GPW_PE,D,20101228,000000,10.5923,10.5923,10.4929,10.5923,0,0
GPW_PE,D,20101229,000000,10.543,10.74,10.543,10.74,0,0
GPW_PE,D,20101230,000000,10.74,10.74,10.6416,10.6917,0,0
GPW_PE,D,20101231,000000,10.6934,10.74,10.4929,10.5456,0,0
GPW_PE,D,20110103,000000,10.543,10.6416,10.543,10.5923,0,0
GPW_PE,D,20110104,000000,10.5923,10.74,10.5923,10.6917,0,0
GPW_PE,D,20110105,000000,10.6917,10.6917,10.4929,10.6416,0,0
GPW_PE,D,20110107,000000,10.5923,10.5923,10.4437,10.4437,0,0
GPW_PE,D,20110110,000000,10.3953,10.3953,10.0507,10.1491,0,0
GPW_PE,D,20110111,000000,10.0999,10.2969,10.0999,10.2969,0,0
GPW_PE,D,20110112,000000,10.3461,10.5923,10.3461,10.5923,0,0
GPW_PE,D,20110113,000000,10.543,10.5923,10.4437,10.4437,0,0
GPW_PE,D,20110114,000000,10.4437,10.5923,10.4437,10.5923,0,0
GPW_PE,D,20110117,000000,10.543,10.543,10.3461,10.3953,0,0
GPW_PE,D,20110118,000000,10.3953,10.4437,10.2969,10.4437,0,0
