<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTC_PE,D,20070813,000000,10.9387,10.9387,10.9387,10.9387,0,0
GTC_PE,D,20070814,000000,10.8568,10.8568,10.8568,10.8568,0,0
GTC_PE,D,20070816,000000,10.1983,10.1983,10.1983,10.1983,0,0
GTC_PE,D,20070817,000000,10.3639,10.3639,10.3639,10.3639,0,0
GTC_PE,D,20070820,000000,10.1155,10.1155,10.1155,10.1155,0,0
GTC_PE,D,20070821,000000,10.3639,10.3639,10.3639,10.3639,0,0
GTC_PE,D,20070822,000000,10.6922,10.6922,10.6922,10.6922,0,0
GTC_PE,D,20070823,000000,10.8568,10.8568,10.8568,10.8568,0,0
GTC_PE,D,20070824,000000,11.3508,11.3508,11.3508,11.3508,0,0
GTC_PE,D,20070827,000000,11.3508,11.3508,11.3508,11.3508,0,0
GTC_PE,D,20070828,000000,10.6922,10.6922,10.6922,10.6922,0,0
GTC_PE,D,20070829,000000,10.8568,10.8568,10.8568,10.8568,0,0
GTC_PE,D,20070830,000000,11.8438,11.8438,11.8438,11.8438,0,0
GTC_PE,D,20070831,000000,12.3367,12.3367,12.3367,12.3367,0,0
GTC_PE,D,20070903,000000,12.5833,12.5833,12.5833,12.5833,0,0
GTC_PE,D,20070904,000000,12.9125,12.9125,12.9125,12.9125,0,0
GTC_PE,D,20070905,000000,12.7479,12.7479,12.7479,12.7479,0,0
GTC_PE,D,20070906,000000,12.8297,12.8297,12.8297,12.8297,0,0
GTC_PE,D,20070907,000000,12.3367,12.3367,12.3367,12.3367,0,0
GTC_PE,D,20070910,000000,12.3367,12.3367,12.3367,12.3367,0,0
GTC_PE,D,20070911,000000,12.4195,12.4195,12.4195,12.4195,0,0
GTC_PE,D,20070912,000000,12.9944,12.9944,12.9944,12.9944,0,0
GTC_PE,D,20070913,000000,12.9944,12.9944,12.9944,12.9944,0,0
GTC_PE,D,20070914,000000,12.9125,12.9125,12.9125,12.9125,0,0
GTC_PE,D,20070917,000000,12.9125,12.9125,12.9125,12.9125,0,0
GTC_PE,D,20070918,000000,13.3245,13.3245,13.3245,13.3245,0,0
GTC_PE,D,20070919,000000,14.0641,14.0641,14.0641,14.0641,0,0
GTC_PE,D,20070920,000000,14.2287,14.2287,14.2287,14.2287,0,0
GTC_PE,D,20070921,000000,14.558,14.558,14.558,14.558,0,0
GTC_PE,D,20070924,000000,14.3115,14.3115,14.3115,14.3115,0,0
GTC_PE,D,20070925,000000,14.3115,14.3115,14.3115,14.3115,0,0
GTC_PE,D,20070926,000000,13.8176,13.8176,13.8176,13.8176,0,0
GTC_PE,D,20070927,000000,14.2287,14.2287,14.2287,14.2287,0,0
GTC_PE,D,20070928,000000,13.8994,13.8994,13.8994,13.8994,0,0
GTC_PE,D,20071001,000000,14.0641,14.0641,14.0641,14.0641,0,0
GTC_PE,D,20071002,000000,14.6398,14.6398,14.6398,14.6398,0,0
GTC_PE,D,20071003,000000,14.8044,14.8044,14.8044,14.8044,0,0
GTC_PE,D,20071004,000000,14.9682,14.9682,14.9682,14.9682,0,0
GTC_PE,D,20071005,000000,14.8863,14.8863,14.8863,14.8863,0,0
GTC_PE,D,20071008,000000,15.2156,15.2156,15.2156,15.2156,0,0
GTC_PE,D,20071009,000000,15.8733,15.8733,15.8733,15.8733,0,0
GTC_PE,D,20071010,000000,15.9551,15.9551,15.9551,15.9551,0,0
GTC_PE,D,20071011,000000,16.5318,16.5318,16.5318,16.5318,0,0
GTC_PE,D,20071012,000000,15.9551,15.9551,15.9551,15.9551,0,0
GTC_PE,D,20071015,000000,16.2853,16.2853,16.2853,16.2853,0,0
GTC_PE,D,20071016,000000,15.7905,15.7905,15.7905,15.7905,0,0
GTC_PE,D,20071017,000000,15.8733,15.8733,15.8733,15.8733,0,0
GTC_PE,D,20071018,000000,15.4621,15.4621,15.4621,15.4621,0,0
GTC_PE,D,20071019,000000,15.7905,15.7905,15.7905,15.7905,0,0
GTC_PE,D,20071022,000000,15.6267,15.6267,15.6267,15.6267,0,0
GTC_PE,D,20071023,000000,15.9551,15.9551,15.9551,15.9551,0,0
GTC_PE,D,20071024,000000,15.7905,15.7905,15.7905,15.7905,0,0
GTC_PE,D,20071025,000000,15.051,15.051,15.051,15.051,0,0
GTC_PE,D,20071026,000000,14.9682,14.9682,14.9682,14.9682,0,0
GTC_PE,D,20071029,000000,14.8044,14.8044,14.8044,14.8044,0,0
GTC_PE,D,20071030,000000,14.0641,14.0641,14.0641,14.0641,0,0
GTC_PE,D,20071031,000000,15.051,15.051,15.051,15.051,0,0
GTC_PE,D,20071102,000000,14.0641,14.0641,14.0641,14.0641,0,0
GTC_PE,D,20071105,000000,14.6398,14.6398,14.6398,14.6398,0,0
GTC_PE,D,20071106,000000,14.6398,14.6398,14.6398,14.6398,0,0
GTC_PE,D,20071107,000000,14.6398,14.6398,14.6398,14.6398,0,0
GTC_PE,D,20071108,000000,14.3934,14.3934,14.3934,14.3934,0,0
GTC_PE,D,20071109,000000,14.3115,14.3115,13.5711,13.7357,0,0
GTC_PE,D,20071112,000000,13.7357,14.0641,13.7357,13.9822,0,0
GTC_PE,D,20071113,000000,14.1459,14.9682,12.8297,12.8297,0,0
GTC_PE,D,20071114,000000,13.0763,13.159,12.4195,12.5833,0,0
GTC_PE,D,20071115,000000,12.666,12.666,11.8438,11.8438,0,0
GTC_PE,D,20071116,000000,11.9257,12.1721,11.8438,12.1721,0,0
GTC_PE,D,20071119,000000,12.3367,12.3367,11.8438,12.1721,0,0
GTC_PE,D,20071120,000000,12.0893,12.3367,11.8438,12.0893,0,0
GTC_PE,D,20071121,000000,11.9257,12.3367,11.6791,11.6791,0,0
GTC_PE,D,20071122,000000,11.8438,12.3367,11.8438,12.3367,0,0
GTC_PE,D,20071123,000000,12.4195,12.4195,12.0075,12.3367,0,0
GTC_PE,D,20071126,000000,12.4195,12.4195,11.8438,11.8438,0,0
GTC_PE,D,20071127,000000,11.8438,12.0075,11.761,12.0075,0,0
GTC_PE,D,20071128,000000,12.0075,12.0075,11.6791,11.8438,0,0
GTC_PE,D,20071129,000000,12.1721,12.1721,12.0075,12.0893,0,0
GTC_PE,D,20071130,000000,12.0893,12.0893,11.6791,11.6791,0,0
GTC_PE,D,20071203,000000,11.761,11.761,11.3508,11.6791,0,0
GTC_PE,D,20071204,000000,11.5972,11.9257,11.5972,11.8438,0,0
GTC_PE,D,20071205,000000,11.9257,12.0075,11.9257,11.9257,0,0
GTC_PE,D,20071206,000000,11.9257,11.9257,11.761,11.8438,0,0
GTC_PE,D,20071207,000000,11.8438,11.8438,11.6791,11.8438,0,0
GTC_PE,D,20071210,000000,11.8438,12.0075,11.761,12.0075,0,0
GTC_PE,D,20071211,000000,12.0075,12.0075,11.5972,11.5972,0,0
GTC_PE,D,20071212,000000,11.5972,11.8438,11.3508,11.5145,0,0
GTC_PE,D,20071213,000000,11.5145,11.5972,11.4327,11.5145,0,0
GTC_PE,D,20071214,000000,11.4327,11.4327,11.0206,11.0206,0,0
GTC_PE,D,20071217,000000,10.9387,10.9387,10.6922,10.8568,0,0
GTC_PE,D,20071218,000000,10.6922,10.7741,10.1983,10.4457,0,0
GTC_PE,D,20071219,000000,10.3639,10.3639,10.1155,10.1983,0,0
GTC_PE,D,20071220,000000,10.1983,10.6104,10.1983,10.6104,0,0
GTC_PE,D,20071221,000000,10.7741,10.9387,10.6922,10.8568,0,0
GTC_PE,D,20071227,000000,10.6922,11.1034,10.6922,10.8568,0,0
GTC_PE,D,20071228,000000,11.1034,11.268,10.7741,11.1852,0,0
GTC_PE,D,20080102,000000,11.0206,11.1852,10.8568,11.1852,0,0
GTC_PE,D,20080103,000000,10.8568,10.9387,10.7741,10.7741,0,0
GTC_PE,D,20080104,000000,10.7741,10.8568,10.3639,10.6104,0,0
GTC_PE,D,20080107,000000,10.5285,10.5285,10.2811,10.4457,0,0
GTC_PE,D,20080108,000000,10.4457,10.8568,10.2811,10.7741,0,0
GTC_PE,D,20080109,000000,10.4457,10.5285,10.1155,10.2811,0,0
GTC_PE,D,20080110,000000,10.5285,10.7741,10.1155,10.5285,0,0
GTC_PE,D,20080111,000000,10.2811,10.6104,10.0337,10.0337,0,0
GTC_PE,D,20080114,000000,9.78716,9.78716,9.78716,9.78716,0,0
GTC_PE,D,20080115,000000,9.78716,9.86905,9.12863,9.29419,0,0
GTC_PE,D,20080116,000000,8.55369,9.12863,8.55369,8.88214,0,0
GTC_PE,D,20080117,000000,9.2114,9.2114,8.63564,9.04677,0,0
GTC_PE,D,20080118,000000,8.96491,9.37604,8.96491,9.12863,0,0
GTC_PE,D,20080121,000000,8.63564,8.80027,8.47182,8.55369,0,0
GTC_PE,D,20080122,000000,8.1421,8.55369,8.1421,8.55369,0,0
GTC_PE,D,20080123,000000,8.80027,8.80027,8.47182,8.71841,0,0
GTC_PE,D,20080124,000000,9.29419,9.29419,8.88214,8.88214,0,0
GTC_PE,D,20080125,000000,9.04677,9.04677,8.71841,8.88214,0,0
GTC_PE,D,20080128,000000,8.80027,8.80027,8.63564,8.71841,0,0
GTC_PE,D,20080129,000000,8.80027,9.2114,8.80027,9.12863,0,0
GTC_PE,D,20080130,000000,9.12863,9.29419,8.96491,8.96491,0,0
GTC_PE,D,20080131,000000,9.04677,9.12863,8.88214,9.04677,0,0
GTC_PE,D,20080201,000000,9.2114,9.78716,9.2114,9.78716,0,0
GTC_PE,D,20080204,000000,9.95094,9.95094,9.62251,9.78716,0,0
GTC_PE,D,20080205,000000,9.7044,9.7044,9.04677,9.2114,0,0
GTC_PE,D,20080206,000000,9.12863,9.37604,8.96491,9.37604,0,0
GTC_PE,D,20080207,000000,9.29419,9.37604,8.96491,9.29419,0,0
GTC_PE,D,20080208,000000,9.37604,9.45883,9.2114,9.45883,0,0
GTC_PE,D,20080211,000000,9.45883,9.62251,9.45883,9.45883,0,0
GTC_PE,D,20080212,000000,9.7044,9.7044,9.29419,9.7044,0,0
GTC_PE,D,20080213,000000,9.54068,9.7044,9.54068,9.7044,0,0
GTC_PE,D,20080214,000000,9.86905,9.86905,9.37604,9.54068,0,0
GTC_PE,D,20080215,000000,9.45883,9.45883,9.04677,9.12863,0,0
GTC_PE,D,20080218,000000,9.12863,9.45883,9.12863,9.45883,0,0
GTC_PE,D,20080219,000000,9.37604,9.37604,9.2114,9.2114,0,0
GTC_PE,D,20080220,000000,9.04677,9.12863,8.96491,9.12863,0,0
GTC_PE,D,20080221,000000,9.2114,9.37604,9.12863,9.2114,0,0
GTC_PE,D,20080222,000000,9.2114,9.45883,9.12863,9.37604,0,0
GTC_PE,D,20080225,000000,9.45883,9.45883,9.12863,9.2114,0,0
GTC_PE,D,20080226,000000,9.29419,9.45883,8.96491,9.12863,0,0
GTC_PE,D,20080227,000000,8.96491,9.12863,8.96491,9.12863,0,0
GTC_PE,D,20080228,000000,9.2114,9.2114,8.88214,8.88214,0,0
GTC_PE,D,20080229,000000,8.96491,8.96491,7.15537,7.15537,0,0
GTC_PE,D,20080303,000000,6.99101,7.07315,6.90879,7.07315,0,0
GTC_PE,D,20080304,000000,7.07315,7.07315,6.74415,6.82638,0,0
GTC_PE,D,20080305,000000,6.82638,7.07315,6.82638,7.07315,0,0
GTC_PE,D,20080306,000000,7.07315,7.07315,6.74415,6.82638,0,0
GTC_PE,D,20080307,000000,6.66192,6.99101,6.66192,6.90879,0,0
GTC_PE,D,20080310,000000,6.82638,6.99101,6.74415,6.74415,0,0
GTC_PE,D,20080311,000000,6.74415,6.99101,6.74415,6.99101,0,0
GTC_PE,D,20080312,000000,7.07315,7.40214,6.99101,7.23769,0,0
GTC_PE,D,20080313,000000,6.90879,7.23769,6.90879,7.23769,0,0
GTC_PE,D,20080314,000000,7.31992,7.48447,7.23769,7.40214,0,0
GTC_PE,D,20080317,000000,7.15537,7.40214,7.07315,7.15537,0,0
GTC_PE,D,20080318,000000,7.15537,7.73105,7.07315,7.73105,0,0
GTC_PE,D,20080319,000000,7.73105,7.73105,7.64883,7.73105,0,0
GTC_PE,D,20080320,000000,7.73105,7.73105,7.40214,7.48447,0,0
GTC_PE,D,20080325,000000,7.81346,7.97792,7.81346,7.97792,0,0
GTC_PE,D,20080326,000000,7.97792,8.05996,7.73105,7.89569,0,0
GTC_PE,D,20080327,000000,7.97792,8.05996,7.81346,7.89569,0,0
GTC_PE,D,20080328,000000,7.81346,7.89569,7.73105,7.73105,0,0
GTC_PE,D,20080331,000000,7.97792,7.97792,7.97792,7.97792,0,0
GTC_PE,D,20080401,000000,7.97792,8.05996,7.97792,8.05996,0,0
GTC_PE,D,20080402,000000,8.05996,8.22423,7.97792,8.22423,0,0
GTC_PE,D,20080403,000000,8.22423,8.38988,8.05996,8.05996,0,0
GTC_PE,D,20080404,000000,8.05996,8.30728,8.05996,8.30728,0,0
GTC_PE,D,20080407,000000,8.38988,8.38988,8.05996,8.1421,0,0
GTC_PE,D,20080408,000000,8.1421,8.1421,7.89569,7.89569,0,0
GTC_PE,D,20080409,000000,7.81346,8.05996,7.81346,7.81346,0,0
GTC_PE,D,20080410,000000,7.81346,7.89569,7.73105,7.89569,0,0
GTC_PE,D,20080411,000000,7.97792,8.05996,7.5666,7.5666,0,0
GTC_PE,D,20080414,000000,7.5666,7.64883,7.31992,7.5666,0,0
GTC_PE,D,20080415,000000,7.64883,7.97792,7.40214,7.89569,0,0
GTC_PE,D,20080416,000000,7.89569,7.97792,7.64883,7.81346,0,0
GTC_PE,D,20080417,000000,7.73105,7.89569,7.64883,7.64883,0,0
GTC_PE,D,20080418,000000,7.64883,7.89569,7.64883,7.73105,0,0
GTC_PE,D,20080421,000000,7.73105,7.73105,7.5666,7.64883,0,0
GTC_PE,D,20080422,000000,7.64883,7.73105,7.40214,7.5666,0,0
GTC_PE,D,20080423,000000,7.5666,7.5666,7.40214,7.40214,0,0
GTC_PE,D,20080424,000000,7.48447,7.64883,7.40214,7.40214,0,0
GTC_PE,D,20080425,000000,7.5666,7.5666,7.31992,7.40214,0,0
GTC_PE,D,20080428,000000,7.5666,7.81346,7.40214,7.73105,0,0
GTC_PE,D,20080429,000000,7.81346,7.81346,7.5666,7.81346,0,0
GTC_PE,D,20080430,000000,7.81346,7.81346,7.64883,7.81346,0,0
GTC_PE,D,20080505,000000,8.05996,8.05996,7.81346,7.89569,0,0
GTC_PE,D,20080506,000000,7.89569,7.97792,7.89569,7.97792,0,0
GTC_PE,D,20080507,000000,7.97792,8.30728,7.97792,8.30728,0,0
GTC_PE,D,20080508,000000,8.1421,8.38988,8.1421,8.30728,0,0
GTC_PE,D,20080509,000000,8.22423,8.22423,8.1421,8.1421,0,0
GTC_PE,D,20080512,000000,8.30728,8.38988,8.30728,8.38988,0,0
GTC_PE,D,20080513,000000,8.55369,25.0037,8.55369,25.0037,0,0
GTC_PE,D,20080514,000000,25.3321,25.3321,24.7554,25.0855,0,0
GTC_PE,D,20080515,000000,24.9209,24.9209,23.9341,24.0159,0,0
GTC_PE,D,20080516,000000,24.5088,24.5907,7.73105,7.73105,0,0
GTC_PE,D,20080519,000000,7.73105,7.73105,7.48447,7.5666,0,0
GTC_PE,D,20080520,000000,7.5666,7.64883,7.23769,7.23769,0,0
GTC_PE,D,20080521,000000,7.23769,7.64883,7.23769,7.64883,0,0
GTC_PE,D,20080523,000000,7.5666,7.64883,7.31992,7.40214,0,0
GTC_PE,D,20080526,000000,7.40214,7.5666,7.31992,7.40214,0,0
GTC_PE,D,20080527,000000,7.40214,7.73105,7.40214,7.73105,0,0
GTC_PE,D,20080528,000000,7.81346,7.81346,7.73105,7.73105,0,0
GTC_PE,D,20080529,000000,7.73105,7.81346,7.5666,7.64883,0,0
GTC_PE,D,20080530,000000,7.64883,7.64883,7.31992,7.31992,0,0
GTC_PE,D,20080602,000000,7.40214,7.40214,7.31992,7.31992,0,0
GTC_PE,D,20080603,000000,7.40214,7.5666,7.23769,7.5666,0,0
GTC_PE,D,20080604,000000,7.5666,7.64883,7.48447,7.5666,0,0
GTC_PE,D,20080605,000000,7.5666,7.64883,7.5666,7.64883,0,0
GTC_PE,D,20080606,000000,7.81346,7.81346,7.48447,7.5666,0,0
GTC_PE,D,20080609,000000,7.40214,7.5666,7.40214,7.48447,0,0
GTC_PE,D,20080610,000000,7.31992,7.48447,7.23769,7.23769,0,0
GTC_PE,D,20080611,000000,7.23769,7.31992,6.82638,6.82638,0,0
GTC_PE,D,20080612,000000,6.82638,6.90879,6.82638,6.90879,0,0
GTC_PE,D,20080613,000000,6.82638,6.99101,6.82638,6.82638,0,0
GTC_PE,D,20080616,000000,6.82638,7.15537,6.74415,7.15537,0,0
GTC_PE,D,20080617,000000,7.07315,7.15537,6.90879,6.90879,0,0
GTC_PE,D,20080618,000000,6.90879,6.90879,6.57969,6.57969,0,0
GTC_PE,D,20080619,000000,6.49747,6.74415,6.49747,6.57969,0,0
GTC_PE,D,20080620,000000,6.66192,6.66192,6.41524,6.49747,0,0
GTC_PE,D,20080623,000000,6.49747,6.57969,6.33301,6.33301,0,0
GTC_PE,D,20080624,000000,6.33301,6.33301,6.2507,6.33301,0,0
GTC_PE,D,20080625,000000,6.41524,6.41524,6.16847,6.2507,0,0
GTC_PE,D,20080626,000000,6.2507,6.41524,6.2507,6.2507,0,0
GTC_PE,D,20080627,000000,6.16847,6.16847,6.00401,6.00401,0,0
GTC_PE,D,20080630,000000,6.00401,6.00401,5.83947,5.9217,0,0
GTC_PE,D,20080701,000000,5.9217,5.9217,5.5927,5.67493,0,0
GTC_PE,D,20080702,000000,5.67493,5.75724,5.67493,5.67493,0,0
GTC_PE,D,20080703,000000,5.51047,5.83947,5.51047,5.67493,0,0
GTC_PE,D,20080704,000000,5.75724,5.83947,5.51047,5.5927,0,0
GTC_PE,D,20080707,000000,5.67493,5.67493,5.34602,5.51047,0,0
GTC_PE,D,20080708,000000,5.34602,5.51047,5.26379,5.42833,0,0
