<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTN_PE,D,20070813,000000,1.51172,1.51172,1.51172,1.51172,0,0
GTN_PE,D,20070814,000000,1.49536,1.49536,1.49536,1.49536,0,0
GTN_PE,D,20070816,000000,1.31556,1.31556,1.31556,1.31556,0,0
GTN_PE,D,20070817,000000,1.37278,1.37278,1.37278,1.37278,0,0
GTN_PE,D,20070820,000000,1.38914,1.38914,1.38914,1.38914,0,0
GTN_PE,D,20070821,000000,1.35642,1.35642,1.35642,1.35642,0,0
GTN_PE,D,20070822,000000,1.479,1.479,1.479,1.479,0,0
GTN_PE,D,20070823,000000,1.49536,1.49536,1.49536,1.49536,0,0
GTN_PE,D,20070824,000000,1.54436,1.54436,1.54436,1.54436,0,0
GTN_PE,D,20070827,000000,1.51986,1.51986,1.51986,1.51986,0,0
GTN_PE,D,20070828,000000,1.51172,1.51172,1.51172,1.51172,0,0
GTN_PE,D,20070829,000000,1.528,1.528,1.528,1.528,0,0
GTN_PE,D,20070830,000000,1.5525,1.5525,1.5525,1.5525,0,0
GTN_PE,D,20070831,000000,1.57708,1.57708,1.57708,1.57708,0,0
GTN_PE,D,20070903,000000,1.56886,1.56886,1.56886,1.56886,0,0
GTN_PE,D,20070904,000000,1.5525,1.5525,1.5525,1.5525,0,0
GTN_PE,D,20070905,000000,1.5525,1.5525,1.5525,1.5525,0,0
GTN_PE,D,20070906,000000,1.54436,1.54436,1.54436,1.54436,0,0
GTN_PE,D,20070907,000000,1.5035,1.5035,1.5035,1.5035,0,0
GTN_PE,D,20070910,000000,1.47086,1.47086,1.47086,1.47086,0,0
GTN_PE,D,20070911,000000,1.51172,1.51172,1.51172,1.51172,0,0
GTN_PE,D,20070912,000000,1.48714,1.48714,1.48714,1.48714,0,0
GTN_PE,D,20070913,000000,1.5035,1.5035,1.5035,1.5035,0,0
GTN_PE,D,20070914,000000,1.51172,1.51172,1.51172,1.51172,0,0
GTN_PE,D,20070917,000000,1.48714,1.48714,1.48714,1.48714,0,0
GTN_PE,D,20070918,000000,1.48714,1.48714,1.48714,1.48714,0,0
GTN_PE,D,20070919,000000,1.57708,1.57708,1.57708,1.57708,0,0
GTN_PE,D,20070920,000000,1.56886,1.56886,1.56886,1.56886,0,0
GTN_PE,D,20070921,000000,1.57708,1.57708,1.57708,1.57708,0,0
GTN_PE,D,20070924,000000,1.56886,1.56886,1.56886,1.56886,0,0
GTN_PE,D,20070925,000000,1.56072,1.56072,1.56072,1.56072,0,0
GTN_PE,D,20070926,000000,1.60158,1.60158,1.60158,1.60158,0,0
GTN_PE,D,20070927,000000,1.61794,1.61794,1.61794,1.61794,0,0
GTN_PE,D,20070928,000000,1.59336,1.59336,1.59336,1.59336,0,0
GTN_PE,D,20071001,000000,1.61794,1.61794,1.61794,1.61794,0,0
GTN_PE,D,20071002,000000,1.67508,1.67508,1.67508,1.67508,0,0
GTN_PE,D,20071003,000000,1.6833,1.6833,1.6833,1.6833,0,0
GTN_PE,D,20071004,000000,1.69966,1.69966,1.69966,1.69966,0,0
GTN_PE,D,20071005,000000,1.79766,1.79766,1.79766,1.79766,0,0
GTN_PE,D,20071008,000000,1.77316,1.77316,1.77316,1.77316,0,0
GTN_PE,D,20071009,000000,1.78129,1.78129,1.78129,1.78129,0,0
GTN_PE,D,20071010,000000,1.78952,1.78952,1.78952,1.78952,0,0
GTN_PE,D,20071011,000000,1.84674,1.84674,1.84674,1.84674,0,0
GTN_PE,D,20071012,000000,1.86301,1.86301,1.86301,1.86301,0,0
GTN_PE,D,20071015,000000,1.87124,1.87124,1.87124,1.87124,0,0
GTN_PE,D,20071016,000000,1.84674,1.84674,1.84674,1.84674,0,0
GTN_PE,D,20071017,000000,1.89573,1.89573,1.89573,1.89573,0,0
GTN_PE,D,20071018,000000,1.84674,1.84674,1.84674,1.84674,0,0
GTN_PE,D,20071019,000000,1.84674,1.84674,1.84674,1.84674,0,0
GTN_PE,D,20071022,000000,1.78952,1.78952,1.78952,1.78952,0,0
GTN_PE,D,20071023,000000,1.81402,1.81402,1.81402,1.81402,0,0
GTN_PE,D,20071024,000000,1.82215,1.82215,1.82215,1.82215,0,0
GTN_PE,D,20071025,000000,1.83851,1.83851,1.83851,1.83851,0,0
GTN_PE,D,20071026,000000,1.82215,1.82215,1.82215,1.82215,0,0
GTN_PE,D,20071029,000000,1.83851,1.83851,1.83851,1.83851,0,0
GTN_PE,D,20071030,000000,1.83851,1.83851,1.83851,1.83851,0,0
GTN_PE,D,20071031,000000,1.81402,1.81402,1.81402,1.81402,0,0
GTN_PE,D,20071102,000000,1.78952,1.78952,1.78952,1.78952,0,0
GTN_PE,D,20071105,000000,1.76502,1.76502,1.76502,1.76502,0,0
GTN_PE,D,20071106,000000,1.74043,1.74043,1.74043,1.74043,0,0
GTN_PE,D,20071107,000000,1.69144,1.69144,1.69144,1.69144,0,0
GTN_PE,D,20071108,000000,1.66694,1.66694,1.66694,1.66694,0,0
GTN_PE,D,20071109,000000,1.66694,1.69144,1.64244,1.6588,0,0
GTN_PE,D,20071112,000000,1.63422,1.66694,1.60972,1.60972,0,0
GTN_PE,D,20071113,000000,1.63422,1.66694,1.57708,1.62608,0,0
GTN_PE,D,20071114,000000,1.69144,1.69144,1.63422,1.64244,0,0
GTN_PE,D,20071115,000000,1.65058,1.65058,1.5035,1.56072,0,0
GTN_PE,D,20071116,000000,1.56072,1.66694,1.51986,1.6588,0,0
GTN_PE,D,20071119,000000,1.67508,1.67508,1.59336,1.63422,0,0
GTN_PE,D,20071120,000000,1.62608,1.62608,1.59336,1.60158,0,0
GTN_PE,D,20071121,000000,1.59336,1.59336,1.53622,1.5525,0,0
GTN_PE,D,20071122,000000,1.528,1.60158,1.40542,1.40542,0,0
GTN_PE,D,20071123,000000,1.41364,1.44628,1.40542,1.43814,0,0
GTN_PE,D,20071126,000000,1.44628,1.4545,1.38914,1.40542,0,0
GTN_PE,D,20071127,000000,1.38092,1.39728,1.37278,1.37278,0,0
GTN_PE,D,20071128,000000,1.40542,1.40542,1.38092,1.40542,0,0
GTN_PE,D,20071129,000000,1.44628,1.44628,1.41364,1.42178,0,0
GTN_PE,D,20071130,000000,1.43814,1.528,1.43814,1.51172,0,0
GTN_PE,D,20071203,000000,1.51172,1.51172,1.46264,1.49536,0,0
GTN_PE,D,20071204,000000,1.48714,1.48714,1.46264,1.47086,0,0
GTN_PE,D,20071205,000000,1.479,1.528,1.4545,1.49536,0,0
GTN_PE,D,20071206,000000,1.528,1.528,1.49536,1.51172,0,0
GTN_PE,D,20071207,000000,1.528,1.528,1.51172,1.51986,0,0
GTN_PE,D,20071210,000000,1.528,1.54436,1.51172,1.51172,0,0
GTN_PE,D,20071211,000000,1.53622,1.53622,1.5035,1.5035,0,0
GTN_PE,D,20071212,000000,1.479,1.51986,1.479,1.5035,0,0
GTN_PE,D,20071213,000000,1.479,1.5035,1.44628,1.44628,0,0
GTN_PE,D,20071214,000000,1.44628,1.46264,1.43814,1.43814,0,0
GTN_PE,D,20071217,000000,1.43,1.479,1.43,1.47086,0,0
GTN_PE,D,20071218,000000,1.479,1.48714,1.47086,1.48714,0,0
GTN_PE,D,20071219,000000,1.49536,1.5035,1.47086,1.5035,0,0
GTN_PE,D,20071220,000000,1.51172,1.57708,1.51172,1.54436,0,0
GTN_PE,D,20071221,000000,1.56072,1.56072,1.51986,1.53622,0,0
GTN_PE,D,20071227,000000,1.53622,1.54436,1.51172,1.51986,0,0
GTN_PE,D,20071228,000000,1.54436,1.54436,1.49536,1.54436,0,0
GTN_PE,D,20080102,000000,1.5525,1.60972,1.54436,1.60972,0,0
GTN_PE,D,20080103,000000,1.57708,1.61794,1.57708,1.60972,0,0
GTN_PE,D,20080104,000000,1.61794,1.62608,1.57708,1.57708,0,0
GTN_PE,D,20080107,000000,1.528,1.53622,1.51172,1.51986,0,0
GTN_PE,D,20080108,000000,1.48714,1.54436,1.48714,1.54436,0,0
GTN_PE,D,20080109,000000,1.5035,1.5035,1.47086,1.5035,0,0
GTN_PE,D,20080110,000000,1.48714,1.48714,1.47086,1.47086,0,0
GTN_PE,D,20080111,000000,1.47086,1.479,1.43,1.43,0,0
GTN_PE,D,20080114,000000,1.39728,1.39728,1.39728,1.39728,0,0
GTN_PE,D,20080115,000000,1.38092,1.43,1.37278,1.38914,0,0
GTN_PE,D,20080116,000000,1.26657,1.36456,1.26657,1.35642,0,0
GTN_PE,D,20080117,000000,1.37278,1.37278,1.31556,1.31556,0,0
GTN_PE,D,20080118,000000,1.32379,1.33192,1.25834,1.26657,0,0
GTN_PE,D,20080121,000000,1.23384,1.25834,1.18485,1.19298,0,0
GTN_PE,D,20080122,000000,1.11949,1.23384,1.11949,1.20935,0,0
GTN_PE,D,20080123,000000,1.26657,1.26657,1.16848,1.2012,0,0
GTN_PE,D,20080124,000000,1.25834,1.25834,1.24207,1.2502,0,0
GTN_PE,D,20080125,000000,1.28292,1.29107,1.24207,1.25834,0,0
GTN_PE,D,20080128,000000,1.20935,1.2257,1.20935,1.2257,0,0
GTN_PE,D,20080129,000000,1.23384,1.2747,1.23384,1.26657,0,0
GTN_PE,D,20080130,000000,1.28292,1.30742,1.25834,1.28292,0,0
GTN_PE,D,20080131,000000,1.2502,1.25834,1.24207,1.25834,0,0
GTN_PE,D,20080201,000000,1.2747,1.29107,1.25834,1.28292,0,0
GTN_PE,D,20080204,000000,1.30742,1.31556,1.30742,1.30742,0,0
GTN_PE,D,20080205,000000,1.29107,1.2992,1.2747,1.28292,0,0
GTN_PE,D,20080206,000000,1.24207,1.29107,1.24207,1.29107,0,0
GTN_PE,D,20080207,000000,1.29107,1.29107,1.23384,1.2502,0,0
GTN_PE,D,20080208,000000,1.29107,1.29107,1.28292,1.29107,0,0
GTN_PE,D,20080211,000000,1.2992,1.34829,1.2992,1.32379,0,0
GTN_PE,D,20080212,000000,1.34006,1.34829,1.33192,1.34006,0,0
GTN_PE,D,20080213,000000,1.34006,1.34829,1.33192,1.34006,0,0
GTN_PE,D,20080214,000000,1.35642,1.35642,1.31556,1.31556,0,0
GTN_PE,D,20080215,000000,1.30742,1.31556,1.29107,1.30742,0,0
GTN_PE,D,20080218,000000,1.30742,1.32379,1.2992,1.2992,0,0
GTN_PE,D,20080219,000000,1.2992,1.31556,1.28292,1.30742,0,0
GTN_PE,D,20080220,000000,1.30742,1.30742,1.29107,1.2992,0,0
GTN_PE,D,20080221,000000,1.31556,1.31556,1.2502,1.2502,0,0
GTN_PE,D,20080222,000000,1.26657,1.26657,1.25834,1.25834,0,0
GTN_PE,D,20080225,000000,1.25834,1.2747,1.24207,1.24207,0,0
