<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI_MV,D,20080506,000000,17.8277,17.8277,17.8277,17.8277,0,0
IFI_MV,D,20080507,000000,18.1368,18.1368,18.1368,18.1368,0,0
IFI_MV,D,20080508,000000,16.4718,16.4718,15.8889,15.9676,0,0
IFI_MV,D,20080509,000000,15.9676,16.5087,15.8889,16.5087,0,0
IFI_MV,D,20080512,000000,16.5087,17.2108,16.5087,17.2108,0,0
IFI_MV,D,20080513,000000,15.5033,16.7455,15.4645,16.7455,0,0
IFI_MV,D,20080515,000000,15.1138,16.2775,15.1138,16.2775,0,0
IFI_MV,D,20080516,000000,14.7633,14.9216,14.3388,14.3388,0,0
IFI_MV,D,20080519,000000,14.7263,15.1138,14.3388,15.1138,0,0
IFI_MV,D,20080520,000000,15.0787,15.0787,15.0787,15.0787,0,0
IFI_MV,D,20080521,000000,13.6802,15.0353,13.6802,15.0353,0,0
IFI_MV,D,20080523,000000,15.0787,15.5033,15.0353,15.3442,0,0
IFI_MV,D,20080526,000000,15.3866,15.3866,15.0001,15.0001,0,0
IFI_MV,D,20080527,000000,14.3388,15.308,14.3388,15.308,0,0
IFI_MV,D,20080529,000000,14.1454,15.308,13.7948,13.9512,0,0
IFI_MV,D,20080530,000000,14.3388,14.3388,13.177,14.3026,0,0
IFI_MV,D,20080602,000000,13.5276,13.5276,13.5276,13.5276,0,0
IFI_MV,D,20080603,000000,13.3721,13.3721,13.3333,13.3333,0,0
IFI_MV,D,20080604,000000,12.5952,13.2926,12.5952,12.5952,0,0
IFI_MV,D,20080605,000000,12.9818,13.8346,12.9818,13.8346,0,0
IFI_MV,D,20080606,000000,13.5655,14.6911,13.5655,14.6911,0,0
IFI_MV,D,20080609,000000,15.0001,15.0001,14.6911,15.0001,0,0
IFI_MV,D,20080610,000000,12.0143,15.0001,12.0143,12.0143,0,0
IFI_MV,D,20080611,000000,14.3388,14.3388,14.3388,14.3388,0,0
IFI_MV,D,20080612,000000,14.3026,14.3026,12.2077,13.9512,0,0
IFI_MV,D,20080613,000000,13.917,13.917,13.917,13.917,0,0
IFI_MV,D,20080616,000000,13.9512,13.9512,13.9512,13.9512,0,0
IFI_MV,D,20080617,000000,14.3026,14.3026,13.9512,14.3026,0,0
IFI_MV,D,20080618,000000,14.7263,14.7263,14.7263,14.7263,0,0
IFI_MV,D,20080619,000000,14.9216,15.308,14.9216,15.308,0,0
IFI_MV,D,20080620,000000,15.2322,15.2322,15.2322,15.2322,0,0
IFI_MV,D,20080624,000000,14.5349,14.5349,14.3026,14.3026,0,0
IFI_MV,D,20080626,000000,14.5349,14.5349,14.5349,14.5349,0,0
IFI_MV,D,20080627,000000,12.6312,13.8346,12.0143,13.5655,0,0
IFI_MV,D,20080630,000000,13.5655,13.5655,13.5655,13.5655,0,0
IFI_MV,D,20080701,000000,12.0143,12.5952,11.821,12.4028,0,0
IFI_MV,D,20080702,000000,11.6268,12.4028,11.3529,12.3657,0,0
IFI_MV,D,20080703,000000,11.6268,12.2077,11.4695,12.13,0,0
IFI_MV,D,20080707,000000,12.1715,12.1715,11.4316,12.0143,0,0
IFI_MV,D,20080708,000000,11.6268,11.6268,11.6268,11.6268,0,0
IFI_MV,D,20080711,000000,11.6268,12.13,11.4316,12.0143,0,0
IFI_MV,D,20080714,000000,12.2077,12.2077,12.2077,12.2077,0,0
IFI_MV,D,20080715,000000,11.082,11.5464,10.5012,11.5464,0,0
IFI_MV,D,20080716,000000,10.5012,11.2392,10.5012,11.2392,0,0
IFI_MV,D,20080717,000000,11.2753,12.0921,11.2753,12.0921,0,0
IFI_MV,D,20080718,000000,12.0921,12.0921,12.0921,12.0921,0,0
IFI_MV,D,20080723,000000,11.6268,12.0921,11.6268,11.6268,0,0
IFI_MV,D,20080729,000000,11.1238,11.1238,11.082,11.082,0,0
IFI_MV,D,20080730,000000,11.045,11.821,11.045,11.821,0,0
IFI_MV,D,20080805,000000,11.5916,11.5916,10.8517,10.8517,0,0
IFI_MV,D,20080806,000000,11.4316,11.4316,11.045,11.045,0,0
IFI_MV,D,20080807,000000,11.7424,11.7424,11.7424,11.7424,0,0
IFI_MV,D,20080808,000000,11.2392,11.2392,10.465,11.2392,0,0
IFI_MV,D,20080811,000000,11.5916,11.5916,11.5916,11.5916,0,0
IFI_MV,D,20080813,000000,11.4316,11.9764,11.4316,11.9764,0,0
IFI_MV,D,20080814,000000,12.5952,12.5952,10.3051,11.6268,0,0
IFI_MV,D,20080818,000000,11.8562,11.8562,11.8562,11.8562,0,0
IFI_MV,D,20080819,000000,10.465,11.6268,10.465,11.6268,0,0
IFI_MV,D,20080821,000000,10.5788,11.1606,10.5788,11.1606,0,0
IFI_MV,D,20080822,000000,11.1238,11.1238,10.465,10.6564,0,0
IFI_MV,D,20080825,000000,11.5916,11.5916,11.5916,11.5916,0,0
IFI_MV,D,20080826,000000,11.6268,11.7424,11.6268,11.7424,0,0
IFI_MV,D,20080828,000000,11.2392,11.6628,10.1903,11.6628,0,0
IFI_MV,D,20080901,000000,11.4316,11.4316,10.3845,10.465,0,0
IFI_MV,D,20080902,000000,10.465,10.6564,10.2699,10.6564,0,0
IFI_MV,D,20080904,000000,10.6214,10.6564,10.6214,10.6214,0,0
IFI_MV,D,20080908,000000,10.5788,10.5788,10.5788,10.5788,0,0
IFI_MV,D,20080909,000000,10.5788,10.6214,10.5788,10.6214,0,0
IFI_MV,D,20080910,000000,10.5788,10.6214,10.5788,10.6214,0,0
IFI_MV,D,20080916,000000,10.465,10.465,7.94598,10.0395,0,0
IFI_MV,D,20080917,000000,9.68983,9.68983,9.68983,9.68983,0,0
IFI_MV,D,20080918,000000,8.912,9.37911,8.912,9.37911,0,0
IFI_MV,D,20080919,000000,9.29865,9.37911,9.29865,9.29865,0,0
IFI_MV,D,20080922,000000,9.29865,9.29865,9.29865,9.29865,0,0
IFI_MV,D,20080924,000000,9.18765,9.29865,9.10718,9.10718,0,0
IFI_MV,D,20080925,000000,9.14418,9.99983,9.14418,9.99983,0,0
IFI_MV,D,20080926,000000,10.0395,10.465,9.68983,10.3845,0,0
IFI_MV,D,20080929,000000,9.91843,10.0784,9.91843,10.0784,0,0
IFI_MV,D,20080930,000000,9.72597,9.72597,9.57239,9.57239,0,0
IFI_MV,D,20081001,000000,10.0395,10.2365,9.68983,10.2365,0,0
IFI_MV,D,20081002,000000,9.88316,10.2365,9.88316,9.88316,0,0
IFI_MV,D,20081003,000000,10.2365,10.2365,9.80371,10.0395,0,0
IFI_MV,D,20081006,000000,9.45776,9.49466,8.72082,8.912,0,0
IFI_MV,D,20081007,000000,8.94994,8.94994,7.75099,8.52408,0,0
IFI_MV,D,20081008,000000,8.06048,8.52408,7.75099,7.75099,0,0
IFI_MV,D,20081009,000000,7.8644,7.8644,7.8644,7.8644,0,0
IFI_MV,D,20081010,000000,7.75099,7.75099,6.97643,6.97643,0,0
IFI_MV,D,20081013,000000,7.75099,8.33279,6.97643,7.94598,0,0
IFI_MV,D,20081014,000000,7.59383,8.06048,7.47851,8.06048,0,0
IFI_MV,D,20081015,000000,7.8644,8.52408,7.8644,8.52408,0,0
IFI_MV,D,20081016,000000,7.8644,7.90898,7.55656,7.90898,0,0
IFI_MV,D,20081017,000000,7.63695,7.63695,7.51994,7.51994,0,0
IFI_MV,D,20081020,000000,7.36445,7.36445,7.36445,7.36445,0,0
IFI_MV,D,20081021,000000,7.16873,7.32819,7.16873,7.32819,0,0
IFI_MV,D,20081022,000000,6.97643,6.97643,6.58861,6.58861,0,0
IFI_MV,D,20081023,000000,6.23739,6.58861,6.20066,6.55205,0,0
IFI_MV,D,20081024,000000,6.12185,6.12185,6.04342,6.04342,0,0
IFI_MV,D,20081027,000000,5.77675,7.28501,5.77675,7.28501,0,0
IFI_MV,D,20081028,000000,7.51994,7.51994,7.16873,7.44178,0,0
IFI_MV,D,20081029,000000,7.55656,7.90898,7.51994,7.51994,0,0
IFI_MV,D,20081030,000000,7.55656,7.63695,7.55656,7.55656,0,0
IFI_MV,D,20081031,000000,7.16873,7.47851,7.16873,7.47851,0,0
IFI_MV,D,20081103,000000,7.44178,7.44178,7.36445,7.36445,0,0
IFI_MV,D,20081104,000000,7.75099,7.98102,7.75099,7.98102,0,0
IFI_MV,D,20081105,000000,8.10192,8.75652,7.36445,8.72082,0,0
IFI_MV,D,20081106,000000,8.56348,9.41615,8.56348,9.41615,0,0
IFI_MV,D,20081107,000000,8.87778,9.41615,8.87778,9.10718,0,0
