<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI_PB,D,20080506,000000,11.3529,11.3529,11.3529,11.3529,0,0
IFI_PB,D,20080507,000000,11.5537,11.5537,11.5537,11.5537,0,0
IFI_PB,D,20080508,000000,10.49,10.49,10.1181,10.1745,0,0
IFI_PB,D,20080509,000000,10.1745,10.5122,10.1181,10.5122,0,0
IFI_PB,D,20080512,000000,10.5122,10.9598,10.5122,10.9598,0,0
IFI_PB,D,20080513,000000,9.87671,10.662,9.85085,10.662,0,0
IFI_PB,D,20080515,000000,9.62798,10.3678,9.62798,10.3678,0,0
IFI_PB,D,20080516,000000,9.40321,9.50034,9.13214,9.13214,0,0
IFI_PB,D,20080519,000000,9.37911,9.62798,9.13214,9.62798,0,0
IFI_PB,D,20080520,000000,9.602,9.602,9.602,9.602,0,0
IFI_PB,D,20080521,000000,8.71444,9.57985,8.71444,9.57985,0,0
IFI_PB,D,20080523,000000,9.602,9.87671,9.57985,9.77121,0,0
IFI_PB,D,20080526,000000,9.79717,9.79717,9.55761,9.55761,0,0
IFI_PB,D,20080527,000000,9.13214,9.74908,7.50348,7.50348,0,0
IFI_PB,D,20080529,000000,6.93342,7.50348,6.76407,6.83695,0,0
IFI_PB,D,20080530,000000,7.03054,7.03054,6.46132,7.01232,0,0
IFI_PB,D,20080602,000000,6.63115,6.63115,6.63115,6.63115,0,0
IFI_PB,D,20080603,000000,6.55205,6.55205,6.53356,6.53356,0,0
IFI_PB,D,20080604,000000,6.17671,6.5158,6.17671,6.17671,0,0
IFI_PB,D,20080605,000000,6.36391,6.78181,6.36391,6.78181,0,0
IFI_PB,D,20080606,000000,6.64881,7.19972,6.64881,7.19972,0,0
IFI_PB,D,20080609,000000,7.35142,7.35142,7.19972,7.35142,0,0
IFI_PB,D,20080610,000000,5.89228,7.35142,5.89228,5.89228,0,0
IFI_PB,D,20080611,000000,7.03054,7.03054,7.03054,7.03054,0,0
IFI_PB,D,20080612,000000,7.01232,7.01232,5.98275,6.83695,0,0
IFI_PB,D,20080613,000000,6.81844,6.81844,6.81844,6.81844,0,0
IFI_PB,D,20080616,000000,6.83695,6.83695,6.83695,6.83695,0,0
IFI_PB,D,20080617,000000,7.01232,7.01232,6.83695,7.01232,0,0
IFI_PB,D,20080618,000000,7.21793,7.21793,7.21793,7.21793,0,0
IFI_PB,D,20080619,000000,7.31505,7.50348,7.31505,7.50348,0,0
IFI_PB,D,20080620,000000,7.46591,7.46591,7.46591,7.46591,0,0
IFI_PB,D,20080624,000000,7.12044,7.12044,7.01232,7.01232,0,0
IFI_PB,D,20080626,000000,7.12044,7.12044,7.12044,7.12044,0,0
IFI_PB,D,20080627,000000,6.19466,6.78181,5.89228,6.64881,0,0
IFI_PB,D,20080630,000000,6.64881,6.64881,6.64881,6.64881,0,0
IFI_PB,D,20080701,000000,5.89228,6.17671,5.79489,6.07968,0,0
IFI_PB,D,20080702,000000,5.69822,6.07968,5.56494,6.06138,0,0
IFI_PB,D,20080703,000000,5.69822,5.98275,5.61951,5.94638,0,0
IFI_PB,D,20080707,000000,5.96471,5.96471,5.60119,5.89228,0,0
IFI_PB,D,20080708,000000,5.69822,5.69822,5.69822,5.69822,0,0
IFI_PB,D,20080711,000000,5.69822,5.94638,5.60119,5.89228,0,0
IFI_PB,D,20080714,000000,5.98275,5.98275,5.98275,5.98275,0,0
IFI_PB,D,20080715,000000,5.43175,5.66188,5.14733,5.66188,0,0
IFI_PB,D,20080716,000000,5.14733,5.51036,5.14733,5.51036,0,0
IFI_PB,D,20080717,000000,5.5286,5.92835,5.5286,5.92835,0,0
IFI_PB,D,20080718,000000,5.92835,5.92835,5.92835,5.92835,0,0
IFI_PB,D,20080723,000000,5.69822,5.92835,5.69822,5.69822,0,0
IFI_PB,D,20080729,000000,5.44996,5.44996,5.43175,5.43175,0,0
IFI_PB,D,20080730,000000,5.41381,5.79489,5.41381,5.79489,0,0
IFI_PB,D,20080805,000000,5.67991,5.67991,1.25341,1.25341,0,0
IFI_PB,D,20080806,000000,1.3201,1.3201,1.27766,1.27766,0,0
IFI_PB,D,20080807,000000,1.35655,1.35655,1.35655,1.35655,0,0
IFI_PB,D,20080808,000000,1.29577,1.29577,1.21134,1.29577,0,0
IFI_PB,D,20080811,000000,1.33833,1.33833,1.33833,1.33833,0,0
IFI_PB,D,20080813,000000,1.3201,1.38079,1.3201,1.38079,0,0
IFI_PB,D,20080814,000000,1.45349,1.45349,1.19284,1.34442,0,0
IFI_PB,D,20080818,000000,1.36875,1.36875,1.36875,1.36875,0,0
IFI_PB,D,20080819,000000,1.21134,1.34442,1.21134,1.34442,0,0
IFI_PB,D,20080821,000000,1.22317,1.28986,1.22317,1.28986,0,0
IFI_PB,D,20080822,000000,1.28375,1.28375,1.21134,1.22899,0,0
IFI_PB,D,20080825,000000,1.33833,1.33833,1.33833,1.33833,0,0
IFI_PB,D,20080826,000000,1.34442,1.35655,1.34442,1.35655,0,0
IFI_PB,D,20080828,000000,1.29577,1.34442,1.1748,1.34442,0,0
IFI_PB,D,20080901,000000,1.3201,1.3201,1.19903,1.21134,0,0
IFI_PB,D,20080902,000000,1.21134,1.22899,1.18701,1.22899,0,0
IFI_PB,D,20080904,000000,1.22899,1.22899,1.22899,1.22899,0,0
IFI_PB,D,20080908,000000,1.22317,1.22317,1.22317,1.22317,0,0
IFI_PB,D,20080909,000000,1.22317,1.22899,1.22317,1.22899,0,0
IFI_PB,D,20080910,000000,1.22317,1.22899,1.22317,1.22899,0,0
