<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMS_PB,D,20120104,000000,2.55639,2.55639,2.55639,2.55639,0,0
IMS_PB,D,20120105,000000,2.45964,2.45964,2.27238,2.36905,0,0
IMS_PB,D,20120109,000000,2.27238,2.39313,2.15145,2.39313,0,0
IMS_PB,D,20120110,000000,2.24821,2.39313,2.24821,2.3448,0,0
IMS_PB,D,20120111,000000,2.36905,2.36905,2.36905,2.36905,0,0
IMS_PB,D,20120112,000000,2.36905,2.39313,2.36905,2.39313,0,0
IMS_PB,D,20120113,000000,2.36905,2.36905,2.36905,2.36905,0,0
IMS_PB,D,20120116,000000,2.15145,2.36905,1.90978,2.36905,0,0
IMS_PB,D,20120117,000000,2.39313,2.39313,2.15145,2.39313,0,0
IMS_PB,D,20120118,000000,2.05487,2.24821,2.05487,2.24821,0,0
IMS_PB,D,20120119,000000,2.05487,2.24821,2.05487,2.24821,0,0
IMS_PB,D,20120120,000000,2.24821,2.24821,2.24821,2.24821,0,0
IMS_PB,D,20120123,000000,2.24821,2.32063,2.22404,2.32063,0,0
IMS_PB,D,20120124,000000,2.32063,2.32063,2.32063,2.32063,0,0
IMS_PB,D,20120125,000000,2.36905,2.36905,2.15145,2.22404,0,0
IMS_PB,D,20120126,000000,2.22404,2.43556,2.22404,2.43556,0,0
IMS_PB,D,20120127,000000,2.41748,2.45964,2.41748,2.43556,0,0
IMS_PB,D,20120130,000000,2.43556,2.45964,2.43556,2.45964,0,0
IMS_PB,D,20120131,000000,2.45964,2.45964,2.39313,2.39313,0,0
IMS_PB,D,20120201,000000,2.45964,2.45964,2.39313,2.39313,0,0
IMS_PB,D,20120202,000000,2.39313,2.39313,2.24821,2.27238,0,0
IMS_PB,D,20120203,000000,2.27238,2.27238,2.27238,2.27238,0,0
IMS_PB,D,20120206,000000,2.27238,2.27238,2.27238,2.27238,0,0
IMS_PB,D,20120207,000000,2.27238,2.27238,2.24821,2.27238,0,0
IMS_PB,D,20120208,000000,2.27238,2.27238,2.15145,2.27238,0,0
IMS_PB,D,20120209,000000,2.27238,2.39313,2.27238,2.39313,0,0
IMS_PB,D,20120210,000000,2.3448,2.55639,2.3448,2.39313,0,0
IMS_PB,D,20120213,000000,2.6289,2.6289,2.6289,2.6289,0,0
IMS_PB,D,20120214,000000,2.6289,2.6289,2.60465,2.60465,0,0
IMS_PB,D,20120215,000000,2.6289,3.15468,2.6289,3.15468,0,0
IMS_PB,D,20120216,000000,3.15468,3.15468,2.90092,2.90092,0,0
IMS_PB,D,20120217,000000,2.90092,3.23327,2.90092,3.23327,0,0
IMS_PB,D,20120220,000000,3.45695,3.45695,3.45695,3.45695,0,0
IMS_PB,D,20120221,000000,3.45695,3.45695,3.23327,3.34202,0,0
IMS_PB,D,20120222,000000,3.43261,3.45695,3.43261,3.45695,0,0
IMS_PB,D,20120223,000000,3.45695,3.45695,3.45695,3.45695,0,0
IMS_PB,D,20120224,000000,3.45695,3.78921,3.45695,3.78921,0,0
IMS_PB,D,20120227,000000,3.78921,3.78921,3.78921,3.78921,0,0
IMS_PB,D,20120228,000000,4.19415,4.19415,3.78921,3.78921,0,0
IMS_PB,D,20120229,000000,3.78921,3.78921,3.78921,3.78921,0,0
