<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INK_MV,D,20070813,000000,129.832,129.832,129.832,129.832,0,0
INK_MV,D,20070814,000000,127.585,127.585,127.585,127.585,0,0
INK_MV,D,20070816,000000,111.926,111.926,111.926,111.926,0,0
INK_MV,D,20070817,000000,105.174,105.174,105.174,105.174,0,0
INK_MV,D,20070820,000000,100.273,100.273,100.273,100.273,0,0
INK_MV,D,20070821,000000,96.2571,96.2571,96.2571,96.2571,0,0
INK_MV,D,20070822,000000,102.972,102.972,102.972,102.972,0,0
INK_MV,D,20070823,000000,106.998,106.998,106.998,106.998,0,0
INK_MV,D,20070824,000000,118.641,118.641,118.641,118.641,0,0
INK_MV,D,20070827,000000,123.559,123.559,123.559,123.559,0,0
INK_MV,D,20070828,000000,118.415,118.415,118.415,118.415,0,0
INK_MV,D,20070829,000000,115.951,115.951,115.951,115.951,0,0
INK_MV,D,20070830,000000,120.427,120.427,120.427,120.427,0,0
INK_MV,D,20070831,000000,123.966,123.966,123.966,123.966,0,0
INK_MV,D,20070903,000000,118.641,118.641,118.641,118.641,0,0
INK_MV,D,20070904,000000,120.211,120.211,120.211,120.211,0,0
INK_MV,D,20070905,000000,118.19,118.19,118.19,118.19,0,0
INK_MV,D,20070906,000000,114.831,114.831,114.831,114.831,0,0
INK_MV,D,20070907,000000,113.667,113.667,113.667,113.667,0,0
INK_MV,D,20070910,000000,107.043,107.043,107.043,107.043,0,0
INK_MV,D,20070911,000000,110.932,110.932,110.932,110.932,0,0
INK_MV,D,20070912,000000,111.926,111.926,111.926,111.926,0,0
INK_MV,D,20070913,000000,111.971,111.971,111.971,111.971,0,0
INK_MV,D,20070914,000000,112.684,112.684,112.684,112.684,0,0
INK_MV,D,20070917,000000,113.27,113.27,113.27,113.27,0,0
INK_MV,D,20070918,000000,118.19,118.19,118.19,118.19,0,0
INK_MV,D,20070919,000000,120.879,120.879,120.879,120.879,0,0
INK_MV,D,20070920,000000,119.922,119.922,119.922,119.922,0,0
INK_MV,D,20070921,000000,120.382,120.382,120.382,120.382,0,0
INK_MV,D,20070924,000000,116.754,116.754,116.754,116.754,0,0
INK_MV,D,20070925,000000,115.951,115.951,115.951,115.951,0,0
INK_MV,D,20070926,000000,114.172,114.172,114.172,114.172,0,0
INK_MV,D,20070927,000000,115.689,115.689,115.689,115.689,0,0
INK_MV,D,20070928,000000,111.249,111.249,111.249,111.249,0,0
INK_MV,D,20071001,000000,108.116,108.116,108.116,108.116,0,0
INK_MV,D,20071002,000000,111.023,111.023,111.023,111.023,0,0
INK_MV,D,20071003,000000,112.377,112.377,112.377,112.377,0,0
INK_MV,D,20071004,000000,111.926,111.926,111.926,111.926,0,0
INK_MV,D,20071005,000000,109.687,109.687,109.687,109.687,0,0
INK_MV,D,20071008,000000,111.835,111.835,111.835,111.835,0,0
INK_MV,D,20071009,000000,116.177,116.177,116.177,116.177,0,0
INK_MV,D,20071010,000000,119.976,119.976,119.976,119.976,0,0
INK_MV,D,20071011,000000,119.263,119.263,119.263,119.263,0,0
INK_MV,D,20071012,000000,118.586,118.586,118.586,118.586,0,0
INK_MV,D,20071015,000000,119.922,119.922,119.922,119.922,0,0
INK_MV,D,20071016,000000,130.238,130.238,130.238,130.238,0,0
INK_MV,D,20071017,000000,131.222,131.222,131.222,131.222,0,0
INK_MV,D,20071018,000000,126.682,126.682,126.682,126.682,0,0
INK_MV,D,20071019,000000,129.777,129.777,129.777,129.777,0,0
INK_MV,D,20071022,000000,122.665,122.665,122.665,122.665,0,0
INK_MV,D,20071023,000000,125.798,125.798,125.798,125.798,0,0
INK_MV,D,20071024,000000,125.337,125.337,125.337,125.337,0,0
INK_MV,D,20071025,000000,120.473,120.473,120.473,120.473,0,0
INK_MV,D,20071026,000000,120.382,120.382,120.382,120.382,0,0
INK_MV,D,20071029,000000,119.083,119.083,119.083,119.083,0,0
INK_MV,D,20071030,000000,115.283,115.283,115.283,115.283,0,0
INK_MV,D,20071031,000000,114.172,114.172,114.172,114.172,0,0
INK_MV,D,20071102,000000,115.905,115.905,115.905,115.905,0,0
INK_MV,D,20071105,000000,112.015,112.015,112.015,112.015,0,0
INK_MV,D,20071106,000000,105.743,105.743,105.743,105.743,0,0
INK_MV,D,20071107,000000,94.0549,94.0549,94.0549,94.0549,0,0
INK_MV,D,20071108,000000,94.2444,94.2444,94.2444,94.2444,0,0
INK_MV,D,20071109,000000,91.7805,96.4649,87.5655,92.6559,0,0
INK_MV,D,20071112,000000,93.5675,93.5675,89.3174,90.6613,0,0
